"Drug","User","Date","Period","Review","Score","Likes","Page"
"Zyprexa","bipolar one forever","June 1, 2020","-","I just started Zyprexa from a new doc, it is for my bipolar one. Been doing ok mostly for over 10 years. I take 1200 of lithium daily. Trazodone 300mg for sleep . Last year trazodone stopped working last fall several occasions of auditory hallucinations barely sleep 2hrs nightly tried all kinds of meds from one doc he gave up.  Referred to new doc by pcp recently just started zyprexa up to 10mg. Sleeping about 5 or so hours at night so far no side effects but it is early days. Lithium made me fat and killed my thyroid which made me fat so no worries I just need sleep and calm my mind",9,4,1
"Zyprexa","j. Daniels","April 7, 2020","Taken for 1 to 6 months","Zypresa made my husband a crazy man. He had minor Bipolar. His Pychiatrist prescribed an extremely expensive drug, Zyprexa, then insisted he remain on it for 6 months then left the country.  My husband ran track in our house, wore his ski parka even tho 85 degrees, took several family members to help calm him, on and on. He was uncontrollably crazed, When he developed smacking lips about 4 months in, usually permanent, we stopped Zyprexa triggering DT's. His Primary care doc stepped in and tried various meds adding up to 4 that completely incapacitated him. More crazy man, upchucking, couldn't get out of bed when beloved company visited.  We traveled to Portland, Or., finding a good Psychiatrist who understood meds, put him on 4 other meds to calm him, then began slowly toggling him off the mess. It took nearly 2 years to detox him. Worse yet, he was never the same again.  If you value your health, and the health of those who love you, then grab your hat and RUN FROM ZYPREXA!",1,9,1
"Zyprexa","sj1428","December 30, 2019","Taken for less than 1 month","I had a horrible, 6-day experience with this medication Zyprexa. While it was prescribed to me primarily for sleep, which 5 mg was effective, it made my anxiety 10x worse with paranoia and tremors. It was the worst. It has been three nights without it now and I still feel it's effects of increased anxiety and a fog-like head. The physical symptoms ceased 48 hours post-Zyprexa. I took 20 mg of Paxil with this medication for anxiety and was noticing some improvement with Paxil alone. Zyprexa made me feel as if I was never taking Paxil AND take five steps backwards. My official diagnosis is TBD but this was the first medication I've taken where I absolutely refuse to take again at any dosage",1,6,1
"Zyprexa","Anonymous","December 5, 2019","-","I have bipolar II and have tried multiple medications. Sadly, I have had to get off this medication because it caused me to gain 20 lbs within a few short months, and also made my thinking slow down. However, this without a doubt was one of the best medications I have tried. I was able to finally get some rest and didn't constantly wake up throughout the night. My depressive thoughts decreased, though they were still there sometimes, they were manageable. I was able to go days without feeling completely poorly. My racing thoughts decreased, and I felt like I could think without having racing thoughts, or having 100 ideas going on in my head at once. My irritation levels almost ceased to exist. I was pleasantly surprised to see after trying several medications, that this is one of the only medications that has worked on me. If you can get around the weight gain, this is definitely a medication that is a must-try. Maybe I will try this medication again in the future if all else fails.",8,24,1
"Zyprexa","CT","November 11, 2019","Taken for 6 months to 1 year","Hello. I am currently taking Zyprexa 2.5 mg for approximately 10 months in conjunction with Lexapro 30 mg and bupropion XL 300mg for OCD, bipolar,  anxiety and depression.  The meds helped to a point and now I feel like I am not progressing in my therapy. I have just been increased to 5mg of zyprexa,  so we shall see. My big concern is the weight gain. I've gained 30 pounds in a year and a half. I hope the weight gain isn't dose related.  To be continued....",6,14,1
"Zyprexa","Anonymous","October 22, 2019","Taken for 1 to 6 months","Zyprexa was a life saver for me. I was diagnosed with bipolar disorder, anxiety, and OCD last year. Took Abilify and became irritated easily, lamictal and kept forgetting things, then I started 30 mg of Prozac and 2.5 mg of Zyprexa combo. It instantly got me out of depression/ mood swings and helped me get back to school &amp; focus a little bit more. I will say that I feel a little dull/ do not want to talk much &amp; gained 25 pounds in one month being on it. No matter how much I workout, I do not lose the weight. I honestly love the pros of this drug, I can smile and laugh again. But I do not want it to effect my confidence and self esteem because I am gaining so much weight. I am now weaning off zyprexa and trying latuda. My advice to anyone trying Zyprexa- give this a try and expect the weight gain to occur, it will help reduce negative thoughts, excessive worrying &amp; mood swings. Have faith, and try it, I really believe Zyprexa will help get someone out of their worst days.",9,26,1
"Zyprexa","Itel","October 16, 2019","Taken for 2 to 5 years","Stay away from Zyprexa.  I had a massive weight gain, diabetes cholestrol problems, significantly makes your brain dull unable to think properly , have no emotions, anxiety. Sleep a lot. I think it destroys your brain chemistry. Unable to taper off as the withdrawals extreme.",1,18,1
"Zyprexa","Spin","October 14, 2019","-","Diagnosis: Severe rapid cycling bipolar, heavy on mania Zoloft is a very positive experience Benefits: - No extreme highs, only small and easily controlled bouts of hypomania  - No staying up for days on end anymore, more restful sleep in general  -Increased appetite and slight weight gain, may be a con for some but I have no to low appetite and am clinically underweight. 3lb total gain over 3 months -Less irritability, lesws suicidal ideation, less call of the void  - No real low swings at all, either neutral or normal emotional response -Decreased anxiety -I still have emotions and interests unlike when on Lithium/Zoloft/Lexapro, on those I would sit and just stare at my wall uncaring for 15+ hours a day and still had periods of mania intermixed. Cons: -Slight decrease in motivation/interest in hobbies like video games but not severe -Makes my RLS flare up especially with any amount of alcohol in the mix. Easily combat this by waiting until I'm on the verge of sleep to take it",10,7,1
"Zyprexa","Teresa","October 11, 2019","Taken for 5 to 10 years","Started zyprexa 7 years ago. I had never been happier. I laughed, enjoyed life, lost the paranoia - then my yearly physicals started showing my A1C was elevated so I started on metformin. I gained between 6-12 lbs/year(132-179). Now on a BP med. Suffer dry mouth &amp; tongue edema. I take 25mg benadryl  every 4-6 hrs to prevent it. I've weaned down to 1/2 of 1.25mg every 3rd night. I'm ok as long as I don't go past that 3rd night. If I try for 4 I pay dearly. It's like I've been hit by a Mack truck-the worst case of flu ever. I take the missed dose &amp; 24-36 hrs later I feel human again. This drug saved my life because I was suicidal but  also now I don't want to die of complications from the co-morbidities that I'm developing now because I can't get off it. The real kicker: zyprexa affects your metabolism so it's even harder to lose weight &amp; if interferes with how metformin works making it less effective. Talk about a double edged sword. I may be on this for the rest of my life.",8,8,1
"Zyprexa","Rizzo","September 29, 2019","-","Zyprexa is  best mood stabilizer I’ve been on. It is so calming. It decreases agitation, the racing thoughts, helps you sleep. Does not make me groggy- I take 7.5 mg at night. The only reason it’s not a 10 is I’ve gained some weight so I’m taking some topamax for it. Love zyprexa.",9,12,1
"Zyprexa","Shark","August 6, 2019","Taken for 2 to 5 years","This medication, Zyprexa has helped me out a lot for my bipolar. The biggest downside is being tired a lot but sleep is very important. Once I take it I can’t do anything at all and force myself to stay in bed. I can sleep for a long time and feel very groggy in the morning. I did not gain any weight whatsoever on Zyprexa. I suggest that people listen to their doctor and give it a try. I’ve been on it for a little over 2 years and staying on 2.5MG for  maintenance . I am in remission now. Unfortunately, it doesn’t do much for anxiety so you will absolutely have to continue seeking treatment for that if you have any anxiety issues.",8,9,1
"Zyprexa","momo","June 17, 2019","Taken for 1 to 6 months","Zyprexa makes you gain weight so fast.  I  used to be anorexic and watched out with what I ate so I stayed in shape. But this medicine makes you crave sugar and makes you feel hungry 24/7, also you are really really tired. It only helps with psychotic behavior if your dose is pretty high so you can't feel anything and because you want to sleep all day.",1,22,1
"Zyprexa","Lucy","May 31, 2019","Taken for 1 to 6 months","My boyfriend suffers from manic bi polar disorder. He was off meds for 2 years and recently became manic again. We go to the Drs and this is what she prescribed him at a dose of 3mg. It worked as to stopping his manic episodes. BUT he legit is a Zombie now. He sleeps all the time. Is always tired. Emotionless. Unsure of himself. Doesn’t talk. Doesn’t eat. Doesn’t laugh. He basically is nothing. It’s really sad to watch, and I’m actually hoping his Dr will change his meds this week because this is NO way to live.",3,33,1
"Zyprexa","Sofia","April 23, 2019","-","I've put on 19kgs taking Zyprexa It's helped a little with my mood disorder and outbursts however my weight problem is out of control, hence this has caused me more stress seeing myself go from 60kgs to 79kgs in 6 months.",5,9,1
"Zyprexa","Salsa","December 9, 2018","-","I have been on olanzapine for 5 yrs.   Keeps my mood stable, no irritability, no heavy sinking terrible depression. I went off it for only four months without doctor's permission and I went manic, talking too much, lots of energy extremely painful headaches and delusions of people trying to check me out, little nagging voices, that scared me, annoyed me. Psychosis. All the other bipolar people I met at the psych hospital didn't have psychosis. I only shared the psychosis experience with one man with schizophrenia. Mind you this medicine, for me at 10 mg, really works effectively for my severe case of mania, depression, and psychosis, all in one full swoop. Once I'm stable, I can function just like any other person, just carrying a heavy body around from when my body metabolism acts up on the medicine from age 16-19. Now age 21 weight is pretty stable. This medicine DOES work. But you should only use it if it's for a case like mine.",0,25,1
"Zyprexa","Jo","November 16, 2018","-","Zyprexa was my only miracle med but health wise it ruined me. I was on it for 10 years. All my long term health risk that occurred was from this medication. In 10 years I went from 112 to 296 pounds. I got low thyroid issues now on medication for life for that. Developed high cholesterol, vertigo I developed. These are the long term use of zyprexa and I got them. Yes it helps wonders but why risk your health. Binge eating can occur I developed that real bad also at the 7 year mark. Took it at night and hour later needed to eat nonstop. When they talk about higher side effects it can happen and does. Started with the less and got the severe and now it's a journey also itself for my health. I would stay cautious of this medication. For sure it does cause extreme weight gain which cause all other high risk health issues.",5,19,1
"Zyprexa","OpposumMajor","November 1, 2018","Taken for less than 1 month","Only been on Zyprexa for 5 days, but I'm loving it so far. I was hospitalized five days ago for extreme mania, they took me off of Abilify (which I believe caused the mania, I'd only been put on it two weeks before). They added Zyprexa 10mg to my trazodone at night (also take Lamictal and Zoloft in the am). It was a bit too sedating at 10mg, so they bumped it down to 5mg and it's perfect. I've always had mad munchies at night from the trazodone anyways, and am still not hungry till dinner anyways, so it isn't really causing me any weight gain. It brought me out of mania the first time I took it, I hope to never be without this med again, as of now. Again, just started it 5 days ago but I've actually lost 4 pounds since then, and I can't say enough good about it!",10,14,1
"Zyprexa","GR","October 26, 2018","Taken for 1 to 2 years","This is the best side effect free strong antipsychotic I have taken so far. I have bipolar disorder and just 2.5 mg is enough to combat mania and minor depression. I also have anxiety and and it makes me calm. I don’t take it everyday. I take it sometimes when my doctor says. No side effects, no dizziness, no anxiety, no AKATHISIA just drowsiness which I like for anxiety.",10,18,1
"Zyprexa","Amy W.","July 29, 2018","-","Because antidepressants make me cycle I didn’t think their was much hope for any happiness. Until I found this drug. It changed my life!",8,23,1
"Zyprexa","TJ","July 7, 2018","Taken for 1 to 2 years","Works great every time! I have rapid cycling bipolar and this is the most effective out of all antipsychotics. Sometimes they put me off it but every time I’m on it it feels like a world of change like my brain starts to function again.",9,14,1
"Zyprexa","Jason","June 27, 2018","Taken for 5 to 10 years","DO NOT take this medication unless you are either psychotic, bipolar or have an extreme neurological condition. I took this medication for 8 years and it ruined my life to be honest. These drugs are EXTREMELY dangerous and powerful and can ruin your life even by taking it for 1 week. This drug is NOT for anxiety or ANY mild to average condition. Move to the countryside for 3 months and rent a cabin, it will solve your issues. If you are a parent, do not EVER put any child on this drug. Anti-psych drugs are 1000 times more dangerous than you can ever imagine. Same goes for Abilify or any atypical or typical anti-psychotic. Tardive dyskinesia is a potentially permanent side effect that can ruin your life within a week. Saying that, they work EXTREMELY effectively for severe mental disorders and may save your life if you are suicidal.",5,16,1
"Zyprexa","BipolarFree","May 9, 2018","Taken for 6 months to 1 year","After luckily failed suicide attempt I got prescribed Olanzapine. Only 5mg does a significant relief for me. Had been suffering of depression and hypomanic episodes but after taking only 5mg of Olanzapine I feel completely different - no more mood swings at all. I feel like a normal person. This medication saved and even improved the quality of the life I'm living at the moment. Beside Olanzapine I got prescribed antidepressant Escitaloprame which also works great in treating Bipolar disorder.",10,13,1
"Zyprexa","Dimitri","May 5, 2018","-","Out of the 4 anti psychotics I tried this one worked wonders for me. I was diagnosed back in 2011 for a psychotic episode and developed bi polar psychosis. Took 5mgs for years and I was feeling great. The only thing is that I would have some tactile hallucinations but wouldn’t hear any voices. I would just feel like a crazy maniac that wouldn’t sleep for days before going on zyprexa. Anyways I went off of it and then a year later I am here taking it again because I just can’t stand my anxiety and delusions and mood swings. I mix it with seroquel sometimes. Anyways this drug works wonders. I don’t get an increased appetite. The only problem is that when I wake up I don’t feel like eating anything so I end up eating at 2pm. The side effects for me are decreased appetite and some fatigue but other than that, I can finally enjoy life again. Remember that it takes a few weeks for it to take full effects and side effects do become more tolerable through time.",9,18,1
"Zyprexa","William","May 5, 2018","Taken for 2 to 5 years","This medication would receive a negative review if possible.  The primary reason I hate this medication is because the weight gain, diabetes and withdrawal symptoms. You  see I started taking this thinking well...if I gain to much weight I can always stop.  Think again.  I literally wouldn't sleep for days.",1,6,1
"Zyprexa","vernacularacrobat","May 3, 2018","Taken for 6 months to 1 year","My stomach is spilling over Instead of my mind for once. My head is no longer a circus, A tent of sad clowns and unruly animals. Uni-cycling on a tightrope Between intelligence and insanity Has never been so balanced.",9,30,1
"Zyprexa","Sarah's grandma","April 30, 2018","Taken for 2 to 5 years","Weight gain unbelievable.  Killed thyroid, now on synthroid.  Bed wetting and very hard to wake up in morning.  Withdrawal horrible.  Don't take this.",0,10,2
"Zyprexa","Beth","April 25, 2018","Taken for 1 to 6 months","My psychiatrist put me on 10 mg of Zyprexa and 20 mg of Prozac. He said those two meds are supposed to work well together. After two months I was still feeling depressed so he increased the Zyprexa to 15 mg. This has been a miracle drug for me. I fall asleep within 30 min of taking it and sleep very well except it is difficult to wake up in the morning. I set three alarms around my bedroom. One I have to physically get out of bed to turn off so it helps me get up. But that side effect is getting better after two months of taking Zyprexa. I no longer have ruminating thoughts or bouts of rage. My mood is very even. I have had some weight gain due to the med making me feel hungry all the time. Now I'm trying to drink water instead of eating and that seems to help.",9,13,2
"Zyprexa","Anonymous","March 26, 2018","-","I have a love hate relationship with Zyprexa.  I was initially put on it when I had a breakdown, it was the worst I ever felt mentally in my life.  Before going on it I hadn’t slept soundly for 10 years.  Taking Zyprexa was a last resort drug, and it worked great for getting me through that tough time.  When I started to take it, I could finally get a good nights sleep, I can’t even explain how good that felt after going so long with out it.  I also feel like it saved my marriage.  Now the downsides:  I gained about 40 lbs since I’ve started taking it 12 years ago.  It makes me feel hungry constantly and crave sweets.  Another thing is I am so unmotivated, it’s so frustrating!  Anytime I try to reduce it I find I get irritable and not able to sleep, so then I go back up again.  I definitely think this drug is not good for everyone, I would only recommend it as a last resort.",6,12,2
"Zyprexa","Patrick","March 3, 2018","Taken for 10 years or more","I've been taking Zyprexa since 2002. At first I was on 10 mg, and I've been on 20 mg for the last 15 years. It worked great at first, but now it works sometimes and sometimes it doesn't. I take it because I have bipolar 2 disorder. I need it to calm down my mind when I go to sleep. I want to know if there is anything else I can take, or does Zyprexa come in a stronger dose than 20 mg ?",5,7,2
"Zyprexa","HonkingAntelope","February 13, 2018","Taken for 1 to 2 years","Been on 20mg a day for a couple years.  Been off of everything for about eight months.  When I was taking it, I had zero issues with weight gain.  Another huge benefit was that it reliably put me to sleep.  Take my 20mg football in the evening and it’s lights out within two hours.  But getting up in the morning was tough.  Plus it did slow me down mentally.  I didn’t think it did, but I had a few old friends point out that I’m way slower than I used to be.  Like most psych meds, it can work wonders for one patient and do more harm than good for another.  Due to life’s circumstances, I had to quit cold turkey.  Bad idea.  Sleepless nights and all that... Thankfully, my condition is on a very mild end of the spectrum.  You absolutely have to work with your doctor to find out what works best for YOU!  All the best!",10,12,2
"Zyprexa","VC8","December 22, 2017","Taken for 6 months to 1 year","What an awful medication! I took olanzapine for a 6 months and I’ll give it credit that it completely got rid of mania, racing thoughts and impulsivity. However I became severely depressed and I was also a walking zombie. I could stare at the wall or ceiling for hours and be okay with that. I also gained 50 pounds in 6 months. Finally got off olanzapine last winter and taking Seroquel XR- also 40 pounds of the weight that I gained on Zyorexa. Stay away from this med- There are SO many other options!!",1,9,2
"Zyprexa","WillnBryant","November 15, 2017","Taken for 2 to 5 years","Love this medication, but I gained 40 pounds in about 4 months! Stayed on it for years and made me feel normal. I, initially, got on it when it was first released and there were no other atypical antipsychotics on the market. When Seroquel was released, then my psychiatrist switched me to it because it showed weight gain, but not as much. He was correct.",8,5,2
"Zyprexa","Anonymous","August 24, 2017","Taken for 5 to 10 years","In the beginning I really needed it at 5mg I was all over the place with mood and psychosis. After being on it for 7 years at different doses I've come to the point were I feel only the side effects and numb emotions. I want to feel again so I've been slowly withdrawaling I'm down to 7.5mg, if you decide to come off it do it slow and give your mind and body time to adjust before going down again.",0,7,2
"Zyprexa","KayBling","August 18, 2017","-","I just got prescribed this medication. 10mg to start. I'm taking it for my extremely high anxiety and bi polar depression. I have read a lot of review's, so I will definitely stay away from CARBS!!  Hoping this will give me my life back! I'll return in 5 days and give a review on how I'm feeling. Wish me luck! 8/18/17  New update on taking the Zyprexa. Today is day 8 on the the Zyprexa and I have to say, I honestly feel like my old self again. I'm happy, my mood is stable I'm sleeping great! I'm more active now than I've ever been since my 20's. So far I can honestly say this medication is working great for me. I'm actually excited about life again! Also, no weight gain so far and no increased cravings of food.",5,24,2
"Zyprexa","Bonn Bonn","June 9, 2017","Taken for 5 to 10 years","I was put on Zyprexa after my dad got murdered.  It worked ok for that medicated Zombie feel. I took up to 20mg day. Gained so much weight that I wore a waist size 40 pants.  Had to stop after 6 years.  Doc told me to taper off it in 2 weeks!  NO BUENO!!!  Should have tapered off in a year+. Been in bed for 8+months with horrific post withdrawal symptoms. Never had heart problems before Zyprexa! Now I have afib and sinus tachycardia, and TD, involuntary muscle spasms are so painful! People notice when I stick my tongue out, biting it hours a day, sexy. Its killing me slowly as Eli Lilly makes $12Mil a day killing! I use Melatonin for sleep, is Z even approved for sleep? RESEARCH LIKE YOUR LIFE DEPENDS ON IT, CUZ IT DOES!!",1,29,2
"Zyprexa","Cabinetman","June 6, 2017","-","I've had mostly positive experience with the exception of a lot of weight gain. Definitely stopped the depression/manic cycles. Does make me sleepy but my doctor prescribed provigil which really helped. I give this med a positive grade especially for bipolar with psychotic episodes.",0,13,2
"Zyprexa","Cinn Marie","May 21, 2017","Taken for 1 to 6 months","I was on this for maybe 6 months 2 years ago. I went from 121 to 184 in less then 3 months. I was eating constantly even after I had dinner I would be hungry 15 minutes later. If your doctor wants you to take this DON'T. It's easy for the weight to come but harder to make the weight go away.",1,13,2
"Zyprexa","automatonnn","May 16, 2017","-","No nothing good, just constant fatigue and weight gain. It makes me sleepy as hell and makes me even more of a zombie.",1,13,2
"Zyprexa","Matty723","May 12, 2017","-","Avoid at all costs - Weight gain is insane.  Hungry all of the time, can't stop eating even when full, and that awful feeling afterwards.  BE AWARE - coming off of this is hell, too.  Be very careful, and come off of this very slowly.",1,10,2
"Zyprexa","Ckelly8158","May 3, 2017","-","OK I've been on zyprexa going on 7 months at 20mg a day and it's the best thing I've done to get help with bipolar disorder. The only down fall is the weight gain but for me to stay sane and be happy it's worth it. Since being on zyprexa I've been able to socialize again with other people and do not stay in my bedroom all day and night. Thank God for helping me",10,35,2
"Zyprexa","Gone Bananas","April 22, 2017","Taken for less than 1 month","I gained 10 lbs in under 1 week, which sets a speed record among the weight-gain meds I've taken.  Since that pushed me up to the pre-diabetic border, my psychiatrist pulled me off of it ASAP - not to mention that when you're severely depressed, how is super chunking up supposed to make you feel better no matter how well the med works?  1 month &amp; I would have been up 40 lbs!  I felt no other side effects, nor any positive effects, but 1 week probably wasn't long enough for it to make a difference on my mood - only my rear end.",1,10,2
"Zyprexa","MT2233","April 7, 2017","Taken for 6 months to 1 year","I was diagnosed with psychotic depression for 7 months and my psychiatrist put me on zyprexa 5mg. After using antidepressants I got into mania. This medicine is a miracle. I was relieved in one week. I am still taking it but I became a bit hesitant to continue due to some horrible reviews. Tried Invega And had suicidal thoughts. This medicine is great for mood with combination with lamictal.",8,21,2
"Zyprexa","austins dad","January 27, 2017","-","It's a great medicine no side effects so far keeping my mood under control along with carbamazepine ER.",10,17,2
"Zyprexa","BBP007","December 13, 2016","Taken for 1 to 2 years","First year on 5mg at night helped my mood, anger outbursts and anxiety a great deal. Did develop high cholesterol and gained 15 pounds, but the trade off was worth it. Also helps wonderfully with insomnia. After the year mark it was no longer handling my anger well. Started having 2-3 inappropriate outbursts a week. Pdoc started me on geodon but couldn't handle the side effects, so back to the zyprexa I went with another 2.5mg added in the morning and gained another 6 pounds. Have tried other AAPs but can't handle the side effects so I'm still on the zyprexa for now until I get brave enough to try something else again. Taking with Pristiq, Trileptal, Vistiril and Xanax.",7,19,2
"Zyprexa","Jamaican empress","December 9, 2016","Taken for 1 to 6 months","I started this because I need to get my mood stable and it doesn't work for me all. I'm 113 lbs and haven't noticed any weight gain, I am really sleepy and thirsty during the night but it helps with my mood.",4,6,2
"Zyprexa","Yaybdtubfuj","December 6, 2016","-","I had been so unwell off meds for over a year and vomiting daily due to bipolar. I thought vomiting was from physical illness. As soon as i started this med all bp symptoms left AND my stomach is settled. No sexual side effects. Old me is back. No sides! Miracle drug! Weight gain for me will be a pkus not negative",10,20,2
"Zyprexa","Ed McLendon","November 26, 2016","Taken for 5 to 10 years","I took 3mgs of Zyprexa, contained in Symbyax, nightly for about 6 years. The medicine worked well for the first 2 to 3 years. Around year four I started having severe side effects and did not realize it was from the Zyprexa as it had been working so well.  I suffered with increasing seizures for about three more years. Bad ones. I wound up in the hospital emergency room and it was the ER doctor that informed me that the Zyprexa was causing the problem. My regular doctor denied Zyprexa as a contributing factor to my seizures. I quit the Zyprexa cold turkey. To say the least it was an absolutely horrible experience. Wean off this drug over a long period of time and even then get ready for horrendous withdrawal symptoms after your last dose.",3,20,2
"Zyprexa","eliasadc","November 12, 2016","Taken for 1 to 2 years","I love Zyprexa (Olanzapine) it has calmed and removed my insanity. I now longer have panic attacks and irritability. I work in retail and i have been in trouble several times with my managers because i snap at costumers. But with Zyprexa it all went away it was amazing........BUT!!! i have to stop taking it because it caused SO MUCH weight gain. I use to weigh 170lbs and within a year i weigh now 226lbs. I don't even eat that much and i still don't lose weight. there's no point going to the gym and doing cardio because the pill prevents me from losing it. So now i have to ask my doctor to give me a medication that doesn't cause weight gain for i can lose the weight. I am so depressed that i have to stop taking it. it has worked wonders 4 me",9,22,2
"Zyprexa","t_stiver","September 27, 2016","-","This medication is terrible. Made me feel drowsy and nauseous and eventually put me into the hospital causing pancreatitis.",1,19,2
"Zyprexa","PostmodenistCupie","August 19, 2016","Taken for 1 to 6 months","Worked well for three months and then developed severe side effects.",2,16,2
"Zyprexa","Anonymous","July 18, 2016","Taken for less than 1 month","Was on Zyprexa for a week 10mgs originally prescribed for sleep and coming off of Geodon. Gordon caused anxiety eventually. Zyprexa calmed me down but it was still hard to fall asleep without Ambien. I feel tired slow and hungry all the time the next day. But it did calm my nerves the next day so it may be worth it to give it a try.",3,16,3
"Zyprexa","fyodor","July 17, 2016","-","This medication has been very useful in reducing negative thinking. Most people take it at night. I find it more useful when I take it first thing in the morning. It works better if you avoid smoking. I've tried all different antipsychotics, Zyprexa is the only one that seems to work for me.",10,31,3
"Zyprexa","Johnnyjohnjohn","June 19, 2016","Taken for 5 to 10 years","Zyprexa was effective at sedating me which prevented the psychotic aspects of my manic episodes from happening very quickly. Since I only had 2 manic episodes in the span of a year, I probably should've stopped taking Zyprexa around 6 months later. Unfortunately I took it for 5 more years which was a MASSIVE mistake. It caused me to be very drowsy and lethargic. Because I started taking it at age 19, I didn't realize the Zyprexa was the culprit until I stopped taking it. I thought I was just a sleepy person. It had a profoundly negative impact on my life because I took it way longer than I should have.",6,37,3
"Zyprexa","kaube000","June 9, 2016","Taken for 6 months to 1 year","This medicine saved my life.",10,38,3
"Zyprexa","quicksand","May 4, 2016","Taken for 1 to 6 months","I was admitted to the hospital for severe hydration due to vomitting from being sick for a wk and prior to that completely lost my appetite do to a gluon intolerance I had become frustrated with food and I couldn't sleep was angry all the time, I was put on Apo-olanzapine aka Zyprexa and set up with a psychiatrist as an out patient...here's the thing I was prescribed this med by the psychiatrist for weight gain, but it also boost my mood swell , I feel like I'm a level playing field and the game is fair again. Definitely helps with depression, as I don't feel all is consuming me anymore and I eat everything in sight, I put 5 pounds on in 1 wk!!! So beware of that, its strange because you CRAVE food, all you do is think about food...lol",0,32,3
"Zyprexa","Magenta Clay","May 2, 2016","Taken for less than 1 month","Feel much better since I started Zyprexa!!  Wished I had started it years ago!  Zyprexa works quickly to calm a person down.  Very progressive type of medication.",10,34,3
"Zyprexa","Nataaaaalieee","April 19, 2016","Taken for less than 1 month","I have been on zyprexa for 5 days so far. I have been taking 2.5mg and I think I need to up the dose now to 5mg as it feels like it is wearing off. this medication is doing wonders for me, it is great! I can finally have 8 hours of un-disturbed sleep. Prior to commencing this medication, I was suffering from severe symptoms of mania such as insomnia, loss of appetite, high energy levels, psychotic symptoms (hearing voices, derealisation, making weird connections &amp; magical experiences), making new plans, reckless spending &amp; driving, new ideas, taking on too many tasks, agitation. the medication has calmed all of these symptoms. zyprexa is a god send for me. only side effect I have is low blood pressure from it.",8,37,3
"Zyprexa","corvohunter","March 1, 2016","Taken for 1 to 6 months","Stops dead on track those manic/depressive crisis moments. And I love the hunger it gives me.  Great pill for me. My AP of choice. Always take this with .5 or 1 mg of clonazepam. ;-)",8,27,3
"Zyprexa","Jbazz123","February 12, 2016","-","This medication has made me extremely tired!  I feel like I've lost all of my motivation.  I am a teacher and a coach and find it extremely hard to get myself up to do these things.  I am very tired in the morning and its not until late at night that I start to feel like myself again.  Only in time to take the medication again and start the process over.  It has taken away some anxiety symptoms and helped me sleep (a bit too much) but I feel down a lot because I feel like I lost my passion.  I am slowly coming off of it and look forward to getting back to feeling like myself again.  I empathize with people on this medication.",2,43,3
"Zyprexa","laluluke","February 6, 2016","Taken for 1 to 6 months","This medicine sucked!  I was asleep all the time, all day long!  Couldn't function in school, couldn't function at work.  I was tired all the time and was eating every food that I saw in front of me.  If I could give 0 stars to this medication I would.",2,29,3
"Zyprexa","joru819","February 4, 2016","-","I have been on Zyprexa for about six months. It takes a long time to work (about five months), but when it does you feel much better. I had to struggle with suicidal thoughts for several months before it started working. You HAVE to take this if you are bipolar. Do NOT stop taking it, and have hope. If you are down or up and are reading this then you have to remember suicide is a permanent solution to a temporary mood. I know the struggle, and Zyprexa will help if you keep taking it.",0,67,3
