"Drug","User","Date","Period","Review","Score","Likes","Page"
"Alprazolam","Charo","January 12, 2020","Taken for 5 to 10 years","<b>Xanax (alprazolam):</b>			 I’m sorry my Dr ever put me on Xanax.  It’s a EVIL drug . If your dr puts you on it more than a few weeks your will have a Xanax addiction . It’s not safe . Read up on  Xanax. This will be my third relapse it’s not in your mind I almost died twice trying to get off of Xanax my heart stopped 6 times and 5 seizures . Other Benzos are safer . The Drs are at fault not the company Pfizer has a warning no more than  two weeks on Xanax.",0,19,1
"Alprazolam","lilXanax","November 12, 2019","Taken for 10 years or more","<b>Xanax (alprazolam):</b>			 I started taking Xanax to cure my depression, but all it's done is make it worse. I've been taking 5mg a day for the past 12 years and I can't stop. someone please help. I have a problem.",0,19,1
"Alprazolam","james","October 28, 2019","Taken for 6 months to 1 year","<b>Xanax (alprazolam):</b>			 the only real issue I have with this med is the feeling of having something to always be depending on and never really feeling in control.",0,15,1
"Alprazolam","Rebel","October 27, 2019","Taken for 6 months to 1 year","<b>Xanax (alprazolam):</b>			 Amazing drug. People say it’s bad but they lie about it all the time in the news Bottom line for me  it’s a safe drug. But like all things even video games it can be addictive. Just use it responsibly. In other words don't  take too regularly.",0,29,1
"Alprazolam","Gr","August 11, 2019","Taken for 10 years or more","<b>Xanax (alprazolam):</b>			 For anxiety I give it 10, but for depression 1.  It is very good medicine for GAD..but after a couple of months you get addicted.  If you stop insomnia is terrible and brain doesn't function at all..so be aware of that.",0,29,1
"Alprazolam","MicroMacroUniverse","February 11, 2018","Taken for 5 to 10 years","<b>Xanax (alprazolam):</b>			 It surely works for anxiety. Being said that, stay away from this drug if you can. In the time you build a tolerance, and doses required are much much higher as time passes. Withdrawal is TERRIBLE, I would give a 0/10 but I give 4 because at least it works for anxiety. You can suffer severe loss of memory and generally my brain can't work properly after too many years under it's effect, it has ruined my clear thinking. My liver values goes off chart when I use too much, and has became the norm now after few years of use. Go for other medication that doesn't give you that severe addiction. Hope it helps. Sorry for bad english. I'm now under Testosterone treatment and after few months I can see my symptoms gets better without the brain fog xanax can give.",0,34,1
"Alprazolam","Lakotka","January 5, 2018","Taken for less than 1 month","<b>Xanax (alprazolam):</b>			 I was initially diagnosed with severe depression. It was the drug of first choice to treat my extreme shyness. While on it I had troubles breathing. I was so dizzy and confused that at times I didn't even know where I was. I couldn't do anything. All I did was sleep. I was supposed to take it 3x a day but stopped before completing the treatment. Wouldn't recommend the experience to anyone. I honestly can't tell why some people take it for kicks or how they end up being addicted to it.",0,12,1
"Alprazolam","steven521","November 21, 2017","-","please listen to my advice - stay way  from this medicine.  It's dangerous instead play sport, enjoy your time, change your plans, travel, forget the past, try to do something in your life, and don't forget to play sport , if you become sport addict  you will live a good life  trust me",0,13,1
"Alprazolam","Spiritta","October 13, 2017","Taken for 1 to 6 months","<b>Xanax (alprazolam):</b>			 Autumn depression",0,12,1
"Alprazolam","Tacro1723","July 16, 2017","-","I have taken Xanax for many years at a safe daily dose. I started in 2004 with 0.25 mg three times daily,  having severe anxiety attacks while my dad was losing his battle with cancer.  As the years progressed and I realized I have a big social anxiety issue, I stayed on Xanax. I couldn't function socially without it. Last year I was diagnosed with menieres disease which causes daily vertigo spells and constant roaring in my ear. My doctor increased my Xanax to .5 mg three times daily, as it helps with these symptoms.  Not long ago I was diagnosed with clinical depression.   I was put on Celexa but am hating the side effects. I took myself off Zoloft twice in the past because of the side effects.  Xanax has truly been a life saver for me",10,14,1
"Alprazolam","Anna3529","June 20, 2017","Taken for 1 to 6 months","<b>Xanax (alprazolam):</b>			 I've started to take Xanax 3 months ago, 0.25 then 0.5mg a day. Experienced a rapid heartbeat at first, but chose to give it a chance anyway and after 2 weeks it was back to normal. Now I take Xanax 0.5 and Bupropion 300mg a day for my depression and anxiety. I can tell it really has changed my life so far, I can feel joy or calmness again (before I couldn't at all). I hope to get back to normal soon. Can't even describe how I'm glad I've started to take these medications. Although I know many people have severe side effects, the thing is - it's very individual, you have to try and find a medicine that works best for you. Many people take Prozac, but I almost died when took it - side effects were terrible, I even experienced hallucinations.",0,60,1
"Alprazolam","Luvdae","May 11, 2017","Taken for 10 years or more","<b>Xanax (alprazolam):</b>			 I started xanax 14 yrs ago after taking klonopin for years. My life changed for the better instantly. Before xanax I was trapped in my own mind constantly worrying instead of enjoying my family! It has now become a curse. For years been on 4 mg daily and I have severe panic attacks, depression, and insomnia. 50mg of trazodone for insomnia is not helping so I use my xanax to sleep, then I run out early leading to detox.  I'm just going in circles! Discussed with my family about going to a detox center and starting over with other meds.",0,41,1
"Alprazolam","ECane","April 29, 2017","Taken for 1 to 2 years","I have been diagnosed with bi polar 2 with depression and anxiety. I have been on all sorts of medications. But due to my asthma I had to be taking off of them. Right now I'm on Tripitel 150mg twice a day and 0.25 xanax twice a day and it has been a life changing for me. I have no side effects at all. I haven't had a anxiety attack or a panic attack in 1 1/2 years.",10,8,1
"Alprazolam","Bently Rose","February 19, 2017","-","<b>Xanax (alprazolam):</b>			 From 2002-2017 I have been on many different types of medications klonopin, Valium and xanax, not to mention all the psych drugs none that helped until my Dr. realized I had social anxiety and paralyzing panic attacks. By far the the best for not only my depression but my anxiety as well was xanax 2mg. I had to take at least the full bar to ease my anxiety however not only did it help with my fears and anxiety but it helped with my depression which stemmed from my constant panic attacks. It is easily abused however when it's needed it's a savior and can help me get what I need to accomplish done as a mother a wife and a personal trainer/ lifeguard and graduate of Homeland Security and Emergency management which without xanax I wouldn't have",0,95,1
"Alprazolam","sunshine6j9","January 26, 2017","-","I was on the brink of a major breakdown duenrin to stress. I am 48 and this drugs helped me more than what I  so can say. I am thankful for it when I did need it.",10,10,1
"Alprazolam","As Needed Only.","December 11, 2016","Taken for 1 to 2 years","My doctor prescribed this to me for the depressive episodes (as part of my bipolar dx).  At 0.5mg, that was sufficient to stop crying, but I was exhausted, mentally. Perhaps numb. Not sure if it was from the depression/crying or the medicine. At 1mg, it knocks me out.  I now use it mainly for insomnia, and no more than once a week. Any more than 0.5mg at 11pm and I will not get up on time for work. Because this is my own use, I confided in a friend (who had a stroke) and he confessed he had been doing the same thing until his MD stopped him.  I believe insomnia may be a good use for this medicine IF USED CORRECTLY. I know it may have addictive potential. Monitor yourself.",10,8,1
"Alprazolam","tylerhanderson","November 14, 2016","-","<b>Xanax (alprazolam):</b>			 I am 19 years old, turning 20 next month, and i have panic disorder for a long time. Im gay and my life was not easy at all, my dad doesnt support me and then i got also depression. I take this medication for about 2 years now and i can tell you: it works so good and it saved my life. I was afraid of going out in public, working, etc. My life was terrible with all my anxiety attacks and that was destroying my life. If you feel the same, talk to your doc and ask for xanax, but DO NOT TAKE without prescription. IT IS a drug and you must control it!!!!",0,60,1
"Alprazolam","Severely Depressed Xo","October 11, 2016","Taken for 10 years or more","<b>Xanax (alprazolam):</b>			 I know what it's like to lose 30 pounds in one month from depression. No appetite, can't walk without getting tired, laying in bed all day crying &amp; nightmares night after night. It's so annoying when psychs' won't prescribe this because of fear of addiction. Well guess what? If I hadn't have found xanax, I would have committed suicide a long time ago. You can take this medicine long term if you have severe depression and are responsible.",0,127,1
"Alprazolam","RexuallElam","September 16, 2016","Taken for 5 to 10 years","<b>Xanax (alprazolam):</b>			 I had always heard the negative jargon of Xanax, and was afraid to take it because I was afraid I would be addicted and unable to control it.  Eventually things were to tough and I was in one of the darkest points of my life. So I broke down and talk with my doctor about giving it a try. It totally changed my life. It helped me to focus more at work. It helped manage my anxiety so my mind could rest and I could sleep.  I could see how this medication could be misused it's important to take as prescribed.",0,80,1
"Alprazolam","Roscoe0066","August 18, 2016","Taken for 2 to 5 years","To me Xanax was a lifesaver. In August 2011 I suddenly collapsed and was in hospital for 2 weeks and then had about 6 months of tests which I was finally diagnosed with vestibular lesion which is ringing in ears and balance disorder due to a problem with nerves. I was only getting 2 hours a night sleep on 5 Valium due to this and my body would just jerk most the time iI was about to go to sleep.I was starting to think life not worth living. I came across Xanax with my friend giving me 0.5mg early 2013 and i had my best sleep in 18 months. I spoke to my doctor and he agreed in my situation that xanax would be helpful as it does calm the nerves so 42 months later still taking but now been on 1mg for past 18 months and now have some life.",9,14,1
"Alprazolam","Kelsey916","August 16, 2016","-","<b>Xanax (alprazolam):</b>			 I was prescibed Xanax and it works well for things like panic attacks. I do not like that it makes me loopy by taking my prescibed mg, and if I cut it in half I feel that it doesn't work at all. Xanax works very well for short term anxiety and if highly addictive so it is best to take it when you absolutely NEED it. A Prn that is supposed to work like Xanax but isn't addictive starts with a V so ask your doctor about that. :)",0,26,1
"Alprazolam","nonibug","June 21, 2016","-","<b>Xanax (alprazolam):</b>			 im 17, i love xanax.. but i know its bad for me. i stopped taking it for a while, but now i want to buy 4 and take them slowly. i used to be bad on the, i would take about 8-10 bars. idk how much mg that is, im prtty sure it was like 1mg or 2 mg each. i loved the feeling, and i want that feeling. but i know it would make me forget things, really bad, i wouldnt remember anything that happened that day, i would black out, getting myself into trouble. fighting, stealing, like i was invinsible.. i miss the drug. i took them illegally. but i just loved being barred out.. but i cant do it, its best for me to stay away because i was extremely addictedd...",0,61,1
"Alprazolam","maryq794","May 23, 2016","Taken for less than 1 month","<b>Xanax (alprazolam):</b>			 I take 2mg it makes me calm but also depressed and sad with no energy. Mary",0,56,1
"Alprazolam","Fif","May 15, 2016","-","<b>Xanax (alprazolam):</b>			 Helps but I have to take it every 4 hours only .125mg to see any effect",0,19,1
"Alprazolam","Hewy","May 9, 2016","Taken for 10 years or more","<b>Xanax (alprazolam):</b>			 I suffer from social anxiety rarely leave the house. The anxiety leaves me isolated which cause extreme depression. With xanax 1mg to 2mg takes all anxiety away and calms my depression 10 out of 10. Taking xanax for over 20 years now.",0,148,1
"Alprazolam","Bushygoodness","March 15, 2016","-","<b>Xanax (alprazolam):</b>			 If I could rate Xanax higher I would, this is without a doubt the most effective medication I've ever taken for anxiety, and fast acting. I've always dealt with the public speaking anxiety since high school. I'm 29, healthy and active and have never been depressed so that's why I've been reluctant about SSRI's. My GP prescribed Celxa, went up to 20mg and it was a nightmare, had panic attacks and very vivid intrusive thoughts. My GP switched to lexapro @10mg and I still get panic attacks. If I get a panic attack I take a .50mg of Xanax and it takes like 15 min to kick in and I feel great - I hate SSRI's and wish Xanax was a daily med.",0,83,2
"Alprazolam","Gr8smile","March 10, 2016","-","<b>Xanax (alprazolam):</b>			 I agree with everything that has already been said here. I am just so incredibly grateful that I was able to build a trusting relationship with my doctor so that HE feels comfortable prescribing it.  Xanax really is the only thing that helps me untangle myself when the anxiety takes over. What I love the most is that I can count on it to do the job and not leave me feeling strange later. It just smooths out the wrinkles and kinks that I get into every so often. Just knowing that I have it in my cabinet to lean on is in itself a big help for me - my secret tool. Yes, it's a shame something so helpful to us is abused, but that is with everything in life. Be happy we aren't Guinea pigs anymore with the crappy meds :-)",0,91,2
"Alprazolam","gethelptoday","January 11, 2016","-","<b>Xanax (alprazolam):</b>			 My doctor threw every anti depressant medication my way they ALL made my depression worse to the point I had suicidal thoughts and tendencies. My mother had it with the Drs changing my dose and meds so finally she gave me some of her own prescribed xanax. She gave me a .25 when I had my bad day about 7 days out of the month now as needed. I also have nervous habits, anxiety. When she started giving me the xanax I was 17. Before I would cry hysterically for hours on end. As soon as I tried xanax it all went away. No more mood swings my depression went way down only having a few issues a month when I was untreated. I am now 28 and I use it maybe 4-6 times a year and I use oils the others. I highly recommend not using it continuously.",0,67,2
"Alprazolam","Swpo","January 1, 2016","-","<b>Xanax (alprazolam):</b>			 My wife uses Xanax. She is bipolar II. She has a lot of depression and anxiety but not much hypomania. She takes two 1mg when she is having a really bad day which is about every other day. It knock her out for about four hours. Often times she will wake up and then about 4 hours later, she needs to take another Xanex. It helps in emergencies but does nothing for the underlying cause of her severe depression and anxiety. I'm glad it's there for emergencies though. I wish it did something to decrease the frequency of emergencies.",0,42,2
"Alprazolam","TheInsecureFrog","December 7, 2015","-","Xanax helps improve my mood, but only when I'm really anxious. Otherwise, it does nothing for my mood and actually causes my psychomotor retardation to become worse.  If your depression is heavily influenced by your anxiety, this drug will probably work well for you. Otherwise, unless your depression causes significant agitation, I'd suggest staying away from this drug.",6,5,2
"Alprazolam","DEW3","October 15, 2015","Taken for 2 to 5 years","<b>Xanax (alprazolam):</b>			 Began taking xanax during a time when my one and only child left home for college and I lost my job a month later.  It allowed me to cope and move forward.  The most I ever took was 1 mg per day, but I now take .25 when I have periodic depression and anxiety.  I sometimes go 6 weeks without taking one.  The best way to describe it is like rebooting your mind.  Life saver for me.",0,113,2
"Alprazolam","It's worked for me","September 10, 2015","-","<b>Xanax (alprazolam):</b>			 I've been on and off Xanax for 22 years. It's the only drug that makes me feel normal after a lifetime of anxiety and depression. It's awful that people use it recreationally and that's made it difficult to get a prescription for it because of others abuse of it. It makes me feel normal. So obviously I need it. I have nothing but good things to say about this drug. It helps me not want to freak out and shake due to anxiety. If you really need to be on it, it's amazing.",0,164,2
"Alprazolam","justme12345","August 30, 2015","-","As a person who suffers from insomnia because I can't get my mind to leave me alone at night, xanax (alprazolam) is most effective. I can take 1mg at bedtime and experience the most restful sleep, waking the next morning calm, but alert and refreshed. I also experience anxiety and it seems that 1mg at night carries over to the next morning to help calm me. However, this drug is addictive and, if stopped without a Doctor's supervision, a person may suffer from withdrawals and it is possible that withdrawals could lead to seizures and/or stroke. STOPPING COLD TURKEY IS NOT ADVISED AND MAY LEAD TO DEATH. If you take xanax regularly, DO NOT STOP TAKING IT WITHOUT CONSULTING A PHYSICIAN regardless of where or how you get it.",9,19,2
"Alprazolam","john bear","July 25, 2015","Taken for 5 to 10 years","<b>Xanax (alprazolam):</b>			 Xanax 1mg t.i.d. has helped me plenty with my depression and panic disorder that said I find it as the best benzodiazepine for my condition !",0,79,2
"Alprazolam","Happy In Duluth Ga","July 14, 2015","-","<b>Xanax (alprazolam):</b>			 My first experience was when I quick smoking.  7 months after I had stopped I developed severe anxiety and panic attacks.  It took 3 months to figure out what was going on.  The neurosurgeon prescribed it to me and told me to take it immediately and call back in 30 minutes.  O M G!!!   What a miracle that was.  I took it for 2 months, switch to Zoloft, then back to the Cigs.  Thank God for E-Cigs.   Now several years later.  Tinnitus hit me.   Mine is very weird as it comes and goes in cycles.  After seeing every doctor known to man, my ENT finally had me try Xanax so I could sleep at night.  OMG...what a difference.   I take .5mg at bedtime every-night.  I sleep find.  Feel great.  And generally in a good mood.",0,79,2
"Alprazolam","Evilmage","May 31, 2015","Taken for 6 months to 1 year","<b>Xanax XR (alprazolam):</b>			 When you are depressed it's hard to want to take the effort to feel better such as exercise, walking, friends company. The XR version I feel is less for panic attack (prevention instead) and more of a mood elevator daily. Social anxiety is curbed, and being able to go outside the house and hang with friends has helped my depression so much.  It helps prevent and end negative thoughts throughout the day and makes your brain to think calmly. It lasts about 12 hours or so, then I take an IR in the afternoon to relax and fall asleep. The best part is not having to carry around a controlled substance all day.",0,67,2
