"Drug","User","Date","Period","Review","Score","Likes","Page"
"Amitriptyline","Nick","June 6, 2020","Taken for less than 1 month","I don't think this med amitript working for me it's been 20 days I'm on medication and I barely noticed any change in my moods and I feel more sick , feel lost and heavy head",1,0,1
"Amitriptyline","Adama","May 15, 2020","Taken for 1 to 6 months","I tried many different medications for depression and anxiety.  SSRIs, Benzos were both epic fails and caused more problems than they were worth.  When I moved and got a new doctor he reviewed all the past failure drugs and proposed amatriptline.  A drug first approved in the early 1960s.  After the very 1st  dose of 10mg was a stunning improvement.  I highly recommend those who are treatment resistance or have realized the MTHFR gene exists in them.  For those who do not methylate folate.  For me amitriptline was god send since suffering from Xanax ot benzo withdrawl.  Amitriptline is $5 bucks copay not sure of retail but it will be cheap.",10,8,1
"Amitriptyline","Thankfulforelavil","May 12, 2020","Taken for 2 to 5 years","I take 25mg Elavil to augment my Luvox and aide in sleep. I have very severe depression and sleep issues and this dosage works really well for me. It’s not strong enough to put me to sleep, but it helps me wind down. As an added bonus, it helps keep away my migraines and nerve pain.  I’ve been on this medication for 2 years. My main side effects are weight gain (went from 115-135lbs in a year), nighttime eating, and an occasional dry mouth. Be warned. This medication makes you very hungry!",9,2,1
"Amitriptyline","Tara","May 2, 2020","Taken for 1 to 6 months","Never shared before but wanted to give the hope that others have given to me, you can feel better , for me finding out as much as i can about the illness, counselling, diet and exercise and finding the anti depressant which works for you,  In my case this is amytriptyline. Having suffered from depression on an unmanageable level without medication for the past 14 years , I have been tried on several SSRI, SNRIs and mirtazipine resulting in my loosing hope of feeling like my old self again. As a last resort the doctor agreed to try amytriptyline and within days of starting on a low dose of 10mg I seen some improvement,  2 months on I take 15mg before bed and am living a more content and peaceful life in body and mind. Don't give up.",9,16,1
"Amitriptyline","Verity","February 28, 2020","Taken for 6 months to 1 year","Hi, I was started on Amitriptyline 10mg up to 3 a day ,one for Fibro pain and 1 or 2 for sleep . I have been on Mirtazapine 45mg for depression for a few years but weaned myself down to 15 mg as I felt it was not working anymore. After a telephone appointment with my doctor he told confirmed what I had read that 15 mg Mirtazapine helps with sleep and after swapping the times around that I took the 3 x10mg re Amitriptyline I found sleep better .After a visit to my doc we decided that 2 x25 mg Amitriptyline ,one for day and 1 for night with my 15 mg Mirtazapine plus I added 2 herbal sleeping tablets....works a treat for me regarding depression and sleep.  It has been about 6 months of this combination now and my condition is much improved. I couldn't praise Amitriptyline more, it has changed my life although I do understand it's not for everyone .",10,15,1
"Amitriptyline","Pedal 48","February 18, 2020","Taken for 5 to 10 years","I was originally prescribed amitriptyline to help with my depression and back pain but I think it also helped my sleep, a few doctors seem keen to take me off it I don’t know why because I’ve been on it for over 10 years and I sleep well while I’m on it and my pain is kept in check as is my depression, as soon as they try to take too much of it away I’m awake again all hours like at 4.13 am like at the moment and I start getting headaches and feeling unwell again so I told my doctor the other day that I’m not reducing further than 1 tablet!!",10,15,1
"Amitriptyline","Black rose ","February 16, 2020","Taken for 1 to 6 months","I’ve been taking this amitriptyline medicine over month and I feel really really depressed sad wanna cry and angry and horrible person to people plus I’m constantly in pain",1,16,1
"Amitriptyline","JEB 38M","January 20, 2020","Taken for 1 to 6 months","6 WEEKS  Give this medicine a chance, I did not see any results week 1, week 2, week 3, week 4, then began to notice the fog lift week 5. I  had tried paxil ,cymbalta,effexor,wellbutrin,celexa,citalopram,escitalopram,buspirone,trintellix,viibryd (worked for 1month),abilify (worked for 1 month). Some are duplicates (generic). Even tried suboxone it worked for almost 1 year. Amitryptyline sedating effects don't exactly wear off.  They completely go away and its almost like the sedative effects slowly transform into energy and wellbeing which I think is good because while its sedating it allows your body to rest and repair itself while catching up on sleep. Don't hold me to this and it might just be an aberrant few good days.  I will follow up with some more info in a few weeks. Please pray for me if you are reading this as I pray you and anyone who is struggling with that hopelessness that we all know too well.",10,66,1
"Amitriptyline","Ilovebrian13","January 14, 2020","Taken for 1 to 6 months","Please don't be afraid to take Amitryptaline. I have taken Wellbutrin, Prozac, Zoloft, Pristiq and finally Amtriptyline.  Wellbutin gave me a horrendous rash and worsened anxiety.  Prozac did nothing. Zoloft made me gain 50 pounds because I loved to sleep on it. Pristiq was OK, but I still had some awful PMS symptoms (cramps, anxiety and migraines).  Trintellix didn't work.  Amitryptaline is my saving grace! Don't be afraid of it. My Dr. avoided prescribing it, because it has such a bad rep.  I'm doing Keto and IF (intermittent fasting) to counteract it.  I feel fantastic, stable, happy, I get a great nights rest and I have energy! &lt;3 When you 1st start it will knock you out for about 24 hours. I'd start it when you have the following day off work.",0,25,1
"Amitriptyline","Daemonicus","January 6, 2020","Taken for 1 to 6 months","Took it at the correct dose over a three month period... Might as well have been taking M&amp;Ms.  No pain relief, no drowsiness... no use at all!",1,6,1
