"Drug","User","Date","Period","Review","Score","Likes","Page"
"Aripiprazole","abilified101","May 26, 2020","-","I have only been taking 2.5 mg of Abilify for 4 days so far, along with 50 mg Luvox for OCD and Depression (that I was on for about 10 weeks prior to adding Abilify to augment its' effects).  Somehow I feel an EXTREMELY noticeable improvement in the deep depression I had. Unfortunately, you just have to test out these drugs for yourself.        The second day, I noticed I had a newfound sense of calm and drive to do various activities like running and playing piano and hang out with people instead of spending the entire day alone in bed with no drive or ambition.  Even with a migraine today, I am out of bed and more functional.      For my severe OCD, I am still suffering, but I have a feeling ERP therapy I am about to start will be most beneficial in changing my brain (and the meds will make this easier).  I can't believe this could be a placebo, because of the HUGE difference.  On Luvox alone, I was moody, and deeply depressed/hopeless too often, and so exhausted.",10,2,1
"Aripiprazole","Sally","May 22, 2020","Taken for less than 1 month","<b>Abilify (aripiprazole):</b>			 This is my first day taking Abilify 5 mg.  I am at work and I feel HORRIBLE.  I'm thinking about going home. I am dizzy, sweating, and just feel out of it. I took it 2 1/2 hours ago and wish I had the ability to make myself barf to get it out of me, but it was such a small tab it has probably dissolved. I hate my dr. for putting me on this. I feel like a zombie. Actually found myself staring at my computer with my mouth open. Awful, horrible rx.",0,5,1
"Aripiprazole","Yanni","April 8, 2020","Taken for less than 1 month","I took this medication aripiprazole for about 2 weeks for depression. I saw no improvement with my depression. I stopped taking it due to insomnia, restlessness and fatigue. It seemed to help with my productivity though.",2,1,1
"Aripiprazole","Sonny","February 25, 2020","Taken for less than 1 month","<b>Abilify (aripiprazole):</b>			 I was on Abilify a grand total of 10 days before I had to stop. It’s hard to describe how anxious/claustrophobic/panicky/nauseous I felt in that short about of time. My suicidal thoughts spiked due to the intensity of the fever dream-like delirium. It felt like I was trapped on a roller coaster inside my own head, nauseous and ready to hurl, yet I couldn’t get off. I guess you could say my depression subsided, but that’s because my mind simply couldn’t focus on anything besides how horrendous I felt. I’ve only ever suffered from anxiety and depression, but abilify made me feel truly psychotic.",0,32,1
"Aripiprazole","Catathome","February 21, 2020","Taken for 1 to 6 months","<b>Abilify (aripiprazole):</b>			 This is a very motivating medication. I get out of bed and am motivated to make the most of my day. It is like a miracle for me. I was switched over to the generic, Aripiprazole and felt about half of the effect. Even though my doctor moved my prescription up to a 5mg it still does not work like the original. The generic is not the same.",0,31,1
"Aripiprazole","Anonymous","February 15, 2020","Taken for 1 to 6 months","<b>Abilify (aripiprazole):</b>			 Abilify is absolutely amazing. Life changing. Can't believe how much better I feel.",0,31,1
"Aripiprazole","Stephen","January 24, 2020","Taken for 1 to 2 years","<b>Abilify (aripiprazole):</b>			 Been on Abilify 7.5 mg in conjunction with Cymbalta and Lamictal, and boy has it made a difference in my mood.  I've had major unipolar depression over the years, and am in process of recovering from a severe episode.  I am able to function so much better in life.  No apparent side effects from Abilify either.",0,40,1
"Aripiprazole","Sway","January 23, 2020","-","<b>Abilify (aripiprazole):</b>			 I benefit from abilify for MDD. I noticed a huge improvement in my functioning and am able to get more things done. It's not that I have extra energy, I just feel less overwhelmed by doing things and therefore am able to do them. It's helped me lose weight by increasing my ability to be active, and also decreasing my stress/emotional eating. It increased my sex drive, which was something I was struggling with in depression. Overall I recommend this drug for MDD. However, I just recently increased from 7.5mg to 15mg and am starting to feel dizzy and get head aches. Maybe this will lesson or pass soon. If it gets worse then I'll reduce my dose. But I've found this medication to be particularly helpful whereas I've tried a LOT of other meds and find no results. I am also taking lamicital 200mg for BPD/PTSD.",0,33,1
"Aripiprazole","Nat","December 21, 2019","Taken for less than 1 month","<b>Abilify (aripiprazole):</b>			 Abilify has changed my life in less than a week. My anxiety and depression are gone. For months I suffered from consistent panic attacks, depressive episodes, crying spells. I had to drop out of college. This in combination with cymbalta has literally improved everything in days. My sex drive is back, my relationship is wonderful, I am smiling, laughing and happy all the time. I don’t have anxiety about little things anymore. I carry Ativan on me for anxiety and panic and was taking it every single day and since I started abilify I haven’t taken it once. I am so grateful for this drug. Tonight I’ll be starting on 2 mg instead of 1 (I’m a small person) to see if I can get even better.",0,73,1
"Aripiprazole","Magnus","December 15, 2019","Taken for less than 1 month","<b>Abilify (aripiprazole):</b>			 A few days in of taking abilify and my depression was literally blown away after 15 years in a depression. My mouth got very, very dry so stopped using it. Now the effect has gone away but I'll start today again.",0,26,1
"Aripiprazole","Anonymous","December 7, 2019","-","<b>Abilify (aripiprazole):</b>			 Was on it for 3 weeks. During this time I had insatiable appetite. I remember going into the cafeteria and getting a chicken sandwich meal from a fast food place and then 20 minutes went back in starving and ate another meal from another fast food chain. I gained about 15 pounds in three weeks lol.  Pdoc  decided to pull me off it based on this.  Also my tongue swelled up 2x or so it’s side and my mouth constantly watered to where I carried a cup with me just to spit into. Also I felt like I was detached from reality on it I guess surreal. During all this I managed to finish up my studies despite this disruption to my life. Currently I choose taking no meds in this family of medication and I switched pdocs. We weren’t on the same page.",0,22,1
"Aripiprazole","Nikki","November 28, 2019","-","<b>Abilify (aripiprazole):</b>			 Terrible, made me feel out of body, doctor started me on 30mg each night, way too much. I hate how it makes me feel.",0,24,1
"Aripiprazole","AP","November 6, 2019","Taken for 6 months to 1 year","<b>Abilify (aripiprazole):</b>			 Abilify caused my eyes to roll to the back of my head, convulsions and completely killed my personality. It removed my desire to self harm but it also removed every trace of personality that made me myself. Enough to make my peers notice when I finally got off it. The side effects are horrid and have left me terrified of prescription meds.",0,36,1
"Aripiprazole","Emma","November 4, 2019","-","<b>Abilify (aripiprazole):</b>			 Abilify usually pulls me out of major depression within about a week. A life saver for me.",0,52,1
"Aripiprazole","Henna","October 28, 2019","Taken for 6 months to 1 year","<b>Abilify (aripiprazole):</b>			 I wasted a year of my life on Abilify stuff. It turned me into a zombie, made me gain 10 lbs, and compulsively shopped -even on just a 1mg dose. It was added to my Wellbutrin to help with anxiety and agitation and sure it did help with that but I found myself becoming more depressed from my side effects. Wouldn’t recommend. It’s an antipsychotic and it feels like one. I was not myself on it. I’m not suffering from psychosis so why take an antipsychotic at all? I don’t believe in this at all as an add on drug to augment treatment for depression.",0,44,1
"Aripiprazole","Smile 23","October 23, 2019","-","<b>Abilify (aripiprazole):</b>			 Abilify and cymbalta 90mg were such  great match for treatment of depression however abilify cause such strong anxieties which we sorted out by using lorazepam 0.5g morning and evening.  But abilify did help cymbalta to work for my relative, give ability 8 weeks to see it's full effect, the side effects are horrible but they all went away after 4 weeks except for the anxiety.",0,20,1
"Aripiprazole","pnc","October 17, 2019","Taken for less than 1 month","Did nothing.",1,1,1
"Aripiprazole","Anonymous","October 11, 2019","Taken for 5 to 10 years","<b>Abilify (aripiprazole):</b>			 I’m presently weaning myself off of 2mg of Abilify.  I’ve been on it for 8 years and in those 8 years I lost interest in things I enjoyed such as reading and hiking. My mind races so I can’t concentrate if I try and read.  I feel out of touch with the outdoors.  I’m just existing. I’m not depressed or manic just numb and my sex life is a disaster .  I have to force myself to have sex with my husbands and pretend everything is fine but I’m just not into it. My mind is numb.  I want to feel again.... live again.  My concerns are that I may go hypomanic and crash into a depression .  If I crash into a depression I would use it just for those months only.  I’m currently taking Wellbutrin and clonazapam. I really hope this works out.",0,39,1
"Aripiprazole","Natalie","October 1, 2019","Taken for 1 to 2 years","Worked great for a few months during which I exercised everyday. Then it just seemed to stop working, so I increased it to 3mg which just gave me a lot of hideous dark thoughts. Been on 2mg and I'll be getting off of it.",3,2,1
"Aripiprazole","LP","September 16, 2019","Taken for 6 months to 1 year","<b>Abilify (aripiprazole):</b>			 I've been on Abilify for about 9 months and take 15mg tabs once a day.  I've gone through a few things with this medication, including excessive shopping.  I had recently had my blood drawn and my liver and kidney numbers are high, along with my blood pressure being low.  I have not seen these side effects on anybody else's review and want to know if anybody else is having these side effects.  I've also had really good experiences with this drug- I'm not depressed and I don't feel as angry.  The side effects are enough to ask for another type of medication, though.",0,33,1
"Aripiprazole","Drs120","September 8, 2019","Taken for less than 1 month","<b>Abilify (aripiprazole):</b>			 This was great for a week , then my OCD got worse I’m now back to wearing gloves , made me crave cigs I haven’t smoked in 4 years but bought a pack and smoked 4. I was spending money I didn’t have . Racked a 2000 cc on nonsense. And while driving I felt like I wasn’t in my body and was trying to talk to myself to get basically back in.  I would never ever recommend this drug. It literally cause me to into mains thank you lord I knew the signs . I stopped immediately and told my psych.",0,29,1
"Aripiprazole","Summer1","August 17, 2019","Taken for 6 months to 1 year","<b>Abilify (aripiprazole):</b>			 I didn't want to go on Abilify, but decided to try it because my depression was extremely hard to live with.  My ugly thoughts went away and I quit stress eating. I feel I have control over my life.  It has saved me.",0,147,1
"Aripiprazole","eyna","August 5, 2019","Taken for 1 to 6 months","I was prescribed Abilify for my cycling mood, though we still aren't sure if it's bipolar or if my mood is just like that. Mostly, we were targeting my depression because my highs are relatively low highs. Abilify made me feel incredible. For the first time in years, I wasn't depressed. I started doing yoga, I picked up guitar. I was genuinely a more balanced, happy person. But, I stopped taking it within a month and a half. No matter the dosage, I had terrible side effects. The fatigue was so bad I was sleeping 12 hours and barely able to stay awake in my classes. Despite my fatigue, I was physically restless. I had to constantly kick my legs or crack my knuckles. These side effects ultimately caused me to titrate off the medication as they never waned or began to get better while I took it.",7,5,1
"Aripiprazole","M","August 5, 2019","Taken for less than 1 month","<b>Abilify (aripiprazole):</b>			 I was on Abilify for a short time. I was instructed to take it before bedtime which I did. The medication would cause me to wake up and feel extremely restless, anxious and claustrophobic to the point where I’d have to switch which room I was sleeping in due to how uncomfortable I felt. Never even made it passed the first week.",0,43,1
"Aripiprazole","Athena","July 30, 2019","Taken for 1 to 6 months","<b>Abilify (aripiprazole):</b>			 I have been using Abilify for a month due to depression and suicidal thoughts. This drug has turned things around for me. I no longer get suicidal urges and I feel better and have a more positive outlook. I have lost nearly 10lbs in a month because it has majorly suppressed my appetite. It does on occasion interfere with my sleep. It also does make me antsy and restless, as if I always have to be doing something. But that has been somewhat of a good thing because my focus has increased and now I can stay on task and see things through more so than before. I am so glad this medicine is working for me.",0,111,1
"Aripiprazole","Isla","July 30, 2019","Taken for 1 to 6 months","<b>Abilify (aripiprazole):</b>			 I was sleeping up to 15 hours a day on this drug; I would leave work early nearly every single day because I was so exhausted. If there were any positive changes to my mood, I didn't notice because I was either sleeping or half-asleep 75% of the time.",0,44,2
