"Drug","User","Date","Period","Review","Score","Likes","Page"
"Armodafinil","Anonymous","May 23, 2020","Taken for less than 1 month","Does not work for improving apathy or empathy. Actually makes depression worse with duloxetine.",1,1,1
"Armodafinil","Dave T","January 2, 2020","Taken for 10 years or more","armodafinil is a miracle drug for me. I take it in addition to Lexapro and Klonipin. However, it only works for a few days, then I have to take a few days off. I'm still giving it a 10 because a few days relief at a time is still a miracle. Start low and adjust dosage slowly, because higher dosages can make you hyper. My daily dosage is 1/2 of a 250mg Note: I know Nuvigil hasn't been around 10 years, but before Nuvigil I took Provigil, and it worked well too",10,5,1
"Armodafinil","Flat without","September 27, 2019","Taken for 1 to 2 years","My boy died and I was devastated. My psychiatrist had given me Provigil to help me when my mother passed away. Now, I am completely alone. I took Nuvigil in order to meet with his widow and plan his funeral. I was able to concentrate to get through it. That was over three years ago. Now I take it when I know there is something I have to do. When the grief overwhelms me I take the Nuvigil. 50  or whatever the low dose is. I am better off when I take it, makes me feel like my old self again.",10,8,1
"Armodafinil","dianemob","July 13, 2019","-","I've had severe treatment resistant depression for 25 years. I tried meds, ect, tms but nothing worked. 3 years ago I was taking 4 prozac, and 2 lamictal and I was still extremely depressed. 3 years ago my doctor decided to try Nuvigil. It saved my life. And also gave me my life back. Within 1 hour after the first dose I was back to normal. I started being more social, finding hobbies, and most important of all - I had peace of mind.",10,23,1
"Armodafinil","Helpless until well","February 23, 2019","Taken for 2 to 5 years","I have Depression. The reason for sadness that includes several other conditions. Acute stress disorder, anxiety etc. May not work for you. Need a psychiatrist to get as much medicine as I do. I take Nuvigil brand name 250 mg 3 times a day, with Viibryd 20 mg 3 times a day and Enlyte (red soft capsule) 3 times a day. They have saved my life. Without these my life was miserable. I pray one day I won’t need it. I aged and then was in ICU after an operation. Life changed for me after that. Insurance won’t cover Enylte yet. I get it from the Enlyte company without a prescription cost me $150.00 a month. Need a prescription at pharmacy for it.",10,7,1
"Armodafinil","Didee","March 13, 2018","Taken for 1 to 2 years","I have suffered from treatment resistant. severe, chronic depression for 25 years. Tried all meds wchich either didn't work or quit working, or side effects were not tolerable. I've had ECT and TMS also.  About a year and a half ago my doctor prescribed Nuvigil. It saved my life! No side effects, works within an hour. It does wear off in the evening and sometimes I become depressed but I know that the next day I will be OK, unlike the endless hopelessness of depression without Nuvigil. I can't understand why none of the drug companies will conduct tests and use it to help more people in my situation.",10,35,1
"Armodafinil","Lifelong depression struggle","May 21, 2017","Taken for 6 months to 1 year","I take Seroquel XR, it helps with the depression but makes me tired. I am taking 250mg Nuvigil to give me a bit of energy. It seems to take two hours to really hit, then I get a rush of anxiety. That last for about ninety minutes.  It smooths out about 3 and a half hours in. Then at 5 hours there is a drop-off. I get lethargic and a bit down for an hour or so, then the evening is largely the best period.  It does seem to help, but it also hurts. I don't know. I never do.",0,16,1
"Armodafinil","Callie1217","May 10, 2017","-","I've taken nuvigil off and on for about a year, along with 20mg lexapro. I take it as needed for depression and daytime sleepiness (I was falling asleep while driving). I find that it makes me agitated and irritable if I take it every day, so I only take 150mg when my depression is causing extreme lethargy and lack of motivation.  When I do take it, it usually works within an hour. I am motivated, focused, and productive on this medication. It even helps with my social anxiety, and I find that I'm more cheery and outgoing. I'm more talkative too, but in a good way - not in a manic way.  The problem? It wears off after 6-8 hours, sometimes leaving me with a headache. Overall, however, it has been a big help to me!",8,23,1
"Armodafinil","davetrindle","November 27, 2016","-","Immediate lifting of depression; gave me my life back. Best to take 1/2 of 250mg very early on empty stomach with lots of water. I find it best taken around 5 am, go back to bed and wake later feeling great. Take another half before noon if needed, but, again, have an empty stomach and big glass of water. After a week or so, effects not as strong and can make you feel paradoxically very tired. Take 2-3 days off, and it will resume working. Be cautious and mindful of how your personality may be affected; reduce dosage if you're getting too happy overly friendly and too talkative. Also, it really focuses you and its good to make an effort to break the hyperconcentration by taking a break, a walk outside, hot shower. I've been taking 4 yrs",10,28,1
"Armodafinil","FLUFFHEAD","November 20, 2016","-","Nuvigil has given me myself and my life back and I am so grateful! My doc first gave it to me about 7 years ago. The script was for 5-10 days. Tried it again a few years later after a bad episode and again for 5-10 days. It was like a magical pill that within 1 day snapped me out of a rough episode! Fast forward to this past April or May, probably my worst depressive episode ever started in March. Anyway, started back on nuvigil as an ongoing med. NOTHING! Ran out and couldn't get to my doc so I ran out. So glad I did bc I got back on it Thursday night and I was feeling better Friday! I do take other antidepressants so I don't know how this works on its own. I never post here but had to in hopes that my story will help someone!",10,28,1
"Armodafinil","DPac","April 14, 2013","-","<b>Nuvigil (armodafinil):</b>			 Nuvigil worked the first day and did nothing thereafter. I was using it to alleviate the sleepiness and lethargy from Zoloft.",0,25,1
"Armodafinil","BurtBurt","April 9, 2013","-","<b>Nuvigil (armodafinil):</b>			 Provigil then Nuvigil (slightly less expensive) helped save my life.  Took Provigil first, switched to Nuvigil (same effect), for 6.5 years now.  Day one value, no side effects as far as I know.  Still same dose (250mg Nuvigil, equivalent of 200mg Provigil), never increased or decreased.  Effect same today as day one.  Note:  I've been on a cocktail:  20mg Lexapro and 1mg Klonopin daily, plus daily mindfulness meditation and weekly CBT. But 6.5 years of lovely life after 3 terrible episodes of major depression in under 6 years.  Certainly have ups and downs, but not severe and brief.  If I run out for a few days I'm grumpier, less resilient but Nuvigil greatly clarifies my thinking and energizes me.  It's not for all, but miracle for me.",0,76,1
"Armodafinil","Onnie Rose","April 4, 2013","-","<b>Nuvigil (armodafinil):</b>			 I found Nuvigal to bring my life back from depression. Before Nuvigal I couldn't keep my eyes open and live my normal life with 3 boys! Now, after Nuvigal I can actually play with my kids and be a normal mother. I don't know where I would be without it. It really turned my life around for the best!",0,62,1
