"Drug","User","Date","Period","Review","Score","Likes","Page"
"Brexpiprazole","Lilly","June 9, 2020","Taken for less than 1 month","<b>Rexulti (brexpiprazole):</b>			 I struggled with anxiety and depression for 17 years since age 6.  I tried every other medicine without success.  Finally, with the help of the almighty, I have greatly improved on Rexulti.  A real miracle!!",0,8,1
"Brexpiprazole","Melfell","June 1, 2020","Taken for 6 months to 1 year","<b>Rexulti (brexpiprazole):</b>			 Rexulti has been a MIRACLE for my anxiety/depression. I’ve tried pretty much every antidepressant on the market and had awful side effects with every one. I take lamictal for depression and adding this on top of it, it absolutely changed my life for the better. I have no side effects other than gaining a couple pounds, which I needed",0,5,1
"Brexpiprazole","Anonymous","May 27, 2020","Taken for 1 to 6 months","<b>Rexulti (brexpiprazole):</b>			 I started on Rexulti at the low dose of 0.5 mg. It was really helping with my break through depression. I have been taking Wellbutrin for about 2 years and I needed a little boost. Well 2 months later and I gained 10 POUNDS. Super disappointed. The medication works, but be ready to be depressed about how much weight you've gained from it. Won't recommend.",0,5,1
"Brexpiprazole","GradStudent048","May 25, 2020","Taken for 1 to 2 years","<b>Rexulti (brexpiprazole):</b>			 I’m back! I posted nearly 2 years ago on July 5, 2018 when I had been on Rexulti for a month. This drug helped me a lot the first few months, and then things just started going downhill. I gained 40 pounds in a matter of about 9 months, and I’m finally at a place now where my psychiatrist and I agree that I don’t need this medication anymore. The weight gain has just been really detrimental for my mental health because body image and eating disorders were part of my triggers. I hope that this medication can help other people and they don’t have to suffer with it fizzling out and causing unprecedented weight gain like it did for me.",0,5,1
"Brexpiprazole","Rivera085","May 2, 2020","Taken for 1 to 6 months","<b>Rexulti (brexpiprazole):</b>			 I have been on rexulti 4mg with wellbutrinxl 300mg, zoloft 200mg and adderall 90mg a day. Rexulti is for my depression. Yes I have gained so weight but I feel better on 4mg of rexulti. I need to figure out how to loose weight with this drug. But I also have other thryoid issues that messes with my weight constantly. I would rather be happy and gain a little weight than be miserable. I have come to the conclusion the medications are what you make it. I feel lots of relief from my depression. For years I felt like, even with 2 antidepressants I need something to stabilize me more. This rexulti is the only medication that doesn't change my personality or change who I am as a person.",0,8,1
"Brexpiprazole","Kells90","May 1, 2020","Taken for 2 to 5 years","<b>Rexulti (brexpiprazole):</b>			 Ok, so I've on on Rexulti for a few years now for depression. This is the best advise I can give someone thinking about taking this Medication. Currently I am on 2mg, I take it for major depression. My Dr started me off on 1mg. It seems like I had side efforts from the drug in the beginning. Dry mouth, weight gain, irritable and fatigue. So I started taking it at night. After about 2 weeks I then switched to morning again. Side efforts went away except for me eating :(. Overall its a good drug if it helps. I would recommend it. DOWNSIDE: do not just stop taking the drug! You most taper down on the medication. You will have effects if you just stop taking it. For example MOODY as heck. Then it takes a few days to build the medicine back up in your body for it to go away.",0,4,1
"Brexpiprazole","Anonymous","April 30, 2020","-","<b>Rexulti (brexpiprazole):</b>			 Took one sample and had a terrible reaction four hours later. Hot/cold flashes, sweating, flashing lights in eyes. Had to run to the bathroom to vomit. Had a similar reaction to abilify",0,2,1
"Brexpiprazole","Brando","April 16, 2020","Taken for less than 1 month","<b>Rexulti (brexpiprazole):</b>			 I’ve been taking the 14 day trial pack of REXULTI woman’s on the 9th night, I had the worst most vivid nightmare I’ve had in years. I also was unable to stay asleep for more than 1 hour at a time. I also felt several other side effects that are inconvenient. I do not recommend this if you have severe anxiety as it only works for a short period of time before stopping.",0,4,1
"Brexpiprazole","Ag","March 27, 2020","Taken for 1 to 6 months","<b>Rexulti (brexpiprazole):</b>			 This medication saved my life. My anxiety was so bad I couldn't take an effective dose of SSRI. Rexulti calmed my anxiety enough I was able to start upping my SSRI and my depression is getting better and better every day. My anxiety is almost nonexistent! I have gained a few pounds but nothing significant and I would rather gain 10 pounds and be happy than be miserable.",0,15,1
"Brexpiprazole","Madalena","February 28, 2020","-","<b>Rexulti (brexpiprazole):</b>			 I am a 22 year old female &amp; have been diagnosed with MDD &amp; anxiety. I was prescribed 0.5mgs Rexulti as an add-on to my 20mgs Prozac to alleviate lingering symptoms of depression, lack of motivation/energy,&amp; anxiety. I felt relief from said symptoms the morning after the 3rd dose! Now, I'm excited to wake up in the morning &amp; just live life. I have the perfect balance of happy energy &amp; calmness that makes going to school, doing daily life things, hygiene &amp; self-care tasks, &amp; social activities enjoyable and fulfilling. My social anxiety is gone, I am bubbly &amp; eager to engage with others, I am excited &amp; motivated to do school work, &amp; I quit having negative/self-betraying thoughts &amp; behaviors. The only side affect experienced was an increased appetite for the first week of the medication, but that symptom subsided within a week. I know there are plenty of negative reviews on here, but I HIGHLY recommend giving it a try. I feel like I have my life/personality back.",0,43,1
"Brexpiprazole","Pepper1981","February 20, 2020","Taken for 6 months to 1 year","<b>Rexulti (brexpiprazole):</b>			 I was given Rexulti for add on for depression. At the time I was constantly in a dark place. Lots of thinking of death. Not suicidal. It helped overnight. However, I had some bad side effects. Tardive dyskinesia of the mouth. Although not in the way this condition is talked about. I was unable to chew. It was as if I lost that automatical chewing. I lost weight as I was unable to really eat anything except fluids. I was then put on yet another medication (can't recall the name.) This helped a little but did not help the way I had hoped. I decided to go off the Rexulti cold turkey. And I felt as though I was my body was failing me. Felt worse than the flu. I gave it 2 weeks before I had to start taking it again. Now I am slowly tapering to lower doses. Please listen when I say DO NOT go off cold turkey. I was on 3 mgs. I am now on 2mg and hope to change dose to 1mg next.",0,13,1
