"Drug","User","Date","Period","Review","Score","Likes","Page"
"Clomipramine","JGhoulie","June 4, 2020","-","I was in SSRI’s for 17 years and it only helped the OCD. I was still pretty miserable with depression. No doctor mentioned it until I ended up in a psychiatric hospital where they started putting me on clomipramine back in January of 2013. The first dosage of 25 milligrams gave me an acute anxiety attack. But I got over it. I went up to 50 mg in a few days and felt better. However 100 mg made the symptoms worse so I went back down to 50 mg and I was happy as a clam within 2 weeks. I’ve never been this happy or optimistic in my life. The only side effect that has become a problem is a significant amount of weight gain. At least 40-50 lbs. I’m making every effort to reverse it",9,2,1
"Clomipramine","ImADuck","May 20, 2020","Taken for less than 1 month","Strong, nasty drug! Given clomipramine for anxiety, obsessive thoughts/ruminations and depression. SSRIs are not much help, and Effexor helped for a while and then stopped. Pristiq didn’t help. So we tried clomipramine, an older drug. I only took 25mg for 4 days before calling it quits! Very strong sedating effects but didn't really put me to sleep the first 2 days. Then the next three days, wow! This put me on my back the entire day! I couldn’t function and do anything. I just wanted to lay down because I was so exhausted but couldn’t sleep!!! That’s disasterous! I hated that feeling! It also gave me restless legs which further worsened my ability to stay asleep! Now I’m gonna try buspar since I’m so sensitive to medication.",1,2,1
"Clomipramine","Ufa","May 4, 2020","Taken for 6 months to 1 year","I've been about 8 months on clomipramine. It give me obsessive thoughts that weren't there before I started this drug (I was on on it for depression. I shouldn't have taken it. But it was a must since my psychiatrist prescribed it",1,1,1
"Clomipramine","Eul","December 26, 2019","Taken for 1 to 6 months","This medication doesn't work for me I've been on it for two month on 75mg clomipramine. Now my psychiatrist has made it 100mg. He said to give it a try for two month",1,0,1
"Clomipramine","Jake","July 4, 2019","Taken for 5 to 10 years","Terrible medication that is way too powerful for anybody sensitive to medications. Caused a lot of nervousness mania and mixed states for me when used in a depressive episode when struggling with OCD and needed safe mood stabilizing meds as well as safer OCD options like luvox at a low dose. Stick with safer options this stuff is terrible it is very powerful.",1,11,1
"Clomipramine","Charmed","June 13, 2019","Taken for 1 to 6 months","This is a VERY effective Rx; it totally cured my depression &amp; repetitive thinking, but is the polar opposite of Imipramine &amp; amitriptyline in side effects. The others were sedating, increased my appetite, &amp; decimated my memory, Clomipramine decreased my appetite &amp; gave me tons of energy. My outlook changed 180 degrees. It may increase anxiety for some, but made me feel so well &amp; happy that I wasn’t worried about anything (not didn’t care/was catatonic as on Imipramine). I’m no longer always obsessing about the minutiae to the point of being impossible to live with, fear no longer motivates me. This could make someone who is bipolar (last reviewer) more manic &amp; takes a while to adjust your sleep pattern to, but this prescription is a Godsend. I’ve been on &amp; off antidepresants  for 35 years. I wish I found it sooner. If the other TCAs made you slow/confused, have weird skin problems rashes/acne, try this.",10,21,1
"Clomipramine","Anonymous","June 10, 2019","Taken for 5 to 10 years","OMG everybody on these reviews is so keen on telling people to try clomipramine are you kidding me? If you are sensitive to meds this stuff it the worst it is much much more powerful than other options. It can make you extremely unstable and unwell there’s a reason newer treatments were developed, they are much more selective and this is the very, very very last resort after literally trying everything. I was put on this during a depressive episode when I needed different bipolar options and it turned me into something scary plus caused constant nervousness. I recommend more gentle mood stabilizing or antidepressant options over this stuff. I feel it completely harmed me after being put on it at a high dose up to 150 mg for a long by a reckless hospital that just made things worse. I was  in a vicious cycle of being on this terrible med. If you need to try it make sure you take the lowest dose powerful powerful stuff.",1,13,1
"Clomipramine","Nate.","April 10, 2019","Taken for 1 to 6 months","Iv tried many SSRI's and SNRI's with little help, with augmentations of all sorts. Clomipramine is the only drug that has worked well so far for my depression. I did a combo of rtms and clomipramine at 100mg now, I am finally pulling free from the grips of severe clinical depression. Thank you clomipramine!",10,23,1
"Clomipramine","Alexanderwlk","March 25, 2019","Taken for 6 months to 1 year","Clomipramine causes mania, psychedelic  effects, hallucinations that won't go away.  I think this is too strong for bipolar people. Dangerous",1,9,1
"Clomipramine","cier","January 26, 2019","Taken for 10 years or more","<b>Anafranil (clomipramine):</b>			 This excellent for depression, but use of the established big names such as NOVARTIS or CIBA GEIGY.    I found the anafranil from ALFASIGMA in Milan, Italy not good and believe that this brand has  INFERIOR pills.",0,8,1
"Clomipramine","Welshwarbler","January 13, 2019","Taken for 10 years or more","Help, clomipramine has been discontinued!  Can't get it in UK anymore. I have been on it on and off over 30 years. Having an episode of depression now which started Sept 2018, now Jan 2019 and now being tapered to sertraline. Scared!!",10,9,1
"Clomipramine","basia","December 7, 2018","Taken for less than 1 month","Just started on it few days ago but I have noticed that my racing thoughts have stopped, so far I don't have any side effects, but to keep calm I have been using natural supplements and it seems to be working for me. Good luck to all",0,6,1
