"Drug","User","Date","Period","Review","Score","Likes","Page"
"Cymbalta","jules","June 5, 2020","Taken for less than 1 month","I took a 30mg Cymbalta capsule at 9am at 9.30am it was like someone threw a brick at my head then I started to get brain zaps. I thought it would wear off but I started to get cramps, became very thirsty, vomiting, became uncoordinated and then called an ambulance. My sodium level dropped to 118 and I got hyponatremia. they took me straight to emergency dept and gave me a brain scan and a salty drink. I stayed in the emergency ward for 4 days and they said never to have cymbalta again or I could have a stroke or worse. I am a 58 year old healthy female  I would be very cautious taking this drug and definitely have someone with you who can take you to hospital if things go wrong as they did with me. I was lucky I still was thinking straight enough to call and ambulance. That saved my life.",1,11,1
"Cymbalta","GoobersMom","May 28, 2020","Taken for 1 to 6 months","I have been on 60mg Duloxetine daily for 1 month, 30mg daily before that to wean off Effexor. The Duloxetine was so ineffective &amp; the withdrawal from the Effexor was so bad that I had to take both for about 6 weeks. Now with no Effexor I am back to feeling no effects from Duloxetine. I'm painfully depressed and have sudden bouts of extreme anger &amp; irritability. I cry all the time, have no appetite, and hate going out in public. I've been on every antidepressant on the market. With Duloxetine, I might as well be eating Tic Tacs.",1,6,1
"Cymbalta","Martinb","May 22, 2020","Taken for 1 to 2 years","I tried SSRI (paroxetine) for couple years on and off. I was off the drugs for couple years and then I decided to try SNRI drug first Effexor and then Cymbalta/Dulexotine. I took it for about 2 years. Taking this drug felt horrible. When I finally managed to got off of it (with extreme withdrawal symptoms). Immediately after getting off the drug I had these leg pain and tingling in my feet and was was diagnosed with Type 1 insulin dependent diabetes. I was 30 at the time and have no history of Diabetes in my very large extended family. Love to hear from anybody with more to say about this… Something tells me my usage of SSRI and mainly the SNRI is what brought about my T1D diagnosis. Anybody else with similar story? What are your thoughts about this? Thanks",1,9,1
"Cymbalta","GH","March 5, 2020","Taken for 2 to 5 years","Wonderful medication. If your ready to get off then  tapper slowly and then get off medication. After I got off I smoked medical marijuana and it helped with the zaps and feeling sick -  the withdrawals only last a bit.  Hang in there.",10,38,1
"Cymbalta","Las789","February 28, 2020","-","I was on this medication over ten years ago. It took a month for the fog to lift once I had started it. But then I started to be paranoid reading about the cymbalta withdrawals on the internet. So I panicked went off it. I always start at the lowest dose possible and stay on it a month before increasing to the next to avoid being sick. And it’s the same thing when you want to get off these meds to avoid withdrawals. You go off as slow as possible. And I want to mention that these meds are metabolized by different enzymes in our body that we all have different levels of because of our DNA. So one person might need a lower dose of cymbalta than another because they metabolize it faster than others. The goal isn’t to get to the highest dose but the dose that works with your metabolism. Ten years later and I have Fibromyalgia  too now so my new doctor decided to put me on cymbalta. I started at 20mg today and will stay with that dose for at least a month before I see if I need to go up. Remember Go Slow!",9,24,1
"Cymbalta","L.p.","February 27, 2020","Taken for 1 to 6 months","I started taking Cymbalta 30mg 9 weeks ago under my primary doctor's recommendation. I had severe anxiety and insomnia and very serious depression. I slept all day and had no motivation and couldn't shake it off no matter what I did. I have tried Prozac 50mg for depression and expressed I didn't like that it made me eat all the time (which lead to 50lb weight gain) and no libido. So she recommended this. I feel very numb (but not high) as if I have no more conscience. I also have a slow reaction time to everything. People will speak to me and I don't realize until they repeat my name over 3 times. I also cannot sleep still even with all types of otc sleep medications. I take Cymbalta in the morning so it has no effect on my sleep. I am going to keep taking this medication as suggested but make a follow up appointment. Should there by any secret to make this drug less numbing I will add another review.",7,19,1
"Cymbalta","JB","February 23, 2020","Taken for 1 to 6 months","Wonderful/best antidepressant on the market considering I’ve tried...Paxil, Prozac, celexa horrible!! Non worked and serious adverse starting effects! I’m on Cymbalta for depression and hydroxyzine for anxiety...Do Not Ever let a Doc put you on Klonopin WARNING ?? I’ve learned from that the hard way...so what I have now is so much better..I wake up enjoying life and I feel there is hope beyond the dark..",10,44,1
"Cymbalta","J.J","February 21, 2020","Taken for less than 1 month","Cymbalta has helped so much with my anxiety and depression. Here it is almost two weeks and it has been a saver and a life changer! Thank you Cymbalta!",10,33,1
"Cymbalta","Legs","February 20, 2020","Taken for 5 to 10 years","I've been on Cymbalta for a couple of years now and at first it worked really well.  It has pretty much stopped working for me now. I suffer from chronic pain and depression so life is a lot of fun. I went off Cymbalta one time and the side effects when you go off of it are really bad. You get like lightning bolts in your head. Plus you get really disoriented. Now I'm afraid to go off of them again. I wish I could just stop taking meds all together but I'm afraid of what I would do.",5,18,1
"Cymbalta","LJ","February 18, 2020","Taken for less than 1 month","The depression &amp; anxiety was unbelievable before I took meds.   The doc put me on the lowest dose of prozac which did not work and actually made it worse. So  then I was put on Cymbalta, here it is less than two weeks and I can feel little by little everyday my symptoms lesson. Now my depression &amp; anxiety hasn’t disappeared so to speak but it’s easier to cope and maintain. I've had zero luck with SSRI in the past, my body adjusts better with SNRI’s ...there is a blood test you can request to see what works well with your chemistry so they don’t use you as a test puppet..Cymbalta is amazing and I would definitely recommend it!",10,27,1
