"Drug","User","Date","Period","Review","Score","Likes","Page"
"Deplin","Jonathan","February 26, 2020","Taken for 2 to 5 years","I took this for a while at the recommendation of my psychiatrist. I have the double mthfr mutation. It did nothing for me and is prohibitively expensive. I’m not sure if I buy into their mthfr serotonin theory, but it seems to work for some. For me, I would get these weird sensations in my hands and feet, almost like they were heavier or more sensitive, and I felt like my sleep was less restful (even I got 8 hours consistently) because I was always tired. It made me feel off as well, but I assume that is just depression medication in general.",1,1,1
"Deplin","Lori","October 29, 2019","Taken for 1 to 2 years","Taken Deplin for MDD for nearly 2 yrs  and no change in my depression.   I recently stopped taking it to save money.",1,13,1
"Deplin","Tina","August 30, 2019","-","I’m a psychiatric nurse and have seen many medications work and many not. For me, Deplin has worked quite well. I’ve stopped taking it before with a marked increase in depression. With Deplin I feel genuine happiness and want to smile. We all know people with depression are pros at the  fake smile  but my smile is from the heart. At the risk of sounding like a marketer for Deplin, there have been a few times I’ve tear up because I’m afraid the happiness will go away. I enjoy being well and don’t take what I have right now for granted. I know the studies aren’t great concerning Deplin but for the people who do respond well to it, Deplin can be a life changer and a life saver.",0,69,1
"Deplin","jerrystevens","July 12, 2019","Taken for 1 to 6 months","Have taken Paxil for years, had a poop out with the Paxil so the doctor added Deplin 15 MG, that did not work had lots of confusion out of touch feelings.  I cut the Deplin back to 7.5 MG and in three days it is doing the same thing as the 15 MG.  I would assume if you had a folic deficiency it would work.  However, I must have enough and this just overloads my system.  Not for me cannot get off of it fast enough.",4,20,1
"Deplin","JS","July 2, 2019","Taken for 1 to 6 months","The medicine after two weeks I felt dis-oriented confused and flat definitely not any helper more of a deterrent.",1,16,1
"Deplin","MsRinkyDink","June 16, 2019","Taken for 2 to 5 years","I was being treated for a mood disorder and the meds were kind of helping but many days I still felt ‘disconnected’, rarely having a day where I felt great. I assumed it was normal for me to feel that way. My doctor decided to prescribe Deplin. This was years ago. Anyway, one day, after having been taking it for about 3 weeks, I woke up and realized I felt GREAT! Like the fog had lifted. I have so many great days now. I’ve been on it for years now and it really has changed the quality of my life.",10,85,1
"Deplin","Scotty","June 13, 2019","Taken for 2 to 5 years","I have been taking Deplin 15 mg daily as a supplement to other drugs for my Bipolar illness. It works well and I have no noticeable side effects from it",10,37,1
"Deplin","Kendall","April 21, 2019","-","Deplin has changed my life. My doc did genetic testing for my severe anxiety and panic disorder and found I have the MTHFR gene mutation where I don’t break down folate. He prescribed me this with my antidepressant and it’s been a miracle. I’m no longer anxious, I do not have panic attacks, my depersonalization and derealization is completely gone. I praise the Lord in how good and healed I feel. I’m a RN and I suggest all those who are suffering to give this a try. Hang in there, God is with you. There is hope. You will feel better. Praying for all who read this post.",10,235,1
"Deplin","Margaret","April 2, 2019","Taken for 1 to 6 months","Like many, I have been clinically depressed since my 20’s. (30 years).  Cymbalta has helped me the most, but I still get hit with very dark times.  Last month, my doctor gave me Deplin samples.  I took them, but with very low expectations.  Three weeks into it, I began to notice a change...normalcy!  It crept up on me.  I stopped needing a 2 hour nap, I feel clear minded.  My mind doesn’t feel like a Los Angeles freeway.  I am calm and feel content.  I can’t wait to tell my doctor tomorrow.  I also needed a D3 prescription. I am sure my father could have felt so much better with these food meds.",8,63,1
"Deplin","Cheryl2280","March 30, 2019","Taken for 1 to 6 months","I take l-methylfolate (this medical food )once a day with my anti depressant for my anxiety and panic disorder and I feel great.  I am always very positive and I never have anxiety.  My panic triggers are gone, it is amazing.  Definitely recommend to anyone having depression.  It works.  It's not expensive. 58 a month.  Worth it for me.  Also helps my folate deficiency.  100% awesome med.  Never want to be without it.",10,51,1
"Deplin","TreatmentResistantDepression","March 4, 2019","Taken for 1 to 6 months","We observed no positive contributions to my treatment of depression. No effect at all. Deeply disappointed.",1,21,1
"Deplin","Mark D","February 4, 2019","-","I am a 50 year old medical professional and have struggled with mostly moderate depression for most of my life. I had struggled with, and eventually refused, taking anti-depressants because the side effects were worse than the cure. Eventually, a counsellor convinced me to try Deplin. After a few weeks, there was a noticeable shift in my mood. It was like a curtain had been lifted and I felt normal. A few months later, I ran out of the Deplin but didn't want to spend the money to get it refilled. Approximately two weeks later, wham!, the curtain dropped and the depression was back. Lesson learned.",9,89,1
"Deplin","Raylee","November 12, 2018","Taken for less than 1 month","Deplin ! What can I say, changed my life!. I had been dealing with treatment-resistant depression for over a year. My psychiatrist finally gave me deplin and in just days I felt better than I had in a long time!I also starting taking L-carnitine which if youve been depressed for a long time you are probably deficient in it. But I know it was the deplin. You have nothing to lose please try it! I had absolutely no side effects. I have more energy but mainly the horrible painful depression lifted in 3 days! I am beyond thrilled and would pay any amount of money per month to keep this medicine. Please give it a try.",10,79,1
"Deplin","Seeking28","September 4, 2018","-","Update to my previous post:   I've now been taking Deplin for close to a year. It serves as an add on to my anti depressant meds. It hasn't been a magical booster to improve my severe, resistant depression as well as my horrible anxiety. However, over a year's time, Deplin has helped me feel just enough better to justify its cost. A very subtle improvement that is difficult to describe. I'm glad that I stuck with it; not at all noticeable until at least 9 or 10 months. And that time frame ( for subtle change ) isn't acceptable if you are miserable. But, I was improving just enough with my other meds to allow me to continue taking Deplin--just in case it began making a difference ....whenever? Plus, my dr. told me it was good for my overall health,  regardless if it touched the depression. This made it easier for me to continue taking it despite feeling no benefit for a long time.",8,29,1
"Deplin","Mucky","August 30, 2018","Taken for 1 to 6 months","I have suffered from depression, anxiety and PTSD for years . I tried most of the  SRI’s &amp;SNRI’s . The best medicine for me was Lexapro and klonopin.  However, after 10 years on Lexapro, it lost its efficacy. My psychiatrist suggested Deplin. It took about 9 weeks for it to work . I hung in there because of him, and posts like this . It has reduced my depression and , surprisingly my anxiety. I am thrilled . Deplin is a true blessing .  Don’t give up if it does work for you quickly. I’ve read it can talk much longer for some people ; even 10 weeks .  Have patience ; it’s worth it !!",10,72,1
"Deplin","Mwieie","August 17, 2018","Taken for 1 to 6 months","Holy moly Deplin has changed my life. I took SSRIs that kind of worked but not totally. Started taking Deplin and it has just given me the rest of my life back.",10,62,1
"Deplin","TZT","April 9, 2018","Taken for 1 to 2 years","If you are taking Deplin because of the MFTHR genetic abnormality,  you were misled by your doctor(s).  This genetic test is being pushed by the pysch field even though it has not been proven.  Look up the studies on MFTHR and you will soon learn that most of what you read about are myths.  That being said Deplin does have its benefits.",6,19,1
"Deplin","Zarathustra","March 1, 2018","Taken for less than 1 month","I had the swab genetic test done. I lack the MFTHR gene that creates the enzyme that breaks down folic acid to folate. Without folate depression is very likely. My DR prescribed Deplin as it would take 60 bottles of over the counter folate to equate to the convenient orange capsule. The first three weeks my depression and anxiety got worse. My doctor wasn't helpful but I kept taking it. I’m around week 5 and I am able to see my compulsive eating as not good for me as I am morbidly obese. I don't feel overly happy but more in control in a chaotic World and able to focus more. I'll chat to my doctor about getting off Lamictal once I've had a couple months on Deplin. I am far less paranoid and explosive but I have routine scary dreams being out of control. I can't put my finger on it but I think I am better off with Deplin and apprehensive to go off it. This is not the placebo effect talking. I think I can lose weight and get off the bipolar meds. I pay $160 for three months supply.",10,33,1
"Deplin","Seeking28","December 16, 2017","Taken for less than 1 month","MUST take Deplin and not a generic and definitely not over the counter folic acid or folate!  These can make things worse!  My C spinal fluid showed that I have a less prominent type of folate abnormality. Wasn't detected in a gene swab test. Anyway, just started taking 15mg as an Anti-depressant add-on. Made my depression &amp; anxiety worse!!! I would stop taking it, but my doc has me taking a lower dose as she recognizes that Deplin can cause a worsening of symptoms in certain folks. It just needs to be started low and gradually increased.  So, please start with a low dose if it makes you MORE anxious/depressed at 15mg. Too early to say it helps, but the lower dose is needed, to start, for some. And it may take many months to work--for some!",0,28,1
"Deplin","crazydude81","October 25, 2017","Taken for 1 to 6 months","Who turned the lights on?! Oh hey Deplin, it's you! This oddly classified medical food has been a welcomed step towards victory I've needed far too long, and I'm only taking the Rx for about a month..This is nothing like anything I've taken-I have Bipolar 1 &amp; have had a slippery disaster with any and all antidepressants and have just glided along life with mood stabilizers and atypicals. I have energy, but I'm in no way jittery or hyper and I sleep like a baby. I have tons of focus &amp; can work more effectively and efficiently, not many at a manic pace-just really focused. I found a part of myself I lost, self-esteem and confidence. When I say or act I say it like I mean it &amp; it's well presented. Don' t hesitate to try it",10,62,1
"Deplin","Leelee3333","July 28, 2017","-","My doctor gave me a grocery bag full of samples because she said it was expensive. I never took them. I am bipolar with also anxiety. Depression will get very low spontaneously but is much more controlled with my seroquel and fluoxetine and xanax if needed. I had an appointment  recently and she reminded me that I need to take the Deplin as it augments my antidepressant! I didn't realize this so I made sure to take it. Now I don't remember the last time I felt this good and functional. She gave me another grocery bag of samples. Deplin absolutely is great for me.",10,61,1
"Deplin","Courtney1123","June 27, 2017","Taken for 2 to 5 years","Started taking Deplin to curb the side effects I was feeling on Lexapro. I'm not really sure if was working or if I just thought it was working. It also cost a lot of money.",7,19,1
"Deplin","skytrex","June 5, 2017","Taken for less than 1 month","Like many others I took the Genomind test which told me that SSRI's were not optimal and that SNRI's were a better choice.  After 16 years and 20 different meds, I have had MUCH better success with SSRI's than SNRI's.  The test results also said that I was deficient in what Deplin could provide.  I have been taking 15mg of Deplin for almost 3 weeks now and have been experiencing some of the lowest depression that I have ever felt.  Today I woke up feeling just as miserable as I have been for the past 3 weeks so I decided not to take Deplin.  As I slumped through he morning I started to feel a wave of happiness and excitement for life come over me around 10:30am and I still feel great.  I feel like my normal self again. $60 wasted!",1,29,1
"Deplin","Laura W.","May 31, 2017","Taken for 1 to 6 months","I started this supplement with high hopes.  I was given it to boost the effectiveness of the Pristiq I'm taking.  After using it for over a month I'm disappointed.  Really have experienced no change.  I'll keep searching for the right combination of meds.",1,25,1
