"Drug","User","Date","Period","Review","Score","Likes","Page"
"Emsam","Jp","February 16, 2020","Taken for 6 months to 1 year","Started 25 years ago on Prozac and Paxil. Didn’t work. Tried nardil and felt incredible. Over a 5 year period it seemed to diminish and did not work anymore when they changed the coating on it. Over the next 15 years went through many trials and nothing helped. Started Emsan 9mg a year ago and it has helped. I feel 80%. which is acceptable. I can’t think of any side effects. Cost through ins was $80 but the tech at CVS found a coupon and it is only $20/month. Over the past 6 months have read as many books on anxiety/depression that I could and that has helped even more. I pick up tips that help me with anxiety/depression. Never stop trying!!!!",8,9,1
"Emsam","Anon","January 9, 2020","Taken for 1 to 6 months","Took this years ago for bipolar, I took it for several months and it caused severely agitated mania. Felt good at euphoric at first and quickly turned into extreme anger and impulsivity. Barely slept and when I did, the nightmares were violent and never-ending.  Dr took me right off it.",1,4,1
"Emsam","lauretha","December 4, 2019","Taken for 1 to 6 months","3 months on ensam patch with some sense mood improvement yet I feel like I'm lacking the motivation and the sense of happiness that I experienced so long ago on the original Nardil formula. On 9 mg 24 hour schedule. I am going to ask my provider to consider 12mg trial period.",6,5,1
"Emsam","Dan","May 16, 2019","Taken for 1 to 6 months","Currently on Emsam 6mg (selegiline) Such an amazing medication. Feel like myself, tons of energy, very social, and confident. Been on almost every SSRI and loads of other psych meds that have never worked.  The lowest dose of 6mg allows me to eat whatever I want (that I'm not supposed to) not worry about having a hypertensive crisis.  I take 200 mg of 5HTP (the direct precursor to serotonin) a day, too.  Never had any adverse reactions.  Feel great and love life!",0,32,1
"Emsam","Smirch","April 24, 2019","-","I don't need to go into detail here about how terrifying going through your first depressive episode is. I was prescribed 6 mg Emsam. I didn't notice an improvement for the first three weeks. When I was bumped up to 9 mg... I began to laugh again. I was able to FUNCTION again. I'm to a comparable state to where I was before my depressive episode, however with a few alterations in my personality. The negatives: insomnia - It is rare when I am able to sleep through the night. I often wake up in the middle of the night, and have a lot of difficulty falling back asleep. My psychiatrist recommended that I take off the patch before going to bed, but this put me in a really weird mood in the morning. The irritability - I notice that I get frustrated / angry much more easily now and I never felt like this before. This medication has been an absolute lifesaver for me.",8,12,1
"Emsam","FosterM","December 20, 2017","-","Have taken 8 different SSRI medications.  All were beneficial and provided relief.  But all also fizzled out after a period of time. Have been through 2 full treatments of Transcranial Magnetic Stimulation.  Great relief but for only a 3 month period. Have had 8 treatments of ECT with no benefit. The 12 mg Emsam patch has been a literal life saver for me.  The side effects are a piece of cake as far as I’m concerned.  One rare side effect that I experienced was that it lowered my blood pressure.  I learned that having blood pressure levels normal is really debilitating.   But this medicine has completely and totally lifted my depression...this is  the best I’ve felt since my first continuous bout with depression in 1999!",10,31,1
"Emsam","Noonesbusiness","March 14, 2016","Taken for less than 1 month","I actually struggle with the possibility of bp ii. At 6 MG I didn't have any response positive or negative except that is repressed my appetite, with infrequent feelings of rage,which were controllable with benzos (ativan).  At 9 mg I began to have extreme insomnia (probably because it metabolizes as l-amphetamine or an adderal-like substance). At this dosage the rage I would feel was too much to handle, and was very much similar to what I felt on wellbutrin.  I would caution anyone, if you have rage on wellbutrin, you may (as others have anecdotally said) have feelings of rage on emsam as well. It's worth a try still, however, as when I wasn't feeling intense anger, at 9 mg I did feel better. best of luck.",5,20,1
"Emsam","Carrw","April 4, 2015","Taken for 1 to 2 years","86 yrs old depressed 3 yrs. Tried all medicine, nothing. Electro shock, nothing. On EMSAM patch 6mg nothing. Up to 9mg back to normal in TWO Days! Got shaky and up to 12mg and have been great for 1-2 yrs. Drink bottle white wine at dinner out, have frequent sex, eat small amounts of forbidden fruit, hot shower on patch, if itch scratch patch, sleep like a baby no side effects. Would not go back to suicidal state I once was in.",10,86,1
"Emsam","Rotiart","August 2, 2013","Taken for 1 to 6 months","I have been dealing with Bipolar II for most of my life without realizing it was anything more than depression with some bouts of super focus and productivity. After being diagnosed and trying a few different treatments that had worse side effects than the depression we tried Emsam at the 6mg dose. Almost overnight I noticed a massive improvement. While I tend to go into hypomanic states more often with this, it is controllable and I am more than happy to have this as the major side effect. I have been taking it for almost 2 months at the moment and hope that it keeps rocking!",9,87,1
"Emsam","gkm","May 20, 2013","Taken for 6 months to 1 year","I have tried what seems like every medicine for my depression and have only experience temporary minor relief of symptoms.  My psychiatrist wanted to try ECT because nothing else was working and I was tired of being in the hospital, but I refused.  She then mentioned that MAOIs(monoamine oxidase inhibitors) can sometimes be helpful for those who don't respond to other medicines so I agreed to try it. It has been a miracle worker for me! I have been on it for about 10 months and I have not had any severe depressive episodes and find myself going through the day without all of the terrible thoughts and cravings that used to haunt me.  I went from extremely suicidal to functioning normally.  I didn't even know I could feel this way!",10,127,1
