"Drug","User","Date","Period","Review","Score","Likes","Page"
"Esketamine","J","June 6, 2020","Taken for less than 1 month","<b>Spravato (esketamine):</b>			 On Spravato I felt like I was going to die. It took 4 minutes to kick in. I couldn’t feel my face, couldn’t speak, couldn’t breathe, the room was spinning, music felt far away even though I had headphones in. I heard the ocean. I was sweating/ felt like I was sinking, mind racing, nauseous. I felt like I was strapped to a Ferris wheel that wouldn’t stop spinning/falling really fast. I was crying &amp; sweating, 22 minutes in I had a ringing in my ear. It gave me a headache. I couldn’t hear my music anymore, that scared me. I couldn’t move. I was crying for my mom. It was really scary. I don’t feel 100% back to normal today (appointment was yesterday). I feel lethargic- spacey with  no appetite. I feel sad/disappointed that this didn’t work. This was literally the last thing to try treatment wise. I have to go back to doing TMS everyday. Please don’t try this unless it’s your LAST resort.",0,3,1
"Esketamine","Stephanie","May 24, 2020","Taken for 1 to 6 months","<b>Spravato (esketamine):</b>			 Details: a medium intranasal dose twice a week in office for a month, followed by a high dose once a week. Not a cure. If you stop, your depression will return. Experience: spray a mist of Spravato into each nostril while at the office. You then need to wait two hours to be monitored for the effects to wear off. For me, the first 20 minutes are unpleasant, like a psychadelic trip that is a bit too strong. Due to COVID-19, I cannot bring anyone with me, so I listen to guided meditations. I have vomited on the higher dose, but an accompanying zofran has helped tremendously.  In my bag: water bottle, crackers, hard candy, a book. The nasal spray drips down your throat and tastes terrible.  Results: Spravato has helped me tremendously. I am 36, and have had depression since I was 12. I have tried many medications, with only minor results (including TMS). The appointments are unpleasant for me, but they are worth it for the relief. It was about two months before I saw results.",0,5,1
"Esketamine","Ana","April 10, 2020","Taken for less than 1 month","<b>Spravato (esketamine):</b>			 I would like to know if anyone else currently being treated with Spravato has had insomnia/flashback/extremely weird and vivid dreams? I have only completed 2 treatments so far and am curious as to how it is affecting others.",0,2,1
"Esketamine","Eddie","March 22, 2020","Taken for 1 to 2 years","Have been in a esketamine trial for nearly two years. Has been quite helpful. I have experienced only one real bad downtime(when getting out of bed is difficult, etc..) and it was much shorter, a few weeks compared to my normal of months. While the drug hasn't brought me up to where I want to be, it has really limited the bottoming out. I was in a very low state when I first started taking it and am much more functional.",9,3,1
"Esketamine","Spunkygirl8","February 4, 2020","-","9 treatments. first three weeks, I felt some improvement.  laughing, having motivation. Once a week and feel less depressed for 3 days .Then depressed. Treatment  feels amazing! Had IV infusions very intense! I couldn't feel my body. Crazy hallucinations nothing scary. Enjoyable. Spravato I feel  relaxed like the Pink Floyd's Comfortably Numb! No visual disturbances. Listen to Simon and Garfunkel mellow but upbeat. No rock! I can feel my body, hearing is more sensitive. Music sounds great! Definitely a nasty taste in throat. Candy helps. I stop feeling the effects after 1 hour, drowsy hour 2. Then normal but rest at home. Headphones and playlist, bring a soft blanket, and eye mask. the experience is becoming less pleasurable. Antidepressant effect has been minimal. I wish I more IV was less $. Pure Ketamine is very helpful. For Spravato they've taken away one of the molecules. Research it please",4,3,1
"Esketamine","Danchise","February 3, 2020","Taken for 1 to 6 months","<b>Spravato (esketamine):</b>			 When I read about Spravato I was so excited. I had failed TMS and multiple oral medications so this new format of spraying something directly into your brain. Initially I had a great amount of disassociation for the first hour, which gradually dissipated.  The day of the treatment I felt great, but then it seemed to just go away. While on it I had increased suicidal ideations.  I was also hospitalized 2 months later with pneumonia and fluid in my lower left lung. THESE TWO COULD HAVE ABSOLUTELY NO RELATION TO EACH OTHER.  But after that I elected to stop taking Spravato. I think it is very promising but it is too new to have a history and I’m done being the guinea pig",0,6,1
"Esketamine","Bruno","January 24, 2020","Taken for 1 to 6 months","<b>Spravato (esketamine):</b>			 Really Helped.   IV is better, but this bridges the gap",0,5,1
"Esketamine","Mick","January 22, 2020","Taken for 1 to 6 months","I started taking Spravato nearly two months ago.  Started at the 56 mg loading dose.  At four weeks it had done nothing positive.  So the doc upped it to the 84.  First off that first double dose treatment had me on one hell of a trip.  I really felt that I wasn’t coming back! After that treatment I was hung over, then treatment 2.  After that I was sick as dog.  Severe headaches and terrible nausea.  Took me 5 days to recoup and as of today still with the headaches and nausea.  Called the doc and stopped treatment altogether.  I just can spend day after day feeling sick, not able to work, etc.  This was a last ditch effort and now I don’t know just what I am going to do.",1,6,1
"Esketamine","Baldfun","January 19, 2020","Taken for 1 to 6 months","<b>Spravato (esketamine):</b>			 After being on 6 different anti depressants and doing 6 weeks of TMS with no relief from my depression I was prescribed Spravato. I completed 4 weeks of treatments of 84mg 2 times per week, 4 weeks of treatments one times per week and one treatment every other week. I have had no relief from my depression. I feel like the effectiveness of this drug was over hyped. It was expensive and time consuming and very disappointing to have no results.",0,12,1
"Esketamine","AJ","January 18, 2020","-","<b>Spravato (esketamine):</b>			 I did the IV Ketamine for several months and found it very helpful, but it wore off very quickly.  My physician has recommended that I start Spravato, as he has sometimes seen its benefits last longer.  I have now had 2 treatments with 53 mg.  I do not feel dissociative symptoms, like with the IV, but I have significant symptoms of motion sickness.  The night of the treatment, I feel exhausted and this is lasting into the following day.  With the IV treatment, my symptoms fully resolved the night of treatment.  I am trying to determine if these treatments are worth continuing.  The side effects are prolonged and there is no certainty that the benefits will last very long.",0,12,1
