"Drug","User","Date","Period","Review","Score","Likes","Page"
"Fetzima","E","March 31, 2020","Taken for 1 to 6 months","I started fetzima in the middle of January 2020 it is now March. Unfortunately it isn’t doing much in helping my anxiety, my obsessive thoughts. It has helped me from feeling destitute. My energy is up. I think it has less side effects than other SSRIs and SNRI. About my obsessive thoughts - I think about things that upset me in the past. I did do this before I wasn’t on anything but I feel like I do it more often then I use to. Also  I read these reviews and see people were in  rage  on this medication - pretty scary. So now I’m thinking I’m like that too lol. I try my best to remember that everything will be okay. Something that has helped ..it seems.. is I take a break of it for a day. Next day I seem to have better clarity. Make sure to advocate for yourself for what’s best for you. They tell you to try different medications I haven’t found much  difference in most of them. Good luck to  you - love",5,7,1
"Fetzima","TLC","February 22, 2020","Taken for less than 1 month","I was taken off my other medications to see if this one would be more effective. I started with the 20mg for 2 days I did feel crummy but I was also taken off the other meds cold turkey so I figured it was from that. Day 3 I started the 40mg and within 30 minutes I just started to feel unwell then got this horrible pressure in my neck and head that continued to get worse. I also became nauseated, shaky, and weak. I called my PCP and she told me that I should probably go to the ER. When I arrived my blood pressure was 184/124 which is normally 100/60. I felt horrible. I was informed that I had a very bad adverse reaction to this medication and should stop immediately. It is 5 days later and my blood pressure is now normal but not 100 percent. This was just my experience, I know that this medication does work well for others and I hope it does that for you, no one deserves to live with depression, anxiety and etc.. it's horrible and I hope you find something that works!!",1,6,1
"Fetzima","glide","February 8, 2020","Taken for less than 1 month","Took Fetzima for 2 days and had to stop because of dizziness, nausea and fever. It's the first time a medication makes me feel this bad. Don't take this poison.",1,3,1
"Fetzima","RMH","August 27, 2019","Taken for 1 to 6 months","It's helping me get through a difficult patch in life. But I thought I had emotional feelings on  Fetzima, at first, now I feel like I have none, really, except for my cats.  And I'm only taking 10mg, which is opening up a 20mg capsule and taking 1/2 the beads.  This stuff should come in a smaller dose like this for chemically sensitive people.  So it's OK, but long term I'll probably end up switching to something else.",6,6,1
"Fetzima","Anonymousmeds27","August 25, 2019","Taken for less than 1 month","Where do I begin? I’ve exhausted almost all of my options for approved antidepressants in Canada, with my fair share of negative &amp; positive experiences. Fetzima is the 2nd worst I’ve ever taken, right above Moclobemide. After only a couple days, I had the worst headache of my life, felt like my brain was in a hydraulic press, couldn’t even open my eyes. This lasted 4 more days until I stopped taking this medication. I experienced nausea, but not as bad as some other reviews state. I experienced the body tingling, although this wasn’t too bothersome. I experienced heart palpitations accompanied by chest pain. There is a disabling brain fog that comes with this medication, it certainly numbs your severe emotions, but leaves you with a miserable feeling of apathetic melancholy. I also experienced ear popping &amp; severe sinus irritation, although I’m unsure if this was related to the medication. Not even close to being worth a try for me, but everyone is different.",1,6,1
"Fetzima","Anxiousgirly","August 13, 2019","Taken for 1 to 6 months","Fetzima is ruining my life. Its like poison. After being on Paxil for 4 years. I weaned off it with Dr’s direction. After withdrawal were so awful my Dr put me on Fetzima. First 2 weeks I experienced all day gut rot. Dr said that wasn't Fetzima causing it. Week 3 &amp; 4 were pure torture. From vomiting daily, diarrhea, crying nonstop, fits of rage, chest heaviness, lost 12 lbs. Cant eat, feel like I'm loosing my mind. After 30 days I stopped these meds cold turkey. I'd rather suffer with GAD then live on these kinds of meds. Never been so sick. Haven't been able to work. In my opinion Fetzima is garbage.....",1,10,1
"Fetzima","Vk","August 4, 2019","Taken for less than 1 month","By day 4 on Fetzima I was having so much anger and rage it scared me.  Not a common reaction for me.  I was talking extremely fast, reacting to almost anything with anger.  I did research on Fetzima, called my Dr. immediately and changed off Fetzima and back to my previous medication.  It was the most horrible experience.  I've never had a medication affect me in such a terrible way.  I'm doing great being back on my previous medication.  STAY AWAY FROM FETZIMA!!!",1,12,1
"Fetzima","Scott","May 27, 2019","Taken for 10 years or more","Tried many antidepressants. SNRI are far superior to all SSRI for my MDD, but at the higher recommended dosages. Effexor XR at 225mg had been the best fairly better than Pristiq and much better than Welbutrin. Won't take Cymbalta or any other hepatic side effects possibilities. Did try in for 6 weeks with no improvement. My insurance covers Fetzima 40mg not much help 80mg vast improvements and 120mg first 2 weeks no difference after that 15 to 20% improvement. Wellbutrin no help. Zoloft importance and no help after 4 weeks so no go. My advice try Effexor XR and don't give up on it until 4 weeks at 225mg. Especially if SSRI aren't working. I had no known side effects at any listed does and been on antidepressants for 17 years",8,10,1
"Fetzima","sum","April 10, 2019","Taken for 1 to 6 months","Be careful before deciding to take Fetzima for depression, it is absolutely horrible. Caused me severe vomiting almost every day. The worst part was the way it messed with my brain chemistry. Making me angry, confused, and having severe mood swings. It’s been almost 2 years since I’ve been off this medication and still look back on this medication as a real nightmare. It REALLY makes things worse. DON'T TAKE IT.",1,9,1
"Fetzima","Non","January 23, 2019","Taken for less than 1 month","Prozac quit after 10 wonderful years.  Tried many others.  Nothing.  Then Fetzima can’t get by 20 mg tablet due to nausea, bloating.  Then attack either gallbladder or something else?  Severe vomiting.  Did fetzima trigger gastrointestinal problems?  Hasn’t improved mood either.  Going off.  What to try next?  This is a crazy circle.  Hopefully one day there will be something better than  try this,  try that  approach.  At 70, ready to give up.",1,23,1
