"Drug","User","Date","Period","Review","Score","Likes","Page"
"Imipramine","Amy","June 2, 2020","Taken for 1 to 6 months","<b>Tofranil (imipramine):</b>			 Tofranil made me painfully constipated, very nervous, irritable, between doses, I'd get extremely weepy and emotionally distraught... it was the only time in my life that I felt live was too hard. When I started experiencing heart palpitations, I stopped taking it. I have CPTSD and Borderline",0,0,1
"Imipramine","Bloodylimey123","January 8, 2020","-","I was on Imipramine for 20 years for severe depression. This medicine turned my life around. I was a new and happy person. Then 5 months ago I couldn't get my Imipramine from Walgreens. I can't find out why I can't get my prescription of Imipramine anymore. My Psychiatrist has tried several other antidepressants which had awful side effects and made things worse. Is their anyone on this site who has had the same issue of not being able to get Imipramine....I am desperate for some help in getting this medicine.Thank you.",10,19,1
"Imipramine","Mj","November 12, 2019","Taken for less than 1 month","I came off lexapro thinking that imipramine would better since it affects 3 neuro transmitters.. dopamine, serotonin, norepinephrine. But I had another thing coming.  It is the worst. More side effects. The effect is low and slugglish. Always makes you sleepy. It destroyed my appetite. I can't even eat for days. My energy levels depleted significantly. I am just gonna give an extra one week if it doesn't work I'll request for a new medication cos 8 days into this drug I feel like I have lost it all",1,6,1
"Imipramine","still depressed","August 25, 2019","Taken for 6 months to 1 year","imipramine was ineffective for my depression and made me fat. But when I tried reducing it from 150mg to 125,mg I became even more depressed",3,2,1
"Imipramine","Ajmal vp","August 16, 2019","-","Very bad. Less effective. More side effect. Not good for adults.",1,2,1
"Imipramine","Miracles88","June 27, 2019","Taken for 10 years or more","The last few months  my refill for this medication has been on back order from my pharmacy.   Why ?",0,3,1
"Imipramine","Was better before","May 27, 2019","-","This drug does something that effects one's entire body.  I'm far more worried now that my heart will stop than about the depression it that this med was given  for.  Nearly 45 hours since last dose and I still can't feel my skin.   Horrible horrible drug.",1,3,1
"Imipramine","Floss","March 26, 2019","Taken for 10 years or more","When I was 50 years old my depression was very acute and I needed hospital care and the NHS provided imipramine at 200mg a day.  I am now 74 years old and have not had an acute episode  in all that time.",0,20,1
"Imipramine","Snake","January 13, 2019","Taken for 10 years or more","Male 70 years old as of 2019.  Started taking imipramine in 1995 for anxiety and depression. Been a lifesaver of a medication.  Started at 100mg at bedtime but slowly reduced to my present dose of 50mg at bedtime and have been taking this dose for 17 years.  Had tried SSRI's prior to the imipramine and had terrible reactions so doctor gave me the tried and true imipramine.  It saved my life.",10,26,1
"Imipramine","Sky","December 11, 2018","Taken for 1 to 6 months","I was severely depressed for a year and literally never left my bed. At 35 years old I was  a Professional woman working full time with 2 children (who l was bringing up with the help of a full time nanny whilst l was at work and unwell - she was an angel) l was terrified the sun would never shine again. Then  my GP hospitalised me and l was introduced to Imipramine at 200mg a day in two split doses. Initially it totally knocked me out - no other side effects though, then dose reduced to 150mg a day then 75mg a day.    l began to feel  me again - fit, bothered about my appearance, wanting to socialise, really optimistic about the future and confident that l could cope. I returned home on 75mg a day and after a week took the children 10 and 8 on holiday for 3 weeks abroad!! Felt a little scary but we had great family bonding time and l was back at work within two months and off the Imipramine! For me it saved my life and the children will always have a mother!",10,20,1
