"Drug","User","Date","Period","Review","Score","Likes","Page"
"L-methylfolate","Jonathan","February 26, 2020","Taken for 2 to 5 years","<b>Deplin (l-methylfolate):</b>			 I took this for a while at the recommendation of my psychiatrist. I have the double mthfr mutation. It did nothing for me and is prohibitively expensive. I’m not sure if I buy into their mthfr serotonin theory, but it seems to work for some. For me, I would get these weird sensations in my hands and feet, almost like they were heavier or more sensitive, and I felt like my sleep was less restful (even I got 8 hours consistently) because I was always tired. It made me feel off as well, but I assume that is just depression medication in general.",0,1,1
"L-methylfolate","Finally","February 1, 2020","Taken for 1 to 6 months","Hi I've suffered from depression since my early thirties . At that was when it was diagnosed. I've tried most of the antidepressants and for short periods of time they certainly have assisted me come out of some pretty dark places. Now in to my 50s I'm tired of taking the medication and do not feel that it has been assisting me. Recently I have tried Nurofolin and I can't believe the difference. I weaned myself off the antidepressants and then began taking your folin within two weeks my mood was lighter and my anxiety reduced considerably. I have now been taking it for well over 3 months. I would definitely recommend this for anyone who has work done the work and now just wants something to keep their mood balanced. Of course this is not for everyone but in my experience I am so grateful to finally find something that truly helps without the chemical side affects.",10,4,1
"L-methylfolate","Ravioli","January 5, 2020","Taken for less than 1 month","After 40 years of SSRIs &amp; counseling failing, I felt hopeless.  Many days were torture.  I tired too easily, felt sad, hopeless, unmotivated &amp; anxious more than I should have most of my life.  Finally I took l methyl folate at 15 mg and got an immediate rash.  Then, based on internet info, I took 1mg.  I noticed an immediate reduction in sadness, improved energy and interest...but by day 4 I had an unbelievable panic attack with dry heaving and misery.  Thankfully, I knew to take niacin and, within the hour, I was normal.  This happened 4 times and I had had enough.  But I was beyond despair, so I tried it again at between 0.25 and 0.5 mg and added a small amount of niacin (and will add methyl b12 because I think the problem occurred because I’m building up nitrous oxide).  This tiny amount, taken carefully, has completely made me normal.  NOTHING else did.  I have the MTHFR gene mutation, severe form.  To me, it’s like a miracle for which I waited too long.",10,17,1
"L-methylfolate","Nany","December 20, 2019","Taken for 6 months to 1 year","I have been taking L-methlfolate for depression it seems to be working. After trying numerous anti depression meds. I am feeling much better than I have in a long time.",9,12,1
"L-methylfolate","Frustrated w/different formula","December 6, 2019","-","tl;dr: 5-MTHF, methyl folate calcium salt, whatever it's called by the manufacturer, some forms work better for some people than others. My depression responded poorly to nearly every antidepressant on the market for 10+ yrs. Turns out I'm homozygous for the MTHFR mutation. Started taking 1mg L-methyfolate pills by Superior Source,  increasing every few days to hit the recommended 15mg/day for depression. Had an immediate improvement in energy, and my other meds, like Allegra, started working better. I also tried OptiFolate 7.5mg, MD Life 5mg, and NOW 5mg. My depression symptoms and skin-picking came back on each of those. My psych finally wrote me a prescription and now I'm on 15mg pills made by Breckenridge. They work as well for me as Opti Folate: not very well at all. YMMV  (your mileage may vary), I've seen reviews on Amazon where people responded much better to Opti Folate than Superior Source. Do your research, &amp; try different makers if one doesn't work for you. I'm waiting for a new prescription.",8,7,1
"L-methylfolate","Lori","October 29, 2019","Taken for 1 to 2 years","<b>Deplin (l-methylfolate):</b>			 Taken Deplin for MDD for nearly 2 yrs  and no change in my depression.   I recently stopped taking it to save money.",0,13,1
"L-methylfolate","Julz","October 24, 2019","-","So, I've been on a litany of meds for 40 years. I have BPD1, major depressive disorder with psychotic features. I sometimes have delusions and hallucinations. Both suicidal and homicidal ideations. This has been utterly unbearable because no antidepressants or antipsychotics have ever helped me. The antidepressants cause me to feel suicidal. About a year ago, doctor gave me Deplin. I take it when I need to and it works. Just 3 days ago, I felt suicidal and was hearing the voices inside my head. Day 3 of Deplin and I feel better again. I only use Deplin and nothing else. Yes it's tough managing the other symptoms by myself but they're nothing next to my depressive episodes. All I can say is that L-methylfolate is helping me. It is the only thing that has ever helped. There are some side effects like palpitations, insomnia and some restlessness but I don't care.",10,16,1
"L-methylfolate","Tina","August 30, 2019","-","<b>Deplin (l-methylfolate):</b>			 I’m a psychiatric nurse and have seen many medications work and many not. For me, Deplin has worked quite well. I’ve stopped taking it before with a marked increase in depression. With Deplin I feel genuine happiness and want to smile. We all know people with depression are pros at the  fake smile  but my smile is from the heart. At the risk of sounding like a marketer for Deplin, there have been a few times I’ve tear up because I’m afraid the happiness will go away. I enjoy being well and don’t take what I have right now for granted. I know the studies aren’t great concerning Deplin but for the people who do respond well to it, Deplin can be a life changer and a life saver.",0,69,1
"L-methylfolate","jerrystevens","July 12, 2019","Taken for 1 to 6 months","<b>Deplin (l-methylfolate):</b>			 Have taken Paxil for years, had a poop out with the Paxil so the doctor added Deplin 15 MG, that did not work had lots of confusion out of touch feelings.  I cut the Deplin back to 7.5 MG and in three days it is doing the same thing as the 15 MG.  I would assume if you had a folic deficiency it would work.  However, I must have enough and this just overloads my system.  Not for me cannot get off of it fast enough.",0,20,1
"L-methylfolate","HelloKitty","July 10, 2019","Taken for 5 to 10 years","I had been prescribed this by the same psychiatrist who gave me Wellbutrin.  It was originally covered by my drug plan and I wasn't sure it was working.  But then my plan stopped covering it (because they said it was a vitamin and I ran out.  That's when I found the fog of depression setting in deeply.   Deplin is ridiculously overpriced for what it is, and many other manufacturers make l-methylfolate equivalents. I have switched to one of those.  I use 15mg tablets and cut them in half, so a bottle lasts for 180 days. This is much cheaper than Deplin (the generic costs about 40 cents a day. Deplin without prescription plan is about 4 dollars a day.) Honestly, I think the methylfolate helps me, and the generic is affordable and it works!",0,25,1
"L-methylfolate","JS","July 2, 2019","Taken for 1 to 6 months","<b>Deplin (l-methylfolate):</b>			 The medicine after two weeks I felt dis-oriented confused and flat definitely not any helper more of a deterrent.",0,16,1
