"Drug","User","Date","Period","Review","Score","Likes","Page"
"Lamotrigine","coach","June 4, 2020","Taken for less than 1 month","lamotrigine is incredible for my depression. Get this if you can.",10,4,1
"Lamotrigine","PoppyA12","March 4, 2020","Taken for less than 1 month","I've just started to take lamotrigine today and it's making me feel calm but also feel sick. I'm going to continue with it to see how it is. Plus I'm on venlafaxine 225mg roll on more tiredness",5,3,1
"Lamotrigine","tried_it","February 11, 2020","Taken for 1 to 6 months","Everyone will have a different reaction to this, or any medicine, but for me, lamotrigine really worsened my depression. I felt emotionally unstable, and it was giving me bipolar symptoms of feeling like I had excess energy, which I never had before. I feel much better now after discontinuing it.",1,12,1
"Lamotrigine","Jay","February 10, 2020","Taken for 1 to 6 months","the first day on  lamitrogine has been an absolute life changer! I was having severe hopeless depression paired with anxiety. My moods seemed to shift from one to another triggered by hormones or stress. It developed into eating disorder over time untreated. I've tried every SSRI and off label blood pressure meds etc. I always have them a good run and they always had a lot of side effects and made my original symptoms worse. Then after research I asked my psychiatrist for lamictal. I had 0 side effects!! I started at a dose of 25mg for 2 weeks and am at the end of 2 weeks on 50mg. I felt the difference by the second week of 25mg and even more at 50mg. I have felt so hopeful and excited at times in perfectly healthy ways and depression and anxiety is all but gone. I don't feel doped up at all just a better version of me than I have ever felt. Also unlike SSRIs this doesn't impact sex drive and if I get pregnant it's safe. Love and plan to stay on it for a long time. It's worth it!",10,36,1
"Lamotrigine","Angie","December 20, 2019","Taken for 2 to 5 years","Lamictal has been a live-saver for me. I began taking it as an inpatient at 16 years old for very severe depression, and now after two and a half years I feel like my mood has completely leveled out. I don't experience extreme highs and lows anymore, I just feel normal. That doesn't mean I never get sad or never feel happy, just not to the extremes that I used to, which I'm totally fine with. The only problems I've had were that it took a really long time for it to start working for me; I still found myself experiencing depressive episodes six months after beginning taking it. However, they weren't as bad as they were before, and after another several months the depressive episodes were pretty much nonexistent. Also, it didn't help much for anxiety like I was told it would, but it didn't increase anxiety for me either.",9,23,1
"Lamotrigine","Angry mom","December 2, 2019","Taken for less than 1 month","Research side effects of this lamotrigine drug! Especially Stevens Johnsons Syndrome. This is NOT just a rash as your doctor would say, should be labeled as a burn. Signs of the syndrome are swelling of eyes and lips. Then your whole body starts blistering. Skin peeling. My child has been in hospital for 2 weeks now because of this drug and Stevens-Johnsons syndrome . Never recommend this medication to anyone.",1,15,1
"Lamotrigine","MT Gal","November 16, 2019","Taken for 1 to 6 months","I’ve been on Lamotrigine since mid-August. I titrated up slowly and am at maintenance dose of 200mg daily. I was on every depression/anxiety medication you can think of for the past 20 years. I had to wean off those as lamotrigine was introduced. So far it has made a remarkable difference in my moods, my depression, my motivation. I love not laying in bed all day. Going on it was not easy however. My anxiety was high, migraines, fatigue, insomnia. These have resolved but it’s taken 3 months. I’m thrilled at the difference it made in me and pray it continues to work! Remember it took months and 200 mg dose until I felt better.",9,43,1
"Lamotrigine","KMH","November 13, 2019","Taken for 2 to 5 years","I have major depression and the moment I took Lamotrigine I felt a lot better.  I take two 200mg pill a day and have seen an improvement so much so I can actually put a smile on my face.",10,32,1
"Lamotrigine","T","November 7, 2019","Taken for 1 to 6 months","I was put on Lamitrigine after Citalopram stopped working, and Escitalopram made me suicidal. I expressed that I'd wanted to avoid certain symptoms of SSRI's again and med nurse prescribed this. I've been on it for about two months -- titrating up from 25mg/2weeks, 50mg/2 weeks, and 100mg now. I haven't noticed any improvement in my depression, nor anxiety, or other symptoms therein in addition to the ones caused by and exacerbated by my ADHD. If anything I think I might be a little more unhinged (overly sensitive, mood drops happening with more frequency, lots more bouts of crying) but that could easily be because of something else. So, I haven't noticed any bad side effects (lymph nodes got a little swollen? which was something I was told to look out for, but it's Sick Season) but it hasn't helped in the slightest, either. I don't have any energy or motivation, which is kind of needed to make any progress in therapy, so.. definitely switching meds the first chance I get.",3,11,1
"Lamotrigine","E","October 30, 2019","Taken for 1 to 6 months","I'm diagnosed ADHD, anxiety, depression and PTSD and have been in a very dark place for months and very depressed and anxious and suicidal thoughts. I'm on several medications for months, Venlafaxine, Wellbutrin and Vyvanse which are little to no help. Lamictal was added and I'm now on 100 mg daily in the morning and my depression is entirely gone and so is my anxiety. I don't get mood swings anymore, I am calmer and less pessimistic. I've had no side effects except some minor itching upon dose increases lasting for a day or so. I don't feel emotionally numb. I just feel like a calmer, more logical, happier version of myself. I've tried so many medications over the years for my depression and anxiety (over 20) and this is the first one to truly help. A miracle medication for me. It can take time to find the right medications for you but don't give up hope.",10,53,1
