"Drug","User","Date","Period","Review","Score","Likes","Page"
"Methylphenidate","Alprazolam89","March 25, 2020","Taken for less than 1 month","Ritalin isn't much different than speed, I took 2 xanax and a muscle relaxer, and I'm still wide awake from that ritalin.",0,1,1
"Methylphenidate","DJ","November 25, 2019","Taken for 1 to 6 months","I was diagnosed several years ago with treatment-resistant depression. I have been on all of the antidepre ssant and anti-anxiety medications available today, with not a single one of them helping my depression the least little bit. Finally my doctor agreed to prescribe this medication methylphenidate about a  month ago.  It has been an absolute godsend. I would go as far as to say it has probably saved my life, as I was suicidal nearly every day before I began taking it.",10,42,1
"Methylphenidate","Mack","November 8, 2019","Taken for 1 to 6 months","I have bipolar disorder and ADHD. I was put on this medication to treat the ADHD, but I’ve noticed a significant difference in my depressive episodes when I take Ritalin. Before, when I experienced my  lows,  I wouldn’t be able to get out of bed, I couldn’t concentrate, my mind was foggy, I’d binge eat, put things off, and was miserable 24/7. Ritalin helps me focus, complete tasks, start my day, eat properly, and minimizes the depressive emotions in general. As of five months on the medication, I’ve watched it successfully treat the ADHD and fight back depression symptoms. I just want to clarify it doesn’t get rid of depression, but it does make it manageable. I am under the care of a psychiatrist, and we are monitoring the effects of Ritalin on both my ADHD and mood swings.",8,19,1
"Methylphenidate","Getting better","October 8, 2019","-","This medication methylphenidate had a positive effect in one day! I have tried 12 antidepressants from different classes with little on no help. I hope this med continues to work",9,19,1
"Methylphenidate","Juju","October 1, 2019","Taken for 1 to 2 years","I have had such an AMAZING CHANGE since I restarted my Ritialn 20 mg.  Before being back on Ritalin I had actually been battling SEVERE suicidal attempts since my son passed away. And when I'm on my medicine I'm also able to concentrate wonderfully.     The most important thing is that my depression is now very minimal, sometimes almost non-existent, and also can speak and think clearly again. Thank God for this medication.",10,24,1
"Methylphenidate","Susi","September 25, 2019","-","I have treatment resistant depression on and off for past 6 years. I never had a history of depression until these episodes started at age 54. I have had 3 major episodes where I had to take a LOA from work for 4 months while the Psychiatrist tried every medication cocktail. Finally Abilify brought me back to life the first time. The next episode was Methylphenidate was ineffective but I don’t think I have it a chance. The third episode was 2 years ago and Methylphenidate gave me my joy and allowed me to engage in life again. I am worried about the long term effects of being on this drug as it is going on 3 years. It has become less effective with time. I can tell when it’s time to take my next immediate release dose.",0,18,1
"Methylphenidate","LabLover","August 9, 2019","Taken for less than 1 month","Bipolar 2 for 30 years with depressive phase being treatment resistant. Have tried many many anti-depressants and mood stabilizers, as well as ECT. My Psychiatrist finally prescribed Adderall 30mg to my current regime Zoloft 300, Latuda 40, Epival 1000, Lithium 900. I felt the effects of Adderall within a couple of hours and had the most productive and pleasant day in over a year. I didn't feel too hyped up, and I was able to sleep. ( I made sure I gave myself enough wind down time and self care.) It is an appetite suppressant for sure, but mostly just makes me take the time to make better food choices. Hope that helps, it is certainly helping me.",9,24,1
"Methylphenidate","Dilorenzo81","July 9, 2019","-","I have had major depressive disorder for 30 years! I have tried every antidepressant probably ever manufactured. My psychiatrist tried a different approach and put me on methylphenidate for treatment resistant depression and many types of anxiety disorders. It's like I suddenly came to life!  I now have color in my life. Please consider taking methylphenidate. It might just save your life like it has mine.",10,61,1
"Methylphenidate","Mike","July 6, 2019","Taken for 6 months to 1 year","Methylphenidate works well to help elevate my symptoms of depression. I’m calm and focused while on the medication. It has also helped my anxiety by eliminating racing thoughts and rumination. It allows me to cope with stress a lot better. I am able to focus on an issue, task or problem and deal with it appropriately. Whereas off the med I would get overwhelmed and start becoming stressed. I highly recommend it for someone with ADHD, anxiety and/or mild depression.  I also take Benadryl at night to help me sleep. This combination has really helped me out. Please talk to your doctor before taking this medication  if you have Major Depressive Disorder.",10,32,1
"Methylphenidate","Andrew","June 21, 2019","Taken for 1 to 6 months","I was diagnosed with ADHD in my 30s as well as potential narcolepsy. I was prescribed methylphenidate extended release and it has helped me with more than ADHD. I have had anxiety and depression since my early teens. When I take methylphenidate I feel very calm. I has helped decrease anxiety and stress. I don’t feel overwhelmed and depressed. This is in addition go it helping my ADHD. Absolutely no crash on the extended release. I don’t even know I’m on it.. other than I’m more relaxed. I would definitely recommend some trying this medication for anxiety and depression. It has changed my life.",0,21,1
"Methylphenidate","Barry","June 6, 2019","Taken for less than 1 month","Supposed to be improved concerta.  I took concerta and it lasted 4 hours and then I crashed with terrible depression This gives initial and minor uplift for a couple of hours and then depression sets in. Haven't found articles on why it doesn't work on certain people but I really don't like  it. Want to go back to Vyvannse",1,11,1
"Methylphenidate","Cyclops","May 26, 2019","Taken for 1 to 6 months","methylphenidate didn't cure my depression; I'm still depressed. But it removes the impact of depression on my everyday life. I'm more confident, outgoing, and am able to get engaged in everyday activities.  SSRIs have no positive effects for me. I think Ritalin is as good as it's going to get. It may help keep you engaged if you've got lots of responsibilities, allowing time to work through things without becoming unengaged in life.",9,19,1
