"Drug","User","Date","Period","Review","Score","Likes","Page"
"Mirtazapine","JimJam","June 9, 2020","Taken for 1 to 6 months","When I started mirtazapine I got a lot of confusion and brain fog but that cleared up and its been helpful ever since. Some weight gain but I don't mind as I was a bit underweight.",8,4,1
"Mirtazapine","Mint","June 4, 2020","Taken for 1 to 6 months","I was put on this mirtazapine antidepressant after being on Sertraline for 6 months and experiencing serious suicidal thoughts. Not only it helped a lot with depression and anxiety, but this is the perfect medication for someone underweight, like I used to be. I gained over 50lbs within 4 months and kept going lol. Being underweight for so many years I never knew what it feels like to be overweight until I tried it. Well... I definitely feels much better than being underweight, but... time to switch off my meds! :P",9,3,1
"Mirtazapine","Xag","June 2, 2020","Taken for less than 1 month","<b>Remeron (mirtazapine):</b>			 I’m on my 8th day since I started taking half of a 30mg pill before I go to sleep everyday. It helps me have a very good night sleep, has enhanced my appetite and is helping me cope and deal with the hard situation I’m facing. I am satisfied with the results so far although I feel sleepy all day long.",0,9,1
"Mirtazapine","Kessie","June 2, 2020","-","Took for about a month, starting on 15 mg a day.  Never been so tired in my life.  Went up to 30 mg because the tiredness is supposed to ease then.  It did slightly but after a few days my skin was like sandpaper and eyes constantly watering, and both very sore.  Didn't really feel better at all mentally, actually worse because I felt I had dropped about 50 IQ points and not able to think clearly to find solutions to problems.  Felt despairing, too despairing to demonstrably show anger but there all the time in my mind, along with the worst depression ever.  I needed to find something that I know I have to live with for the rest of my life.  Took hours to wake up, a few hours where I would be sort of functioning, then go to bed very early, not just because of exhaustion but also because I couldn't do anything anyway because of constantly wiping my eyes.",1,4,1
"Mirtazapine","Chan","May 22, 2020","Taken for 1 to 2 years","I've been taking 15mg for a year and 8 months. Right away I felt better because I slept right through anger woke up rested. Previously I took 40mg citalopram and I still suffered bad episodes of depression and delusions. Since taking mirtazapine, I've had much longer periods of productivity, much calmer, less intense periods of sadness and distorted thinking. I stopped the citalopram about 7 months ago, so I'm very happy with it.  The only draw back is that I went up at least a dress size and I can't shift the weight, even though I'm healthier than ever, and don't drink.",9,6,1
"Mirtazapine","Trytrytry","May 18, 2020","Taken for 2 to 5 years","<b>Remeron (mirtazapine):</b>			 I was feeling very depressed 3 years ago and I've always suffered from anxiety, I tried other anti-depressants but the side affects were horrendous so I started on 15mg Mirtazapine, they started to work after a few days. I felt calm and my anxiety reduced hugely, I also slept very well. They will give you very vivid dreams, after a few weeks I started feeling anxious/agitated during the day so I popped another pill and that did the trick after an hour. The Doc upped my dose then to 30mg and they worked great at night. But I felt very anxious in the morning so the Doc  very unusually apparently prescribed 15mg for the morning, that really did the trick. Fast forward 3 years, I'm still on the 45mg and they still help me sleep, my mood however is a little on the low side, anxiety is quite bad, in a nutshell they work less and less the longer you are on them, I'm now thinking of tapering off them and trying some talking therapy even if I am a little sceptical of the value of doing so.",0,2,1
"Mirtazapine","Never Again","May 14, 2020","-","<b>Remeron (mirtazapine):</b>			 I literally split a 15mg down to into 8ths because my body is so sensitive. Wow... I have been out of it for DAYS.. I cannot stop sleeping. Put me in a horrible weird state like I don't know what's going on or like I'm truly awake. Just feel 'out of it' .. Off of a sliver! I have read contradictory things about dosing. I would indeed say and agree with that the lower doses are VERY sedating. Very weirdly vivid (not nightmarish) dreams... I had a gene test done and this medication was on my lower doses maybe be required I can't even imagine what a high dose would do! This is completely staying on my 'NO!' list! Be careful of this medication because it is POWERFUL. I feel like I've just been high for days. Like I've just been smoking the most dank weed and I've just been stuck in this high. When I wake up I feel like I'm manic, like I just have a huge rush of anxiety. I wanted to try this because I am experiencing heartburn like chest pain that isn't acid related at all..",0,5,1
"Mirtazapine","Dave","May 5, 2020","Taken for 6 months to 1 year","<b>Remeron (mirtazapine):</b>			 I really like this medication. I‘d always been wary of antidepressants because of the well known side effects but being an SSRI I gave this one a shot. Never looked back. Gained maybe 8 pounds but you cant tell because I look and feel so much healthier and happier. Little to no side effects other than that 8 pounds, I can finally sleep again. Woke up a little dizzy in the morning for the first 2 or 3 weeks but it doesn't happen anymore. You probably WON'T ever forget to take it and you won’t be able to sleep without it once you’re on it, but my quality of life is so much higher I don't mind",0,23,1
"Mirtazapine","Anon","March 14, 2020","Taken for 1 to 6 months","<b>Remeron (mirtazapine):</b>			 I am an alcoholic/addict who had been self medicating through any illicit substance I could get my hands on for over 10 years. Remeron was suggested in treatment since I’ve suffered with anxiety/social anxiety/major depression for so many years that I had lost hope in ever getting better. Remeron worked fast and with counseling/meditation/exercise, and I felt like a person again. I was on Remeron for about 4 months until I tapered off my 7.5 mg dose. For me less was more. About 10 months later I noticed my depression creeping up and since I’ve been sober/clean for about 15 months I felt like I fell short in mental health maintenance  (when I really didn’t) So I went to see a doctor and got back on 15mg and the next day the medication was already working better than I could have ever hoped for. I didn’t want to accept the fact that I was getting depressed but if I didn’t reach out for help it would of led me down the road to relapse.",0,61,1
"Mirtazapine","Noel Garnet","March 10, 2020","Taken for 1 to 2 years","I've taken Mirtazapine (30 mg) in the orodispersible version for severe depression with insomnia and other disorders. This medication really helped me out, it has litterally saved me. I'm a whole different person after the cure with it. No side effects on me. I recommend taking it in the evening if possible, because this antidepressant has very strong antihistamine properties (I no longer had allergic rhinitis or urticaria from pollen and dust), so it leads to a marked sleepiness. For this reason, it is useful in case of insomnia. My overall opinion is excellent, it pulled me out of a very bad situation of inner suffering that I thought was unfortunately chronic over time. I have not had any withdrawal symptoms after discontinuation. This antidepressant does not affect nor the sexual drive nor the sexual function.",10,46,1
