"Drug","User","Date","Period","Review","Score","Likes","Page"
"Nardil","Felindown","May 19, 2020","Taken for 10 years or more","I began taking Nardil—Phenelzine Sulfate—in 1996. My Dr tried prescribing several other medications before using Nardil. The side effects  of nardil are not good, but at least I am alive and functioning. The worst aspect of the med? You never know when the manufacturer is going to get behind making it. Once it was due to a worker strike.",10,2,1
"Nardil","Angel","May 1, 2020","Taken for 2 to 5 years","Nardil changed my life. I have tried almost every SSRI, SNRI, the atypicals and buspirone, etc for social anxiety disorder. They don't come close to Nardil. I have atypical depression, social anxiety, GAD, and ADD. The side effects are low blood pressure and insomnia. Easily treated with meds. I have tried everything on the banned food list and never had any slight increase whatsoever in BP. I am convinced the tyramine thing is just an old myth. When I first tried Nardil it was like a light came on after living my whole life in the dark. I will be on this med for the rest of my life as long as they keep making it.",10,10,1
"Nardil","KimD","April 29, 2020","-","I have been on Nardil for thirty years due to a bad period in my marriage that brought on my panic disorder again and depression.   I started on three, fifteen mg tablets per day and reduced this dose to two 15mg tablets over the course of one year over ten years ago. During the Covid 19 crisis, I have found it increasingly difficult to obtain Nardil and, when left with sixteen tablets and the possibility of not obtaining more, I reduced the dose from two tablets per day to one over the course of two weeks.  At first I suffered only sleeplessness but then itching all over and tiredness began throughout the day.  I have managed to obtain more Nardil but at greater cost and these come from overseas .  Mentally I feel fine but physically awful.  A general practitioner I saw once told me that Nardil my have taken over my Serotonin production.  Can anyone tell me if my Serotonin will bounce back to normal or am I destined to be on this pill forever?",10,6,1
"Nardil","Adrian","April 28, 2020","Taken for 2 to 5 years","My 22 year old son tried over a dozen antidepressants without getting relief from debilitating depression with suicidal thoughts.  He also tried TMS and Ketamine infusions with no relief. He had almost immediate relief from his symptoms from Nardil 30 mg twice a day.  He also takes Seroquel at night to aid sleeping and relieve anxiety.  This medication saved my son’s life. We have not had trouble getting it here (Wisconsin), thus far. I don’t know what we would do if it was not available.",10,9,1
"Nardil","Sammy","April 12, 2020","Taken for 10 years or more","I have been on Nardil for over 30 years. After the birth of my second child I went through a severe postpartum depression. I had two doctors who tried to treat me with antidepressants and this failed miserably. I was fortunate enough to find a psychiatrist who prescribed Nardil. Within a month I was feeling better. I have continued to have a wonderful life on this medication. I now find myself with a prescription for Nardil but unable to locate any in Canada at pharmacies or on line. Please advise if you can help me find Nardil.",10,8,1
"Nardil","Lynny","April 1, 2020","Taken for 2 to 5 years","Nardil has kept me out of hospital for 5 years but now I cannot get hold of it in UK despite pleading with my Psychiatrist. Feeling so bad I'm going back on a section.",10,5,1
"Nardil","Tuco","March 30, 2020","Taken for 1 to 2 years","In 1986 while separated from my wife, I gradually fell into a black hole marked by anxiety, obsessive self-accusing thoughts, and suicidal ideation. I went to a psychiatrist who prescribed Desyrel, which did nothing.  I went to another psychiatrist. This one prescribed imiprimine. No good. Then we tried desiprimine among others. Nothing. Meanwhile I went to the library and did research on atypical depressions. There was no internet then. I asked for a script for Nardil. He was wary of prescribing it and prescribed something else. Again no good. The next time I almost begged to try it, and he agreed. About four or five days later the clouds lifted and the sun came out. I have never experienced a miracle, but Nardil comes close. The obsessive thoughts stopped. So did the guilt, the feelings of self-worthlessness, the suicidal ideation, and the anhedonia. All gone. Nardil probably saved my life. It was wonderful beyond description.",10,13,1
"Nardil","Quickly","March 23, 2020","-","Nardil helped me stop drinking which also helped my suicidal depression.  I'm now 12 years into using it and it has become less effective fighting depression lately, the last year.  Thinking about weaning off 60mg per day and start drinking again.  That was at least a good buzz and I will fight feelings of depression on my own.",2,5,1
"Nardil","Scheinberg","March 18, 2020","-","Re Nardil manufacturer Kyowa Kirin emailed me today to confirm there is no guarantee the drug will become available  Please note to all NHS patients : DO NOT be fobbed off by your GP saying he cannot get involved with funding the difference between the cost of Nardil and phelezine sulphate import as a special  My GP did this to me ! So this is what I did   I called my CCG Press office and put the fear of god in the staff !  I emailed a strong urgent letter to be forwarded to head of complaints stating that this matter can not wait 28 days for a formal response  I explained that my nhs GP issued a script for Nardil and when I took script to pharmacy I was told   we are running a business not a bank !  They asked me to pay £99 plus postage 60 tablets",10,7,1
"Nardil","Motherbaggins","March 2, 2020","Taken for 10 years or more","I am in the same position as the other people posting reviews in that I am worried to death about the shortage of Nardil both in the Uk and Canada. I would just like to mention to the people who have posted on here that there is a support forum on this site for Nardil/Phenelzine where it’s possible to chat to each other about our concerns maybe have a look and see what you think Motherbaggins",10,11,1
