"Drug","User","Date","Period","Review","Score","Likes","Page"
"Nefazodone","Zsa Zsa","March 18, 2020","Taken for 10 years or more","<b>Serzone (nefazodone):</b>			 After having a baby in 1991 I came down with postpartum depression. I tried everything on the market.  I went through a few doctors, a few hospital stays and a few experiences with charcoal due to no longer wanting to fight to exist any longer.  Finally my doctor tried one last medication on me as I wouldn't take anything that affected my weight (gaining), my sex drive or could cause Tardive dyskinesia.  My doctor started me on  Nefazodone, a generic for Serzone.  What a difference Nefazodone made in my life.  My Doc found a dose that worked for me until my mother passed away. That's when he added Lamictal, a mood stabilizer. I am now off of the Lamictal, but, continued the Nefazodone taking two 100mg a day at bedtime,  I am finally at a pretty happy spot in my life and I know that without my amazing therapist and Nefazodone I wouldn't be here today!!!",0,2,1
"Nefazodone","Dee","July 21, 2019","Taken for 10 years or more","I've read comments about not being able 2 get serzone which is true but I live in Pa &amp; I get the generic Nefazodone. Thank goodness this is still available I hope they never take this off the market. I've been taking it for years. It's the only thing that works 4 me. I get my regular liver function test every 6 months but it's the best",10,8,1
"Nefazodone","Reviewer321","July 19, 2019","Taken for 6 months to 1 year","I had some success with nefazadone for anxiety and depression but it has caused liver problems. My liver panels are huge and I have experienced jaundice after having a healthy liver all my life.",1,7,1
"Nefazodone","Birdie Girl","June 8, 2019","Taken for 10 years or more","<b>Serzone (nefazodone):</b>			 I was first diagnosed with depression, generalized anxiety disorder, panic attacks and social anxiety disorder about 18 years ago. Under the guidance of a psychiatrist and a psychologist, I was prescribed a fairly new drug - Serzone. Relief came within 1/2 hour after taking my first dose. I have no side effects. It is a fabulous drug.",0,25,1
"Nefazodone","Decades","February 25, 2019","Taken for 10 years or more","Been on Serzone / Nefazodone 22 years. My liver has been fine for 22 years, this Medicine Saved my Life, and was the only thing that worked for me ! Right now it is on Manufacturer Backorder till April. I got enough to last, it has saved my Life, PLEASE never discontinue this lifesaver for some of us, especially those of us who have been on it long term like me for 22 years",10,19,1
"Nefazodone","valley70","February 23, 2019","Taken for 10 years or more","<b>Serzone (nefazodone):</b>			 I went on Elavil to try to help severe migraine. While it was somewhat helpful for the headaches, it immediately began making me gain weight. I put on 40 pounds, and it was a shock because I had never been overweight before. I was 42. I changed doctors, and she put me on Serzone. Within a week I dropped 4 pounds! I was so excited, I began walking again and trying to lose weight. Overall, I lost the 40 pounds and kept it off. Then Serzone was banned, and I had to change antidepressants. The weight piled on, and in six months I gained 60 pounds on Cymbalta. Now, I’m in my late 60s and my new doctor refuses to let me try Nefazodone , which is now available again. I’m so angry. I’ve dropped that doc and am going to a new psychiatrist next week. Here’s hoping she is more brave and understanding and will let me switch to Nefazodone. I hope I can still lose weight even though I’m 25 years older. Being overweight makes me more depressed than any of my life’s problems.",0,23,1
"Nefazodone","Nicole7832","February 10, 2018","-","<b>Serzone (nefazodone):</b>			 Serzone was a miracle drug for me.  I’ve tried almost every anti-depressant and they all had horrible side effects and did nothing to alleviate my depression.  Serzone made me feel like I could finally see things clearly.  I felt as if a veil had been lifted and no longer felt like I was in a fog.  Whereas before going for a walk, cleaning house, self-care seemed like a monumental feat, after serzone everything became easy.  I didn’t feel like these tasks were an insurmountable  hurdle.  Basic tasks became simple and I could finally see beyond my depression.  I write this now as I’m back to suffering severe depression and searching for a drug similar to serzone as I think they took it off the market.",0,32,1
"Nefazodone","Teton","December 24, 2017","-","<b>Serzone (nefazodone):</b>			 I was in a major depression after my baby died in the second trimester. Thoughts of suicide, the works. When I finally reached out for help I was put on serzone....truly a miracle drug. I was young, 28 and never had side effects. After a year I weaned off. Three years later I had my daughter and started spiralling downward, post partum - after you have a baby it is supposed to be the happiest time!  I reached out for help and could no longer obtain serzone. I have literally been on EVERY antidepressant for the past 16 years. Nothing has worked like serzone. I am in a bad spot depression-wise again and am thinking it will be worth the liver risk to try to feel normal again.",0,22,1
"Nefazodone","Jenna1201","September 21, 2016","Taken for less than 1 month","I had high hopes for this med based on reviews and pharmacological profile, however I was unable to get through the initiation period. It felt as if I was very intoxicated with a bad hangover at the same time; dizziness, blurred vision, unsteady gait with stumbling and falling, horrible stomach cramping and dry heaving with a migraine. I started at 100mg at bedtime, and as the days went on, the side effects progressed. I also felt more depressed, but who wouldn't being unable to function. I wish it had worked out better. Everyone is different. My advise would be, if you experience side effects of the nature I did, I would discontinue and save yourself from dealing with them being much worse. Otherwise, give it a try!",3,11,1
"Nefazodone","Anonymous","June 4, 2016","Taken for 10 years or more","I first started taking Serzone after a brain injury in 1987 it work great, then they decide to take it off the market.  I then took the generic Nefazodone  and it has help me more then other drugs for depression. I wish they kept the Serzone it did work better, but the only one I could tolerate was Nefazodone every other drug made me sick. PS it is hard to get the prescription filled in the Seattle area.",10,15,1
