"Drug","User","Date","Period","Review","Score","Likes","Page"
"Olanzapine","rex","May 9, 2020","-","Lexapro 10 mg and 2.5 olanzapine is good for MDD and generalised anxiety disorder.  It takes away fear and panic.  weight loss stabilizes with long term use and tiredness becomes less an issue.",8,4,1
"Olanzapine","Missy626","May 5, 2020","Taken for 6 months to 1 year","<b>Zyprexa (olanzapine):</b>			 I've been on zyprexa for 9 months now, zyprexa has done wonders for me. No more spontaneous deep dark days ahead of me, my close family can really see a difference, I'm just worried about long term effects of this drug. I have bipolar 1 with psychosis.",0,5,1
"Olanzapine","Sky25","April 25, 2020","Taken for 2 to 5 years","My Dr. (The expert) prescribed this for me when I was suffering with agitation and anxiety. I took it for 2 years and my new Dr took me off it. I put on 30kgs of weight, felt like I wanted to crawl out of my skin on a daily basis and was very irritable. But thats not the worst part. This medication permanently causes you to be DEPRESSED even after discontinuation! I've tried all types of SSRI's and SSNRI's and they simply don't work. I'm stuck in an incredibly bad depressive state, I can't laugh, I can't be happy. PLEASE, if your Dr. prescribes this to you, READ THE REVIEWS and do not take this horrible medication!",1,7,1
"Olanzapine","Gigi","April 13, 2020","Taken for 1 to 6 months","<b>Zyprexa (olanzapine):</b>			 This medication Zyprexa is a miracle worker ! I was in a very deep depression,  suicide thoughts. I started feeling better after just a few weeks.I have been on it 6 weeks now and its keeps getting better. The Doctor is now increase it to 10mg, I feel more tired, but that will lessen as time goes by.  I feel like me again !!!",0,5,1
"Olanzapine","MichaelMl","March 23, 2020","Taken for 2 to 5 years","<b>Zyprexa (olanzapine):</b>			 I've found the Zyprexa very good for hearing voices and adjunct for depression.",0,4,1
"Olanzapine","Emero","March 13, 2020","Taken for 1 to 6 months","<b>Zyprexa (olanzapine):</b>			 I was put on 17.5mg of zyprexa in 2017. I took this for 6 months before I finally decided to listen to my body and stop listening to the so called experts. Zyprexa made me dull, depressed and robotic. I now lack empathy, emotion, concentration and I no longer get pleasure from things I used to enjoy. Zyprexa zaps the joy from your life basically. There is no upside. Please please avoid this drug. It will steal your personality and nobody will believe you except for the people who have also been victims of this drug.",0,22,1
"Olanzapine","Worst drug ever","February 26, 2020","Taken for less than 1 month","Olanzapine is worst drug ever. Made my depression even more severe, made me feel numb and like a vegetable. And the withdrawal period is the worst even after taking it only for 4 days!!!! Glad it's over.",1,11,1
"Olanzapine","Game","February 20, 2020","Taken for 1 to 6 months","Hi am from Kenya  that is in East Africa..I was diagnosed with depression by my  doctor and put on deprex 10mg which is also a brand name for olanzapine. I took it for about 28 days, which went well, I got good sleep but after that it was a nightmare.  I was getting brain fog.  I tried to quit it but the withdrawals were crazy. I couldn't sleep at night, restlessness was another issue. So I self lowered to 5mg.  I am not having a normal sleep, walking up a couple of times at night. Last night I took 2.5mg...am really trying to get off this garbage by tapering coz the withdrawal is unbareable ... DON'T TAKE THIS DRUG IF U LOVE URSELF N UR LIFE",1,10,1
"Olanzapine","Mar4wan","February 9, 2020","Taken for 1 to 6 months","olanzapine is one of the best sedatives I recommend trying it, good sleep even though I wake up a little bit scared, overall It's a safe drug unlike risperidone which was a curse for me",8,9,1
"Olanzapine","Lasered","February 7, 2020","-","I have had depression and anxiety for many years. I believe my psychiatrist falsely diagnosed me as having mild psychosis because of my description of my traumatic history in an unusual religious culture. I talked about demons but was not experiencing voices, images or delusions. It was just part of the culture. Olanzapine ruined my physical health - high blood pressure, severe weight gain and continual tiredness. As it sedated me I stopped talking about my issues. This made others think my mental health improved but inside I was suffering the same experience of trauma. I was threatened with detention if I stopped taking the medication until I resisted with legal action. The whole experience caused issues with my finances, my career and my health and I have struggled to recover. Maybe this medication would help with genuine psychotic issues short term but off-label usage caused me harm. I would recommend reading the works of Joanna Moncrieff before taking or prescribing this drug.",1,4,1
"Olanzapine","serj","December 18, 2019","Taken for 2 to 5 years","<b>Zyprexa (olanzapine):</b>			 This drug is awful,  I should've stopped from day 1, now I'm in the 4th year and just started tapering because I'm one of the good boys that always listen to his parents and doctors. Please don't be a fool, don't take this drug it will make you lose years of your precious life.  Better be drug free as you know the only winner of your supposed condition is the big pharma that only wants your money every month.",0,23,1
"Olanzapine","AliceVai","December 14, 2019","Taken for 1 to 6 months","Well, I have an obsessive personality and refractory depression mixed with anxiety. Was put on olanzapine 2.5mg. The first 2 weeks were amazing. I felt euphoric and energized and slept much better. Then everything went haywire. I don't really know what was happening but life just seemed just too hard. So weaned my dose down 1 month at 2.5mg -&gt; 2 weeks at 1.25mg -&gt; Stopped 14 October -&gt; 2 amazing days without it -&gt; About 1 month of horrible withdrawal. Currently with lots of brain fog that never really had before but not suicidal anymore.",1,9,1
"Olanzapine","Clem","December 9, 2019","Taken for less than 1 month","Added 2.5mg to Viibryd. I was only going to take it when I need to but after only 3 days trial my depression has lifted so well that I want to keep going on it daily. I weigh myself every day and if I see some changes I'll only use it occasionally.",9,5,1
"Olanzapine","John","November 29, 2019","Taken for 1 to 6 months","Olanzapine on its own was not particularly effective for depression. I didn't enjoy anything and this didn't change that. It also made me lazy/unmotivated/tired. At the 20mg dose it caused sexual side effects . I think it is more effective for acute mania than acute depression.",3,8,1
"Olanzapine","Hate psychiatric drugs","November 15, 2019","Taken for 6 months to 1 year","Developed tolerance on olanzapine after 9 months, like all psychiatric drugs and the withdrawal symptoms were terrible. Glad I came off this stuff.",0,8,1
"Olanzapine","Josh","October 29, 2019","Taken for 1 to 2 years","<b>Zyprexa (olanzapine):</b>			 Hi all, I've been on Zyprexa for about a year and a half at 15mg. I was put on Zyprexa to help with severe treatment resistant depression. I also take 150mg of Effexor and 300mg of Welbutrin. In the past year my depression has slowly gotten worse and I suspect it's the Zyprexa. About 3 months ago I decided to taper myself off Zyprexa. I went from 15mg to 7.5mg for 3 months. I experience moderate sleeping issues (I sleep between 4-8 hours and wake up about 10 times during the night), nausea and a dramatic increase in depression. My highs are lower and my downs are longer and more severe.  My two questions are this: 1) Has anyone experienced increased depression as a result of taking Zyprexa  2) Has anyone experienced an increase in depression as a result of Zyprexa withdrawal.",0,23,1
"Olanzapine","Radastas","October 26, 2019","Taken for 6 months to 1 year","I was injected with this drug because I had a psychotic episode. It took care of psychosis but it developed tolerance for negative symptoms and depression so I got depressed while on the drug (because your brain stops producing serotonin while on it). Quitting it was very difficult but I managed and now am in remission only with vitamins and nutrients. They can  treat mental disorders! You can read more about this in William Walsh'es book Nutrient power: heal your biochemistry and heal your brain.",1,13,1
"Olanzapine","Anonymous","October 14, 2019","Taken for 6 months to 1 year","I was prescribed with 10 mg of this rubbish. Now after 1 year I feel totally like garbage. Was prescribed for shizophrenia and now I wonder did it damaged my brain. I lack of motivation, I've gained weight, I feel tired and unmotivated to do just regular activities like to brush my teeth. I'm off of it. Don't take it, it is just a bunch of rubbish.",0,17,1
"Olanzapine","Tookie","September 13, 2019","-","I have been on many different anti depressants for depression and for insomnia/PTSD. So I started on Prozac 20mg a day. I had relatively no side effects! I started sleeping a bit better and wasn't so unhappy.  But I still wasn't feeling myself. So, I read up on add-on type products and found olanzapine as a great combo with Prozac.  I got that prescribed but sat on it for a while because I also read all the horrible side effects and got scared. But after a month still not feeling myself, I decided to try a very small dose.(I read you could split the pill safely),that way it would be easier to get off of it. So, I cut a 5mg into eight pieces... so .625 mg - a couple hours before bed. I slept better than I had in years! I've been taking it for about 2 weeks. I again, lucky, have had zero side effects. I feel AMAZINGLY happy!! I am going to stay on the super low dose. I hope this helps someone, maybe you can ask your MD about taking a smaller dose to get the good effects and not the bad ones.",10,26,1
"Olanzapine","Timkerbell","September 11, 2019","-","I just wish to cry and let out my emotions but I can not. I sit there trying, but can't. Want to get off olazapine. Been feeling overwhelmed and anxious. Feel really terrible.",0,19,1
"Olanzapine","Tad","September 3, 2019","Taken for 2 to 5 years","This is the second time I have been prescribed this and for the same symptoms of anxiety and not being able to eat. Both times I stopped taking it I felt better almost immediately and appetite returned to normal",9,8,1
"Olanzapine","Trapped1","August 15, 2019","Taken for 2 to 5 years","<b>Zyprexa (olanzapine):</b>			 Zyprexa made me dull and gain weight, then found its impossible to stop taking. Even with a very, very slow taper, I have terrible withdrawal symptoms that I never ever experienced before olanzapine. I only took 1.25mg, and after 3 years of tapering  I'm down to about 0.7mg. Now I have heart arrhythmia, akathisia, insomnia, I feel dazed and out of it, erectile issues, and don't feel pleasure or get excited about anything. Olanzapine has ruined my life. If I could do one thing differently in my life it would be to never ever start taking this horrific drug.",0,46,1
"Olanzapine","Anonymous","July 19, 2019","Taken for 1 to 6 months","<b>Zyprexa (olanzapine):</b>			 I hate this drug so much. It made me feel so tired at work and I couldn't focus. Almost got fired from my job thanks zyprexa.",0,42,1
"Olanzapine","Josh","June 24, 2019","Taken for 5 to 10 years","I have been a teacher for the 28 years. I was diagnosed with depression. I was prescribed with olanzapine. Once on olanzapine My life was totally changed. I could not act like a good teacher. I could not work properly. I was sleeping  18 hours a day. I put on weight. I was hungry all the time. My depression did not go away, it became worse. I couldn't speak , couldn't think properly. Please don't take this medicine.",1,45,1
"Olanzapine","Vani","June 13, 2019","Taken for less than 1 month","<b>Zyprexa (olanzapine):</b>			 Stay away! I took 15 mg  Zyprexiafor 2 weeks and I  feel so tired, my vision is blurry , weak hand-eye coordination, and its difficult to speak or understand anything. Why is this drug still being prescribed???",0,39,1
"Olanzapine","Nat","May 16, 2019","Taken for less than 1 month","Olanzapine made me feel terrible- I was prescribed it for a depressive episode and quickly found (within a few days) that I felt worse- I was in a constant state of feeling despair/panic/anxious as a result of it.  I then went back to a different doctor who immediately withdrew this drug (luckily it had only been a few days) I was then prescribed Escitalopram which I used for a couple months.  Olanzapine is an extremely strong drug that was wholly inappropriate to my treatment",1,33,2
"Olanzapine","Depression Slayer","May 15, 2019","Taken for less than 1 month","As far back as I can remember, I have always had anxiety and depression. But the last 2 years had been a complete  awful. My doctor ‘experimented’ with more than 25 medicines including SSRIs, SNRIs, benzodiazepines,   antipsychotics, TCAs, lamotrigine, lithium etc without any result. I was bedridden and had lost all hope. Enter olanzapine and life took a complete U turn within 2 days , it has worked so well for my depression, I have never felt like this since childhood. Just wanted to thank the inventors of this magical drug.",10,36,2
"Olanzapine","zuser","April 26, 2019","-","I have been taking HALF of a 2.5mg dose for a few months. It makes me so exhausted I can barely think straight. It does help with anxiety but only so much in that it puts me into a complete state of exhaustion. I feel mentally and physically depleted. The level of drowsiness/impairment concerns me at what is probably considered a sub-therapeutic dose.",2,20,2
"Olanzapine","maddie","April 19, 2019","-","<b>Zyprexa (olanzapine):</b>			 put on this drug for anxiety, loss of weight, not sleeping, all connected with something that happened to me. On it for a month at 10 mg and had pounding blood pressure in ears, sudden headaches, ankles swelled up 2x their size, gained 25 lbs. in a month, huge appetite, foggy thinking, flat personality and dizzy. After I got off, I felt much better. Off  it now for 2.5 months and I can't lose any weight, and in fact am still gaining, so can't get it out of my system. How can i get it out of my system? I don't want to become diabetic or get heart disease, but this drug can do that and I'M NOT EVEN ON IT! Doctors are putting people on it that should NOT be given this drug, it should be a last resort if at all. This drug can cause permanent changes chemically, in metabolism and dopamine receptors in brain-is there no antidote?",0,37,2
"Olanzapine","Anonymous","March 27, 2019","Taken for 1 to 6 months","<b>Zyprexa (olanzapine):</b>			 Zyprexa made me feel very tired and irritable. I almost cussed my boyfriend over a small convenience,  My  eyesight kept blurring up, always hungry, and then I started getting this uncomfortable drowsy feeling that lasted the whole day. STAY AWAY from this garbage.",0,43,2
"Olanzapine","Mimismum","February 21, 2019","Taken for 1 to 6 months","<b>Zyprexa (olanzapine):</b>			 I’m taking this with pregabalin  Slowly helping anxiety and depression. Anyone take zyprexa on it’s own?",0,10,2
"Olanzapine","Bradkling","December 24, 2018","Taken for 1 to 6 months","Seems to be making my depression worse. Anyone else have a similar reaction?",0,35,2
"Olanzapine","Jonas","November 16, 2018","-","Guys this drug made me manic as anything.  I was on this for 3 months. DON'T touch it if your sensitive. I started getting really dark thoughts which I've never had before. DON'T do IT",0,28,2
"Olanzapine","Me","October 31, 2018","Taken for 1 to 6 months","<b>Zyprexa (olanzapine):</b>			 A doctor said I had bipolar and put me on Zyprexa and Lexapro. It was a nightmare, I told my doctor it made my depression worse and that I developed restless leg syndrome while on it. The doctor completely ignored me. After months of this horrible nightmare, I switched doctor's and was told I am NOT bipolar, but suffer from depression. I was tapered off Zyprexa and now I feel 100% better. Thankful",0,34,2
"Olanzapine","Brian","October 14, 2018","Taken for 1 to 6 months","I have been on it for a month now. Its been great. I don't have the weight gain problem or the sexual problems. I basically laid on the sofa with the blinds pulled shut for 3-4 years depressed. I take it at night and zoloft in the morning. I don't feel at all like a zombie in fact I feel great. I'm off the sofa doing things I love again. I sleep regularly and have a positive out look on life once again. This drug has changed my life for the better. I hope this helps someone.",10,44,2
"Olanzapine","Lilone","September 30, 2018","Taken for 1 to 6 months","<b>Zyprexa (olanzapine):</b>			 I have ever been a fan of antidepressants as I feel they are a bandaid for underlying problems. I starting to think differently. My doctor put me on 2.5 mg along with 0.5 Xanax. After years of feeling depressed and hopeless I now have more energy, sleep well at night waking up feeling great. I have also have gained weight which I needed to do. I give Zyprexa a 10 stars",0,35,2
"Olanzapine","jizzhue","September 16, 2018","Taken for 6 months to 1 year","<b>Zyprexa (olanzapine):</b>			 I've been taking zyprexa for 1 year.   I had obsessive thoughts it has helped me very much.",0,19,2
"Olanzapine","Lana.179","September 8, 2018","-","Worst medicine. It ruined my life from all aspects. I suffered from lack of sleep, shivering hands, strong appetite. This medicine makes a person feel unconscious. It's very appalling , and it should be banned!",1,18,2
"Olanzapine","Sec","August 24, 2018","Taken for less than 1 month","Ruins bladder of the  patient",1,14,2
"Olanzapine","Jensen","August 1, 2018","Taken for 1 to 6 months","No effect other than gaining 35 kilo. For me olanzapine made my condition worse not better. Please be very careful if you take olanzapine",1,17,2
"Olanzapine","09dibbie","June 8, 2018","Taken for 6 months to 1 year","<b>Zyprexa (olanzapine):</b>			 It is very good drug .It  helped me very much with obsessions and depression. I recommend it to you",0,20,2
"Olanzapine","Sjfvry146","April 7, 2018","Taken for 1 to 6 months","I was on olanzepine and fluoxetine for depression, and it helped with my depression but the olanzepine was far too sedating and made me feel emotionally numb and indifferent.  I was also on Vyvanse for ADD at the time and it essentially eliminated the effect of the Vyvanse. It also increased my appetite significantly, and I ended up putting on 10lbs in a month and a half, so I stopped taking it and had no issues with any withdrawal symptoms.  Overall it helped with my depression somewhat, but it didn’t give me any benefit apart from being not depressed and emotionally numb.",5,10,2
"Olanzapine","jamaas9","February 14, 2018","Taken for 6 months to 1 year","I have been on this drug for the last several months on 5 mg/day.  For most of my life, I have been underweight or at a healthy-weight level (work out on a regular basis). However, with this drug, I am overweight even though I am on a caloric-restricted diet. This drug initially caused a noticeable increase in suicidal thoughts and ideation as well. Eventually, it wore off for the most part. However, I no longer feel anxious but I also kinda feel empty inside -- I don't feel fully human, almost like a robot. I am trying to get off this medication because I felt that while it did improve my depression/anxiety - it robbed me of my motivation, personality, and a fully functional brain. My cognition has taken a noticeable decline since on this medication -- I feel like I stepped back into the 7th/8th grade, mentally. Also, short-term memory has significantly declined.",4,19,2
"Olanzapine","OlanUser","February 10, 2018","-","Olanzapine isn't as bad as it is depicted by many people here, which I guess is mostly because I've been on it only for 3 weeks and on a fairly low dose of 5 mg. The positive effects I've found are that it suppresses unnecessary and stressful circling thoughts and makes you focus on reality. On the other hand it has subtle side effects such as sleepiness and fatigue (when first taking it), weight gain (which is I guess sorta good in my case since I'm underweight) and some slight extrapyramidal symptoms and spasms. It can also make you feel emotionless like your head is empty and you keep zoning out in the middle of things. All in all I suppose this drug would be useful for some other conditions, but this one isn't for me; I think I've been misdiagnosed.",5,14,2
"Olanzapine","Eben007","February 7, 2018","Taken for 1 to 6 months","The mixture of fluoxetine 60mg and 5mg of olanzapine got rid of my depression in a week! I gather that this combo is very effective and thank God it worked for me. And I haven't gained any weight after two months on it. I'm very lucky in this respect because a lot of people do.",0,16,2
"Olanzapine","Blookie","February 2, 2018","Taken for 6 months to 1 year","Taking 2.5mg Olanzapine in combination with 150mg Pristiq for moderate/severe major depressive disorder and anxiety. The combination works well for me, relieving severe depression (suicidal thoughts, delusional, panicky thinking, etc) and completely eliminates anxiety/panic attacks.  The only downside I've noticed is an increase in weight, even though my calorific intake of food has not increased and I'm just as active as before.",9,14,2
"Olanzapine","Russfamily7","January 5, 2018","Taken for less than 1 month","<b>Zyprexa (olanzapine):</b>			 My husband started zyprexa a few days ago and all he can do is sleep. Is this normal and how long will the sleepiness last",0,17,2
"Olanzapine","south pole","December 12, 2017","Taken for 1 to 6 months","<b>Zyprexa (olanzapine):</b>			 I took this medication many years ago and gained 50 lbs in the first month of taking it. It is horrible nasty stuff and didn't do anything for my moods. I went off it  after that first month.",0,19,2
"Olanzapine","Roger322","December 3, 2017","Taken for less than 1 month","After years of trial and error with antidepressants and anxiolytics, I finally asked to try an antipsychotic. I take 10mg of olanzapine with 75mg effexor each day. The combination is quite effective compared with antidepressant mono-therapy. I wish I'd been on this combination long ago. Helps particularly with suicidal thoughts and getting a new perspective on depressive thought processes. It also starts working faster than antidepressants, which was important in my case.",0,16,2
