"Drug","User","Date","Period","Review","Score","Likes","Page"
"Paroxetine","Skye","June 6, 2020","Taken for 1 to 6 months","<b>Paxil (paroxetine):</b>			 Seems like a lot of people have a good experience with Paxil and I really wish I could say the same. I took it for about 2.5 months and had chronic diarrhea the whole time which only seemed to get worse as time went on. And of course the usual sexual side effects that come with SSRIs. I couldn't handle it anymore, having diarrhea for that long just left me feeling very sick all the time. So I tapered off which is where things have gone from bad to worse. I've never had a problem coming off of any type of medication in my life but this is HORRIBLE. Brain zaps, nightmares, highly increase depression and crying spells. This stuff is freaking poison to my body. I would never recommend this to anyone.",0,1,1
"Paroxetine","Francesca","May 28, 2020","Taken for 1 to 6 months","I started taking Paroxetine 12,5 mg three months ago. The first 10 days I had lots of side effects: I felt weak, I sweated a lot, I had a feeling that my body was radiating hot from inside (like when you have temperature), and my anguish actually worsened.  After two months and a half I can say it did not helped me, I was experiencing lack of motivation and energy, always postponing things, all I wanted to do was to stay in bed. I had to force myself to do things, even simple things as replying a message. So as it produced me a negative effect on my everyday life I decided to stop taking it. My doctor prescribed me Agomelatine (which I guess has not been approved in the US) and I am feeling great! I feel more like myself :) have energy again, and the best part is that is has improved significantly the quality of sleep",2,0,1
"Paroxetine","Lishka","April 17, 2020","Taken for 1 to 6 months","I have depression and anxiety with PMS.  I've been on and off SSRI's for many years. Paroxetine has been excellent for taming mood swings, depression pms and anxiety. It's an easy transition. I have never been better",10,5,1
"Paroxetine","Papaz","March 1, 2020","Taken for 10 years or more","<b>Paxil (paroxetine):</b>			 I was on this Paxil for 11 years, it didn't help my depression but it managed to ruin my life when I came off it too quickly under the advice of my doctor.  Fast forward to present day.  I now use a mobility scooter / electric bike due to suffering horrible physical symptoms of CFS /M.E. which were triggered by coming off this drug 11 YEARS AGO.  My circadian rhythm is utterly destroyed as is my stamina.  I constantly live in a heightened state of hyper arousal.  I have no energy and constantly have to meditate 2 hours to get back 20% of the health I used to have.  (That is only until the symptoms slowly return with any activity)  These drugs are dangerous and wreck lives.  I am a real person and the above story is true.",0,11,1
"Paroxetine","KitKat","February 23, 2020","Taken for less than 1 month","<b>Paxil (paroxetine):</b>			 I have been on this medication for less than a week and already feel so much better than I did a week ago. Before I was having crying spells multiple times a day, major anxiety, depression, the works. Now I am able to get up, go back to work, and function normally again. I have only been on this medication a few days, but I am extremely thankful for it so far.",0,14,1
"Paroxetine","Twitching for life(?)","February 9, 2020","Taken for 1 to 6 months","<b>Paxil (paroxetine):</b>			 I suffer from anxiety, depression, and OCD.  I was on the lowest dose of Paxil for a month and almost immediately developed twitching and a vocal tic that comes with the twitch. I had withdrawals after tapering off for about a week (per my doctors instructions) so I had to redo the taper over a month period of time.  I’ve been off Paxil for 6 months and continue to have the twitches and vocal tics.  I worry this is now a life long issue. It’s embarrassing when I’m in public and keep twitching or making involuntary sounds. I wish I never went on Paxil.",0,5,1
"Paroxetine","Star","January 18, 2020","Taken for 10 years or more","<b>Paxil (paroxetine):</b>			 I have been on this medication Paxil for over 30 years, has worked great for me, but one of the side effects is having GI problems. I have just found out I have IBD, the GI doctor said SSRI'S is the cause of it. Now I have to change my medication from this medication to something else with no SSRI'S in it.",0,5,1
"Paroxetine","Detachable Phoenix","January 15, 2020","Taken for 1 to 6 months","<b>Paxil (paroxetine):</b>			 Paxil 37.5mg CR suddenly disabled my sexual functions...completely.  No one warned me, I wasn’t aware it could be permanent. There are a growing number of men and women who are destroyed by Paxil.  There are better options with side effects that aren’t in the hundreds. I had nearly all of them in a 4 month span.  This is day 3 of abruptly stopping. Being alive and in control isn’t easy. It sucks a lot for everyone, make your choice sooner than later, SSRIs can permanently damage your ability to love. Is there a worse side effect than that? I would rather be dead",0,10,1
"Paroxetine","Tob","January 12, 2020","Taken for 6 months to 1 year","Side effects of paroxetine  for me are, short memory, strange dreams. I tried many other medications but I heard paroxetine and fluoxetine work differently than other SSRI. It helps with depression and social anxiety. I am on 40mg, My mood is better. Still have depression and social anxiety but not as bad as before.",7,3,1
"Paroxetine","Madiro","December 31, 2019","Taken for 1 to 2 years","I feel like a new person on paroxetine",10,4,1
"Paroxetine","billybilly23","December 12, 2019","Taken for 1 to 2 years","1. WITHDRAWAL AND GETTING OFF PAROXITNE (PAXIL). ***The way to avoid this horrendous withdrawal, asking your doctor, is to slowly lower the dose AND AT THE SAME TIME STARTING FLUOXETINE (PROZAC) at a low dose (this process is called 'titration'), then when you have stopped using Paroxetine altogether, come of the fluoxetine (prozac) and you can avoid the vast majority of withdrawals from Paroxetine. Also works with any other antidepressant.*** For example. If you use 40mg of Paroxetine, drop to 30mg while starting 10mg/20mg of Fluoxetine. This works, if you don't know, because Paroxetine (Paxil) has a *SHORT HALF-LIFE* [MOST IMPORTANT FACTOR IN WITHDRAWAL SYMPTOMS] of *1-2 days*.  This means the rate (speed, time) at which it the drug leaves your body. The drug stays in there even after you completely stop because the chemical Paroxetine hasn't exited the body yet and the speed at which it exists is determined by the HALF-LIFE.",9,4,1
"Paroxetine","--","November 26, 2019","Taken for 1 to 6 months","<b>Paxil (paroxetine):</b>			 When I was a lot younger under 18 (like 16) when I was put on 15 mg of Paxil. I stopped after a couple months cold turkey because it made me even more suicidal. A couple days after I stopped using it I started getting heart palpitations and I went to the ER and had to stay over night because the getting off Paxil after barely taking it for 2 months made me almost have a stroke and a heart attack at once. Just posting this for those under 18 who were thinking about Paxil. Be careful&lt;3.",0,9,1
"Paroxetine","cheekymouse","November 5, 2019","Taken for 10 years or more","I have been on Seroxat 20mg (paroxetine brand) morning  for years. It is the only anti-depressant that truly stops me from feeling depressed. I have aspergers too, and it helps with sensory overload/panic attacks. In the Spring/Summer I can get down to 10mg as my depression is very seasonal. I have tried other medications but always end up back on seroxat.",9,6,1
"Paroxetine","Vix45","November 3, 2019","-","Hi everyone I've been taking Paroxetine 10mg for 3 weeks now and the  side effects for the first week was that I was very, very sleepy, drowsy, jittery and nauseous to the point of taking cyclizine which had helped immensely. The other side effect which I was going to quit paroxetine for was the morning nervousness, jittery type feelings and waking up early 4 and 5 in the morning and I cant get back of to sleep.  These  still remain the same 3 weeks on which is annoying especially on days off from work. The nauseousness has gone but the jittery on edge feelings are still there.  I'm going to carry on and see how it goes. If no change after 2 months I'll change to another antidepressant.",5,3,1
"Paroxetine","Tales","October 30, 2019","-","I was prescribed paroxetine 30mg for major depressive disorder. I only started feeling better about 2 weeks after taking it. Overall, it is a good medication for me. People who will take paroxetine, wait at least 2 weeks for the benefits. In the first 5 days, you probably will experience some side effects. I take the pill before go to bed, because it has some sedative effects on me, but in the next day I am very good and can study and work normally.",9,5,1
