"Drug","User","Date","Period","Review","Score","Likes","Page"
"Phenelzine","Jamesy","June 5, 2020","-","I live in the UK. I was put on Nardil in 1980s when I was 25.  I was suffering bad phobias and anxiety attacks. Adrenalin was running riot and lost weight, had a red face and nose and was close to not leaving my house. They saved my life and I have been on them nearly 35 years. I have tried a couple of  times to come off them but felt awful. I am fortunate my doctors get me unlicensed import supplies but they do cost a fortune, the pharmacy showed me the prices. I have to wait a long time for each prescription as Clinigen charge around £40 per 60 tabs for the unbranded phenelzine but are out of stock and the Nardil branded ones are around £220 per 60 tabs!  The UK supplier to NHS charged around £20 per 100 tablets. All about money and my pharmacist asked if I could try and come off them, the biggest fear is that they are stopped being produced. If so, I don't think I will have a life to live, it's so scary.",10,2,1
"Phenelzine","Felindown","May 19, 2020","Taken for 10 years or more","<b>Nardil (phenelzine):</b>			 I began taking Nardil—Phenelzine Sulfate—in 1996. My Dr tried prescribing several other medications before using Nardil. The side effects  of nardil are not good, but at least I am alive and functioning. The worst aspect of the med? You never know when the manufacturer is going to get behind making it. Once it was due to a worker strike.",0,2,1
"Phenelzine","Cherela","May 5, 2020","Taken for 10 years or more","I’ve been taking Nardil for 14 years. It is the only medication that helped me. I was hospitalized and given ECT but nothing worked but Nardil. Like many others, I am worried about the shortage of Nardil. I live in the USA.  Has anyone been able to transition to another MAOI?",10,4,1
"Phenelzine","Angel","May 1, 2020","Taken for 2 to 5 years","<b>Nardil (phenelzine):</b>			 Nardil changed my life. I have tried almost every SSRI, SNRI, the atypicals and buspirone, etc for social anxiety disorder. They don't come close to Nardil. I have atypical depression, social anxiety, GAD, and ADD. The side effects are low blood pressure and insomnia. Easily treated with meds. I have tried everything on the banned food list and never had any slight increase whatsoever in BP. I am convinced the tyramine thing is just an old myth. When I first tried Nardil it was like a light came on after living my whole life in the dark. I will be on this med for the rest of my life as long as they keep making it.",0,10,1
"Phenelzine","KimD","April 29, 2020","-","<b>Nardil (phenelzine):</b>			 I have been on Nardil for thirty years due to a bad period in my marriage that brought on my panic disorder again and depression.   I started on three, fifteen mg tablets per day and reduced this dose to two 15mg tablets over the course of one year over ten years ago. During the Covid 19 crisis, I have found it increasingly difficult to obtain Nardil and, when left with sixteen tablets and the possibility of not obtaining more, I reduced the dose from two tablets per day to one over the course of two weeks.  At first I suffered only sleeplessness but then itching all over and tiredness began throughout the day.  I have managed to obtain more Nardil but at greater cost and these come from overseas .  Mentally I feel fine but physically awful.  A general practitioner I saw once told me that Nardil my have taken over my Serotonin production.  Can anyone tell me if my Serotonin will bounce back to normal or am I destined to be on this pill forever?",0,6,1
"Phenelzine","Adrian","April 28, 2020","Taken for 2 to 5 years","<b>Nardil (phenelzine):</b>			 My 22 year old son tried over a dozen antidepressants without getting relief from debilitating depression with suicidal thoughts.  He also tried TMS and Ketamine infusions with no relief. He had almost immediate relief from his symptoms from Nardil 30 mg twice a day.  He also takes Seroquel at night to aid sleeping and relieve anxiety.  This medication saved my son’s life. We have not had trouble getting it here (Wisconsin), thus far. I don’t know what we would do if it was not available.",0,9,1
"Phenelzine","memr","April 22, 2020","Taken for 10 years or more","Phenelzine changed my life. I was on all the other types of antidepressants, antipsychotics, mood stabilisers, had ETC, did DBT, CBT, etc. I was in hospital for most of a period of 3 years before my doctor put me on phenelzine. I've been on it all my adult life but didn't think I'd make it past 21 before that. It's allowed me to thrive in a way I never thought I'd have a chance to. I'm scared of what will happen now that there's a shortage. I don't want to go back to the place I was before. I believe that I, like many others, I don't know how I would face life without phenelzine.  It's inhumane to be held hostage like this by drug companies.",10,1,1
"Phenelzine","Sammy","April 12, 2020","Taken for 10 years or more","<b>Nardil (phenelzine):</b>			 I have been on Nardil for over 30 years. After the birth of my second child I went through a severe postpartum depression. I had two doctors who tried to treat me with antidepressants and this failed miserably. I was fortunate enough to find a psychiatrist who prescribed Nardil. Within a month I was feeling better. I have continued to have a wonderful life on this medication. I now find myself with a prescription for Nardil but unable to locate any in Canada at pharmacies or on line. Please advise if you can help me find Nardil.",0,8,1
"Phenelzine","Sammy9","April 11, 2020","-","April10, 2020 I went on Nardil after I went through a postpartum depression many years ago.   When I went to renew my prescription this month my pharmacist told me my doctor would have to put me on another medication.  I now need to find a new source for Nardil.",10,0,1
"Phenelzine","Lynny","April 1, 2020","Taken for 2 to 5 years","<b>Nardil (phenelzine):</b>			 Nardil has kept me out of hospital for 5 years but now I cannot get hold of it in UK despite pleading with my Psychiatrist. Feeling so bad I'm going back on a section.",0,5,1
