"Drug","User","Date","Period","Review","Score","Likes","Page"
"Pristiq","gsodak","May 4, 2020","Taken for 5 to 10 years","Pristiq has benefits, BUT, be aware of serious long term use side effects.  They are real.  This is a powerful drug that affects many body systems.  Don't ignore your side effects.",4,6,1
"Pristiq","Sayman","April 29, 2020","Taken for less than 1 month","Pristiq save my life. It is the only option I left in the world, it reduces my head pressure and anxiety. Just  try it  and see how you go. I am 100 mg on it.",10,10,1
"Pristiq","Billy","March 10, 2020","Taken for 5 to 10 years","Pristiq 50 mg is the ONLY medication which has worked for my depression. Good sleep Good appetite Upbeat, consistently good mood. I have tried everything else and nothing Worked OR I had bad experiences. This is my fifth year on Pristiq. If you’re without hope, ask your doctor. It’s been a lifesaver for me.",9,38,1
"Pristiq","Johney","February 23, 2020","Taken for 1 to 6 months","I found this drug to be extremely helpful. I haven't felt this good in years.  I started with 25mg and it took approximately 4 weeks to start noticing the benefits. My therapist recommended I take the medication after having a serious panic attack that left me anxious and worried for my own personal safety. Never been that low before.  Now about 5 weeks in, I'm feeling great and we decided to up my dosage to 50mg. I've had zero side effects as of yet.  My advice to anyone on here who's curious about the drug to give it a try. And give the medicine time. It takes time to fully take effect. Like I said, it was weeks on end for me. Felt like an eternity. I'm more optimistic, motivated to accomplish goals, less anxiety, etc.  Medications are like shoes; not every shoe is well suited for every single person on Earth. The same could be said with regard to medication.  Take care all. Feel better.",10,55,1
"Pristiq","mtl222","February 21, 2020","Taken for 1 to 6 months","I have been on Pristiq for 1 month and a half.  The first week felt weird : I had headaches, anxiety, couldn't eat, difficulty to sleep.  Then the physical side effect went away and I started to feel better but it was very subtle and slow but steady change.  After 1 month and a half I can say that I feel a lot better. I have more energy, more sense of control on my life.  One thing that stays is that I have to drink a lot of water to stay hydrated.  I have skipped a dose once and it wasn't bad, I didn't cry or felt horrible.",9,38,1
"Pristiq","Kay","February 19, 2020","Taken for 1 to 6 months","Had a DNA test to recommend what type of anti-depressant I should be taking....I had been on Venlafaxine for years after refusing others. Pristiq was recommended by this test for me to take. I did notice a number of positive changes taking Pristiq......Generic Desvenlafax.  I am more alert, Have somewhat more interest in life. No longer think about dying. It doesn't control my anxiety so therefore I take  a mild dose of klonopin when needed. It did not give me energy but helps making me get up and around. I take 50 mg's a day. I do sleep 10 to 12 hours a day....sometimes not waking up during that time but I know that's the depression.I do take Amitriptyline for pain from Spinal Disk Degeneration pain.",8,23,1
"Pristiq","MAB","February 17, 2020","Taken for 1 to 6 months","Initially Pristiq kept me on an even keel. Then it didn’t seem to make a difference. I don’t feel interested in anything.  I have gained 20 lbs in six months. I told my doctor and she said to stop taking it. Easier said than done. It made me extremely sick. Headache and nervousness were unbearable",3,18,1
"Pristiq","rbc123","February 16, 2020","Taken for 6 months to 1 year","I never write reviews on ANYTHING online but after being precribed Pristiq for anxiety and reading multiple negative reviews I thought I'd write about my positive experiencing with this medication.  I am 31 years old and have been experiencing moderate to severe anxiety my entire life. Last summer I began taking this medication and I won't lie... the first 4 weeks were rough. Decreased appetite, increased anxiety and just very spaced out. Saying this, once you get passed the 4-6 week adjustment period this medication is LIFE CHANGING. And yes I know that this medication does not help everyone who takes it but I encourage people to tough through the adjustment period. I honestly wish I knew about this medication earlier. And yes there are still lows you will feel, this is life. And this is not a magic pill... but completely takes the edge off. I wake up feeling great most days, I have increased motivation, little to no self doubt, increased appetite, increased sex drive, etc.... the list goes on.",10,63,1
"Pristiq","F*ckpristiq","February 14, 2020","-","I would not wish upon my worst enemy the hell I went through with this drug.  My doctor at the time suggested this antidepressant to help maintain my growth &amp; help my energy... this was the first year it existed and of course was expensive because there wasn’t a generic brand, it ruined my life. Everything in the small print happened to me. I slept on average 2 hours on my bathroom or kitchen floor because I felt suffocated in my bed. Everything irritated me physically. All I did was clean as if I was trying to get rid of something so toxic (pristiq) that my life depended on it (it did..) I lost a lot of my hair/eyebrows and I was going crazy, literally. Eventually I got off it, which was like detoxing from a hard drug, such as heroin or meth. I was on it for 6 months- I have been off it for many years, but I still struggle with the reality of what it took away from my life- so many years trying to pick up the pieces of the horrific reality I lived while on Pristiq.",1,18,1
"Pristiq","Niko","February 13, 2020","Taken for 6 months to 1 year","I'm on Pristiq 50 for 9 months.  I have had no negative side effects except brain drain when missing  a dose. I like it so much that I want to try a higher dose.  I've been depressed for decades.  I've tried most other SSRIs antidepressants with mixed results.  Pristiq is for me the best of the lot.  I'm very surprised to read so many reports of adverse reactions.",9,25,1
