"Drug","User","Date","Period","Review","Score","Likes","Page"
"Prozac","Rana","June 16, 2020","Taken for 6 months to 1 year","At the first I feel ok  but after 6months I gained 20 Kgs !!! And I quit Prozac after 6 months and it was the best decision but I cannot get rid of the weight I had gained it affects my metabolic rate so bad !!!  Now I have depression of being fat !  Don’t use it",1,0,1
"Prozac","KermitZo1","June 2, 2020","Taken for 1 to 6 months","The first couple of weeks on Prozac went well, I felt happier than before. But after that it feels like the medication makes me more depressed than normal. Overall it’s an okay medication",5,4,1
"Prozac","Marla","May 31, 2020","Taken for 1 to 6 months","This is great! I have been depressed since my divorce and have tried other antidepressants. This really works. Prozac even gives me energy in the morning! The only problem is that it gives me anxiety so maybe it’s good to get you out of the depression or maybe I need a lower dose.",8,5,1
"Prozac","Anonymous","April 7, 2020","-","I take Prozac because I have stomach issues of nausea. I have been on 40 mg for sometime now. I really do remember having many side effects except that it made me tired.  It is suppose to be a happy pill.  I will go off of it for a week or two and I do not notice of my being unhappy or being happy when I go back on it.  When I go off it because i am too lazy to get it filled, after about a week or two, i feel like i am coming down with the flu, i.e., body aches....even to my fingers, shoulders....all over.  As far as making one tired, I have Chronic Fatigue Syndrome and need a lot of sleep and still feel like I need more. I just zonk out.  So I did not notice any ill effects in taking this drug.",10,14,1
"Prozac","Nickname","March 1, 2020","Taken for 1 to 6 months","I was told on Prozac I would start to feel better about my depression after 1 to 2 weeks. During the first and second week, I felt really good. But after the third week, I was worse than before I started Prozac. I started self harming, and my relationships (especially with my boyfriend and family) suffered",1,24,1
"Prozac","Reba","February 28, 2020","Taken for less than 1 month","After just a week on this drug Prozac, I feel so much better! I've been able to get up out of bed and start living my life again. It's been SO good. Tons of energy, so much so that I had to take it in the morning. It's improved my appetite but I don't overeat. I'm so grateful for this drug! My side effects have been super minimal. I hope it continues working as well as it has! I came here to read the comments because it's working almost too well. Heh. I hope it holds out.",10,82,1
"Prozac","GL","February 11, 2020","Taken for 6 months to 1 year","This is a horrible drug..my advice is to keep your options open to others  before this, let this be your last resort..",1,21,1
"Prozac","don’t take","February 9, 2020","Taken for 1 to 6 months","Went on Prozac for anxiety. I horrible side effects, couldn’t eat I was so nauseous, headachy, tired. It wasn’t doing much for me so I missed a day or two, then would take one, and that was a big mistake. It completely sent me down hill. Out of absolutely no where I was crying every second of the day, having suicidal thoughts. It took 2 weeks to be somewhat back to normal but after that I never got any better. Prozac made me  feel suicidal and gave me depression that I didn’t have before. 2 months off of it, I still feel the same. It seriously messed up my head. My brother took it and also became suicidal out of nowhere. DO NOT TAKE",1,30,1
"Prozac","Clare","February 7, 2020","Taken for 1 to 6 months","I'm somewhat new to prozac. I've been on it for about 4 months, started at 10mg dose and it did nothing for me went to 20mg and it was exactly the same as 10mg, did nothing. I was recently moved up to 40mg  dose and it's made me severely depressed and its brought back my anxiety but 10 times worse. I've recently started starving myself which I'm thinking I'm starting to get some sort of eating disorder. I'm also getting very bad self harm cravings (more than usual) I've acted on those cravings and I'm honestly thinking this is just mucking up my life more.",4,24,1
"Prozac","Naners","February 1, 2020","Taken for 1 to 6 months","I’ve been on Prozac for 5 months. Started with 20 MG, 40 MG, and currently on 60 MG. I’ve had severe anxiety and a depressive episode during my pregnancy. I had my son in December. I thought I would feel better once I wasn’t pregnant anymore. I still feel anxious, and depressed, but Prozac has caused me to feel numb. I can’t feel happiness or excitement. Still I get mini panic attacks, and everyday I feel like I am breathless. Physically I get nauseous, dizzy, and at times I feel weak. I want to get off the medication to see if I can feel normal again. It’s been months that I have been living in this nightmare the not sure If it’s the medication or just me. I want my life back.",4,22,1
