"Drug","User","Date","Period","Review","Score","Likes","Page"
"Quetiapine","Mo","May 25, 2020","Taken for less than 1 month","I was prescribed  quetiapine about two days ago  for derealization/Bipolar/Anxiety/Depression. After taking 25 mg before bed, well, it’s definitely a sedative. I was basically in between sleep and awake having a panic attack. I had crazy dreams &amp; the next day I feel worse. I don’t plan on taking it anymore because it was an unsettling, for lack of a better word, experience. This wasn’t for me, personally. I used goodrx to only pay $9 for the medication. And PlushCare to talk to an MD for $100.",2,2,1
"Quetiapine","kate","May 19, 2020","Taken for 2 to 5 years","I was put on this medication quetiapine as an add on drug to go along side my venlafaxine 150mg. Before this I was taking olanzapine 10mg. The olanzapine soon stopped working after about 4 months. I was so low and depressed, I wanted to end my life. I didn't have any emotions. However quetiapine has saved my life. The dose was increased by 50mg every 3 days. At first I didn't feel any different, then when the dr increased it to 150mg I started seeing and improvement in my mood. From then on I got better every single day. I am now on 300mg and have got my life back. I'm now 4 years in remission and have never felt so good. I wish  I was put on this rather than olanzapine.",10,4,1
"Quetiapine","Anonymous","May 14, 2020","Taken for 2 to 5 years","I took the 400 mg quetiapine xr version and the 25 to 50 mg regular one. All was good the drug is smooth helps me sleep.  I just don't know why I look up the Ndc number for my tablet with the number 25 on it for 25 mg, and supposedly when I look it up it says accord, but on the bottle it says inta, maybe accord took over ibta I'm not sure. But it can get confusing.",9,1,1
"Quetiapine","JG","May 3, 2020","Taken for less than 1 month","Seroquel is definitely not for me at 25 mg. I am not sure I have bipolar disorder my symptoms are severe depression and anxiety, but I might according to some of the symptoms. I experienced confusion, could not focus, and felt I was living in a fantasy world. I also had very strange dreams. I have only been on it for 1 week but just could not handle the side effects.",1,2,1
"Quetiapine","Kiki","April 30, 2020","Taken for 2 to 5 years","I took 400mg/night quetiapine and gained 40 lbs. Gained a ton of weight. withdrawal was awful. By end of the 1st week I was hallucinating due to sleep deprivation. I was so sick. Bad Dr didn’t taper me off. Went back to SSRIs, had 2 failed suicide attempts (SSRI resistant) and a new Dr urged me to go back on quetiapine as it was the only thing working for me. I hated the side effects but knew he was right. Gave it another shot with a new Dr at 150mg/night. He said there ARE WAYS to prevent the negative side effects. Dr said with a proper taper, severe withdrawal won't happen. Life made a complete 180. I take Quetiapine with topamax and Metformin and got in amazing shape! (5’4 110lbs compared to 5’4 160lbs the first time I took it) With a proper Dr I realized how much it helps me. No negative side effects cause we keep my dose as low as possible.  There are nights I fall asleep without taking it, and sleep fine— if you’re on this medication having a bad experience you know how rare this is.",8,6,1
"Quetiapine","B","April 13, 2020","Taken for 1 to 6 months","Asked my psychiatrist not to prescribe me these for antidepressants cause I had them as sleeping pills in a smaller dose when I was younger and became addicted to it could not sleep without multiple pills, they did not listen and gave me it for depression and it’s been months now because they said I had to give it a long try and I’m miserable I feel like a zombie everyday I cry and get angry at the smallest things I was better off with no medication than with these and I have gained 15 pounds so yeah not for me",1,4,1
"Quetiapine","Sienna Catz","February 14, 2020","Taken for 1 to 6 months","Experienced headaches, dizziness, extremely sedating, leaves me with a feeling of complete numbness, I am simply hollow when on QUETIAPINE. My sister had the same reaction and our depression only grew worse.",2,3,1
"Quetiapine","Stu","January 18, 2020","Taken for less than 1 month","I had major depression, suicidal idolisation, major anxiety. 1 x 50mg tablet at night feeling much better within 24 hours. Some lingering tiredness and more sleep required, instead of 7-8 hours need 8-10 hours. Years on various SSRI,s 10%-15% improvement at best. Valdoxin, prozac, zoloft, etc.",9,11,1
"Quetiapine","Maggie","January 18, 2020","Taken for 1 to 6 months","Serequel has been life changing for me. I struggled with insomnia for years. Currently diagnosed with bipolar type ll, was prescribed Lamotrigine and Seraquel. Seraquel has helped me tremendously. I’m sleeping better than I ever have, and I’ve actually lost weight with this medication because now that I’m sleeping I actually have the energy to workout everyday. I am so thankful for this medication!",10,18,1
"Quetiapine","Bobby","December 22, 2019","Taken for 1 to 6 months","Quetiapine (or Seroquel) isn't helping me at all &amp; I fear it's negating the effect of my anti-depressant Venlafaxine. Every time I try to take it, I quit after about a month because, despite me sleeping better, my mood becomes very low. This time, during a stay in a psychiatric hospital, I've given it a go for 2 months but the depression has got worse and worse, whereas before I would be naturally depressed for a week and then feel better the next week. I'm going to faze it out so I can tell if my AD works or not.",5,6,1
"Quetiapine","Karen","November 11, 2019","Taken for 1 to 6 months","The first one  tablet I ever took of  quetipine I took made me back to feeling well again amazing meds.",0,9,1
"Quetiapine","Marie K","November 5, 2019","Taken for 6 months to 1 year","It put me to sleep, but in 8 months I have put on  25 pounds . I have never in my life been the weight I am now. Doctor is now tapering me off.",6,10,1
"Quetiapine","Nissan 261","October 26, 2019","Taken for 10 years or more","<b>Seroquel XR (quetiapine):</b>			 All is does for me is help me sleep. I'm addicted to it now..!! Can't sleep without it.. And it cost $100.00 a month!!! I wouldn't recommend me to anyone...!!!",0,10,1
