"Drug","User","Date","Period","Review","Score","Likes","Page"
"Remeron","Xag","June 2, 2020","Taken for less than 1 month","I’m on my 8th day since I started taking half of a 30mg pill before I go to sleep everyday. It helps me have a very good night sleep, has enhanced my appetite and is helping me cope and deal with the hard situation I’m facing. I am satisfied with the results so far although I feel sleepy all day long.",8,9,1
"Remeron","Trytrytry","May 18, 2020","Taken for 2 to 5 years","I was feeling very depressed 3 years ago and I've always suffered from anxiety, I tried other anti-depressants but the side affects were horrendous so I started on 15mg Mirtazapine, they started to work after a few days. I felt calm and my anxiety reduced hugely, I also slept very well. They will give you very vivid dreams, after a few weeks I started feeling anxious/agitated during the day so I popped another pill and that did the trick after an hour. The Doc upped my dose then to 30mg and they worked great at night. But I felt very anxious in the morning so the Doc  very unusually apparently prescribed 15mg for the morning, that really did the trick. Fast forward 3 years, I'm still on the 45mg and they still help me sleep, my mood however is a little on the low side, anxiety is quite bad, in a nutshell they work less and less the longer you are on them, I'm now thinking of tapering off them and trying some talking therapy even if I am a little sceptical of the value of doing so.",9,2,1
"Remeron","Never Again","May 14, 2020","-","I literally split a 15mg down to into 8ths because my body is so sensitive. Wow... I have been out of it for DAYS.. I cannot stop sleeping. Put me in a horrible weird state like I don't know what's going on or like I'm truly awake. Just feel 'out of it' .. Off of a sliver! I have read contradictory things about dosing. I would indeed say and agree with that the lower doses are VERY sedating. Very weirdly vivid (not nightmarish) dreams... I had a gene test done and this medication was on my lower doses maybe be required I can't even imagine what a high dose would do! This is completely staying on my 'NO!' list! Be careful of this medication because it is POWERFUL. I feel like I've just been high for days. Like I've just been smoking the most dank weed and I've just been stuck in this high. When I wake up I feel like I'm manic, like I just have a huge rush of anxiety. I wanted to try this because I am experiencing heartburn like chest pain that isn't acid related at all..",1,5,1
"Remeron","Dave","May 5, 2020","Taken for 6 months to 1 year","I really like this medication. I‘d always been wary of antidepressants because of the well known side effects but being an SSRI I gave this one a shot. Never looked back. Gained maybe 8 pounds but you cant tell because I look and feel so much healthier and happier. Little to no side effects other than that 8 pounds, I can finally sleep again. Woke up a little dizzy in the morning for the first 2 or 3 weeks but it doesn't happen anymore. You probably WON'T ever forget to take it and you won’t be able to sleep without it once you’re on it, but my quality of life is so much higher I don't mind",9,23,1
"Remeron","Anon","March 14, 2020","Taken for 1 to 6 months","I am an alcoholic/addict who had been self medicating through any illicit substance I could get my hands on for over 10 years. Remeron was suggested in treatment since I’ve suffered with anxiety/social anxiety/major depression for so many years that I had lost hope in ever getting better. Remeron worked fast and with counseling/meditation/exercise, and I felt like a person again. I was on Remeron for about 4 months until I tapered off my 7.5 mg dose. For me less was more. About 10 months later I noticed my depression creeping up and since I’ve been sober/clean for about 15 months I felt like I fell short in mental health maintenance  (when I really didn’t) So I went to see a doctor and got back on 15mg and the next day the medication was already working better than I could have ever hoped for. I didn’t want to accept the fact that I was getting depressed but if I didn’t reach out for help it would of led me down the road to relapse.",10,61,1
"Remeron","Coco","February 19, 2020","-","I was taking mirtazapine for around a year and had I been in a better space I would have gotten off it as soon as I realised it was causing certain effects on me. Minor side effects - sluggishness, major weigh gain. I was prescribed this medication due to having poor sleep but it made me have vivid awful dreams - sleep paralysis multiple times a night. I used to sleep for 14+ hours, usually in the day due to being worried about falling asleep for the nightmares. It caused me to miss lots of university - I was so tired and drowsy I could not physically get up. I wish I had been able to understand the effect it was having on my body and stop them sooner. I was severely suicidal. I made plans almost daily, even walking to the shop I thought about walking in front of buses. It was a truly awful time in my life, made worse by a medication which did not suit me. I’m glad it has worked for some, but If anyone I knew personally were to tell me they were taking it, I would advise them not to.",1,34,1
"Remeron","Kimikat","February 14, 2020","Taken for 1 to 6 months","Remeron is great for sleep, anxiety and depression.  It really works !",10,28,1
"Remeron","will","January 31, 2020","Taken for 1 to 6 months","If you can tolerate Remeron then it can be great. It did wonders for IBS/sleep however it did make me get irritated easily and helped a little for anxiety but I was not able to give it long enough to see how much it would have helped. As I raised my dosage I had side effects that the doctor said would not go away if I continued so I had to stop it. I can also tell you that doctors seem to think this a drug that is easy to get off of but after 6 weeks and being told I can quit cold turkey it was not pleasant and obvious withdrawal symptoms. It can take a week before the drug is out of your system so this can last awhile. I would only recommend this as a last resort.",4,17,1
"Remeron","Mnich","January 22, 2020","Taken for less than 1 month","I was prescribed 7.5 mg remeron along with 50mg of zoloft. I've only taken two doses and it left me in a zombie state for two days. I slept but I slept from 11 pm to 11 am which is obviously unrealistic. Even after I woke up I felt OUT OF IT, as if I was on drugs almost and was exhausted all day. I also felt like my thinking was off and like I couldn't even form a sentence, it is very terrifying. It is almost like my brain can't process what is going on in front of me, even my vision felt off.I don't plan on taking this anymore.",4,27,1
"Remeron","Igor","January 8, 2020","Taken for 1 to 6 months","I've been taking Remeron for a few months now, for moderate-to-severe anxiety and mild-to-moderate depression. The only side effect has been that I gained a lot of weight (about 8kg). It helped a little in the beginning, as I was taking 15mg/day. Made no more difference when I increased to 30mg, so I went back to 15mg recently and am planning to stop it (though my psychiatrist does not entirely agree). More recently I started taking Lyrica, which is helping a lot more.",4,11,1
