"Drug","User","Date","Period","Review","Score","Likes","Page"
"Selegiline","Jp","February 16, 2020","Taken for 6 months to 1 year","<b>Emsam (selegiline):</b>			 Started 25 years ago on Prozac and Paxil. Didn’t work. Tried nardil and felt incredible. Over a 5 year period it seemed to diminish and did not work anymore when they changed the coating on it. Over the next 15 years went through many trials and nothing helped. Started Emsan 9mg a year ago and it has helped. I feel 80%. which is acceptable. I can’t think of any side effects. Cost through ins was $80 but the tech at CVS found a coupon and it is only $20/month. Over the past 6 months have read as many books on anxiety/depression that I could and that has helped even more. I pick up tips that help me with anxiety/depression. Never stop trying!!!!",0,9,1
"Selegiline","Anon","January 9, 2020","Taken for 1 to 6 months","<b>Emsam (selegiline):</b>			 Took this years ago for bipolar, I took it for several months and it caused severely agitated mania. Felt good at euphoric at first and quickly turned into extreme anger and impulsivity. Barely slept and when I did, the nightmares were violent and never-ending.  Dr took me right off it.",0,4,1
"Selegiline","lauretha","December 4, 2019","Taken for 1 to 6 months","<b>Emsam (selegiline):</b>			 3 months on ensam patch with some sense mood improvement yet I feel like I'm lacking the motivation and the sense of happiness that I experienced so long ago on the original Nardil formula. On 9 mg 24 hour schedule. I am going to ask my provider to consider 12mg trial period.",0,5,1
"Selegiline","Dan","May 16, 2019","Taken for 1 to 6 months","<b>Emsam (selegiline):</b>			 Currently on Emsam 6mg (selegiline) Such an amazing medication. Feel like myself, tons of energy, very social, and confident. Been on almost every SSRI and loads of other psych meds that have never worked.  The lowest dose of 6mg allows me to eat whatever I want (that I'm not supposed to) not worry about having a hypertensive crisis.  I take 200 mg of 5HTP (the direct precursor to serotonin) a day, too.  Never had any adverse reactions.  Feel great and love life!",0,32,1
"Selegiline","Smirch","April 24, 2019","-","<b>Emsam (selegiline):</b>			 I don't need to go into detail here about how terrifying going through your first depressive episode is. I was prescribed 6 mg Emsam. I didn't notice an improvement for the first three weeks. When I was bumped up to 9 mg... I began to laugh again. I was able to FUNCTION again. I'm to a comparable state to where I was before my depressive episode, however with a few alterations in my personality. The negatives: insomnia - It is rare when I am able to sleep through the night. I often wake up in the middle of the night, and have a lot of difficulty falling back asleep. My psychiatrist recommended that I take off the patch before going to bed, but this put me in a really weird mood in the morning. The irritability - I notice that I get frustrated / angry much more easily now and I never felt like this before. This medication has been an absolute lifesaver for me.",0,12,1
"Selegiline","Bobby","January 23, 2019","Taken for 10 years or more","Clinically depressed for over 50 years. Used Nardil for 35 years then switched to Emsam. It works well. I sometimes have depression episodes but they do not last more than a few weeks. I take 9MG patch. I started with 12 MG. I eat everything and drink red wine. I have sex 2-3 times a week with no meds. I am energetic, a bike racer, swimmer, golfer, world traveler and I am 80. Living in my RV seven months this year traveling the USA. I think the Emsam-Selegine-Deprenyl is a youth drug. Everyone says they have never seen anyone 80 act like me or have the energy I do. I am loving life. My wife died 13 years ago and I remarried a woman 24 years younger.  I have been on an MAOI for 0ver 50 years and it helped me become quite successful. Always had clear thought patterns, an uplifted attitude and plenty of sex. Does it get any better?  It is a long way from the day I put a 357 Mag in my mouth and almost pulled the trigger. Bobby",8,27,1
"Selegiline","Happy","March 31, 2018","Taken for 5 to 10 years","60 yr old male.  I take 20mg/day of Selegiline, at breakfast, for depression, for over 6 years.  Side effects are two:  a) if I drink coffee in the afternoon I tend not to go to bed before 12:00 AM and b) sometimes it's hard to concentrate and I can get very easily distracted.",9,10,1
"Selegiline","FosterM","December 20, 2017","-","<b>Emsam (selegiline):</b>			 Have taken 8 different SSRI medications.  All were beneficial and provided relief.  But all also fizzled out after a period of time. Have been through 2 full treatments of Transcranial Magnetic Stimulation.  Great relief but for only a 3 month period. Have had 8 treatments of ECT with no benefit. The 12 mg Emsam patch has been a literal life saver for me.  The side effects are a piece of cake as far as I’m concerned.  One rare side effect that I experienced was that it lowered my blood pressure.  I learned that having blood pressure levels normal is really debilitating.   But this medicine has completely and totally lifted my depression...this is  the best I’ve felt since my first continuous bout with depression in 1999!",0,31,1
"Selegiline","Noonesbusiness","March 14, 2016","Taken for less than 1 month","<b>Emsam (selegiline):</b>			 I actually struggle with the possibility of bp ii. At 6 MG I didn't have any response positive or negative except that is repressed my appetite, with infrequent feelings of rage,which were controllable with benzos (ativan).  At 9 mg I began to have extreme insomnia (probably because it metabolizes as l-amphetamine or an adderal-like substance). At this dosage the rage I would feel was too much to handle, and was very much similar to what I felt on wellbutrin.  I would caution anyone, if you have rage on wellbutrin, you may (as others have anecdotally said) have feelings of rage on emsam as well. It's worth a try still, however, as when I wasn't feeling intense anger, at 9 mg I did feel better. best of luck.",0,20,1
"Selegiline","dayztyty","November 1, 2015","Taken for 1 to 6 months","I have been dealing with major depression roughly 10 years. Have been on a medley of antidepressants and different combos. Most being SSRI's that seem useless or worsen my depression. Emsam is by far the most effective. I have little if no episodes of suicidal thoughts anymore and life just seems more  managable.this drug actually has promise instead of the many other antidepressants that are just all hype. Definitely worth a try.",9,15,1
