"Drug","User","Date","Period","Review","Score","Likes","Page"
"Sertraline","Anonymous","June 9, 2020","Taken for 6 months to 1 year","Back in February I started having hot flushes, then felt dizzy and odd day a bit down, then a week later I had anxiety, which I had the same in 2007 when my mum died, so my doctor put my on sertraline, I went from a dose 25mg to 50mg and true for the first two months I had every side effect, head aches, blurred vision, cloudy brain, sick, anxiety, up and down days but came on this group to keep my positive and kept with them, now 5 months on I'm almost back to myself I do have odd days but that's life, and just get over it, so for anyone just starting sertraline, please be ready for a few weeks of feeling really rubbish but believe me u will soon start to feel better and it will work for u so hang in there,  As we all deserve to be happy.",10,18,1
"Sertraline","Jay","June 8, 2020","Taken for 1 to 6 months","<b>Zoloft (sertraline):</b>			 I started taking zoloft after 8 months of post concussion syndrome symptoms. My anxiety and very low mood were affecting every aspect of my life. I was suicidal. I started with 50mg for the first month. Only side effects for me was a bit of nausea the first week and a lack of appetite.  By week 4 we went up to 100mg and everything has improved significantly! I can separate emotions from facts which I couldn't do before. The people I thought were against me don't seem to bother me whatsoever now. I've gotten my life back. I have energy and an optimistic attitude. My friends and family have  noticed in big ways. It's been a life changed for me. The only thing I would say are side effects Low libido Shortened Sleep. I usually wake up in the middle of the night now.",0,16,1
"Sertraline","Stone","June 7, 2020","Taken for 1 to 6 months","<b>Zoloft (sertraline):</b>			 I’m 50 and have struggled with anxiety because of my 26 year relationship with my wife. After 60 days I don’t have the breakdowns any more and can function. Zoloft helped me to close off to her and begin to feel safe emotionally. It really works.",0,7,1
"Sertraline","Anon","June 5, 2020","Taken for 1 to 6 months","I have been on sertraline for about 4 months. I had horrific side effects for 2 days including more severe depression, intrusive thoughts, nausea, diarrhoea. I persevered after reading reviews on this site. I didn’t feel any different for maybe 2 months, but now I feel amazing! I feel the best I ever have and I only had mild depression. I walk around with a smile on my face, no longer feel anxious in social situations and nothing seems insurmountable (and I went through recovery from surgery, a breakup and living with my ex through COVID lockdown on this medication). It’s a game changer for me! I’m on 50mg/day.  Give it time to work because it’s worth going through the horrific side effects to feel like I do. Just make sure you chose a good time to start (i.e. not a busy time at work or similar) because you may have to take a few days off work. Make sure you have support.",10,15,1
"Sertraline","High all the time","June 3, 2020","Taken for 5 to 10 years","I have epilepsy, I take Lamictal, and Sertlaline. I've had very good results, no anxiety, no seizures. These medications make you feel a constant buzzing in your head, I'm used to it, but a lot of people can't handle it. I suggest that you start on a low dose band move up from there.",10,4,1
"Sertraline","Janet","May 4, 2020","Taken for 1 to 6 months","My experience with depression after several traumatic life events happened so physically,  and hit so hard I was convinced it could not be depression but that something must be wrong . I was also almost « manic » during my pms , completely off my rocker. My doctor prescribed 50mg of sertraline, first 2 days I felt like I was vibrating but it faded quickly , after a few weeks I didn’t feel any real improvement so my doctor increased to 100mg again a little  vibraty  for the first day or 2 , then slowly after a few weeks I noticed I was feeling somewhat better ! I could go to the grocery store ! I was able to clean my kitchen ! Without needing a nap ! I still wasn’t quite there after a few weeks , (need to be more functioning) so increased to 150mg . I’m hoping after reading these reviews that this will do the trick. I am also in therapy weekly. I take it at supper time which I was recommended by pharmacist .",8,13,1
"Sertraline","Pat1414","May 3, 2020","Taken for 2 to 5 years","I have major/severe depression and have been on a variety of SSRI's/SSNRI's/NDRI's and Sertraline is great but for a few wrong reasons. The anxiety/OCD/rage was worse than the depression though. I've been on Sertraline (100mg) for a collective 4 years and its pretty much done the same thing: It ELIMINATES anxiety, OCD and rage/anger issues. It's better than benzos in doing it as well. The problem is what is doesn't do: For me, it had no effect on the depression/mood (which was the point?).  Side effects: Fatigue (like a zombie), yawning, feeling disconnected, and makes you have terrible quality sleep.If you're a male, it makes it difficult to ejaculate. In closing, I would use this for major anxiety/OCD/PTSD/anger issues, but it doesn't lift your mood. Side effects aside, it will change your life, but please get a sleeping tablet as well.",9,10,1
"Sertraline","Swear by it.","May 1, 2020","Taken for 2 to 5 years","I have been it for about 5 years now and thankfully I have had no side effects. I take two 100mg  sertraline at night and been working great. I have tried others ( Lost count how many ) but never worked. It's been hit and miss till I was prescribed Sertraline. That was heaven sent.",10,13,1
"Sertraline","Eilidh22","April 30, 2020","Taken for 6 months to 1 year","I am so thankful for these reviews otherwise I probably wouldn’t have persevered as long as I did on Sertraline. I was in deep despair and anxiety following a few traumatic life events, In bad way. Put on 50mgs and first week or so got an amazing effect but that stopped. Up and down over the next 4 weeks then up to 100, On that for 8 weeks  and again happy a few days, low a few days. Felt it maybe wasn’t working which I was distraught about, but these reviews really helped. So many times I thought about giving up but many reviews said to persevere. Side effects of nausea/increased anxiety can be horrible but isn’t 24/7. Propanolol 10mgs and diazepam 2mgs helped.  Up to 150mg and again happy days bad days. Nearly gave up again. Now been on 150mg over 8 wks and eureka! Happy, calm, positive, sociable, fun. So if this sounds like you, please please persevere! Get help and support through it and ignore when people say takes 4-6 wks. That’s taken me nearly 6 months, but wow it’s worth it!",10,36,1
"Sertraline","Anonymous","March 10, 2020","Taken for 1 to 6 months","<b>Zoloft (sertraline):</b>			 I started taking sertraline around 5 weeks ago today (25mg). The first few days were fine, I only had a bad stomach for a day or so. However at around week 2 I felt awful, was having extreme suicidal thoughts. I carried on taking the medication as I know it gets a lot worse before it gets better. At 5 weeks now, I have increased my dose to 35.7mg and I feel pretty good. Haven’t had any side affects from increasing the dose slightly just yet. It’s worst sticking it out through the hard times, there is defiantly a light at the end of the tunnel!",0,35,1
"Sertraline","Hope4U","March 1, 2020","-","<b>Zoloft (sertraline):</b>			 Teenage son was on Lexapro then Zoloft gradual transition of 10mg lexapro + 50 mg Zoloft for 2 weeks then 3rd 50mg of Zoloft. Next 3 weeks,  was totally insane with side effects. Week 3, Zoloft increase to 100 mg with 50 mg of Seroquel for sleeping.  We were wondered  if Zoloft making everything worst, but we hung in there.  So glad we did; by week 4 seem like everything reach an equilibrium point; it was like - my gosh what is happening...the depression, anxiety, compulsive  behavior went from a 10 to a 3.  He was able to control &amp; process thoughts, listen to advice, paused more to think things through before his responses, in general very talkative about everything.  Something totally wonderful happened the 4th week and continues to this day.  He is now receptive to knowing the Zoloft medication has pulled him thru a very dark place and now voluntarily open to continue therapy.  For us the Zoloft medication is working.  Yes, it did take time &amp; a lot of patience to see the results.",0,53,1
"Sertraline","Cosmic57","February 29, 2020","Taken for 2 to 5 years","I have taken sertraline for 3 years and it's my miracle drug . No side effects at all but it took about a month to kick in and I have no intentions of not taking it .I cannot go back to the person I was",10,40,1
"Sertraline","Joanna","February 29, 2020","Taken for 6 months to 1 year","<b>Zoloft (sertraline):</b>			 Been on this med for about a year. 100 mg is the best dosage for me. Really does help depression, but doesn't take away normal grief. When you're happy , but I find that on it, you're really happy and calm, when taking your pills daily and not skipping doses. I found that combining with high quality magnesium also really helps my mood. The combination is great. Magnesium alone did nothing.",0,40,1
"Sertraline","Mary","February 28, 2020","Taken for less than 1 month","<b>Zoloft (sertraline):</b>			 Starting zoloft again at a dose of 25 MG today. I was on it a couple months ago at a starting dose of 50 MG. I didn't have many symptoms the first time around for two weeks. Week third, probably when it build up in my system, I experienced a continuous migraine along with high pitched ringing in my ears. I was also very constipated, bloated and had dry mouth and was very fatigued throughout that third week. I also lost my appetite and couldn't reach an orgasm. I was very uncomfortable and emotionally unstable during that whole third week. I stopped taking it and all symptoms ceased within 72 hrs. I saw my doctor who put me on wellbutrin. Wellbutrin was awesome, but unfortunately I can't continue taking it during the long term dental work I'm having done. I hope this time zoloft, with a lower dose, will not cause the same symptoms it did initially. Wish me luck.",0,23,1
"Sertraline","Ellie","February 23, 2020","Taken for 2 to 5 years","<b>Zoloft (sertraline):</b>			 Hi everyone, I am glad to find a place that I can tell my story &amp; maybe get some opinions. I started taking Zoloft when my husband of 53 years passed, that was 3 years ago. I had the doctor give me instructions on weaning from it in November. So now it has been 8 days off. I did not have any side effects until today. After I got home from church I just broke out in tears &amp; I am not a crier. Is it normal to get this effect after 8 days off?  I really would like to stay off the med. Thanks",0,31,1
"Sertraline","Ks","February 22, 2020","Taken for 6 months to 1 year","This medicine helps my depression! But please make life style changes, as alone , it may not work Start the smallest amount first 25 mg or so as it can cause headaches  But after two month it can be rewarding  Good luck and hope you get better!",8,12,1
"Sertraline","Jonathan","February 20, 2020","-","I started Sertraline 2 years ago after taking Fluoxetine.  I had awful anxiety on Fluoxetine.  Initially I was on 50mg  Sertraline which wasn't great went up to 100mg  Sertraline and within a month I'd gained 2 stone despite no dietary changes at all.  As time went on I've experienced extreme bloating, gastric reflux, continued weight gain, elevated liver enzymes, elevated Cholesterol and decreased motivation.  An incessant cough also plagues me despite seeing my GP there has been no help because they cannot see a reason for it.  This medication has ruined my health, my stomach and throat abs everything else.  I do not recommend this medication.  My depression and anxiety have not improved at all with this medication I am unable to work.",2,16,1
"Sertraline","Ben_","February 20, 2020","Taken for 6 months to 1 year","I have co-morbid depression with anxiety and usually experience 'flare ups' versus a constant state of disarray. Doc was looking to stabilize and put me on Sertraline (50mg). I stuck to it for 9 months and literally never felt a thing. Ever. No side effects, no mental change.... literally nothing. After the 9 months, I stopped, cold-turkey (not recommended) - this was 2 months ago. I've switched doctors and am hopeful they may be able to help.",1,5,1
"Sertraline","Chris","February 19, 2020","Taken for 1 to 6 months","<b>Zoloft (sertraline):</b>			 Increased anxiety dramatically the first few days I took it - to the point I thought I would have a panic attack while I was driving. This levelled off but after every morning dose it would increase my anxiety a bit. Helped with depression I think but unfortunately after a month I started developing sexual side effects and had to cease.",0,9,1
"Sertraline","Anonymous","February 17, 2020","Taken for less than 1 month","<b>Zoloft (sertraline):</b>			 Day 18 on Zoloft started with 50mg increased to 75mg after day 7.   Day 11-15 were terrible days, I felt a lot of anxiety mixed with crying,  lost of appetite and I experienced panic attacks in the early mornings three days in a row (I’ve never once had that issue before).  My physician added 10mg of Buspirone twice a day to help fight those battles and it helped.   Today was a beautiful day — I don’t remember a signal thought holding me back, I felt balanced.  Hope this continues.",0,20,1
"Sertraline","Symone","February 16, 2020","Taken for less than 1 month","<b>Zoloft (sertraline):</b>			 I was on the medicine Zoloft for 4 days I experienced hallucinations, heart racing, shaking, blurry vision, insomnia, dry mouth, shivers &amp; I can’t remember if I ever went to sleep one night",0,22,1
