"Drug","User","Date","Period","Review","Score","Likes","Page"
"Tramadol","Sober alcoholic","May 22, 2020","-","Took first dose 2 years ago. Was 1 year sober (alcohol) and took unprescribed for pain. Took 2 weeks to go 300mg/day. 6 months later at 800mg/day; had 2 seizures. After I maintained at 600mg/day for 8 months. Was happy, energetic, and productive. Wanted out, not willing to give up benefits. Then pandemic came/shut down my source. Self-tapered, now at 100mg/day, can’t taper further without physical withdrawal. Altered mental state to point of suicidal ideations during taper. Works as antidepressant, very addicting. Wish had never taken. I read these forums when I first started experimenting and thought I could manage it. I was wrong. I guess it treats everyone a little differently, but if this post could persuade one person to get out of it before it’s too late then I have my purpose for posting. Please be very careful with this drug, I am still in so much psychological pain unlike anything I’ve experienced since getting sober.",1,16,1
"Tramadol","stephen55","March 2, 2020","-","The SNRI metabolite for Tramadol yields most of the anti-depressant action. More mental and emotional energy.  Personally, I haven't noticed any addictive quality at all. I have used other hard pain relievers (Oxycontin and Fentanyl) in the past, so I know my Tramadol is not like those. Also I have used Tramadol for 8 years at 400 mg/day; I have experienced NO tolerance-building; I don't have to increase the dose. Psychiatric usefulness definitive.",10,38,1
"Tramadol","CatMom","February 28, 2020","Taken for 1 to 2 years","I have suffered from depression for years, and also have PTSD. Last year my depression became much, much worse. I was in tears most of the day, no positivity with anything and to the point where I was contemplating suicide. I had tried so many medications and CBT , nothing worked. I was given these tramadol for my depression and they worked within hours. I could not believe that one little tablet could have such a drastic effect. I now take 50mg in the morning and 50mg at night, I have never taken more. I have no side effects and can honestly say that Tramadol saved my life. I know that it does and will not work this way for everyone, this is just my experience with them and I am truly grateful.",10,38,1
"Tramadol","Quando62","February 17, 2020","Taken for 10 years or more","I've been prescribed EVERY anti-depressant known. I have what is knows as Treatment Resistant Depression. I stumbled across Tramadol 7 years ago and WOW, after an hour, energy, happy, feel like I can do things again after 20 years. Haven't had to increase the dosage after 7 years. This medicine has saved my life. After I take it, my wife says my eyes aren't blood shot, my mood is like it was 30 years ago, and now working full time and building a business up on the side! It's helping my Psoratic Arthritis which I had to increase to 300mg's a day since being diagnosed in 2017",10,231,1
"Tramadol","elandem","February 6, 2020","-","The tramadol helped my depression for a while. I took it on at off (50 mg per day) with various antidepressants.  I would feel effects about 2 hours in, but they would fade quickly - and they never fully took away symptoms.  I then started taking 2 (50mg) per day - one before getting up to help morning mood and then one later in the day.  This was not effective at all.  I've now been on the 2X per day dose for a month and am tapering down to 1 per day for a week, then will go to 1/2 per day for a week and stop.  I'm going to try pregabalin as my depression has some anxiety and that might help?",3,4,1
"Tramadol","Ramirez","January 31, 2020","Taken for 1 to 6 months","Nothing better for depression at low doses up to 100mg. Best of all it starts working within 60 min. To avoid tolerance and/or addiction just rest 1 or 2 days a week.",10,26,1
"Tramadol","Malan","January 13, 2020","-","I have been using it for years. It relieves depression. But keep the dose lower because it is addictive.",0,21,1
"Tramadol","Jame583","January 13, 2020","-","I actually found  tramadol worked for depression while being treated for pain in back. Noticed how great I began to feel. No depression and actually felt like myself for the first time in years. So I actually had a long talk with my psychiatrist and after showing him several articles from various sources, the NEJM for one and much more and telling him of my experience why using it for pain and how it uplifted me he finally agreed to it on a trial bases. I haven’t looked back since. Now I still take my other depression meds. The tramadol is in additional drug. Yes it is addictive and no I don’t care. Your body will start showing signs of tolerance and you made need to adjust your dosage over time. I recommend starting on the lowest dosage that works for this reason. Do not abuse it because it makes you feel high or buzzed. This will increase the quickness in tolerance and you will eventually run in to the ceiling on daily maximum dosage",9,29,1
"Tramadol","gettingBetter","January 9, 2020","Taken for 1 to 2 years","I was prescribed Tramadol 50mg a day for chronic pain and found it also cleared my foggy head and low energy.  This has been a life changer for me. I've gone from sitting looking at a pile of work thinking, I just don't have the energy to do this, to wow getting everything done and more.  I was not depressed, my foggy head and low energy is from chronic inflammation, arthritis, insomnia and autoimmune disorder.  GP does not understand so just keep taking them for the pain with the wonderful side effect of getting my life back.",10,30,1
"Tramadol","Becky28","December 23, 2019","-","I am a single mother of 3 boys one who has autism and some days we're soooo hard that I was only just coping. I had anxiety and depression. I was prescribed me some tramadol for a headache I had and let's just say in about 40 mins I went from feeling anxious, stressed and angry to happy, energetic and playing with my children. Complete life changer for me for the better. My quality of life improved along with my families as now they have a mother who is happy, patient and calm. I've been on tramadol for about 7 years with no complications. At most I have gone up to on bad days was 800mg but now I taper down or have a couple of days break so my tolerance does not build, because obviously like other pills the withdrawal is awful. But so worth it for me",10,35,1
