"Drug","User","Date","Period","Review","Score","Likes","Page"
"Tranylcypromine","camarchie","June 1, 2020","Taken for 1 to 2 years","<b>Parnate (tranylcypromine):</b>			 I've had dysthymia and episodes of acute double depression (atypical) with anxiety forever but depression for 6 years. Been on Zoloft, Pristiq, Effexor, Brintellix, Prozac, moclobemide bupropion etc. Finally psychiatrist put me on Parnate and it's been amazing really whilst still having some residual symptoms it's almost reset my brain back to how it was before I was depressed. I pay no attention to my diet though I don't drink and I'm not into aged cheeses or meats really but have had them inadvertently without noticing never an issue. Slight increase in appetite but easily mitigated by just walking more and driving less. It's worth a shot for treatment resistant types without doubt. Have seen a friend who was on 600mg Pristiq having crying spells completely transform within 2 weeks of Parnate.",0,1,1
"Tranylcypromine","J","May 28, 2020","Taken for less than 1 month","<b>Parnate (tranylcypromine):</b>			 I have been on countless drugs over the past 12 years and after attempting suicide in February and then being hospitalized for 5 weeks and then another 4 weeks recently my psychiatrist started me on Parnate a week ago.  I am in awe of the change in my mood.  I've been discharged from hospital and have no thoughts of suicide or self harm. I am hoping with everything in me that this is going to be the change I need.",0,3,1
"Tranylcypromine","Angie","May 17, 2020","Taken for 1 to 6 months","<b>Parnate (tranylcypromine):</b>			 I'm a 56 year old female who has struggled with treatment resistant depression for 20 years. In that time, I've been prescribed 25 different meds which were ineffective. Last month, out of desperation I asked my Dr to prescribe parnate. That was last month. I haven't experienced one negative side effect and feel better than I have in 20 years. It's literally saving my life.",0,10,1
"Tranylcypromine","wit's end","May 3, 2020","Taken for 1 to 6 months","4 weeks now on Parnate and I'm feeling like my old self again! I can laugh again, take things in my stride, wake up with enthusiasm to face the day. My GP said, most people are feeling more depressed right now with the social isolation, uncertainty of the pandemic so this must be working. It took me months of. research and trepidation to try it, after a year of worsening depression due to carer stress. Had tried Zoloft, Pristiq and Lexapro in the past. Food restrictions are manageable, no side effects apart from broken sleep. Recommended",9,2,1
"Tranylcypromine","Isurvivedhconacher","March 3, 2020","Taken for 1 to 2 years","<b>Parnate (tranylcypromine):</b>			 I was in acute withdrawal for FIVE YEARS from this dirty drug. The Dr had no clue what she was doing, nor what to do with me.  I'm amazed I survived this torture.  This is a dirty dangerous drug.  I now see there is Parnate Withdrawal Syndrome, this is an actual thing. Funny how true statistics of what this drug is doing to people aren't being collected???",0,2,1
"Tranylcypromine","Marcos","February 26, 2020","Taken for less than 1 month","<b>Parnate (tranylcypromine):</b>			 Parnate did not give me ANY major SIDE EFFECTS. The insomnia was manageable, and the instant benefits felt from day one (no exaggeration) gave me hope that I was on a good track.  For comparison, I have been through Fluoxetine (2 years). It gave me 1 month of side effects and no benefits, but eventually I got better and continued with it. Unfortunately, Fluoxetine stopped working from 6th month or so. But I kept the faith in it. For 2 years. The psychiatrist also put me on Desvenlafaxine. It was a nightmare of headaches that lasted for a day, putting me in bed. For no benefit. Compared to these experiences, Parnate feels like a walk in the park. Beware the dietary restrictions.",0,3,1
"Tranylcypromine","Dog Friend","January 16, 2020","-","<b>Parnate (tranylcypromine):</b>			 I have taken Parnate for 30+ years. Have low-grade chronic depression. Any time I weaned off Parnate, gained huge weight due to out-of-control appetite as well as lethargy &amp; irritability that makes it impossible to function. Tried 15 other anti-depressants (because of severe hypertensive crises): all failed over time; Parnate is only medication that works. I would like not to take ANY meds, I would like to be able to eat aged cheese, or avocados, have a glass of good wine, eat in a restaurant without having to do major detective work and scare the staff,  but those things are not possible. Parnate is like insulin for a diabetic: it is life-preserving. Side effects you HAVE to deal with. I ended up in emergency twice as a result of tyramine (misled by restaurant staff). Insomnia: I take last dose no later than 2 pm, no caffeine after morning, &amp; when necessary, Imovane to help sleep. Loss of libido &amp; difficulty/inability to achieve orgasm are HUGE trade-offs, but in my case they are trade-offs for life.",0,20,1
"Tranylcypromine","kingboo94","December 28, 2019","Taken for 1 to 6 months","<b>Parnate (tranylcypromine):</b>			 The only medication to rid me of depression, anxiety and insomnia and within weeks.  But I experienced a lot of side effects; weight gain (8kg in 6 weeks), major sugar cravings, postural hypotension, urinary retention, difficulty staying awake at random times during the day and there were others I can’t recall. It also just stopped working on me within a few months and I was on the max dose. Definitely recommend trying if other medications don’t work.  The  food interactions  weren’t an issue for me.",0,8,1
"Tranylcypromine","Roblitespeed","November 23, 2019","Taken for 1 to 2 years","<b>Parnate (tranylcypromine):</b>			 This drug has been a miracle for me.  Over the last 40 years I've been on virtually every antidepressant.  Nothing lasted more than a few weeks.  I even went as far as having ECT, with terrible results.  30mg of Parnate has kept me from thinking suicidal thoughts and made life bearable again.  The main side effect for me is the dietary restrictions.  Unlike most of the people that have posted their experiences here, I have a very strong reaction to tyramine containing foods.  Four slices of bacon raised my BP to 222/110.  Eating one day old leftover bbq resulted in a trip to the ER.  I keep Hydralazine around for emergencies now.  I know if I eat the wrong thing because I get a throbbing headache within minutes.  Now I am much more careful about the food that I eat.  Only fresh foods and no aged cheese or meats for me now.",0,12,1
"Tranylcypromine","Lincoln","November 9, 2019","Taken for 1 to 2 years","I'm a practicing psychotherapist, and like many people  on these pages, my REAL nightmares started not when I was sleeping but when I WOKE in the morning ! The depth of my depression was crippling my family and work life. Also, like many others here, I tried almost every other antidepressant with  NO improvement, just negative side effects.  I knew about Parnate (tranylcypromine) but was wary of diet restrictions until I realised I'd rather live on plain rice the rest of my life rather than fight off the crippling depression! And, yes, my life changed! Enthusiasm returned. Hope returned. Laughter returned.Leaving me only to echo what other people have written here.  This truly is the ONLY GENUINE, EFFICACIOUS  ANTIDEPRESSANT available today! PLEASE try it ..please recommend it.. PLEASE spread the word !",10,7,1
"Tranylcypromine","Parnate Believer","November 9, 2019","Taken for 2 to 5 years","<b>Parnate (tranylcypromine):</b>			 My diagnosis is severe depression and anxiety. Thirteen admissions to hospital over the last fourteen years. A TCA worked quite well for a long time but then its effectiveness reduced. Cutover to Parnate four years ago and it has been excellent. Occasional slightly low mood every few months but overwhelmingly a great drug.",0,14,1
"Tranylcypromine","Lollylegs","October 18, 2019","-","<b>Parnate (tranylcypromine):</b>			 This medication Parnate saved  my life!!  NO OTHER medication worked. I've been taking it for 5 years and got my life back. Please, please bring it back.",0,18,1
"Tranylcypromine","Mindfull","October 17, 2019","Taken for 5 to 10 years","Bring back parnate. It's urgent for me!!!",10,2,1
"Tranylcypromine","Emmett","September 10, 2019","Taken for 2 to 5 years","<b>Parnate (tranylcypromine):</b>			 I'd been severely depressed for 4-5 years and tried almost every treatment around, including ECT. Some things helped for a bit, but nothing stuck. 2 years of parnate and I'm 90% 'normal', working &amp; studying, HAPPY some of the time. Not saying it'll work for you, but if you've tried everything else, go for it. Warning 1: side-effects are a thing, they aren't great (and nightmarish if you have serious anxiety). But better than ECT/TMS and the dietary restrictions are more like suggestions really. Warning 2: it's one of the more expensive antidepressants I've tried, at least in Australia.",0,17,1
"Tranylcypromine","Debbic","August 30, 2019","Taken for 1 to 6 months","<b>Parnate (tranylcypromine):</b>			 I took Effexor  for a long time. It was a miracle drug, until it stopped working and I was more depressed than I had ever been before.  The psychiatrist I went to see put me on Parnate.  It is a relief from the depression. It does work and like other people I have not had a problem with food.  My blood pressure was low after taking Parnate so I tried some foods - cheese in particular and I have had no problem with the diet   the problem is insomnia. I rarely get more than two or three hours sleep and that affects everything in my life.  Even though I don’t sleep some days I have lots of energy; other days I am temperamental  because of the lack of sleep.  I hope I can find a psychiatrist soon who will prescribe something so I can sleep. The county I  just moved to has one psychiatrist that accepts Medicare but is not taking new patients.  I get a 3 month prescription which is equivalent to half the price of one month - but it has gone up every time I refill.",0,16,1
"Tranylcypromine","Finally","August 26, 2019","Taken for 1 to 6 months","<b>Parnate (tranylcypromine):</b>			 Like almost all of you guys, I spent years with another inumerous antidepressants without result. After asking my doctor for months to put me on parnate, finally he agreed, and started with 20 mg, that seemed to have no effect. After two months taking parnate and on a dosage of 60mg, finally I fell my old self, happy, talkative, without any anxiety (I had generalized and social). I just fell like a normal person, with all my cognitive potential. Thanks.",0,22,1
"Tranylcypromine","Lisa","July 16, 2019","-","<b>Parnate (tranylcypromine):</b>			 I have been on Parnate for 21 years and still going strong. I had severe treatment resistant atypical depression for three years. Over that time they put me on 10 different antidepressants in various combinations and nothing worked. I did my own research and made my psychiatrist put me on it. Within a week I was fine. I would without a doubt be dead without Parnate.  I regularly eat aged cheese and cured meats etc and have never had any food reaction. However, if I drink beer or red wine I do have a minor reaction - sounds weird but I grind my teeth and can just tell it’s reacting with the Parnate. Side effects are very minimal - dry mouth; bit of agitation etc (though that could be from my anxiety issues - which are also significantly reduced on the Parnate). The agitation was worse when I was on 60mg, but now I’m down to 30mg it’s fine. I have tried going off it to see what happened and the depression came back with a vengeance within a few days!",0,37,1
