"Drug","User","Date","Period","Review","Score","Likes","Page"
"Trazodone","Island Girl","June 4, 2020","Taken for less than 1 month","My doctor prescribed this since Prozac and brintellix wiped me out sexually. Apart from the issue with libido, Prozac suited me perfectly, not so however this drug Trazodone. I was told to take 150mg..which in the light of these reviews seems extreme considering my sensitivity to drugs and my body weight, being petite. As instructed I took it five hours before bedtime. I then slept like a zombie for ten hours and woke feeling groggy with super spaced out eyes the next morning. I felt heavy, drugged and seemed to have lost my sense of balance. It took till lunchtime to feel vaguely normal again. While I do not doubt this would prevent the panic attacks as you would be too out of it to panic, whatever the issue, nuclear attack, invasion of the body snatchers, aliens abducting your children. I had no intention of suffering such extreme side effects. Consequently, I did not take again. The search goes on for the perfect drug. It most definitely is not this one.",0,3,1
"Trazodone","Shaggin","May 15, 2020","Taken for 10 years or more","I've been taking trazadone for many years for depression, anxiety and it also helps to minimize or eliminate thought disturbances and of course it helps you sleep. So this medication does a lot and overall I will say that it has been working for me. However I do not like taking this med as it sedates you so much its hard to wake up out of it. This is the one medication I wish I could wean myself off of. Sometimes I skip a dose or two but cannot get too far from it as I will start having symptoms of depression and anxiety again. So I'm pretty much dependent on it.",7,8,1
"Trazodone","Cat","April 30, 2020","-","Doc prescribed me Trazodone for Depression. I started with 25mg because I react very sensitive to meds and the first night I had arrythmia, anxiety, cold sweat and insomnia. These side effects disappeared after 2 weeks except for occasional arrythmia. I slept well in the beginning, but I was also extremely tired during the day. I felt a bit more emotionally stable so I started taking 50mg which was a horrible decision. I had severe sexual dysfunction, wasn't able to feel anything during sex, I slept all day, felt extremely weak, my heart was pounding and I felt like I had to faint a lot. It did nothing for my depression, I felt worse than before! I was crying a lot, and when I wasn't crying I didn't feel anything at all. After a few weeks on 50mg I stopped taking it because I couldn't handle the side effects. Overall I was on Trazodone for 2,5 months. I had withdrawal symptoms like Insomnia, extreme anxiety, suicidal thoughts and others. I can't recommend this medication to anyone.",2,11,1
"Trazodone","Alc123","April 4, 2020","Taken for 1 to 6 months","I switched to trazodone because I was barely sleeping while on a previous antidepressant, it helped with sleep but I had nightmares (which I hadn’t had in years). After a couple months on trazodone I became angry all the time and impulsive...So I had to get off of it. It also slightly helped with the depression.",3,8,1
"Trazodone","Lister","April 2, 2020","Taken for less than 1 month","Pliva 433 pill 50 mg has no effect. Should be tested to see how much of the active ingredient is contained.",1,3,1
"Trazodone","Avila","March 14, 2020","-","Was on trazodone for a year for severe anxiety and mild depression,50 mg for 2 months then upped to 100mg.  Went off them a month ago. They helped with the anxiety a lot, associated with therapy ( I was agoraphobic and now only have very occasional easily manageable spikes of anxiety ) but made my energy levels drop and made me feel like a zombie. I was also sleeping too much (9+ hours a night still feeling tired in the morning, nearly impossible to wake up most days).  I went from mild to severe depression as the complete lack of energy prevented me from doing anything. Was relying on energy drinks/caffeine/supplements to get through the day. I stopped cold turkey as I couldn't stand them anymore, the withdrawals are truly horrible during the first week : hot flashes, high anxiety, irritability etc. Feel a million times better now. Only rating 3 because of significant help with anxiety.",3,7,1
"Trazodone","Georgina","December 19, 2019","Taken for 1 to 6 months","Trazodone is absolutely great for me. I'm taking 100 mg of it every night due to terrible insomnia and persisting depression. Sertraline was only making me more miserable, but trazodone worked from day 1. I sleep a lot better and have much less trouble with bad thoughts and bad mood. Some people say it makes them feel groggy, but it's just perfect for me. This medicine is not used very often as an antidepressant, but it does worth trying it if other medicines don't fit you.",10,32,1
"Trazodone","Lion","October 7, 2019","Taken for 10 years or more","6 hours of good sleep.",10,16,1
"Trazodone","Catfairy","September 22, 2019","Taken for 6 months to 1 year","I was prescribed 50mg Trazadone in conjunction with 150mg wellbutrin as the wellbutrin alone wasn't sufficiently lifting my mood, and I couldn't tolerate the 300mg wellbutrin. I took it for several months, it definitely helps for sleep, didn't have trouble sleeping once while on it- which is unusual for me. But I felt awful in the mornings, foggy and headachy, like I'd been drinking a lot. I do drink a glass of wine a night, so that may exacerbate the side effects- I did feel a little better when I stopped drinking for a while. Eventually I got tired of feeling garbage all day, and have gone off it. I've been off two days, had  trouble sleeping last night but can't believe how much better I feel! This is the first time in months I've woken up with a clear head. My depression is under control at the moment so will continue with just the wellbutrin.",2,11,1
"Trazodone","Eggo","September 20, 2019","Taken for 10 years or more","Was on this drug trazodone for 11 years, 50mg only. In April this year I began to feel depressed and GP put me on another Anti Depressant, Sertraline. He advised me to wean myself off Trazodone over a 2 or 3 week period. Never experienced anything like it. Awful hot and cold sweats, trembling and worst of all , Insomnia.  6 months have passed but the insomnia is almost as bad as ever, despite my taking strong sleeping tablets. My advice is to think very carefully before using this drug, as it has really messed up my life big time.",1,22,1
"Trazodone","21855000906992","August 23, 2019","Taken for less than 1 month","I have insomnia and depression.  I’ve tried a lot of antidepressants and I found I’m also having trouble sleeping and struggling with depression.  I’m 63 years old. My doctor prescribed trazodone 50 mg and I’ve only had it one night so far. I haven’t had a good night sleep in a long time and I actually feel human today. I’m very sensitive to meds so I had to cut the 50 mg and I’m going to try 25 mg tonight because I felt a bit groggy this morning  but I am sensitive to meds. I really am hopeful for this to work.  A bit soon to have an opinion but I haven’t felt this good in a long time. Also told it’s not habit forming. I was sleepy  15 minutes after I took it. And oh yes make sure there’s food in your stomach. Made me feel a bit nauseous so I had a couple soda crackers. Hope this helps some people I’ve seen a lot of positive comments made. Have a great day. ??",10,42,1
"Trazodone","Rosie","August 18, 2019","Taken for 10 years or more","I suffer from anxiety and depression after trying many other prescribed medicines I finally found trazodaone which is the  one that works for me",9,32,1
"Trazodone","Worry Wort","August 6, 2019","Taken for 1 to 6 months","It’s a good drug for anxious depression and great for sleep.   I couldn’t tolerate but just 10mg Prozac because of agitation,  but now 50mg trazodzone nightly and 10mg Prozac morning gives me smooth depression relief.",9,25,1
"Trazodone","Shifty22","July 3, 2019","Taken for 1 to 6 months","I take this as a mood enhancer / sleep aid alongside my antidepressant, Zoloft.  Within an hour of taking this medication, I NEED to sleep. If I wake up within 3 hours of taking it, I get extremely dizzy and begin to stumble around. If I do manage to sleep after waking up, I wake up with a terrible headache and brain fog.  If I don’t wake up after taking this medication, I sleep very soundly but still wake up a bit disoriented (brain fog).",8,29,1
"Trazodone","Recovering addict","June 11, 2019","-","I started trazodone 150mg to treat anxiety &amp; depression 9 weeks ago. I’m still feeling awful &amp; have bad anxiety, terrible mood swings, emotional, I get a horrible feeling after I’ve taken it like I’m on drugs, it definitely helps me sleep, TOTALLY KNOCKS ME OUT! So I take it just before bed. Mornings awful like having a terrible hangover &amp; I’m in recovery 15 months free from booze &amp; cocaine. My doc advised me to increase to 300mg I tried that for 2 days side affects were awful: hideous diarrhoea &amp; panicky. I’m now on week 10 &amp; this isn’t subsiding. I’ve been told to drop back down to 150mg.  Will this improve? Anyone experienced similar, pushed through and got a different result. I trust my GP but I’m not sure how long I can continue to feel like this. I'm so panicked &amp; awful. All day I feel confused, dizzy, mix my words up, forget everything. I’m also on a reduction from diazepam, that is nearly gone.",2,21,1
"Trazodone","noodles","April 25, 2019","Taken for 1 to 6 months","Trazodone helped me so much, I felt a boost in my confidence, I slept better at nights and my energy levels were so high. I felt so great everyday when I took them, I would always take them 9pm at night, then get tired half an hour after taking them. It definitely helped with sleep. I was ready for the day at 7am. I had so much motivation while on this medication. For anyone that is thinking of starting Trazodone, remember it takes a month to get the full effect. It doesn't start working as soon as you start taking it. I think it does work with sleep right away because it makes you drowsy after taking it.",10,49,1
"Trazodone","Sandy","March 25, 2019","Taken for less than 1 month","I am a waitress and since I have been taking trazodone I feel  I can't remember stuff. I'm tired all the time, dry mouth, weird dreams.  I would rather be depressed.",1,23,1
"Trazodone","kaboom - FL","February 19, 2019","Taken for 1 to 6 months","I have finished my first month of 150mg Trazodone after a heroin addiction to help with depression and insomnia.  It getting up is a lot easier in the mornings, I wasn't able to function due to depression but now things are getting a little bit better, mostly at night is when poop hits the fan for me mentally. I have BPD as well which traz. has 0% effect on, DR's don't really care about my health they just gave it to me because I asked, and I was on this milligram  prior to addiction. I think I got hooked on Heroin again  because I was off my SARI.  Anyways. chin up, this stuff isn't too terrible. I can fall asleep fast and quick and not wanna die all day so thats something.",7,26,1
