"Drug","User","Date","Period","Review","Score","Likes","Page"
"Trintellix","Lee1209","June 9, 2020","Taken for 1 to 6 months","I started Trintellix 2 months ago for anxiety/depression. I've been on Wellbutrin which helps my mood &amp; can counteract some sexual side effects so I’ve stayed on it but it hasn’t really helped my anxiety. I’ve been on Zoloft, lexapro (horrible experience) and cymbalta, all had side effects I ultimately found unlivable.  Honestly, starting trintellix was rough but if you can manage, stick with it! I had pretty bad nauseousness but only threw up once within the first few days of starting, &amp; I started super slow &amp; low. No other side effects and this is the first med that has not affected my sexual function.  My anxiety is lessened and I feel hopeful. The daily nausea has gone away although I’ve noticed I’m more prone to motion/car sickness but my doctor gave me zofran for that.  So far this Wellbutrin/trintellix combo is the best I’ve found for me. P.S. go through their website to get your Rx card to help with costs it helped my price tremendously",9,7,1
"Trintellix","Lf","June 9, 2020","Taken for less than 1 month","I just started two days on this drug. I was told take it with food in the morning to stop nausea. First day my stomach was upset but no vomiting. Today I took it after I ate and within a hour or so I vomited so badly my throat is completely sore. Is this normal? This is such an expensive drug, even with insurance I paid almost $200. I don’t want to discontinue the use just yet but I am not sure I can handle the nausea and vomiting. Anyone else having these same issues?",1,5,1
"Trintellix","asadlife","May 27, 2020","-","I'm in my early 30's- been dealing with depression for almost 15 years. My former doc prescribed me trintillex. he swore it was a super clean med with out side effects. it's been 2+ years taking it (max 20mg) &amp; I had no positive effects. Don't let your doc tell you it won't/rarely causes weight gain. IT DOES, especially if you're a female. It will continue the longer on it/dose increased. Also, awful GI problems- bad nausea or bad constipation. Also only makes anxiety worse especially if you take in the AM- take in PM you can't sleep ^_^  I would stay away from this drug DEFINITELY if you have anxiety, sensitive stomach, prone to weight gain from meds. I'm done off this in 4 days! can't wait",2,15,1
"Trintellix","Jools","May 12, 2020","Taken for 1 to 6 months","Hi guys so I was on many different anti depressants and never really got any side effects at all. I like to think I'm very strong minded when it comes to taking antidepressants. But when I started on brintillex literally within 5 minutes of me taking it I was getting sick, for the first time ever I was getting a side effect from a pill. I thought maybe I was just sick the first time I took it but every single time I did within 5 minutes I would be getting sick. This happened in the car we would have to pull over this happened in work. I'm not one to give up on something so I said I was going to keep going and push through I stayed on it for over  3 months and it didn't get much better! Such a waste of time and money it cost me a bomb for a box of it I think 70 euro as I don't have a medical card and there was no generic version! Worst antidepressant ever.",1,11,1
"Trintellix","Nurse75","May 12, 2020","Taken for less than 1 month","I have always suffered from anxiety and depression. Having to go to work as a nurse's not knowing what the next day would bring was making my anxiety out of control.  I went off Wellbutrin, started low dose of Trintellix. The anxiety was quickly gone, but I feel blah, crying al ot, getting depressed easily.  I'm going top try and get back into working out again and see if that helps.",6,7,1
"Trintellix","Kgirl","February 25, 2020","-","I went on this medication because I have a condition called PGAD (persistent genital arousal disorder). The condition I have is absolutely horrible. I was previously on zoloft for over 10 years 100mg. It starts to flatten out so my doctor also gave me Wellbutrin 150mg in 2016/2017. In May 2019 my PGAD condition occurred (reasons are still unknown). I was then told to go off zoloft due to it's sexual side effects and try something else. My doctor gave me Trintellix 10mg. At first it worked okay. I felt super nauseous for a while. Then later almost every night I waa throwing up an hour after taking Trintellix. I took Trintellix for 8 months with zero relief of the vomiting. I have to take domperidone before my trintellix so I don't puke. My condition sort of got better now it is terrible. I also have anxiety and panic attacks nearly every day and cry very easily. It just isn't the pill for me. It was used for my anxiety and did not work.",2,24,1
"Trintellix","Anonymous","February 24, 2020","Taken for 6 months to 1 year","I was on Cipralex for 5 years for anxiety and depression and my anxiety was better but about depression it was up and down, my dr switched me to trintellix 20 about 6 months ago and I feel my depression is getting better. I feel more happy but it worsened my anxiety ! I don't think this drug helps for anxiety at all !!!",2,22,1
"Trintellix","cali999","February 23, 2020","-","Trintellex started working by the end of the second week and continues to.  I am happier than I have ever been and so impressed that Trintellex was able to get me through the incredibly difficult last two months, e.g changed jobs, had a project with an impossible deadline, the holidays, etc.  I'm on 10mg daily.  Side effect-wise  I have some sexual dysfunction (loss of libido, difficult to achieve orgasm) but right now it seems worth it to feel this good.  I've also lost weight. A new wrinkle as of 2 weeks ago is a tinnitus.  I only notice it when its totally quiet which hasn't made sleeping the best so I take Trazadone to help with that which works great.  After two months, I'm still feeling great on the Trintellex but the side effects aren't dissipating and I'm wondering how long I will be able to deal with them.  Definitely not forever.  Will update if things change.",9,36,1
"Trintellix","Blondie","February 19, 2020","Taken for 1 to 6 months","I started Trintellix at 10mg over 4 weeks ago after being on Prestiq for over a year.  I have been going into a deeper depression then I have ever experienced.  I have sweats, upset stomach (take in morning with food). My nerves are shot and I don't want to leave my bedroom. I used to be so active in life now I just want to hide. I am going to my doctor today to request being taken of this medication and be put on something else.  This medicine has just made my life worse than ever before. If you are deciding on what to go on I would not recommend this product.",1,27,1
"Trintellix","Nikki","February 13, 2020","Taken for less than 1 month","Was switched to Trintellix from Citalopram as it interfered with an antibiotic I needed. I have been on it for 3 weeks now. Absolutely horrible! I have never felt this crazy. I feel like I am loosing my mind. Constant panic attacks, sensitivity to even the slightest sounds, lightheaded/dizziness, nausea, suicidal ideations, difficulty breathing. I am suffering from severe mood swings. I stopped taking it tonight. Just can’t do it anymore. I rather have nothing than this.",1,24,1
