"Drug","User","Date","Period","Review","Score","Likes","Page"
"Wellbutrin SR","partridge","May 29, 2020","Taken for 1 to 2 years","I was prescribed Wellbutrin SR as a boost for my regular antidepressant (I have seasonal affective disorder), since I am at the top-end of the dosing and didn't feel comfortable increasing.  Overall excellent medication. I don't notice many side effects and it has helped to increase my energy/mood enough to make it bearable during the winter months.  If I miss a dose, I get a headache which does grow into a migraine if left unchecked.",8,3,1
"Wellbutrin SR","isa","April 24, 2020","Taken for 6 months to 1 year","I've been taking  Wellbutrin 150mg SR (generic) once a day for the past 6 months.  I have had no negative side effects.  It was originally prescribed to treat my Binge Eating disorder but it did nothing for it.  BUT it did improve my depressed moods drastically! No needing check lists anymore to prompt me to do all the basic stuff a normal human being should be doing, like take a shower.. So for about 5 months I was not depressed anymore, I was also less anxious and had less intrusive thoughts.  I now think,  one month later (so after 6 months), that I should bump it to twice a day (like it's intended in the first place anyways) because my depression and intrusive thoughts are slowing coming back and ruining my attempts at self-care. In the past I took Paxil and Effexor.  Paxil never worked.  Effexor worked for a while (with bad side effects), then stopped working for me.  I hope I have now found what will work for me long term!",10,15,1
"Wellbutrin SR","Mel","April 4, 2020","Taken for 10 years or more","I been taking it over 15 years it has saved my life",10,22,1
"Wellbutrin SR","Mk","September 5, 2019","Taken for 1 to 6 months","So over the last year I had noticed my anxiety has spiraled out of control and I was beginning to feel depressed a lot my Dr. suggested Wellbutrin SR 150mg for about 2 weeks then I moved up 300mg. I’m totally impressed I have no depression whatsoever since the first day I began Wellbutrin and I went to getting headaches everyday due to TMJ to very rarely having a headache. Still have some anxiety so we’re working on taking care of that..",10,35,1
"Wellbutrin SR","LC","August 27, 2019","Taken for 1 to 6 months","I had every bad side effect and it crept up over time. Insane migraine headaches, stomach pain nausea, ear pain, ringing in the ears, vision problems, vertigo, suicidal thoughts. I also had very frequent urination. The agitation  and angry outbursts were really frightening. I was completely fine for 3 months so I didn’t make the connection between the drug and the symptoms at all. I went to doctors for headaches and my bladder and even for allergies until I figured it out myself. I finally thought to myself, what did I start doing differently in my life? It was the Wellbutrin. I called my psychiatrist and told him my symptoms and he told me to stop taking it immediately. I’m glad I figured it out. I really don’t think anybody else other than myself would have. It has been a really rough few weeks with this pain. I felt almost immediately better when I stopped the medication.",1,26,1
"Wellbutrin SR","Cassandra77","July 18, 2019","Taken for 1 to 6 months","I took 100mg for one month and it really helped with hormonal migraines that I suffer from daily.  Cramps and body aches were gone.  Worry about the PMDD  gone.  Depression -gone. I had a lot more energy!   I really was soo happy until I realized that my face HURT with raw deep acne lesions.  My forehead was completely covered (never happened before in my life) as was the rest of my face (usually only on chin and jaw areas at PMS time).  I did experience bad  ringing in my ears for the first 3 weeks and it was tougher getting to sleep.  I could handle all that but not the pizza face.  Too bad:(  I also experienced hair thinning but that could be from PMDD.  I'm not waiting it out and letting my skin continue to scar.",7,18,1
"Wellbutrin SR","Anon","December 30, 2018","Taken for 6 months to 1 year","I took wellbutrin 150mg for 1 week then 300mg for about 5 maybe 6 months and then my doctor increased my dosage to 400 mg mixed with 100mg of Zoloft and I'm shaky, irritated and more prone to crying. I have split personality disorder and its been throwing me into different ones and on top of that I have PTSD and mood disorder plus I'm bi polar type 2 and I've been thrown into my manic states more often. It sucks.",2,12,1
"Wellbutrin SR","MamaBear6","December 9, 2018","Taken for 1 to 6 months","I have found this medicine to be very good for me.  I'm taking 150mg three times a day It has also helped me with losing some weight .  My Klonopin works well with it",10,25,1
"Wellbutrin SR","Jo","November 8, 2018","-","I feel the same way as someone else on here - super irritated and angry . Have ruminations of the past. I'm stopping it today. I have a mood disorder and this makes it bad. Plus I feel weepy too. I can deal with the depression until I find a better med.",5,14,1
"Wellbutrin SR","Me","September 19, 2018","Taken for less than 1 month","I tried to get by on 150 mg of bupropion but was getting weepy over little things and decided to ask to up my dosage and I am now on 300 mg.  (The other 150 mg in the evening).  I went through waking in the night as well as during the day with all kinds of negative feelings and gut wrenching crying. I really didn’t have side effects...I stayed away from people because I knew I was not quite  right  and didn’t want to make a  fool  of myself as I knew my thinking was a little askewed.  I just today—-24 days into the increase in medication felt a break through and feel like I have a new lease on life...it is like I was teetering on the edge and  have now slipped over into normalcy...",10,57,1
