"Drug","User","Date","Period","Review","Score","Likes","Page"
"Zyprexa","Missy626","May 5, 2020","Taken for 6 months to 1 year","I've been on zyprexa for 9 months now, zyprexa has done wonders for me. No more spontaneous deep dark days ahead of me, my close family can really see a difference, I'm just worried about long term effects of this drug. I have bipolar 1 with psychosis.",8,5,1
"Zyprexa","Gigi","April 13, 2020","Taken for 1 to 6 months","This medication Zyprexa is a miracle worker ! I was in a very deep depression,  suicide thoughts. I started feeling better after just a few weeks.I have been on it 6 weeks now and its keeps getting better. The Doctor is now increase it to 10mg, I feel more tired, but that will lessen as time goes by.  I feel like me again !!!",10,5,1
"Zyprexa","MichaelMl","March 23, 2020","Taken for 2 to 5 years","I've found the Zyprexa very good for hearing voices and adjunct for depression.",0,4,1
"Zyprexa","Emero","March 13, 2020","Taken for 1 to 6 months","I was put on 17.5mg of zyprexa in 2017. I took this for 6 months before I finally decided to listen to my body and stop listening to the so called experts. Zyprexa made me dull, depressed and robotic. I now lack empathy, emotion, concentration and I no longer get pleasure from things I used to enjoy. Zyprexa zaps the joy from your life basically. There is no upside. Please please avoid this drug. It will steal your personality and nobody will believe you except for the people who have also been victims of this drug.",1,22,1
"Zyprexa","serj","December 18, 2019","Taken for 2 to 5 years","This drug is awful,  I should've stopped from day 1, now I'm in the 4th year and just started tapering because I'm one of the good boys that always listen to his parents and doctors. Please don't be a fool, don't take this drug it will make you lose years of your precious life.  Better be drug free as you know the only winner of your supposed condition is the big pharma that only wants your money every month.",1,23,1
"Zyprexa","Josh","October 29, 2019","Taken for 1 to 2 years","Hi all, I've been on Zyprexa for about a year and a half at 15mg. I was put on Zyprexa to help with severe treatment resistant depression. I also take 150mg of Effexor and 300mg of Welbutrin. In the past year my depression has slowly gotten worse and I suspect it's the Zyprexa. About 3 months ago I decided to taper myself off Zyprexa. I went from 15mg to 7.5mg for 3 months. I experience moderate sleeping issues (I sleep between 4-8 hours and wake up about 10 times during the night), nausea and a dramatic increase in depression. My highs are lower and my downs are longer and more severe.  My two questions are this: 1) Has anyone experienced increased depression as a result of taking Zyprexa  2) Has anyone experienced an increase in depression as a result of Zyprexa withdrawal.",6,23,1
"Zyprexa","Trapped1","August 15, 2019","Taken for 2 to 5 years","Zyprexa made me dull and gain weight, then found its impossible to stop taking. Even with a very, very slow taper, I have terrible withdrawal symptoms that I never ever experienced before olanzapine. I only took 1.25mg, and after 3 years of tapering  I'm down to about 0.7mg. Now I have heart arrhythmia, akathisia, insomnia, I feel dazed and out of it, erectile issues, and don't feel pleasure or get excited about anything. Olanzapine has ruined my life. If I could do one thing differently in my life it would be to never ever start taking this horrific drug.",1,46,1
"Zyprexa","Anonymous","July 19, 2019","Taken for 1 to 6 months","I hate this drug so much. It made me feel so tired at work and I couldn't focus. Almost got fired from my job thanks zyprexa.",0,42,1
"Zyprexa","Vani","June 13, 2019","Taken for less than 1 month","Stay away! I took 15 mg  Zyprexiafor 2 weeks and I  feel so tired, my vision is blurry , weak hand-eye coordination, and its difficult to speak or understand anything. Why is this drug still being prescribed???",1,39,1
"Zyprexa","maddie","April 19, 2019","-","put on this drug for anxiety, loss of weight, not sleeping, all connected with something that happened to me. On it for a month at 10 mg and had pounding blood pressure in ears, sudden headaches, ankles swelled up 2x their size, gained 25 lbs. in a month, huge appetite, foggy thinking, flat personality and dizzy. After I got off, I felt much better. Off  it now for 2.5 months and I can't lose any weight, and in fact am still gaining, so can't get it out of my system. How can i get it out of my system? I don't want to become diabetic or get heart disease, but this drug can do that and I'M NOT EVEN ON IT! Doctors are putting people on it that should NOT be given this drug, it should be a last resort if at all. This drug can cause permanent changes chemically, in metabolism and dopamine receptors in brain-is there no antidote?",2,37,1
"Zyprexa","Anonymous","March 27, 2019","Taken for 1 to 6 months","Zyprexa made me feel very tired and irritable. I almost cussed my boyfriend over a small convenience,  My  eyesight kept blurring up, always hungry, and then I started getting this uncomfortable drowsy feeling that lasted the whole day. STAY AWAY from this garbage.",1,43,1
"Zyprexa","Mimismum","February 21, 2019","Taken for 1 to 6 months","I’m taking this with pregabalin  Slowly helping anxiety and depression. Anyone take zyprexa on it’s own?",10,10,1
"Zyprexa","Me","October 31, 2018","Taken for 1 to 6 months","A doctor said I had bipolar and put me on Zyprexa and Lexapro. It was a nightmare, I told my doctor it made my depression worse and that I developed restless leg syndrome while on it. The doctor completely ignored me. After months of this horrible nightmare, I switched doctor's and was told I am NOT bipolar, but suffer from depression. I was tapered off Zyprexa and now I feel 100% better. Thankful",1,34,1
"Zyprexa","Lilone","September 30, 2018","Taken for 1 to 6 months","I have ever been a fan of antidepressants as I feel they are a bandaid for underlying problems. I starting to think differently. My doctor put me on 2.5 mg along with 0.5 Xanax. After years of feeling depressed and hopeless I now have more energy, sleep well at night waking up feeling great. I have also have gained weight which I needed to do. I give Zyprexa a 10 stars",8,35,1
"Zyprexa","jizzhue","September 16, 2018","Taken for 6 months to 1 year","I've been taking zyprexa for 1 year.   I had obsessive thoughts it has helped me very much.",9,19,1
"Zyprexa","09dibbie","June 8, 2018","Taken for 6 months to 1 year","It is very good drug .It  helped me very much with obsessions and depression. I recommend it to you",9,20,1
"Zyprexa","Russfamily7","January 5, 2018","Taken for less than 1 month","My husband started zyprexa a few days ago and all he can do is sleep. Is this normal and how long will the sleepiness last",6,17,1
"Zyprexa","south pole","December 12, 2017","Taken for 1 to 6 months","I took this medication many years ago and gained 50 lbs in the first month of taking it. It is horrible nasty stuff and didn't do anything for my moods. I went off it  after that first month.",0,19,1
