"Drug","User","Date","Period","Review","Score","Likes","Page"
"Abilify Maintena","ALI","May 23, 2020","Taken for 1 to 6 months","I have to thank the people that comments on here,  I'm learning from your comments as a mother for a daughter.  Thank you.",8,4,1
"Abilify Maintena","Bobmillionaire","April 9, 2020","Taken for 6 months to 1 year","Double edged sword. Got rid of my psychosis but in return I have no personality/emotions.",6,5,1
"Abilify Maintena","Aby","March 24, 2020","-","Been on arirpirzole for a year and half now, I cannot sleep, only getting about 3 hours a night, restlessness and spending money  My lifestyle is completely different from before might not seem it but I was aggressive and hearing voices also the TV would interfere with my actions. Now taking this medication I feel somewhat better, really I don't get my self in to so much trouble, like arguing and shouting, but now am calm and confident and can laugh again.",9,6,1
"Abilify Maintena","advo4her","March 13, 2020","Taken for 1 to 2 years","Abilify Maintena has changed my life drastically in such positive ways. The AH, VH and TH are all gone, I am able to function without distraction of delusions, and can hold a steady job and take care of my children. I wouldn't be able to do any of this if it weren't for this injection.",10,8,1
"Abilify Maintena","Silver","February 26, 2020","Taken for 2 to 5 years","This med really hasn't helped my voices at all. I'd say at most it takes the edge off my anger. I had the typical side effects which were pretty bad but I also had what I thought was EPS, extrapyramidal side effects in the form of hand movements. Upon withdrawal of the med I experienced an explosion of tics both motor and vocal. I went back on the med and the tics were a bit better but persisted. They include inappropriate tics and are unpredictable. I'm not a fan of any of the antipsychotics, frankly, but I would be weary of the risk of movement disorders in this med.",1,5,1
"Abilify Maintena","Anonymous","January 28, 2020","Taken for 6 months to 1 year","I’m on 400 mg shot for schizophrenia    NOS . I don’t recommend lowering the dosage because you get tolerance to it. I was very impulsive and erratic before going on this, I’m on disability so I could not even maintain working.  Doing much better thinking clearly and hardly side effects besides tired the first month that is all.",9,8,1
"Abilify Maintena","Smog","January 2, 2020","-","been on some form of abilify injection for 4 years. I have never missed a monthly dose. Started 400mg for 2 years 300mg for 2 years and just got my first 200mg Jan 2020 for schizoeffective disorder . I will never be tapered off but the point in lowering is to maintain stability but at the same time control the insatiable  desire the meds give me to eat. Also to try and get back some of the energy the meds just simply take away - energy to cook , clean , and exercise. I have been trying different meds for 10 years and abilify is my preferred. After refusing those other antipsychotic meds that have literally been around forever , abilify injection seemed to be a happy medium and you don’t have to take a pill everyday (because I know I won’t). If you find being on an anti psychotic indefinitely is your reality , abilify makes things easier. With the injection lasting a month long , it’s very incognito and doesn’t remind you that you are being treated - like taking a pill everyday",8,4,1
"Abilify Maintena","Green bottle","November 2, 2019","Taken for 6 months to 1 year","I have used the Abilify Maintena for 7-8 months. All the side effects have almost disappeared except for the anxiety. My psychiatrist has agreed to put me off of it. I guess the anxiety will wear off within a couple of months.",3,2,1
"Abilify Maintena","Green bottle","July 18, 2019","-","Has anyone developed hypersexuality like me?",7,5,1
"Abilify Maintena","Green bottle","June 27, 2019","Taken for 1 to 6 months","I shared my experience once already. But I need to share it again. It has been now 4 months I take abilify maintena. And with the help of the pill form, I feel like the side effects are really subsiding. I gained 20 lbs but at least I feel somewhat normal again.",8,6,1
