"Drug","User","Date","Period","Review","Score","Likes","Page"
"Abilify","seniha","May 28, 2020","Taken for less than 1 month","I took this drug a few years ago and felt like rubbish! My anxiety came back, I lost confidence and my eyes were rolling up. I hated this drug! But now I know every drug works differently with people so this may be good for someone else but for me it was rubbish as!",1,0,1
"Abilify","Helpfulmaybe","May 14, 2020","Taken for 6 months to 1 year","Abilify made me completely out of control. I acted in ways I never had before and where completely out of character for me. I was not in control of my emotions I cried hysterically all the time. I had to be put on something similar to Xanax because I guess my mouth moved uncontrollably. I developed a gambling problem and was out of control with a lot of different things all at one time. I couldn’t stop any of this behavior and it was tormenting. I wasn’t able to cope either. Horrible experience. Do not smoke marijuana with this I would advise against it it will use everything against you and become a problem and made me sicker.",1,1,1
"Abilify","Howisthislegal","April 7, 2020","Taken for 1 to 2 years","Whilst being forced to take this drug Abilify, on several occasions maybe around 10 or so times, mid stream during urinating my stream would suddenly stop and ejaculation would flow out and this is also very painful. This stopped happening when I stopped taking the drug.",1,2,1
"Abilify","Lou","April 2, 2020","-","I'm on Abilify and no longer hearing voices but I still see people who aren't there. Even while on the highest dose of this medication 400mg injection.. I also feel like a zombie most of the time. I'm too tired even to go grocery shopping at times. I'm myself again but I'm not quite the same. I've gained weight 30 plus pounds and I've been on the drug for 3 years. I tried going off of it to 300 and the side effects were my moodiness returned... Sometimes I question if my diagnosis was correct or they are just pushing this drug out to anyone who claims they are depressed.",5,7,1
"Abilify","Endersmom","March 26, 2020","Taken for 1 to 6 months","When I was first diagnosed with psychosis, about six years ago, they put me on risperidone. It was only recently that I discovered that, for all that time, even a moderate dose like 3.5mg/night was making me sleepy ALL DAY, I had no motivation, I became completely inert, I gained a lot of weight, maybe 50 or so pounds, which is a lot for my height. They recently switched me to abilify, and I’ve gotta say, it’s a hundred times better! I’m back to being  up , I’m interested in things again, in being productive, I can even work. As for the weight, it doesn’t give me the appetite that risperidone did, nor does it mess up my blood sugar levels like risperidone did. There’s still a bit of fatigue, but my concerta, prescribed for ADD, nips that in the bud, and besides, even without the c, the fatigue levels are just nowhere near risperidone levels. TL;DR in terms of fatigue, motivation levels and weight gain, abilify is, by FAR, the better choice over risperidone.",8,20,1
"Abilify","Dreamer2000","March 10, 2020","Taken for 1 to 6 months","This drug is okay for Psychosis but it can make me tired at times and sometimes I cannot sleep. I have insomnia from it. It takes away the bad thought but can make me have OCD like thought patterns and ruminating thoughts. I have been having odd side affects from it as well like blurred vision needing to look up all the time and sensitivity to light in my eyes.  I feel more tired on it then I do off of it. My dose I take 400mg monthly and these are the side affects I am getting off of it.",6,6,1
"Abilify","Gypsy","March 3, 2020","Taken for 6 months to 1 year","My son was diagnosed with schizophrenia in 2017 at the age of 21. He tried just about every psychiatric medications in the market over a period of two years with little improvements and lots of side effects including weight gain etc..  Finally he was put on Abilify 20mg daily tablets ,within less than a month his condition started to improve significantly. He is now on a monthly injection which is very convenient. No side effects what so ever. It is now almost a year and we are very pleased with the results. Abilify was a god send.",9,17,1
"Abilify","Anonymous","February 5, 2020","-","This medication Abilify has been life changing for me. I lost my job and was scared about my future living with schizophrenia. I'm currently taking 15mg daily in the morning. I do experience some symptoms from time to time. So I am going to have them up my dose to 20mg. But overall I am thrilled and thankful for this medication.",9,14,1
"Abilify","Lightning Bolt","January 3, 2020","Taken for 1 to 6 months","I got prescribed Abilify 10 mg nightly at bedtime for schizophrenia. I am misdiagnosed. I am forced to take it at the moment. I have developed extrapyramidal symptoms Parkinsonism. My adrenaline and noradrenaline is also way too low. Thanks to my neurologist I’m taking amantadine which helps me with Parkinsonism.",2,5,1
"Abilify","Casper","November 13, 2019","Taken for 5 to 10 years","I've been on Abilify now for 6 years for schizophrenia and at first it worked but now I was up to 10 mg and hallucinating visual and audible, severe muscle cramping all over my body, my legs and feet never stopped moving, I couldn't eat but I'm really small bites because I couldn't swallow, it removed my sex drive I'm a sex addict, it changed me in every way possible. I went cold turkey 2 weeks ago and I feel alive again all the side effects have all but disappeared. I won't go back to it or any other psychotic drug.",2,8,1
