"Drug","User","Date","Period","Review","Score","Likes","Page"
"Aripiprazole","seniha","May 28, 2020","Taken for less than 1 month","<b>Abilify (aripiprazole):</b>			 I took this drug a few years ago and felt like rubbish! My anxiety came back, I lost confidence and my eyes were rolling up. I hated this drug! But now I know every drug works differently with people so this may be good for someone else but for me it was rubbish as!",0,0,1
"Aripiprazole","ALI","May 23, 2020","Taken for 1 to 6 months","<b>Abilify Maintena (aripiprazole):</b>			 I have to thank the people that comments on here,  I'm learning from your comments as a mother for a daughter.  Thank you.",0,4,1
"Aripiprazole","Helpfulmaybe","May 14, 2020","Taken for 6 months to 1 year","<b>Abilify (aripiprazole):</b>			 Abilify made me completely out of control. I acted in ways I never had before and where completely out of character for me. I was not in control of my emotions I cried hysterically all the time. I had to be put on something similar to Xanax because I guess my mouth moved uncontrollably. I developed a gambling problem and was out of control with a lot of different things all at one time. I couldn’t stop any of this behavior and it was tormenting. I wasn’t able to cope either. Horrible experience. Do not smoke marijuana with this I would advise against it it will use everything against you and become a problem and made me sicker.",0,1,1
"Aripiprazole","Bobmillionaire","April 9, 2020","Taken for 6 months to 1 year","<b>Abilify Maintena (aripiprazole):</b>			 Double edged sword. Got rid of my psychosis but in return I have no personality/emotions.",0,5,1
"Aripiprazole","Howisthislegal","April 7, 2020","Taken for 1 to 2 years","<b>Abilify (aripiprazole):</b>			 Whilst being forced to take this drug Abilify, on several occasions maybe around 10 or so times, mid stream during urinating my stream would suddenly stop and ejaculation would flow out and this is also very painful. This stopped happening when I stopped taking the drug.",0,2,1
"Aripiprazole","Lou","April 2, 2020","-","<b>Abilify (aripiprazole):</b>			 I'm on Abilify and no longer hearing voices but I still see people who aren't there. Even while on the highest dose of this medication 400mg injection.. I also feel like a zombie most of the time. I'm too tired even to go grocery shopping at times. I'm myself again but I'm not quite the same. I've gained weight 30 plus pounds and I've been on the drug for 3 years. I tried going off of it to 300 and the side effects were my moodiness returned... Sometimes I question if my diagnosis was correct or they are just pushing this drug out to anyone who claims they are depressed.",0,7,1
"Aripiprazole","Endersmom","March 26, 2020","Taken for 1 to 6 months","<b>Abilify (aripiprazole):</b>			 When I was first diagnosed with psychosis, about six years ago, they put me on risperidone. It was only recently that I discovered that, for all that time, even a moderate dose like 3.5mg/night was making me sleepy ALL DAY, I had no motivation, I became completely inert, I gained a lot of weight, maybe 50 or so pounds, which is a lot for my height. They recently switched me to abilify, and I’ve gotta say, it’s a hundred times better! I’m back to being  up , I’m interested in things again, in being productive, I can even work. As for the weight, it doesn’t give me the appetite that risperidone did, nor does it mess up my blood sugar levels like risperidone did. There’s still a bit of fatigue, but my concerta, prescribed for ADD, nips that in the bud, and besides, even without the c, the fatigue levels are just nowhere near risperidone levels. TL;DR in terms of fatigue, motivation levels and weight gain, abilify is, by FAR, the better choice over risperidone.",0,20,1
"Aripiprazole","Aby","March 24, 2020","-","<b>Abilify Maintena (aripiprazole):</b>			 Been on arirpirzole for a year and half now, I cannot sleep, only getting about 3 hours a night, restlessness and spending money  My lifestyle is completely different from before might not seem it but I was aggressive and hearing voices also the TV would interfere with my actions. Now taking this medication I feel somewhat better, really I don't get my self in to so much trouble, like arguing and shouting, but now am calm and confident and can laugh again.",0,6,1
"Aripiprazole","advo4her","March 13, 2020","Taken for 1 to 2 years","<b>Abilify Maintena (aripiprazole):</b>			 Abilify Maintena has changed my life drastically in such positive ways. The AH, VH and TH are all gone, I am able to function without distraction of delusions, and can hold a steady job and take care of my children. I wouldn't be able to do any of this if it weren't for this injection.",0,8,1
"Aripiprazole","Dreamer2000","March 10, 2020","Taken for 1 to 6 months","<b>Abilify (aripiprazole):</b>			 This drug is okay for Psychosis but it can make me tired at times and sometimes I cannot sleep. I have insomnia from it. It takes away the bad thought but can make me have OCD like thought patterns and ruminating thoughts. I have been having odd side affects from it as well like blurred vision needing to look up all the time and sensitivity to light in my eyes.  I feel more tired on it then I do off of it. My dose I take 400mg monthly and these are the side affects I am getting off of it.",0,6,1
"Aripiprazole","Gypsy","March 3, 2020","Taken for 6 months to 1 year","<b>Abilify (aripiprazole):</b>			 My son was diagnosed with schizophrenia in 2017 at the age of 21. He tried just about every psychiatric medications in the market over a period of two years with little improvements and lots of side effects including weight gain etc..  Finally he was put on Abilify 20mg daily tablets ,within less than a month his condition started to improve significantly. He is now on a monthly injection which is very convenient. No side effects what so ever. It is now almost a year and we are very pleased with the results. Abilify was a god send.",0,17,1
"Aripiprazole","Silver","February 26, 2020","Taken for 2 to 5 years","<b>Abilify Maintena (aripiprazole):</b>			 This med really hasn't helped my voices at all. I'd say at most it takes the edge off my anger. I had the typical side effects which were pretty bad but I also had what I thought was EPS, extrapyramidal side effects in the form of hand movements. Upon withdrawal of the med I experienced an explosion of tics both motor and vocal. I went back on the med and the tics were a bit better but persisted. They include inappropriate tics and are unpredictable. I'm not a fan of any of the antipsychotics, frankly, but I would be weary of the risk of movement disorders in this med.",0,5,1
"Aripiprazole","Anonymous","February 5, 2020","-","<b>Abilify (aripiprazole):</b>			 This medication Abilify has been life changing for me. I lost my job and was scared about my future living with schizophrenia. I'm currently taking 15mg daily in the morning. I do experience some symptoms from time to time. So I am going to have them up my dose to 20mg. But overall I am thrilled and thankful for this medication.",0,14,1
"Aripiprazole","Anonymous","January 28, 2020","Taken for 6 months to 1 year","<b>Abilify Maintena (aripiprazole):</b>			 I’m on 400 mg shot for schizophrenia    NOS . I don’t recommend lowering the dosage because you get tolerance to it. I was very impulsive and erratic before going on this, I’m on disability so I could not even maintain working.  Doing much better thinking clearly and hardly side effects besides tired the first month that is all.",0,8,1
"Aripiprazole","Lightning Bolt","January 3, 2020","Taken for 1 to 6 months","<b>Abilify (aripiprazole):</b>			 I got prescribed Abilify 10 mg nightly at bedtime for schizophrenia. I am misdiagnosed. I am forced to take it at the moment. I have developed extrapyramidal symptoms Parkinsonism. My adrenaline and noradrenaline is also way too low. Thanks to my neurologist I’m taking amantadine which helps me with Parkinsonism.",0,5,1
"Aripiprazole","Smog","January 2, 2020","-","<b>Abilify Maintena (aripiprazole):</b>			 been on some form of abilify injection for 4 years. I have never missed a monthly dose. Started 400mg for 2 years 300mg for 2 years and just got my first 200mg Jan 2020 for schizoeffective disorder . I will never be tapered off but the point in lowering is to maintain stability but at the same time control the insatiable  desire the meds give me to eat. Also to try and get back some of the energy the meds just simply take away - energy to cook , clean , and exercise. I have been trying different meds for 10 years and abilify is my preferred. After refusing those other antipsychotic meds that have literally been around forever , abilify injection seemed to be a happy medium and you don’t have to take a pill everyday (because I know I won’t). If you find being on an anti psychotic indefinitely is your reality , abilify makes things easier. With the injection lasting a month long , it’s very incognito and doesn’t remind you that you are being treated - like taking a pill everyday",0,4,1
"Aripiprazole","Annie","December 3, 2019","Taken for less than 1 month","Had trouble sleeping and doc prescribed me this. Slept for 0-2 hours for the first couple of nights. Switched to quetiapine and everything went more smooth and better. Could sleep!",1,4,1
"Aripiprazole","Annie","November 25, 2019","Taken for less than 1 month","I was having insomnia and my doc first prescribed me this aripiprazole. Made my insomnia worse. Switched to quetiapine/seroquel and made my life so much better with more sleep and less/rare psychotic episodes.",1,2,1
"Aripiprazole","Casper","November 13, 2019","Taken for 5 to 10 years","<b>Abilify (aripiprazole):</b>			 I've been on Abilify now for 6 years for schizophrenia and at first it worked but now I was up to 10 mg and hallucinating visual and audible, severe muscle cramping all over my body, my legs and feet never stopped moving, I couldn't eat but I'm really small bites because I couldn't swallow, it removed my sex drive I'm a sex addict, it changed me in every way possible. I went cold turkey 2 weeks ago and I feel alive again all the side effects have all but disappeared. I won't go back to it or any other psychotic drug.",0,8,1
"Aripiprazole","Green bottle","November 2, 2019","Taken for 6 months to 1 year","<b>Abilify Maintena (aripiprazole):</b>			 I have used the Abilify Maintena for 7-8 months. All the side effects have almost disappeared except for the anxiety. My psychiatrist has agreed to put me off of it. I guess the anxiety will wear off within a couple of months.",0,2,1
"Aripiprazole","Wes","October 31, 2019","-","<b>Abilify (aripiprazole):</b>			 I have been taking Abilify 10 mg for a little over a month and it has helped my motivation compared to Haldol 2 mg. I had lost interest in food and dropped to 100 lbs. I've gained 25 lbs in 6 weeks since starting this drug. My hallucinations and voices are still gone. I always feel wide awake and have been taking various things to sleep. Hoping the insomnia will pass because I am full of energy. Started working again hopefully will continue.",0,13,1
"Aripiprazole","Winterviolet","October 27, 2019","Taken for 1 to 6 months","<b>Abilify (aripiprazole):</b>			 I started 20 mg Abilify a month ago and the only side effects I’ve had is extreme restlessness.  Especially in the morning.  It has helped with paranoia but I think the help is wearing off after a month because symptoms are returning.  I’m doing some for of CBT therapy which I hope isn’t bringing back things or triggering my schizophrenia symptoms but I’m still going on full force with medication because I’ve always stopped taking them early.   Here’s to hoping all these extra side effects that have happened only this last week end: increased anxiety, paranoia, and minor hallucinations.   On a side note these extra symptoms are manageable if I’m keeping busy and not letting my mind take control.   I just have to stay once the passenger seat.",0,9,1
"Aripiprazole","Carley","October 2, 2019","Taken for 1 to 6 months","<b>Aristada (aripiprazole):</b>			 My eyelids have started to twitch periodically. I haven't figured that one out yet. I have more physical health symptoms than mental health symptoms on this aristada indecio injection. I take 2.4 mL every 8 weeks. I still feel like this is too much! Plus the cost is over 2000$ a month. I want Abilify back. This drug has way to many side effects that lead to the affect on a short life expectancy. Sincerely, a concerned patient.",0,3,1
"Aripiprazole","WinterViolet","September 23, 2019","Taken for less than 1 month","<b>Abilify (aripiprazole):</b>			 I started Abilify a week ago at 20 mg daily.  The only side effects I’ve noticed is that I fall asleep fine but I do have vivid dreams and tend to wake up throughout the night, then in the daytime I seem to have an inability to sit still for extended periods of time without moving or stretching.  That part is mildly annoying.  However, I have noticed a slight increase in energy level or the ability to just get up and take my dog out for walks and have started to get more motivated to actually get stuff done around the house, which off medication was very hard for me to do.  I’ve had no weight gain, or any other side effects yet but I have only been on it for a week.  20 mg is a high dose to start at but it’s what the hospital gave me so it’s what I’m taking.  I’ll update my post as I get a little further down the road with this medication.  But no voices as of late but still have those delusions that I’m being watched and followed.",0,18,1
"Aripiprazole","cynicaldemiurge","September 21, 2019","Taken for less than 1 month","Day 1 of taking it and I seriously can't stand it. It's worsened a couple aspects of my symptoms and for the first time in my life I can't sleep. I can't think straight. My hands have been numb for hours. I'm nauseous and if I get up I'll just vomit everywhere. And so much more!! Looks like I'm bed ridden until the effects wear off. Not to mention I took the 2mg. Could you imagine if it were the standard 10mg dose? Just be forewarned if you take it, this is my first time trying a mood medicine, everyone has different reactions.",1,2,1
"Aripiprazole","Aidil","September 16, 2019","-","I have been with olanzapine for 15 years since my age 21. At that time olanzapine helps me a lot. Then I got married in 2015, few years later I detected that taking olanzapine reduces my ability in sex performances and at the same time I felt uncomfortable with olanzapine. Then my doctor switched me to aripiprazole. Right now my life is happier and I can socialize with my friends easier and I feel close to normal person in behaviour, at the same time my sexual performance with my wife is better and I can make her happy in bed. I just wanna to share this happy story. Thanks aripririzole.",0,6,2
"Aripiprazole","Sama","September 2, 2019","Taken for less than 1 month","<b>Abilify (aripiprazole):</b>			 I have being on Abilfy for just a day, so far no side effects. I'm on 10mg and I know it's only being a day but I have no stiffness in my legs and my appetite is non existent, which I'm happy about. The voices have quietened down and I feel in a better mood. Hopeful and looking forward to getting back to work.  Fingers crossed it will continue:)",0,18,2
"Aripiprazole","AuntieE","July 30, 2019","Taken for 1 to 6 months","<b>Abilify (aripiprazole):</b>			 I have taken 15 mg of Abilify for 5 months no side effects or weight gain yet so that's good. I don't crave food and gain weight like I did on Risperdal and had bad side effects on Zoloft. I feel tired for 2 hours after I take Abilify.    It's hard to stay asleep. I wake up and do the same thing over and over all night long.",0,20,2
"Aripiprazole","Green bottle","July 18, 2019","-","<b>Abilify Maintena (aripiprazole):</b>			 Has anyone developed hypersexuality like me?",0,5,2
"Aripiprazole","Anon","June 28, 2019","Taken for 1 to 6 months","<b>Abilify (aripiprazole):</b>			 It was okay. Lost 5 pounds the first week I was on it. My period also came back. My only problem was that it made it hard to stay asleep. I would fall asleep, wake up and do the same thing over and over.",0,11,2
"Aripiprazole","Green bottle","June 27, 2019","Taken for 1 to 6 months","<b>Abilify Maintena (aripiprazole):</b>			 I shared my experience once already. But I need to share it again. It has been now 4 months I take abilify maintena. And with the help of the pill form, I feel like the side effects are really subsiding. I gained 20 lbs but at least I feel somewhat normal again.",0,6,2
"Aripiprazole","t","June 20, 2019","-","Aripiprazole horrible drug. I gained 30 kg. I feel like a zombie, no motivation, no energy no life.... many side effects. This should be taken off the market.",1,7,2
"Aripiprazole","Rocky blvd","May 12, 2019","Taken for 1 to 6 months","<b>Abilify (aripiprazole):</b>			 When I was 24 years old out of nowhere I started having Schizoprhenia symptoms.  I believed incredible grandiose religious delusions, believed my television sets had cameras in them and believed when people coughed or made sounds they were mocking me subliminally.  I didn't receive treatment until the age of 30 and was working full time but getting myself in wreckless situations.  After I lost everything I have besides my awesome family, I was put on a Community Treatment Order (CTO)  and after 4 months on Invega I was extremely suicidal and thought I'd never regain my normal  life.  If there is one thing I have learned about meds it's that they take a lot longer to work than you think.  I have been on 10 mg of abilify for approximately six months and for the entire duration I would have intrusive thought and random urges, then finally going into the sixth month the side effects are really starting to subside and I'm starting to fully regain my emotions and not be afraid of people.",0,36,2
"Aripiprazole","Green bottle","May 7, 2019","Taken for 1 to 6 months","<b>Abilify Maintena (aripiprazole):</b>			 I have been using Abilify Maintena for 2 months now.  I had very little problems with my illness to begin with but my psychiatrist decided to put me on it due to many trouble I have caused to some people a while ago.  The drug has had for me very little to 0 therapeutic effect.  In fact, now I have less motivation and a big social anxiety.  I was before on Xeplion (invega sustenna) and abilify is still a lot better than Xeplion because it has a lot less side effect.",0,3,2
"Aripiprazole","E","May 1, 2019","Taken for less than 1 month","<b>Abilify Maintena (aripiprazole):</b>			 My fiancé has been taking meth for a long time. Ever since, he had sleeping disorder. Anxiety. Depressed.. Doctor suggested this injection abilify. Is there anyone here taking meth and tried abilify",0,7,2
"Aripiprazole","pete","April 22, 2019","Taken for 6 months to 1 year","<b>Abilify (aripiprazole):</b>			 My father was taking this drug because the pharmacy had a shortage of navane. This drug caused him to have a mental breakdown which caused him to have to be admitted into the psychiatric division of a hospital. His schizphrenia is much worse on abilify and it fails to treat the symptoms of his disorder.",0,12,2
"Aripiprazole","Christiana","March 29, 2019","Taken for 6 months to 1 year","<b>Aristada (aripiprazole):</b>			 My daughter was diagnosed with schizophrenia and depression almost 2 years ago. They started her off on Abilify Maintena 300mg which helped her a lot, but it made her restless and didn’t stop the voices and she still had trouble thinking clearly because she was always tired but wired on it and had trouble sleeping properly. She was given a sample of Aristada one month and it was like a miracle, I felt like I had my happy daughter back.  Then the NP gave her too high a dose, too soon and she struggled with suicidal thinking and feeling terrible for 4-6 weeks. That was terrible, but once we got her on the 441 mg dose she did really well.  She is able to think more clearly on Aristada and sleep better which helps her voices to be not noticeable (better than when on the Maintena) she is constantly a bit nauseous which may or may not be a side effect.  Aristada has a copay assistance program that helps cost to be reasonable.",0,8,2
"Aripiprazole","Duduk Fan","March 15, 2019","Taken for 2 to 5 years","<b>Abilify Maintena (aripiprazole):</b>			 For my schizophrenia opted in for Abilify Mainena as an alternative to Invega Sustena. Granted that I was on Invega Sustena for between 6-12 months prior with bland emotions at that time, I did some research and gave Abilify Maintena a chance. That was late 2014. Now it's early 2019, and I want everyone to know that by this time, I have regained some emotional ability. I am also able to focus on complex tasks with a significantly better ability than I would be without an antipsychotic. I have concerns though. I have a physical standing job and I walk to work, and all I can do is maintain my weight within a 10 pound range. I felt good, and the Abilify Maintena kept me resilient when things got tough. For the record, I used to have suicidal thoughts long before starting Abilify Maintena, but I never contemplated it while on it. One last thing: I have always taken a low dosage of Abilify Maintena. I do not ever recommend medium or high dosages to start with.",0,15,2
"Aripiprazole","Doing well","March 9, 2019","Taken for 1 to 2 years","<b>Abilify (aripiprazole):</b>			 Was on paliparidone for 6 months and pretty much wanted to die. Switched to Abilify 200 mg injection and things are much better. Took a very long time to get over the first medication but once I did the difference between the two was night and day. I am not dizzy when I stand up and my strength has returned. I still feel a little zombie like though so cannot give it a ten but no voices and no obvious side effects. If you are suffering from a not too severe case of schizophrenia, or a drug and alcohol induced psychosis, then this drug may just work for you. Best of luck.",0,26,2
"Aripiprazole","Daisy","January 18, 2019","Taken for 1 to 6 months","<b>Aristada (aripiprazole):</b>			 Successful on Abilify maintena 300 mg for 5 years except flat affect and anxiety and inhibition.  Switched to Aristada hoping to help negative symptoms. First month thought it was miracle drug...was able to smile, feel more emotion, go to gym daily (on abilify I felt fear going alone).   Started feeling agitated slowly, then psychosis started on/off then full inpatient hospitalization for 2 weeks.   Returning to Abilify.   Why won’t NIMH reinvest in improved research?   Find what was helping in Aristada and remove what wasn’t!   I felt so close to feeling normal but psychosis can take my life away!!!",0,12,2
"Aripiprazole","Felix77","January 13, 2019","Taken for 1 to 6 months","<b>Abilify (aripiprazole):</b>			 Abilify is good for me. Works really well taking the 20mg tablets. Not gaining weight like I did on zyprexa.",0,13,2
"Aripiprazole","A Guy","January 11, 2019","Taken for 1 to 2 years","<b>Abilify Maintena (aripiprazole):</b>			 So I've been on this Abilify Injection (against my will) for a couple of years because my family just wants me to be normal again. And man, do I feel normal! It's so great! (I was being sarcastic...really, really sarcastic) I can't sleep for more than a couple hours at a time, I suffer from persistent psychological pain due to anxiety/restless leg, and I have gained 70 lbs! And there's more! If I keep taking it, I'll probably wind up with diabetes! What a great drug to give a permanently disabled veteran to ensure that they live a long, peaceful life! Seriously though...It's terrible. Low quality of life in exchange for little to no psychotic symptoms...Bad Trade. Find something else that works for your condition!!!!!!",0,7,2
