"Drug","User","Date","Period","Review","Score","Likes","Page"
"Cariprazine","D3Courtney","May 25, 2020","Taken for 1 to 2 years","<b>Vraylar (cariprazine):</b>			 I have schizoaffective disorder and Vraylar has been a life saving drug for me. I take 6mg and I am full of energy but not too  bad where I feel like I’m getting manic. I’m not depressed. I don’t hear voices or see shadows anymore. It’s a good drug for me",0,3,1
"Cariprazine","miss","May 1, 2020","Taken for less than 1 month","<b>Vraylar (cariprazine):</b>			 Worst medication I’ve ever tried. Did not help with hallucinations/delusions, and I actually had more hallucinations while taking the drug. I was completely zonked out to the point where I could barely move/get out of bed. Also, I have a history of seizures and I had a few dangerous seizures that could’ve put my life in jeopardy. If this works for you then great, but I had such an awful experience with it that I can not recommend it to anyone.",0,4,1
"Cariprazine","Buddy","March 31, 2020","Taken for 2 to 5 years","I believe Vraylar along with my doctor saved my life.  I fear I will have to take forever, worried about long term side effects",9,1,1
"Cariprazine","Shiann","March 28, 2020","-","<b>Vraylar (cariprazine):</b>			 I switched from abilfy and I've been taking Vraylar I don't have strange dreams. But I feel more clear and functional during the day. Yes I get plenty of rest. I take 1.5mg. it changed my who life..",0,16,1
"Cariprazine","mdd","March 9, 2020","Taken for 1 to 6 months","<b>Vraylar (cariprazine):</b>			 ON Vraylar I had hallucinations, had to be constantly moving, threw up a lot. One month off of it still aren't right. Saw the Grimm reaper and  thought people were out to get me.",0,17,1
"Cariprazine","Oovoo99","January 10, 2020","Taken for 1 to 6 months","<b>Vraylar (cariprazine):</b>			 I just reached the 2 month mark, I’ve gained about 10lbs (not sure if it’s from the medicine or not but I never have trouble with maintaining my usual 110lbs until now.) i also have mild akathisia induced by the medicine so I’m thinking about changing it. I don’t have terrible hallucinations and delusions anymore which is good, but I still hear voices in which keep me up at night; I guess the medicine needs more time to fully work.",0,13,1
"Cariprazine","Oberto","November 24, 2019","Taken for 1 to 6 months","<b>Vraylar (cariprazine):</b>			 I have schizoaffective disorder which is basically schizophrenia coupled with bipolar disorder. I've been on vraylar for a while and it hasn't done anything. My moods are still wacky and I still hallucinate, have delusions, sometimes I get some kinda catatonic state going on. About 4 months of it and nothing has changed.",0,8,1
"Cariprazine","Yikes","October 31, 2019","Taken for 1 to 6 months","<b>Vraylar (cariprazine):</b>			 I took this medication  Vraylar for around two months and had to stop taking it because I could not sleep at night and I couldn’t sit still for any longer than 30 minutes. Continuous feeling of crawling out of my skin. I was on 3mg. This medication also gave me a permanent head twitch that is super obnoxious, so I can’t imagine what else it would have done if I was on it longer. However, for my hallucinations and my mood, it was a lifesaver. My speech improved as well as my attitude. I felt like I could finally breathe. I was only seeing blotches of color which was pleasant for me compared to my very vivid hallucinations. Such a shame the physical symptoms are too unbearable otherwise this would have been spectacular.",0,16,1
"Cariprazine","Loliesue","October 15, 2019","Taken for less than 1 month","<b>Vraylar (cariprazine):</b>			 The medication did take away the hallucinations but I have become anxious, I get leg cramps, weight gain, severe neck and headaches fatigue that are so bad. I’ve been on 17 days I’m definitely getting off  Vraylar",0,12,1
"Cariprazine","Swerve186","September 22, 2019","Taken for 1 to 2 years","My experience with Vraylar has been a blessing. I've had a job for a record of 6 months. I'm more compassionate &amp; considerate without any feelings of resentment. I'm even wanting to go to college still. It's so wonderful to be able to process things so normally on Vraylar. There's been some side effects like headaches &amp; others from allergies. Now thanks to Claritin/no supplements &amp; less meds, no more headaches.  I also learned all psychiatric medications &amp; supplements mess with Neurotransmitters on some level.  What's worse is they can also overlap in the targeting of those neurotransmitters causing undesired side effects.  That's why I'm doing optimally well with only 2 medications: Vraylar &amp; Prozac. A perfect combo that makes my life so easy. I'm normal.",0,2,1
"Cariprazine","Igor","September 12, 2019","Taken for less than 1 month","Hi. I was taking cariprazine for 3 weeks @ 1.5 mg. It was fine. I felt less depressed. Then my doctor raised it to 3 mg and after 3 days of this dosage I felt terrible restlessness during the day. I stopped it and restlessness went away after 2-3 days. Now I'm again on 1.5 mg but I am not sure if this med is right for me. In hospital they diagnosed me with schizophrenia, but I am not sure if this is right.",3,1,1
"Cariprazine","isladlife68","September 5, 2019","Taken for 6 months to 1 year","<b>Vraylar (cariprazine):</b>			 I was prescribed 3.5 mg of Vraylar and gained 67 lb very, very  fast.   I did not gain anything when I was on fewer mg.  I was also talking to people that I normally would not talk to in person and online.  When I stopped Vraylar I was shocked at the people that I had been communicating with.  I did find that on this medication it was easier to fall asleep.  Vraylar is a serious medication and should not be taken unless absolutely necessary.",0,23,1
"Cariprazine","Misery","July 15, 2019","Taken for 1 to 6 months","<b>Vraylar (cariprazine):</b>			 My psychiatrist started me on 3mg, now I'm on 4.5 mg...very tired and feel unmotivated, and lazy...I still hate people and stay home and don't want to socialize. I'm a recluse.",0,42,1
