"Drug","User","Date","Period","Review","Score","Likes","Page"
"Clozapine","His sister","March 3, 2020","-","My brother diagnosed with schizophrenia 2 years ago tried many medications Zyprexa, invega, clopixol, rexulaity nothing worked with him he’s 20 years old now .. he just make the blood test to check if he can take Clozapine medication will see",0,1,1
"Clozapine","Elizabeth","September 24, 2019","Taken for 10 years or more","I got on clozapine for schizophrenia and have well for years.  It gave me a life.  I hope the med stays on the market and is always available",10,9,1
"Clozapine","Bear","August 15, 2019","Taken for 10 years or more","If it wasn't for clozapine I would be in a secure hospital or dead. I  have epilepsy and inter-ictal psychosis organic. My seizures are controlled by topiramate. Age 19 I had a lot of seizures which left me afterwards  very pyschotically unwell. Had anti pyschotics. None worked. It was thought at the time I would  never be well enough to live in the community. Clozapine was tried as a last resort and though initially I had a high heart beat and some drooling. It all settled down. Fairly soon. I was on topiramate initially at 450 mg alongside clozapine. It was working and six weeks later I was discharged from hospital.  I accept I will always have to be on it. As  on two occasions tried to come off and became psychotic again. I  am on 325 mg 25mg day and 300 night alongside topiramate. I am under a neurologist and  psychiatrist. I get regular health checks don't smoke or drink. I don't know what I would do without clozapine.",10,15,1
"Clozapine","Mom","July 29, 2019","-","My son was diagnosed with schizophrenia at age 17. He was even hospitalized for 3 and 1/2 months because of this horrible disease.  He tried many different medicines and none worked until clozapine. Clozapine helped him a lot with the voices but the weight gain is horrible. He gained over 100lbs in 6 months! Now he is depressed and won’t leave the house because of his sudden weight gain and is refusing taking the med because of it so now we are back to square one. It’s a no win situation /: feeling helpless.",6,15,1
"Clozapine","Alexis","June 10, 2019","Taken for 5 to 10 years","<b>Clozaril (clozapine):</b>			 My brother was also lucky to be on Clozaril. I was watching a news report on the drug on TV one day. It stated that it brought people back who had Schizophrenia. It gave high percentages and stated that they were even able to carry a job. I spoke with my Mother and she worked to get this drug for him. He was so normal on it, like he woke up and was himself again. He was able to live in an apartment and work a 40 hour job. On his off hours, he joined a band and played trumpet on some evenings and weekends in clubs and restaurants. He was able to go out on dates. He wanted to complete his degree in music. How wonderful it was for him to have a real life to enjoy.",0,49,1
"Clozapine","Edna","May 25, 2019","-","Yet another useless drug that has turned my spouse into a vegetable. Less energy, reduced mental capacity, dizzy spells where he falls over. Increased depression. OMG the horrifying facial ticks  and the Dr won't do a thing. Sleeps his life away. Developed GERD as well. I personally believe this drug is harming him.",1,16,1
"Clozapine","Hopeful Mom","April 22, 2019","Taken for 1 to 6 months","Our son disintegrated throughout college. Went to lots of docs, given a lot of meds, allergy and asthma, anti depressant and anti anxiety. Of course it was classic schizophrenia prodrome, no one bothered to say he was high risk for psychosis. After 2 breaks, 5 hospitalizations (2 by court order) and trying haldol, geodon, seroquel, abilify..suicidality. Started clozapine 3 months ago, read 1st novel in 4 yrs, running, laughing again schizophrenia symptoms fading. Not working yet but more hope. Gained 40lbs",9,14,1
"Clozapine","Sabrina","March 22, 2019","Taken for 10 years or more","<b>Clozaril (clozapine):</b>			 I had Major Depression with psychotic features and  have been on clozaril for 11 blessed years, it works so well. I have long ago lost track of all the antipsychotics and antidepressants I have tried.",0,17,1
"Clozapine","Invis","January 22, 2019","Taken for 1 to 2 years","Posted a review on Olanzapine  on 2017-01-12 (2 years ago) on this site w/same name (Invis). Got switched to Clozapine; first dose was Dec 13, 2017; 12.5mg. I am now on 275mg a night. What a life saver, I wish I took this to begin with as I strongly believe voices would be 100% gone by now, anyway, they are pretty much there 5-15% of the time now. Blood tests aren't an issue for me. Used to it now but shoulder area of shirt and pillow are pretty wet in the morning from drooling. Weight is now 200-205 lbs, won't budge even from treadmill fast walking 20 mins/day and pants size is now 38 from 30-32 lol. All of these are small prices to pay for being healthy again. 10/10",10,12,1
"Clozapine","Dmom","November 10, 2018","Taken for 1 to 2 years","My son starting showing signs of psychosis right after his 14th bday.  Diagnosed with schizophrenia 6 months later.  He was in a constant state of his own reality and heard voices on a regular basis.  Seroqel, Zyprexa, Invega, and Ability did nothing for him.  His psychiatrist prescribed Clozapine as a last resort.  I won't allow his dosage any higher than 300mg per day for now since the side effects worry me.  This drug has been a lifesaver to allow him to participate in the regular world and quiet the voices where he can focus on real ppl.  It makes him drowsy so he takes it at night.  Weight gain is significant but most antipsychotics will do this. Regular blood monitoring to make sure his WBC stays normal.  So good, so far.",8,21,1
"Clozapine","Chris","September 24, 2018","Taken for 10 years or more","Clozapine has RUINED my life!!! I now suffer permanent brain damage after 18 years of taking it. I cannot think straight, slow thought process, memory loss, confused, terrible concentration to name a few. I do NOT recommend long term use of this drug!!!!",1,18,1
"Clozapine","Lucy","September 15, 2018","-","This is my son 10th day on it .He still in the hospital I see a change  in him so far . I will update again when he gets out the hospital.",6,9,1
"Clozapine","LastResort","April 26, 2018","Taken for 10 years or more","After trying many AP's, Clozapine finally settled my Schizoaffective/Schizophenia symptoms. Has a number of side effects, noticably, moderate OCD, temporary stiffness in joints and some initial weight gain. After 10 years, about to swap over to a new drug called Reluxta, which is now on Australian PBS list for AUD$40 (previously AUD$1700). Reluxta is suitable for those coming off Clozapine (slowly), with usually better results &amp; fewer side effects. Some patients may still need to take a reduced Clozapine amount, while taking Reluxta as the main AP.",9,5,1
"Clozapine","Chris Michelle","April 24, 2018","Taken for 5 to 10 years","This drug almost killed me.  My white cell count was so low, I was getting fevers every other day and I had severe diarrhea for almost a full year.  When I finally sought medical help no one could help me.  I asked to stop the drug and I slowly got better.  As much as this drug is praised, it is unnecessarily overprescribed.  In some European countries it is banned,  and for good reason.  My quality of life was horrible on this drug.  Gained weight,  constipated once for a whole week,  I could not find a good job,  and developed extreme OCD that dissipated as soon as drug was stopped.  I do not recommend. You are better off turning to your local charity organization for help than getting involved with any doctor that willingly prescribes this without properly assessing your situation.  Good luck.",3,10,1
"Clozapine","Brandon J","April 10, 2018","Taken for 6 months to 1 year","Clozapine has given me my life back.   Much of the problems or symptoms of my Schizophrenia are reduced.   The only down side has been urinary incontinence.   I am now back to wearing diapers just in case, but it is a minor price to pay in order to get my life and head space back.",10,6,1
"Clozapine","resilient Nicole","January 26, 2018","-","My daughter has schizophrenia since 19 years old and had first gone thru most of the other medications, which did not work well, she even attempted suicide.  Finally she was put on Clozapine, which helped her so much that she even managed to graduate with a BA.  There are negative side effects such as constipation, weight gain (which she is fighting successfully with Weight Watchers), and her voices do break thru once in a while and some psychosis sometimes.  But she is incredibly resilient.  All in all, clozapine is to her like a wonder drug.  Hopefully better medications will arrive in the future.",8,12,1
"Clozapine","shahnila fahmi","January 22, 2018","Taken for 2 to 5 years","I am using Clozapine 1 mg from last three years coz I am suffering from auditory hallucination from 2010 till now. I am under treatment and my doctor is saying I will have to take medicines whole life and there is no permanent solution. If any doctor knows any permanent solution please contact me. Clozapine is not for supressing negative voices but is used to calm you and relax you and reduce stress and help you to sleep better. For Visual and auditory hallucination , Respiridone 1 mg is useful daily but Clozapine and Respiridone  increase your weight too much. In my case, my weight increased from 45 kg to 67 kg in just three years.",0,7,1
"Clozapine","Videokitten","April 27, 2017","Taken for 1 to 2 years","In 2012 I was diagnosed with schizophrenia after hearing voices talking to me day and night and couldn't sleep. I went on invega  and then Risperidone but they both made me feel like a zombie because I had to be on the highest dose. I had akathisia and I was restless and tired at the same time and just wanted to sleep all day but physically couldn't  and very depressed. I would hear voices every night when it would wear off. I had intrusive thoughts also. My doctor suggested trying 250mg Clozapine but I was scared. It is a miracle drug! The outside voices went away and the thoughts that weren't my own! I have no side effects and I am happier now! After a year you only have to get your blood drawn once a month. Worth it to have my life back!",10,30,1
"Clozapine","Elzy","October 20, 2016","Taken for 2 to 5 years","<b>Clozaril (clozapine):</b>			 Been on clozapine for over two years. before this I had tried many different oral and depot medications which helped then seem to had run there course with me. although it can take a while to get over the fatigue it causes it definitely helps with voices and delusions as well as just making you feel normal again.",0,39,1
"Clozapine","Mysonisawsome","January 19, 2016","-","My son is in his early 20'and has schitsoaffective dissorder.He has been on at least five different medications for his illness. And nothing seem to help or if it did it lasted only for a little while or he had severe allergic reactions.  So he started clozapine/clozaril around a month ago. And it has made a big difference .The voices gradually are going away. He can actually sit and watch TV and have a conversation. He is enjoying things again. We do go for blood work every week which he does not mind. This medicine is working and I'm hoping his blood work comes back good every week, Because to see him getting better is such a relief . And I am hopeful for a happy productive life for him. Things are looking up.",8,83,1
"Clozapine","CMac603090","October 8, 2015","Taken for 2 to 5 years","I've been on clozapine for four and a half year for schizoaffective disorder. I was on 350mg but took a seizure and the dose was lowered to 150mg. I feel well mentally but the clozapine has made me very unfit. Also the constipation I suffer has affected my quality of life.  I don't feel like socialising any more and have gained 3 stone.  Looking into changing to the drug Latuda that is new in the U.K.",4,32,1
"Clozapine","Anonymous","August 11, 2015","Taken for 2 to 5 years","My daughter was prescribed Clozaril as a last resort because I refused to allow her to be admitted to a state hospital. Every other med combination had been tried for 5 years during which she was constantly psychotic, in and out of the hospital. That was nearly 3 years ago and she improves in  tiny increments every day. We have learned a great deal during this 8 years: that most psychiatrists don't understand how to treat mental illness because most they don't believe in neurotransmission disorders. They really think behavioral health is about poor choices caused by emotional trauma. Clozaril is the only effective med and it is used as a last resort in the USA. The shame is that it is a front line gold standard med in Great Britain.",10,54,1
"Clozapine","lsg","July 28, 2015","-","So far this has worked for my grandson. No more voice or the TV talking to him. He still has a little anxiety. It has been life changing",10,41,1
"Clozapine","ABC45","July 15, 2015","-","Very drowsy during the daytime. Not sure if my antidepressant needs to be changed, but it is still too early to judge how well Clozaril is working. I'd rather not have to draw my blood every week, because there is a lot I could be doing like going overseas with friends and relatives. By the way, does anyone experience bedwetting in the morning?",9,25,1
"Clozapine","p moore","July 10, 2015","-","So far it has been the best med for my grandson.  He no longer hear voices or is delusional.  I am so pleased this is working for him.  He is almost back to his old self",10,33,1
"Clozapine","CJK2345","July 7, 2015","-","I've been on it for 4 weeks, and I don't see a big difference. I used to socialize at coffee shops, but now I feel paranoid, and I want to stay home. There are so many other things that can be wrong since I take several other meds like Depakote ER and Zoloft. I'm going to see my doctor this week, and hopefully find something to help with mood stabilization.",7,17,2
"Clozapine","Anonymous.","June 11, 2015","Taken for 6 months to 1 year","This medication was absolutely terrible. I couldn't think and everyone had to repeat things all the time. Also I extreme weight gain in barely any time. I always wanted to eat something unhealthy when I walked by somewhere and I had never had that before I was on this medication, at least not as badly as that. In the past I had gradual weight gain but this was rapid.  It is also bad for the fact that it gave me seizures twice and I ended up breaking my ankles and they put me on Epival which causes birth defects. Hopefully everything will be better though. I'm on Invega now and it already is better and I don't need clozapine even though the doctors were trying to make me believe it was the only medication that works when it isn't.",2,24,2
"Clozapine","Mjm4273","April 13, 2014","-","I've been on everything to treat my disease, seriously. My condition is a little different. I'm very intelligent, but my positive symptoms kept me in constant fear and stress. I was so unmotivated and depressed I couldn't handle life. My first psychiatrist was terrible. He loaded me up on benzos and SSRIs. It was like dumping gas on the fire. I was so fed up that I switched doctors when I went to college. I've been with him for 3 years now. He did everything he could think of. Some things didn't work, some were incomplete, and some caused horrible side effects. So last ditch he wrote Clozaril. I feel wonderful. I have a $75k job, a car, and a house. Clozaril saved my life.",10,98,2
"Clozapine","The Q","March 16, 2014","-","<b>Clozaril (clozapine):</b>			 My sister was diagnosed with schizophrenia at  about 29 after a third suicide attempt and full blown nervous breakdown.   She was eventually placed in a state mental institution for ten years.  She only got out due to Clozaril.  They tried it on three patients through the national institute of health in Washington, DC.  She was released to a halfway house within three months.  Although she is still very ill, she remains on this medicine for approximately 23 or more years.",0,73,2
"Clozapine","2boysschizo","July 17, 2013","Taken for 1 to 6 months","One son is schizophrenic and one shizoaffective. After many medicines both have been put on clozapine. Helping a lot with psychotic and social symptoms. Weight gain and lethargy for both.",9,51,2
"Clozapine","MATT","April 29, 2013","-","<b>Clozaril (clozapine):</b>			 I have been taking a small dose 100mg to treat my schizoaffective disorder.  I think it helps lower my agitation and helps me to think more clearly.  I don't think it helps with my paranoia.",0,70,2
