"Drug","User","Date","Period","Review","Score","Likes","Page"
"Invega Sustenna","Rose","April 29, 2020","Taken for 1 to 6 months","Taking this drug invega sustenna helped a bit with my schizophrenia symptoms. The side effects on the other hand were something else. I was significantly slowed down both mentally and physically. I did lose about 5 pounds and lost interest in food most probably due to feeling really depressed about my condition. I also couldn’t stop walking about, I couldn’t sit still anywhere for up to 2 mins. I also had abnormal muscle movements, my vision became really bad and blurry and I was drowsy all the time especially after taking a dose.",3,0,1
"Invega Sustenna","Bob","February 25, 2020","Taken for 6 months to 1 year","I don't feel much on this medication.  It takes away the pleasure of enjoying things like video games sadly.  I've lost my sense of smell while on this drug.  I've gained the most weight I have compared to other antipsychotics.  I tried coming off it for a month with no success, it's really strong on preventing delusions and hearing voices.  I can't ejaculate or feel much sexual pleasure while on this medication.",5,7,1
"Invega Sustenna","Takeyourmeds","January 11, 2020","Taken for 2 to 5 years","I've been on this med Invega for years without it I was suicidal and often hurt myself with this med I'm happy again and have no desire to cause harm to myself only side effects are weight gain and long sleep",9,5,1
"Invega Sustenna","Yusaf","December 22, 2019","-","Gained 40 lbs in two weeks right after taking it. Made me pale (I'm olive complexion). Made anxiety horrible for a few months (could not stop moving around). Messed up sleeping habits for a few months. Stopped my periods for three months in a row. Never had problems with any of these things before taking. Been off for ten months now just now getting back to close to normal.",2,10,1
"Invega Sustenna","Lew","December 22, 2019","-","I now have a deadly and nontreatable heart condition called a Left Anterior Fascicular Block (LAFB) due to over prescribed high doses of Invega and not being diagnosed 3 years in a row with hyperlipidemia (high cholesterol and extremely high triglycerides) and hyperprolactinemia (abnormal hormones causing loss of erection and sperm production) and 'reduced function' stage 2 kidney damage as well as 65lbs weight gain, none of which was diagnosed or referred to a PCP for treatment. Now I am without a treatment plan and my fate is sealed. Bad drug period.",1,9,1
"Invega Sustenna","Tommo","December 5, 2019","-","I had a psychotic episode from drug use, they made me take injection and I feel like it was worst drug possible, I honestly can't explain how bad the side effects are. You get a weird smell odour, irregular heart beat, no up and go, no sex drive, dizzy all the time. I am off of it now and I am hoping I can come good again",1,14,1
"Invega Sustenna","RB","December 4, 2019","Taken for 1 to 2 years","Took 100 mg of the paliperidone drug (european dosing) when I was psychotic and, for 1 year (same dose, later added 20 mg Zyprexa), while the psychosis had gone, delusions and hallucinations persisted the entire time. Also, it raised my prolactin level to rocketing levels (2000 mIU/L).  Although it kept me away from psychosis, there are better alternatives for the disease.",3,4,1
"Invega Sustenna","Realization","December 3, 2019","Taken for 1 to 6 months","Let’s start off by saying it causes bloating. I hate the feeling. I been dieting and exercising but no results after eating. I have no sex drive, tiredness, no emotion, and lack of energy. I also don’t want to leave the house. This shot has worked for my voices but the side effects are worst. Hopefully getting off of it soon.",1,9,1
"Invega Sustenna","buddy lover","November 17, 2019","Taken for 1 to 6 months","this drug is driving me crazy! I don't like the weight gain and it slows me down considerably... I can't eat whatever! every thing has sodium in it. my body has gone through the wringer(think using the potty) and people have to take things away to keep me from committing suicide.things are done behind my back to keep me stable as well. the edge is gone (me saying the f word on regular basis) but what about sleep? I am 43 years old and i need my beauty sleep! I never want to feel the feeling of being awake for weeks on end! Guess It doesn't help that I discovered coffee... bring on the drugs that encourage you and not make you fat and bloated!",0,7,1
"Invega Sustenna","divyanchris296","November 2, 2019","Taken for 1 to 6 months","Bad drug, it increases prolactin level's by a lot, in fact this drug ranks among the highest drugs that increase serum prolactin levels, and massive increase in prolactin levels reduces your testosterone by a hand full, don't expect to have a baby while on this medication. Don't expect an erection, Don't even bother with sex drive, that's for losers anyway. A massive decrease in libido. In short, this drug among a few other anti-psychotics will leave you feeling like a mix between a two year boy and a two year old girl.",1,17,1
"Invega Sustenna","BlkGirlLost","October 30, 2019","Taken for 1 to 6 months","The one positive effect of this drug (InVega Sustenna 150 mg every 4 weeks) is that it controls my hallucinations and delusions.  But the trade off is really hard to bear.  I’ve lost all the joy in my life, the anhedonia is so bad that I have to live in a constant state of pretending to be happy because I am now unable to feel any kind of happiness or pleasure especially from activities I once enjoyed very much.  I can’t recall things and my memories have evaporated.  I feel blunted and flat all the time.  I can’t function in a meaningful way, and feel more depressed than I ever have in my life.  I’ve gained lots of weight, lost muscle tone yet I feel agitated like I want to jump out of my skin all the time.  Being on this medication is a living nightmare.  I am 43 and feel like life has come to a screeching halt.",3,22,1
"Invega Sustenna","Remi","October 14, 2019","-","I took 6 injections over a 6 month period. I didn't notice much in the first couple of months. It helped with the paranoia, I still heard voices to a lesser extent. Around the 5th month, I had noticed I gained 50 lbs (115 to 165) It happened so rapidly. I also began to lactate. That was all horrible but the worst of it was the severe anhedonia. They wanted to slowly taper me off the injection but I refused to take any more after the 6 month period. I felt mentally slower. I got no pleasure from listening to music, or watching TV. I stopped laughing. This is just my personal experience, but if you look up this medicine you will find there are many people that have gone through a similar experience.  It's been 14 months since my last injection and I think I have mentally fully recovered. I think this drug is too potent. I am almost certain it gave me some sort of brain damage. One of the biggest regrets of my life is taking this drug, I was better off before.",1,28,1
"Invega Sustenna","Anonymous","August 30, 2019","Taken for 2 to 5 years","Changed my life!",10,4,1
"Invega Sustenna","O2joe","August 26, 2019","Taken for 1 to 6 months","The combination of drugs I was on, which included invega sustenna, caused a great amount of pain and suffering. Puking, coughing, kidney pain, prostate pain, brain on fire, lock jaw in the middle of the night, in some order which I've forgotten.",0,12,1
"Invega Sustenna","Amy","August 8, 2019","Taken for 1 to 6 months","Terrible drug. Left me with no emotions and complete anhedonia. I’m stopping the injections in hopes of recovering to my former self.",1,17,1
"Invega Sustenna","greedy","June 19, 2019","Taken for 2 to 5 years","the only thing I'm noticing with Invega Sustenna is the bloated feeling. My symptoms are reduced some what me being a female and whatever...guess it's because I try not to eat whatever....",0,3,1
"Invega Sustenna","E","May 17, 2019","-","Worst experience of my life. I can't describe all of the side effects I had on invega Sustenna in 1000 characters, but my mind was disturbingly blank on this medication. It was as if all of my conscious thoughts were gone. I gained 25 pounds even though I just got the initial dose &amp; lost muscle. My delusions did go away so it worked for that, but it felt like it was because my thoughts stopped. I've gotten 4 sprains and one pulled muscle since I got injected with this poison at the end of August last year. My skin started flaking off and and my hair was falling out. I couldn't feel any emotions. I was unable to orgasm for the first month. There were more side effects, &amp; I don't think I fully conveyed the desperation I felt on this medication. I would like to let people who have gotten on it &amp; hate it that there is hope &amp; you will get better - once you are off it",1,31,1
"Invega Sustenna","Green bottle","May 13, 2019","Taken for less than 1 month","I was injected twice Invega Sustenna.  I had no sex drive, no emotion, no pleasure for the first three weeks. I was miserable and it lasted 8 to 9 months off the drug. I wouldn't recommend this drug to anybody. I am on abilify maintena now and I am feeling much better. 0/10 invega sustenna",1,22,1
"Invega Sustenna","saep62393","May 7, 2019","-","I've been on this drug/medicine for about two years and it has caused a lot of problems in my life. It barely helped with the auditory hallucinations such as the voices and paranoia. I feel like a zombie all the time, really tired, drained of energy, and like my brain is slowed down. I've had little to no sex drive (Sexual Dysfunction) and have no pleasure from sex. Within the first couple weeks of getting the injection of invega sustenna every month. I get muscle stiffness in my neck, arms, and hands. I feel like I can't breathe along with a rapid heart beat and a fever. I become confused, unable to function, dizzy, and lightheaded. This happens two to three times a month within a few weeks after getting the injection. I believe it might be because of NMS  (neuroleptic malignant syndrome) which is a rare side effect of the drug/medicine which might cause death. This is a horrible drug/medicine for me iIm going to try a different medicine from a different doctor and hope for the best.",3,17,1
"Invega Sustenna","Yes","March 11, 2019","-","This medicine is horrible every time I take it I am unable to workout. I can't even run a mile I am so weak. I get restless leg syndrome, fatigue, weight gain, and blur vision. I'm done taking medicine sick of it",1,26,1
"Invega Sustenna","Anonymous","March 6, 2019","-","This has helped with the symptoms of my illness. There are negative symptoms to it though. Foggy emotions, not sure if it’s cuz of the illness or the med. I am sort of happy now though, but no sex drive, periods, and gained 75 pounds. I took fluphenazine for a couple months, lost 20 pounds but felt worse than when I was on invega.",4,3,1
"Invega Sustenna","bd1","December 15, 2018","Taken for 1 to 6 months","If I could rate this medication a 0, I would. Going on this medication was one of the biggest mistakes of my life. I have bipolar I disorder and suffered a severe manic episode that didn’t respond to Seroquel or Risperdal. The psychiatrist prescribed me Invega and while it got rid of my mania and psychosis, it completely altered my personality. I had absolutely no emotion at all. I did not feel any sort of joy or happiness. Not to mention I gained at least 20pounds (I’m a very active 24 year old). The suicidal thoughts were so severe that I needed to be hospitalized. The absolute worst part is that even when you stop Invega, it stays in your system for months. It has an extremely long half life. If you want to be a zombie and lose interest in everything you ever loved, then take this medicine. If you’d like to be a productive member of society, avoid this medication at all costs. Find another medicine.",1,34,1
"Invega Sustenna","Anonymous","December 14, 2018","Taken for 6 months to 1 year","I started taking this medication as a monthly injection  for Hearing voices/ paranoia and I took it for about 6 months. It made me gain 40lbs, I lost all sex drive, my mind became foggy and I felt mentally slower. I also got severe anhedonia and became unable to feel the effects of alcohol, cigarettes. I don't recommend this medication to anyone.. I've been off it for 4 months and am still dealing with the side effects of this medication. I will say that it did reduce the voices significantly but only because it's such a powerful mind numbing drug. I would advise to try something else if you really need a medication. Basically a chemical lobotomy.",2,20,1
"Invega Sustenna","Strawberrylemonade","November 5, 2018","Taken for 6 months to 1 year","Invega Sustenna was a horrible experience for me. This medication caused me to gain 20-30 pounds. It stopped my monthly cycles. I was also not able to experience sexual pleasure.  This medication ruins lives.",1,16,1
"Invega Sustenna","molatoLjones","October 10, 2018","Taken for 1 to 2 years","I've been taking invega sustenna for a little over a year now and for the majority of that year I had absolutely no positive or negative symptoms. Recently though, the paranoia a slight delusions have started to creep back into my mind. My psychiatrist upped my dose to 234 mg and now I can't stop eating and I'm hungry all the time. I already had a binge eating disorder but now it's infinitely worse. Also, the newer symptoms are still there. We're currently trying metformin to help with my appetite but so far it's doing absolutely nothing. I'm now thinking that I want to try switching to ziprasidone. It's supposed to be really good with weight management, but I'm worried it might not be as effective with my mental symptoms? I can't freak out because I'm working and going to school now. Back to invega though, I guess I can thank this medication for giving me my life back and making it so I can function in society. But I can't handle the weight gain...",0,5,1
"Invega Sustenna","kodein","September 30, 2018","Taken for 5 to 10 years","Gained over 30 lbs on this medication even though I'm eating less and I've cut out sugar from my diet. What's even more depressing is that even though I'm heavier I'm actually weaker than I've been when I was skinny and off meds. Also when I skip my injection for a week I'm hitting threes and long two's like it's nothing on the basketball court, while on the medication there's no point in going to the court. Also the results of treatment are suboptimal: I don't have friends, during 6 years of treatment I've never been on a date (which probably also has something to do with poor sexual functioning while on the medication), I stay at home all the time, am unemployed and gained the status of a disabled person. However when on the medication I don't have positive symptoms like thought broadcasting. I'm seriously considering switching the medication, I'm depressed, desperate, feel awful all the time and can't do it anymore.",3,14,2
