"Drug","User","Date","Period","Review","Score","Likes","Page"
"Invega","123","June 4, 2020","Taken for 1 to 6 months","NIGHTMARE! I do not recommend this drug. I was taking it for 6 weeks (3 weeks to get me on 900 mg and 3 weeks to get me off). Terrible vivid nightmares that seemed more real than reality. I was wondering if I am dreaming or is it real all the time. My mind was empty. My muscles were in pain, I couldn't properly move my body because of hard muscles. I had a feeling of being pregnant - smell and taste changed, I had contractions and I produced milk. Only when this happened doctors decided to put me off that drug. Thank God for body side effects, because doctors don't take serious when you tell them that a drug is bad for mind, emotions etc.",1,2,1
"Invega","Whocares","May 11, 2020","Taken for 1 to 6 months","I'd been smoking very small amount of cannabis for few months and isolated my self with video games, one evening I was playing music very loud and the police were called I thought it would be clever to resist arrest, so I stood behind door and shouted threaten to burn house down.  They soon broke in and carted me to the mental hospital. After giving my story to the dr I was put on Invega shots and told I was skitz, I'd never felt it, after 3 months started having tremors, constant anxiety, panic  feeling of heart attack, couldn't move walk and 6 months on still on edge 24 hours a day.",2,1,1
"Invega","Pooh","May 3, 2020","Taken for 1 to 6 months","I was taking clozaril for about 24 years. My doctor stopped my medicine and didn’t taper down. Instant stop. He then overdosed me on 256 mg of the shot. I had young emotions. No thought left. Couldn’t remember how to turn the key in my car. My legs started going up and down, face twitches. Forgot how to cook. Just could sit there and not move. My head started shaking. I stopped this drug but my mind never came back. I’m slowly losing love and emotion for life. If you love somebody don’t ever let them take invega. It is the worst drug on the market",2,2,1
"Invega","Ted","April 27, 2020","-","Taken alone Invega with make you depressed and stupid, but taken with a low dose antidepressant it will make you feel good.",5,0,1
"Invega","Anon","April 23, 2020","Taken for 10 years or more","Have taken Invega for  about 15 years for schizophrenia, then for depression, have tried others, but always quickly come back to this.  Has calming effect, but I still sometime feel angry which I have to use a thought-challenging app for.  Unlike with the other antipsychotics I tried, I'm able to watch movies and read with this one.  I feel very unmotivated often though, and I've got some bipolar hypomania, maybe I should try Vraylar, but trying to switch has been a terrible experience for me.",7,1,1
"Invega","Onimoru","April 20, 2020","Taken for 5 to 10 years","I have been trying for 7 years to get off the monthly Invega shot because the side effects make me feel like I’m in a nightmare. I’ve gained 80 pounds, trouble getting to sleep and staying asleep, no sex drive so no point to having a girlfriend, I feel down all the time, have wet stools, heartburn constantly, frequent headaches and I could go on. If you have a loved one on this drug ask them to be honest about the constant suicidal thoughts.",1,1,1
"Invega","Lazerbunnyfuntime","April 2, 2020","Taken for 1 to 6 months","Makes me feel super happy almost like high and tired, but out of the 5 antipsychotics I've tried it gave me the least amount of side effects.",5,0,1
"Invega","Double D","March 13, 2020","Taken for 2 to 5 years","Suffering and miserable on this drug Invega. I take 117mg monthly injections.  The frequent side effects I get are thoughtless, emotionless, akathisia, anxiety, a lot of difficulty with memory focus and concentration like I can't learn much. Unmotivated I sit around a lot feeling numb and mentally blank. Increased depression, dead sex drive or no interest with sex. Weight gain",1,6,1
"Invega","Ethan","January 31, 2020","Taken for 1 to 6 months","So, I was high energy and a lovely person before taking this drug. After my second shot of 234mg, I became so tired and depressed like all the life had been sucked out of me. No longer bubbly and energetic I would just lie down all day with no energy to move. Very sad. Very very sad.",1,13,1
"Invega","RB","December 4, 2019","Taken for less than 1 month","Took 6 mg for a week before 12 mg for 3 weeks while I was inpatient and psychotic. (testing before I take the long-acting version of the drug) Psychosis didn't improve.  And the stupid doctor prescribed the injection anyway.",1,8,1
"Invega","Three","August 27, 2019","Taken for 1 to 2 years","Stuff is great, works very well actually makes you work on problems in a more sober state. Definitely increased my sex drive. Life is getting better and better with time the longer on it the better I get. Works overall for about 98% of the hallucinations the voices are still ongoing butt for they're a lot better now only sometimes bad for the most part not",10,8,1
"Invega","Joe Blow","August 24, 2019","Taken for 2 to 5 years","I still hear people all the time. I still feel like I can talk through my mind to people and devices",1,12,1
"Invega","Jg","July 8, 2019","Taken for 1 to 6 months","I am currently having blurred vision from the medication. Does anyone know if the blurriness will go away with time? It has been a month since I stopped taking this medication.",0,6,1
"Invega","Dade","June 30, 2019","Taken for 1 to 6 months","I started taking this medication for 3 months after I was diagnosed with schizophrenia and it has ruined my life. I now have trouble speaking, I'm always anxious, I can barely concentrate on anything, I'm depressed and sleeping a lot, and I no longer get erections and have trouble producing semen. I have been off of it for 2 months and I'm still dealing with the side effects. This is the worst thing I have ever been on and I wouldn't recommend it to anyone.",1,37,1
"Invega","Rose","May 2, 2019","-","I have been on Invega for 7 months. I have noticed many side effects like muscle stiffness, agitation, involuntary movements horrific nightmares headaches and I have gained about 40 pounds in that time while continuing to exercise and eat healthily. I was on 9mg for about 3 months and then was lowered to 3mg. It did stop my severe psychosis when initially prescribed so for that I am very grateful. I am now weaning off the medication to hopefully improve my quality of life. Would not recommend unless absolutely necessary.",2,18,1
"Invega","DT","April 27, 2019","Taken for 1 to 6 months","Invega did work to keep me from relapsing into psychosis. Also the injection makes it ideal for people who might tend to forget or stop taking medication. I have had some minor issues like diminished sex drive (also times whenI couldn't produce any semen), blurry vision and weight gain. However, soon after taking this medication I developed a depression. My depression has varied from severe mental agony for entire days to its current more anhedonic state. It is debilitating to say the least. After holding on for five months I will try to switch back to Seroquel which in the past has left me more stable while also getting rid of any symptoms related to psychosis.  I am however not sure how much of the depression was caused by this medication.",4,9,1
"Invega","Fred","January 29, 2019","-","My wife was diagnosed schizophrenia and non-specific psychosis.  Hearing voices.. telling me I killed someone and as he was speaking to her from the corner of the room telling her where he was buried. Can't you see him right there? About 18 months of this and worse, a very dangerous situation.  Sectioned 8 times through 2018. A therapist helping me mentioned a client that would throw TV's through windows, fighting, hearing voices, seeing things.. Invega completely cured him.  My wife knew she needed help and tried Invega. Within a couple of hours of taking the pill she stopped hearing the voices, could read a book for the first time in years as she could finally focus. She is now taking shots along with the pills.  She is better than I could have ever imagined.   I couldn’t recommend Invega highly enough.  There are very few side effects and her head is clear.",10,15,1
"Invega","De","January 5, 2019","Taken for 1 to 6 months","I got diagnose with schizophrenia and bipolar in the hospital. I was taking respidone which was helping me a lot but then I start taking invega. This medicine has ruined me. All of the things that I've loved doing now sucks.   I was on it for 4 months but I've been off of it for 3 months now but I'm still dealings with side effects. I can't sit still or lay still. I'm always tired my tongue is always numb my speech is off. I can't have a simple conversation I can't sleep at night. I hate waking up in the morning, my thoughts are all confusing and I feel weak. My  body is really sensitive......I just miss the old me.",1,41,1
"Invega","Anonymous","August 11, 2018","-","This drug ruined me. I was fine before after they forced me to take it. I've been unable to write music since  which was what I had a passion for. This drug has made me depressed and given me anxiety which I was never experiencing before the drug. Beware of this drug it helps some and can ruin others",0,35,1
"Invega","Leah","June 12, 2018","Taken for 5 to 10 years","I have been taking Invega prolonged release tablets for 8 years.  I was diagnosed with schizophrenia and put on 3mg  and it took a little while for the delusions to end. I then fell into deep depression. I couldn't stand my head the way it was.  This drug blocked all my mind wandering that I loved so much.  I was given a 6 week course of ECT and put on 75mg dothepin antidepressant and invega upped to 6mg.  When the dose was increased to 6mg I had heart palpitations and couldn't sit still in a chair from stiff joints and was constantly falling asleep.   My psych blamed invega lowered my dose to 3mg and increased my dothepin to 150mg.  I was still robotic in thought and movement but I could lead a productive life.  My head did feel very dry and I was in survival mode though.  I started having 2000mg fish oil capsules a day and my thoughts became fluid and so did my joints and movement.  It's not a cure but I would recommend fish oil capsules to people with psychotic illness taking these meds.",8,27,1
"Invega","Mimi","May 28, 2018","Taken for 2 to 5 years","Horrible side effects!!! Caused facial hair, missed periods, swollen tender breast, I would produce breast milk though I was not pregnant, severe uncontrolled muscle jerks/ spasms/ changed color of pubic hairs. After a year I still had involuntary movements and spasms. My neighbors assumed I had Parkinson disease.",1,21,1
