"Drug","User","Date","Period","Review","Score","Likes","Page"
"Olanzapine","Josh","June 1, 2020","Taken for less than 1 month","This medication works to make the voices less irritable to listen to, and that's the upside.  Though fortunately I'm not forced to take it.  That's because I don't feel like me anymore just taking it once.  I can feel my emotions, thoughts, completely gone.   This really is sort of relaxing but it's a dull feeling in my mind.  I don't like it whatsoever.  I'd only take it if I really needed a break, though still I may think twice next time.",3,1,1
"Olanzapine","S","April 18, 2020","-","<b>Zyprexa (olanzapine):</b>			 It has worked well for me I had bad mani.    have gained weight though but zyprexa is very calming.",0,2,1
"Olanzapine","Came Off","April 8, 2020","Taken for 6 months to 1 year","Once you’re convinced you are no longer going back to the habit that put you on the med. then taper slowly, watch, if you’re doing well, rapidly, watch. You can break 5mg Olanz tablet into four(get Olanza-5... Pharma Plus) take 1.25 every night for a week, go once in 2 days.. progress to 1.25mg(1/4) once a week. Watch... Check name!! Don’t get too Excited being Me.. Feed ur Brain Fruits.. Eat Good.",7,0,1
"Olanzapine","Howisthislegal","April 7, 2020","Taken for 1 to 6 months","I'd give this drug 0 out of 10, even less if possible. This drug caused me excruciating testicular pains lasting for 30+ minutes many times. I've been stabbed previously, in the hand and I can tell you that being stabbed hurt a damn-site less then taking this drug. In conclusion, I'd rather be stabbed then take Olanzapine.",1,2,1
"Olanzapine","Cat","March 30, 2020","Taken for 1 to 6 months","<b>Zyprexa (olanzapine):</b>			 I take 10 mg of zyprexa in the morning and at night. I use 1 mg of cogentin morning and night to stop side effects. Then I use 50 mg of vistaril for my anxiety.  But zyprexa makes me feel worse. The voices are still there. I'm more paranoid. I've gained 20 lbs in 1 month time. My appetite has increased. I have tremors throughout the day.  Plus the vistaril doesn't help much with my anxiety. I can't wait to see my doctor and get something else! I wouldn't recommend this medicine to nobody from my experience.  But each person is different.",0,3,1
"Olanzapine","Alan","March 24, 2020","Taken for 1 to 6 months","This drug olanzapine cured my delusions that I couldn't stand every day since I was mentally unstable. I was feeling guilty all the time for no good reason it was weird to describe, I wasn't schizophrenic at all but playing with meds like lexapro changing quantities constantly day after day was a really really terrible mistake. After that I fell in to a guilt trip for something I did in the past that caused me to go crazy it's like PTSD but so much worse, my heart was about to explode. It's like demons tell me just finish yourself you're not a good person at all for doing this and that. After days of torture and delusions I got on olanzapine it made me calm no intrusive thoughts anymore no guilt anymore, but the down side effects of it, completely numb no emotions at all, all my senses are decreased to some degree, no motivation, waking up confused and sad.. I will give it a 7... sorry if my english is bad",7,1,1
"Olanzapine","Druger","February 15, 2020","-","<b>Zyprexa (olanzapine):</b>			 I was on Zyprexa for 1 month and 1 week and in that time I gained 20+ pounds and did not help with ANY of the symptoms I was having. Didn't help with voices, delusions, paranoia. Nothing. Was really a complete waste of time and to top it off ruined how I look. (I used to be a very thin 160 pound male, and am now 220...) that's from all the antipsychotics I've tried combined. Zyprexa being the worst one for weight. I give zyprexa a 2 only because it did sedate me a bit relieving anxiety. I'm now on Loxapine which is supposed to be weight neutral but I'm still putting weight on from that a bit.",0,7,1
"Olanzapine","A.R","January 28, 2020","Taken for less than 1 month","Hi I got put on olanzapine, lasted only 5 days on it, then I stopped,had too couldn't handle not being able to sit still at all,plus made my anxiety worse and had the worst nightmares ever, that  I wasn't having before and they stopped when I stopped the olanzapine",1,2,1
"Olanzapine","Geoff","November 4, 2019","-","<b>Zyprexa (olanzapine):</b>			 I was on Zyprexa at 25mg (had Psychosis) for a few months, literally, the worst months of my life, all I wanted to do was eat and sleep so tired and foggy and I had no motivation so glad I ignored doctors and got off it as soon as I possibly could.  if there was an option for Zero I would give that this stuff is utter garbage.",0,16,1
"Olanzapine","ghj8","October 25, 2019","Taken for 1 to 6 months","<b>Zyprexa (olanzapine):</b>			 I started stelazine but the Extrapyramidal symptoms (EPS) WAS TOO MUCH TO Handle so I take 5mg of Zydis to counteract the symptoms.",0,2,1
