"Drug","User","Date","Period","Review","Score","Likes","Page"
"Paliperidone","123","June 4, 2020","Taken for 1 to 6 months","<b>Invega (paliperidone):</b>			 NIGHTMARE! I do not recommend this drug. I was taking it for 6 weeks (3 weeks to get me on 900 mg and 3 weeks to get me off). Terrible vivid nightmares that seemed more real than reality. I was wondering if I am dreaming or is it real all the time. My mind was empty. My muscles were in pain, I couldn't properly move my body because of hard muscles. I had a feeling of being pregnant - smell and taste changed, I had contractions and I produced milk. Only when this happened doctors decided to put me off that drug. Thank God for body side effects, because doctors don't take serious when you tell them that a drug is bad for mind, emotions etc.",0,2,1
"Paliperidone","Marty","May 18, 2020","Taken for 2 to 5 years","paliperidone will make you dumb and depressed if taken alone. Use with a low does anti depressant to get you completely numbed up and feeling good.",8,0,1
"Paliperidone","Whocares","May 11, 2020","Taken for 1 to 6 months","<b>Invega (paliperidone):</b>			 I'd been smoking very small amount of cannabis for few months and isolated my self with video games, one evening I was playing music very loud and the police were called I thought it would be clever to resist arrest, so I stood behind door and shouted threaten to burn house down.  They soon broke in and carted me to the mental hospital. After giving my story to the dr I was put on Invega shots and told I was skitz, I'd never felt it, after 3 months started having tremors, constant anxiety, panic  feeling of heart attack, couldn't move walk and 6 months on still on edge 24 hours a day.",0,1,1
"Paliperidone","Pooh","May 3, 2020","Taken for 1 to 6 months","<b>Invega (paliperidone):</b>			 I was taking clozaril for about 24 years. My doctor stopped my medicine and didn’t taper down. Instant stop. He then overdosed me on 256 mg of the shot. I had young emotions. No thought left. Couldn’t remember how to turn the key in my car. My legs started going up and down, face twitches. Forgot how to cook. Just could sit there and not move. My head started shaking. I stopped this drug but my mind never came back. I’m slowly losing love and emotion for life. If you love somebody don’t ever let them take invega. It is the worst drug on the market",0,2,1
"Paliperidone","Rose","April 29, 2020","Taken for 1 to 6 months","<b>Invega Sustenna (paliperidone):</b>			 Taking this drug invega sustenna helped a bit with my schizophrenia symptoms. The side effects on the other hand were something else. I was significantly slowed down both mentally and physically. I did lose about 5 pounds and lost interest in food most probably due to feeling really depressed about my condition. I also couldn’t stop walking about, I couldn’t sit still anywhere for up to 2 mins. I also had abnormal muscle movements, my vision became really bad and blurry and I was drowsy all the time especially after taking a dose.",0,0,1
"Paliperidone","Ted","April 27, 2020","-","<b>Invega (paliperidone):</b>			 Taken alone Invega with make you depressed and stupid, but taken with a low dose antidepressant it will make you feel good.",0,0,1
"Paliperidone","Anon","April 23, 2020","Taken for 10 years or more","<b>Invega (paliperidone):</b>			 Have taken Invega for  about 15 years for schizophrenia, then for depression, have tried others, but always quickly come back to this.  Has calming effect, but I still sometime feel angry which I have to use a thought-challenging app for.  Unlike with the other antipsychotics I tried, I'm able to watch movies and read with this one.  I feel very unmotivated often though, and I've got some bipolar hypomania, maybe I should try Vraylar, but trying to switch has been a terrible experience for me.",0,1,1
"Paliperidone","Onimoru","April 20, 2020","Taken for 5 to 10 years","<b>Invega (paliperidone):</b>			 I have been trying for 7 years to get off the monthly Invega shot because the side effects make me feel like I’m in a nightmare. I’ve gained 80 pounds, trouble getting to sleep and staying asleep, no sex drive so no point to having a girlfriend, I feel down all the time, have wet stools, heartburn constantly, frequent headaches and I could go on. If you have a loved one on this drug ask them to be honest about the constant suicidal thoughts.",0,1,1
"Paliperidone","Lazerbunnyfuntime","April 2, 2020","Taken for 1 to 6 months","<b>Invega (paliperidone):</b>			 Makes me feel super happy almost like high and tired, but out of the 5 antipsychotics I've tried it gave me the least amount of side effects.",0,0,1
"Paliperidone","Live life to the fullest","March 31, 2020","Taken for 1 to 2 years","I started on the 360mg dose of trinza invega. I became severely depressed. I lacked ambition and motivation. I used to be very witty and could make people laugh and could talk up a storm. Ever since I started  taking paliperidone I feel a lot more dull and less eccentric and interesting. With all of that aside though it does take away the voices and paranoia. I got my medication reduced from 360mg to 260mg and it's made a difference in my personality and mood. I have an easier time holding a conversation now and I have a little bit of motivation and ambition. I still wish I never had mental Illness so I could be my normal self without the medication. Overall I'm happy I'm not psychotic anymore.",7,2,1
"Paliperidone","Anonymous","March 30, 2020","-","This drug makes me severely depressed and unhappy.  I have lost interest in everything and everyone. I don’t feel any good and each day is a struggle I now have broken relationships.Please avoid this drug and take another ant-psychotic.",1,1,1
"Paliperidone","Daisy rose","March 29, 2020","-","This drug makes me severely depressed and unhappy.  I have lost interest in everything and everyone. I don’t feel any good and each day is a struggle I now have broken relationships.Please avoid this drug and take another ant-psychotic.",1,1,1
"Paliperidone","Tai","March 20, 2020","Taken for 1 to 6 months","I really despise this drug ruined my appetite, I gained a lot of weight ruined my physique stopped me from reaching higher goals than when on any other medication. I started a petition to warn people of the drug and and put a stop to its used permanently. Please feel free to sign this petition your help will appreciated by many who feel they had no voice",1,3,1
"Paliperidone","Double D","March 13, 2020","Taken for 2 to 5 years","<b>Invega (paliperidone):</b>			 Suffering and miserable on this drug Invega. I take 117mg monthly injections.  The frequent side effects I get are thoughtless, emotionless, akathisia, anxiety, a lot of difficulty with memory focus and concentration like I can't learn much. Unmotivated I sit around a lot feeling numb and mentally blank. Increased depression, dead sex drive or no interest with sex. Weight gain",0,6,1
"Paliperidone","Bob","February 25, 2020","Taken for 6 months to 1 year","<b>Invega Sustenna (paliperidone):</b>			 I don't feel much on this medication.  It takes away the pleasure of enjoying things like video games sadly.  I've lost my sense of smell while on this drug.  I've gained the most weight I have compared to other antipsychotics.  I tried coming off it for a month with no success, it's really strong on preventing delusions and hearing voices.  I can't ejaculate or feel much sexual pleasure while on this medication.",0,7,1
"Paliperidone","Ellis","February 22, 2020","Taken for 1 to 2 years","I've been taking the 3 month shot of invega for about a year and a half now.  It totally got rid of my delusions.  I've gained about 40 lbs, but I recognize how much stress I used to be under.  I had a lot of suicidal ideation last year because Utah treats schizoaffective people as criminals, and I was having existential dread because I might have to work a slave job for 7 years.  I read The Power of Now by Eckhart Tolle and started meditating. My third eye doesn't completely grip me with it's reality but I can still use it to get some closure from that past headspace.  This drug has the least side effects from any of the other anti-psychotics which is why I like it, but the weight gain definitely sucks, but that's unavoidable with this condition.  Very glad it has worked SO well, and am grateful I'm back to normal and can live a happy productive life again.",9,1,1
"Paliperidone","xet","February 11, 2020","Taken for 2 to 5 years","I used xeplion and it was ok . The doctor sad Paliperidone is better than other. It was no problem , I had some stress and pain. So I changed . Side effect was low.",5,1,1
"Paliperidone","Ethan","January 31, 2020","Taken for 1 to 6 months","<b>Invega (paliperidone):</b>			 So, I was high energy and a lovely person before taking this drug. After my second shot of 234mg, I became so tired and depressed like all the life had been sucked out of me. No longer bubbly and energetic I would just lie down all day with no energy to move. Very sad. Very very sad.",0,13,1
"Paliperidone","Gfd123","January 24, 2020","Taken for 6 months to 1 year","I've been on 100mg paliperidone for several months now. They also prescribed me 1mg cogentin or benztropine for the shaking legs and that has helped with the shaking a lot. The paliperidone makes me stay in bed all day and I have zero thoughts. I really wish they'd take me off the injections because I'm not at serious risk of harming myself or others. I don't smoke weed anymore, which is what triggers my panic attacks. So they should understand that it's directly related to weed smoking. Once I stop the weed, I stop the panic attacks. Plain and simple. I also completely stopped semen production while on this drug. I wish they'd let me off of it for just one month to test and see that I'm actually okay when I don't have panic attacks from marijuana.",1,2,1
"Paliperidone","Takeyourmeds","January 11, 2020","Taken for 2 to 5 years","<b>Invega Sustenna (paliperidone):</b>			 I've been on this med Invega for years without it I was suicidal and often hurt myself with this med I'm happy again and have no desire to cause harm to myself only side effects are weight gain and long sleep",0,5,1
"Paliperidone","Yusaf","December 22, 2019","-","<b>Invega Sustenna (paliperidone):</b>			 Gained 40 lbs in two weeks right after taking it. Made me pale (I'm olive complexion). Made anxiety horrible for a few months (could not stop moving around). Messed up sleeping habits for a few months. Stopped my periods for three months in a row. Never had problems with any of these things before taking. Been off for ten months now just now getting back to close to normal.",0,10,1
"Paliperidone","Lew","December 22, 2019","-","<b>Invega Sustenna (paliperidone):</b>			 I now have a deadly and nontreatable heart condition called a Left Anterior Fascicular Block (LAFB) due to over prescribed high doses of Invega and not being diagnosed 3 years in a row with hyperlipidemia (high cholesterol and extremely high triglycerides) and hyperprolactinemia (abnormal hormones causing loss of erection and sperm production) and 'reduced function' stage 2 kidney damage as well as 65lbs weight gain, none of which was diagnosed or referred to a PCP for treatment. Now I am without a treatment plan and my fate is sealed. Bad drug period.",0,9,1
"Paliperidone","PaliperidoneSucks","December 14, 2019","Taken for 6 months to 1 year","Wouldn't recommend this medication to anyone. I have massive regret after taking this drug constantly thinking about not living, I wish I could turn back time and not have gone  into hospital. I felt better when I had my psychosis never had negative thoughts or nothing of the sort but now I live with massive regret and thinking about death non stop and the medication I'm on doesn't help either",1,8,1
"Paliperidone","Tommo","December 5, 2019","-","<b>Invega Sustenna (paliperidone):</b>			 I had a psychotic episode from drug use, they made me take injection and I feel like it was worst drug possible, I honestly can't explain how bad the side effects are. You get a weird smell odour, irregular heart beat, no up and go, no sex drive, dizzy all the time. I am off of it now and I am hoping I can come good again",0,14,1
"Paliperidone","RB","December 4, 2019","Taken for 1 to 2 years","<b>Invega Sustenna (paliperidone):</b>			 Took 100 mg of the paliperidone drug (european dosing) when I was psychotic and, for 1 year (same dose, later added 20 mg Zyprexa), while the psychosis had gone, delusions and hallucinations persisted the entire time. Also, it raised my prolactin level to rocketing levels (2000 mIU/L).  Although it kept me away from psychosis, there are better alternatives for the disease.",0,4,1
"Paliperidone","RB","December 4, 2019","Taken for less than 1 month","<b>Invega (paliperidone):</b>			 Took 6 mg for a week before 12 mg for 3 weeks while I was inpatient and psychotic. (testing before I take the long-acting version of the drug) Psychosis didn't improve.  And the stupid doctor prescribed the injection anyway.",0,8,2
"Paliperidone","Realization","December 3, 2019","Taken for 1 to 6 months","<b>Invega Sustenna (paliperidone):</b>			 Let’s start off by saying it causes bloating. I hate the feeling. I been dieting and exercising but no results after eating. I have no sex drive, tiredness, no emotion, and lack of energy. I also don’t want to leave the house. This shot has worked for my voices but the side effects are worst. Hopefully getting off of it soon.",0,9,2
