"Drug","User","Date","Period","Review","Score","Likes","Page"
"Rexulti","No name","May 29, 2020","Taken for less than 1 month","This medication didn't work for me. I was totally out of my head with  Schizophrenia with in 2 weeks of changing to the Rexulti.  I'll never go back on this one.",1,2,1
"Rexulti","SAJ","May 17, 2020","Taken for 6 months to 1 year","I have had to opposite experience than others on this site. I was on Abilify for about 10 years after trying every 2nd gen anti psychotic. I also have Trauma PTSD. Anyway at some point abilify stopped working well and I became extremely manic and aggressive. I completely stopped sleeping. Honestly just stayed up all night sitting in a chair being weird and catatonic with racing thoughts. When I rarely fell asleep it would only be for a couple hrs. Dr. switched me to Rexulti because of studies showing it helps with PTSD and within 3 days I felt so so much better. I was less paranoid, less agitated, no voices, no paralysis, no EPS. Way better than Abilify ever was. I also started to sleep 6-8 hrs straight every night. It is like it just reset something in my brain and I began to sleep again. I guess it either really works for you or really doesn't.",10,4,1
"Rexulti","Nsjsn","March 18, 2020","Taken for less than 1 month","Please do NOT take this medication  Rexulti it will make you feel horrid and inhuman and it doesn't stop. I was given it for Schizoaffective disorder.  Be ready to be in pain.  It has been a solid week now of no rexulti and I still feel like I'm on it and can't escape this nightmare.",1,3,1
"Rexulti","Kaya","December 4, 2019","Taken for 6 months to 1 year","This drug has almost completely halted all hallucinations (I have Schizoaffective disorder). To my knowledge I am not delusional and I seem to be able to follow conversations better. I have tried 5 other antipsychotics and none were even half as effective. Also I HAVE NO SIDE EFFECTS!!!! 6 months in and I will never go off. 4mg daily",10,17,1
"Rexulti","Pes","August 28, 2019","Taken for less than 1 month","I've been taking Rexulti for a 3-4 weeks. I'm a bit cranky all the time, always moody. But the PTSD has gone, and I'm thinking clearer. I still have anxious thoughts but they have always been there. My paranoia is controlled by CBT and reiterating soothing thoughts. I feel more motivated to study and procrastinate less. I have more hours in a day because I can wake up at 5am.",0,17,1
"Rexulti","Shell","July 4, 2019","Taken for 1 to 6 months","My daughter was taking abilify for 6 yrs and they switched her to this drug Rexulti because they said it had less weight gain issues.  At first it work great for about 8 weeks then just stopped working. She developed hiccups on and off with this med and her body temperature was going hit and cold she then became very confused and could not focus then extremely depressed and I took her to the emergency room where 16 hrs later she had a grand mal seizure. Don’t take this Med I don’t think they’ve done enough research on it and it is still to new. My daughter was in the hospital 2 1/2 weeks and still is unable to think properly or focus on anything and still experiencing hiccups on and off now. I hope and pray she recovers. She was in college getting straight A’s before this.",1,30,1
"Rexulti","Saysay","May 8, 2019","Taken for 1 to 6 months","I was on zyprexa for 9 years no issues them. I had Tardive dyskinesia . I was put on rexulti it worked for about a month got me out of the withdrawals of zyprexa but the rexulti gave me hot flashes every night so bad I had panic attacks on top of it I had extremely angry outburst for no reason I also had self harm behaviors during the outbursts. I stopped the medication as soon as I realized what it was doing to me. This is a scary medication",1,14,1
"Rexulti","June","March 19, 2019","Taken for 2 to 5 years","Go ahead and take this medicine if want to mentally feel better but be prepared to gain 30 pounds and never be able to lose it. Honestly, I don't recommend it at all because the weight gain has ruined my life. Good luck in whatever you decide to do.",5,29,1
"Rexulti","D","December 26, 2018","Taken for less than 1 month","I have tried this drug twice.  Both times it has caused auditory hallucinations.  When I discontinued,they stopped.",1,11,1
"Rexulti","Jylo","December 11, 2018","Taken for less than 1 month","Since starting Rexulti a week &amp; a half ago I've been feeling more motivated, I have more energy &amp; I feel less irritable. I'm studying more productively. I haven't been experiencing intrusive thoughts - obviously I can remember what they were, therefore they still enter my mind, but they're not distressing &amp; they don't linger. So, ultimately I feel 'normal' again i.e. without illness or side effects. (I'm still overweight &amp; I still procrastinate, but since beginning this new treatment I have the motivation &amp; energy to transform to the person I want to be).",8,27,1
