"Drug","User","Date","Period","Review","Score","Likes","Page"
"Risperidone","fitspoo1911","May 5, 2020","Taken for 1 to 6 months","I was on Risperidone for 5 weeks, the first 2 weeks were a struggle but by the end of the month it had really tackled my anxiety and hallucinations. It did make my paranoia really bad for a week but apart from that I was starting to feel okay again. I had to stop as I started to lactate and as a 20 year old I found it quite distressing so I was swapped to aripiprazole, I hope this one works as well as risperidone did!",8,1,1
"Risperidone","Anonymous","March 1, 2020","Taken for 1 to 2 years","I was put on this about 2 years ago! I was hearing things and seeing things and completely lost my mind and was admitted and this is what they put me on! At the time it saved my life and made me feel normal again! But as time went on I noticed I didn’t get excited about anything anymore I had no emotions! I gained a lot of weight I went from 150-210lbs. I stopped having periods. It made me have the worst anxiety ever. I’m currently weaning myself off of it! Come to find out I had an over active thyroid and had radiation done and was told I can come off this medicine! So it was my thyroid that made me go crazy and put on this medicine! I’m glad to say I’m coming off of it! I’m ready to enjoy life and have my feelings back! Hope this helps someone!",5,10,1
"Risperidone","puppylove","February 20, 2020","Taken for 2 to 5 years","<b>Risperdal (risperidone):</b>			 I was admitted to the hospital and prescribed Risperdal. I recently went from 3mg to 2mg. I've been having really bad swallowing issues on this med and we're hoping the lower dose helps with this. Otherwise a great medicine for me I've been active in the community and able to control some of my unusual thoughts. I would recommend this medication, but be cautious of the side effects. I've been on the med for 2 years now. I gained 40lbs and remarkably I was able to lose 50lbs since starting Risperdal.",0,11,1
"Risperidone","Dddttt","January 20, 2020","Taken for 6 months to 1 year","This drug made me depressed even though it took care of the hallucinations and delusions. I’m remembering my horrible past all the time and resting the whole day.",1,3,1
"Risperidone","Fiona","January 12, 2020","-","Simple tasks such as brushing teeth, bathing, etc. IN THE MORNING have become difficult. What does this medicine do to patients? Will I be impaired for life? Should I stop taking this medication? Will the side effects persist after stopping? Oh, I’m miserable. I can’t do anything.",1,3,1
"Risperidone","Anonymous","January 11, 2020","Taken for 6 months to 1 year","I’m helpless as I can’t think anymore. There is no more excitement! There was a time when I’d feel happy about nature. I loved going for walks, when I was in London I’d go out. I was in bliss. Suddenly I’m sinking... it’s helping me so much by removing psychotic thoughts (all gone) yet it’s ruining my happiness. I ask: is there an alternative? I want my happiness back, I want to be able to exercise again, I don’t want that fear of going out, I want to be able to think as I read... I’ve lost interest in movies, music, studies and sports. Has anyone felt so tired on it? Has anyone been sprawled on bed like me the whole day doing nothing?",3,7,1
"Risperidone","sirwan k","January 11, 2020","Taken for 10 years or more","ok and good price .",7,1,1
"Risperidone","peter","January 4, 2020","-","The problem with this medicine is that while it is supposed to treat depression and works wonders to remove hallucinations and unwanted thoughts (some, at least), it makes one so tired and lazy that one becomes depressed in the process of being so tired! This is truly a conundrum. It made me extremely demotivated as I lost all interest in movies, exercise and study.  Yes, the benefits of Risperidone are immense but I would not go so far as to say that they outweigh the side effects. The side effects are lethal. They hit right at the body and mind, and that is a big problem. Not to mention the weight gain that occurs because of inactivity and excess sleep. I find it really hard to shave in the morning! My mornings are the worst. I just can't get out of bed.  Yes, it makes one sleep VERY well. There is no doubt about that, yet it is the TIREDNESS which is a big problem. I don't know why drug companies can't figure out a way to make a medicine that does not have such side effects.",1,2,1
"Risperidone","Anonymous","January 3, 2020","Taken for 1 to 6 months","A while back I was prescribed resperidone 1mg for psychosis and was forced on it. I developed extrapyramidal symptoms   Parkinsonism from it. I saw a neurologist he prescribed amantadine which is helping. I was misdiagnosed anyway.",1,2,1
"Risperidone","sandygs","December 20, 2019","Taken for 2 to 5 years","I was diagnosed with paranoid schizophrenia 25yrs ago and was taking clozapine 75mg since. The only side effect was that I felt discontinuity in thoughts, laziness in mind and irritability. For the last 2 yrs I am on scizodon 1mg (resperidone) in addition to my clozapine dosage, and from the very next day all my negativity vanished, my anger disappeared, I have clarity and continuity of thought and calmness. I am a lot happy now I can say.",0,2,1
"Risperidone","JOYA","November 10, 2019","Taken for 10 years or more","<b>Risperdal Consta (risperidone):</b>			 I don't have a problem on ripsedal consta except in Canada it is being discontinue and that is causing me stress.  I have been taking risperdal consta for the past 12 years and it has been working miracles for me! I  don't even have a weight gain issues but we regularly exercise/work and take supplements!",0,4,1
"Risperidone","Maxjohan1983","August 31, 2019","Taken for 2 to 5 years","Sandoz is great because I quit to get the weird anxiety after being on Sandoz and I had with others resperidone brands. Let me explain myself. I had a type of anxiety with other risperidone brands. At times I felt like to repeat words what others said in conversations. I become a weird person. One time when I didn't say good morning to a neigbour outhside nextdoor to me and I had obsessive anxiety about this event and went to the neigbour's home and apologize. Thank godness for Sandoz. My theory is that there's additional rubbish in other brands.",9,6,1
"Risperidone","Learning","July 29, 2019","Taken for 6 months to 1 year","<b>Risperdal (risperidone):</b>			 I started out on 1 mg and went all the way up to 4 mg then all the way back down to 1 mg again. Currently staying at 1 mg in order to have semi normal cognitive function. When I went up to 4 mg. I was catatonic for 6 months until the dose got lowered down to 1 mg. Everyone is different but felt like it shut my whole brain down the bad AND the good. Good luck.",0,16,1
"Risperidone","Skander","June 18, 2019","Taken for 6 months to 1 year","I am on this medication now for about 8 months first I experienced some bad side effects like difficulty  of swallowing and some other side effects now its good not a major difference in my life but stable",6,4,1
"Risperidone","Quietgirl","June 11, 2019","-","I have been on 4mg of risperidone for about 10 years and have felt stable and normal for a long time. I also use Alprazolam or Xanax for my anxiety disorder which keeps my mood and thoughts happy and very social. Nothing else has worked I've tried Zoloft which was terrible for me, now I am trying Abilify will tell you how it goes with that but I always fall back to Risperidone!",10,5,1
"Risperidone","Tina","June 2, 2019","-","This medication worked very well for my condition.l stopped this medication immediately as l developed severe neurological symptoms like parasthesias in the feet and blurred vision",5,3,1
"Risperidone","Jace","May 2, 2019","Taken for 1 to 6 months","<b>Risperdal (risperidone):</b>			 I have Psychosis NOS  (Not Otherwise Specified)  and I am currently taking 2 mg. once daily. My temperament is better. I am not as easily agitated and sleep better at night. Prior to Respirdal I had severe insomnia and was easily moved to anger. On the down side I gained 20 lbs in about 2 months, my affect is flat and my energy level is very low. I force myself to exercise but I seem to be experiencing muscle tiredness and some coordination problems. I plan to speak w/ my doctor for med adjustment.",0,23,1
"Risperidone","Hef","April 12, 2019","-","<b>Risperdal (risperidone):</b>			 I was forced to end taking haldol 2.5 mg/night after 27 1/2 years -over 10000 days- because they stopped making it. I was prescribed risperdal. I started at 2mg a day and they reduced the dosage to 1 mg. I also stopped cogentin and Prozac because of strong discomfort. After around 40-50 days of risperdal I didn't sleep as well and felt utterly horrible like a zombie- like it was torturing and destroying my brain. I came to my senses and rid myself of all medication whatsoever since it seemed to be harming my brain and not helping me sleep and have recovered from all mental illness in about 5 days and am getting somewhat less sleep but feel a lot better overall. So the medicine was good in that it convinced me to get rid of it and all medication and completely recover. I believe people who take risperdal should be reviewed after 30-50 days or so and given the option to stop taking it and maybe all medication if they have horrible zombie like side effects like I did.",0,24,1
"Risperidone","Anonymous","February 5, 2019","Taken for 1 to 2 years","<b>Risperdal (risperidone):</b>			 This has helped a lot for my daughter's hallucinations. She was not diagnosed with schizophrenia, so her hallucinations are related to either her epilepsy or something else. There have been a couple of times where she stopped taking it because she felt better, but then the hallucinations would come back. She had to go on the highest dose after she stopped taking it the first time, so if you find this works for you or a loved one, just make sure they don't stop abruptly.",0,16,1
"Risperidone","Meh","January 19, 2019","Taken for 6 months to 1 year","<b>Risperdal (risperidone):</b>			 Just my experience, your mileage may vary. Odd tunnel vision as it takes effect. After about 2 weeks, expect your wife to be very  unsatisfied.  If your job involves mental math or coding, this will become much more challenging. It dulls your emotions even beyond what your horrible affliction will. I became an impotent robot with no processing power. The cure, at least for me, was worse than the disease. I have since learned to ignore, or at least recognize and not take them as absolute reality. Mental gymnastics and proper training are equally effective; the side effects of Respirdal are life altering in a bad way.",0,25,1
"Risperidone","COCOA","January 18, 2019","Taken for less than 1 month","<b>Risperdal (risperidone):</b>			 My husband was just prescribed this however he is ALREADY drowsy, unmotivated  and gaining weight. I am looking for a better option for someone who has been hearing many voices for years??? Please help",0,4,1
