"Drug","User","Date","Period","Review","Score","Likes","Page"
"Saphris","Nevergiveup","September 4, 2019","Taken for 5 to 10 years","After being none responsive to all antipsychotics I was given Saphris at 27. My life was very hard up until this point. Saphris has given me a life free of all mental illness. I have absolutely nothing wrong with me now. I run my own business and was previously on a disability pension and couldn’t work. 8 years on and I have never been sick. Only downside is I get restless for a few hours at night when I take it and get  sugar cravings and can’t sleep until I eat sugar , also this effects my weight. I’m quite hungry on Saphris and gain weight very easy which bothers me but it’s given me a normal life so I have to deal with it",10,22,1
"Saphris","Fireflyflies","April 21, 2019","Taken for less than 1 month","I was put on this medication while in the hospital for voices and other symptoms. It is the worst antipsychotic I've been on. Not only does it taste foul and numbs your mouth, but it also made me dizzy and extremely nauseated. The nausea and dizziness were so horrible that I ended up getting physically sick; I could not keep food or water down. Whenever I stood up, I could feel my blood pressure drop and I had difficulties walking straight. I was lucky that I was with other patients while off the ward because I could have easily fallen. After two days of misery, I told the staff that I wouldn't take it anymore. I'm sure it was helpful for some people, but the amount of sickness it caused me wasn't enough for me to stay on it.",1,7,1
"Saphris","Anonymous","December 7, 2018","Taken for less than 1 month","Made things much much worse. Total craziness on it. Anger.",1,4,1
"Saphris","Anonymous","September 18, 2018","Taken for 2 to 5 years","I was put on Saphris for voices and intrusive thoughts. I think it works really well. Most all of my voices are gone, and as far as my intrusive thoughts, there better. I'm on 10mg at bedtime and 10mg in the morning. It also helps with sleep. After about a month on Saphris,  once I got stable I started being more active and exercising. I even started volunteering at a job. I know it works differently for everybody,  but it really works well for me.",8,25,1
"Saphris","Grenas","August 3, 2018","Taken for 2 to 5 years","I can rest well at night Controls my mood",9,20,1
"Saphris","mom","July 25, 2018","-","I want everyone to know that my son has taken Saphris for about 4 years. His biggest side effect problem was the jaw tightening and the facial contortions.  However, we recently found that if he eats a banana within 20-30 minutes of taking Saphris, these symptoms do not happen.  This is based on Saphris removing dopamine and the banana gives a little boost of dopamine back so it counteracts these side effects.  I tried to call Allergan to let them know this works but I have not heard back from this.  This really does work. So if you take Saphris and have this side effect, try eating a banana within  20-30 minutes after taking it and the facial contortions do not occur.  This would probably work with other anti psychotics drugs also.   It has made my sons life so much easier.  Anti psychotic drugs shut down certain dopamine receptors in the brain.  The banana gives a small boost of dopamine, just enough to counter the effects of the drug.",10,30,1
"Saphris","Chizza","July 17, 2018","Taken for 5 to 10 years","After my whole life suffering with schizophrenia and being non responsive to anti psychotic drugs .  Saphris (10mg) put me into complete remission to the point that I no longer had ANY mental illness in any shape or form. And every year that passed I become stronger and more alive then ever ! But unfortunately I get intense sugar cravings through the night after I take it that I can’t control and I have to get out of bed and eat. This had resulted in unwanted weight gain and I have a history of an eating disorder so it’s important not to be over weight. The weight gain bothers me so much that I’m now trialling Rexulti to see if that can help with hunger.",9,20,1
"Saphris","Kells b","May 15, 2018","Taken for less than 1 month","I love this med. It does tastes horrible and makes my tongue numb but overall it is very helpful and helps with the voices",8,18,1
"Saphris","A. Booker","February 16, 2018","Taken for 1 to 2 years","Saphris medicine is taken every evening when you plan on going to sleep. The dosage of medicine goes under your tongue as prescribed. The medicine is a tranquilizer and dissolves as soon as taken. Saphris have side effects the following day. Including tiredness when taken every evening",4,8,1
"Saphris","Shelbee33","October 2, 2017","Taken for 6 months to 1 year","I've been on this medicine for about 6-9 months and its a wonderful drug. No more paranoid thoughts or delusions. I'm on the max dose which is 20 mg. It made me sleep for 12-14 hours a night at first but not anymore.",10,18,1
"Saphris","ELaettner1","July 30, 2017","-","Saphris has done wonders for me. I have been on 10mg at night since July 7th and I have lost 4lbs already. I was on Invega paliperidone 9mg for 10 years. No matter how hard I tried (fasting, counting my calories) I couldn't lose weight. I like how Saphris puts me to sleep right away but I'm not tired the next day.Also, I have my sex drive back which I never had on Invega. I am so glad they have come up with better medications these days.",10,20,1
"Saphris","Yourmedsareyourhealthsobeware","July 20, 2017","-","I've been taking saphris 10mg twice a day for over a year. It has helped me tremendously. I no longer hear 9 voices, down to 2 voices that are quiet. I do not get dizzy or tired on it as well. It has given me clarity and rest from voices. It has been good for me so far, so grateful. I no longer have anxiety as well.",9,23,1
"Saphris","Anonymous","June 11, 2017","-","The wife tried this medication several years ago.  She liked how it affected her negative symptoms but her hallucinations and paranoia  came back really strong after a few weeks.  Doctor probably should have eased her transition from olanzapine to Saphris but the way he did it didn't work.  I still will be open to this medication in the future with so many positive experiences.",2,9,1
"Saphris","CBuyck","January 13, 2017","-","I've been on so many antipsychotics, but none have ever worked as well as Saphris.  (I'm on 40 mgs.  I think that's the max dose.)  It tastes HORRIBLE.  They are supposedly black cherry flavored.  Well, I don't know where the manufacturers are getting THEIR black cherries, but this stuff certainly doesn't taste like any cherries I have ever eaten!  Other than the taste and the tingly tongue, I love it.  It had been a miracle worker for me.  I'm relieved, because I think my psychiatrist and I are running out of options!",8,26,1
"Saphris","vmz","December 24, 2016","-","really don't like the taste of it- i dread having to take it",8,9,1
"Saphris","Sundai","October 19, 2016","-","Has an uncomfortable side effect shortly after taking it, where muscles, particularly in lower legs/feet, tense up. Goes away after a short while. Overall totally worth it.",10,21,1
"Saphris","Kite76","October 14, 2016","-","Hi!  I have been on this medicine for only 2 weeks and I already know that its the best thing that could happen for me.  I wanted to post so others know that the benefits of Saphris are real in my case.  Perhaps peoples side effects are from other medicines/withdrawal from other medicines??...     I was on olanzapine but I continued to have unclear thinking and my weight gain over a year was astronomical. I live in Australia and its a subsidised medicine here, it is truely the lucky country and Im so very greatful,  this medicine is changing my life.",10,28,1
"Saphris","daintyd","July 18, 2016","Taken for 1 to 6 months","I took Saphris for about 3 months for very, very mild schizoaffective disorder. I have body paranoia, delusions, constant fear, anxiety, severe depression, anorexia (unrelated) etc. This medication took all of that away. I was happy, smiling more, being more social, I was eating more again and even got back to a healthy weight (intentional gains) However, after being on it for 3 months I found myself unable to do every day tasks. My mental ability to do anything was gone, totally. My mental functioning got so bad I had to have an accommodation through HR at work so I didn't lose my job while I got off the meds. Overall, super helpful. But that whole brain not working was a dealbreaker. I was so sad to get off Saphris. Back to square one.",7,21,1
"Saphris","JediBill","July 4, 2016","Taken for less than 1 month","About 1 week in, so far, this drug has worked well, still getting inappropriate laughter, but I feel much more functional than when I was on risperdal and lithium. I don't feel as hungry, I feel more purposeful, I get more done, I feel better. It's still to early to give a review in terms of how well I like the drug, but I have a good feeling about this drug, I believe it will be a step up from the medication I have been on previously. The most important thing is that I believe I'm sleeping well on this drug, better than any other drug I have been on.",0,13,1
"Saphris","Anonymous","April 13, 2016","-","I've been on saphris for 3yrs now mostly because of my voices. I have been at my healthiest and voices are at the lowest they've been in the past 30yrs of being sick! Im thankful for this medication and wish I could've found it sooner. Thanks!",10,23,1
"Saphris","dritan_34","February 13, 2016","Taken for less than 1 month","My  first 4 days of 5mg am  and 5mg pm was horrible. OK I have IBS and have problems frequently. As soon as I started saphris I develop severe diarrhea with vomiting through the night, durring the day I am so cramped up (and having very nasty smelling burps) that I can't eat or take it anymore. I wish it could've worked to help me as it has seemed to help so many others. But after the first four days of that I was ready to call it quits. I started and stopped 2 other meds at the time I started taking the saphris, so its taken about 3 weeks figuring out that it was the culprit. If only I could have been warned or read a review of this happening to other people. nasty experience",1,7,1
"Saphris","Careysleena","May 15, 2015","Taken for less than 1 month","I take Saphris 25 mg every day. I have BIPOLAR/SCHIZOAFFECTIVE/OCD/PTSD. I has been 2 1/2 weeks and it is helping a ton! Negatives: kinda annoying to take but you'll get use to it.  It is a tablet that you put under your tongue and wait for 10 min. to eat or drink. It just came out with a  black-cherry taste which tastes like a little piece of candy. Other negative are  headache, some insomnia but then sometimes it will help a lot with sleep. I think the insomnia is due to  my caffeine intake. So if you really want this medicine to work, don't use pop/coffee, big pupils. Positives: calmer, deeper and longer sleep, increased motivation, weight loss, decreased irritability, more stable mood, more creative, can pay attention more, more creativity, and more clear mind..",9,50,1
"Saphris","Anonymous","February 21, 2015","Taken for 2 to 5 years","This is an awesome medication for those patients that are immune to 1st and 2nd generation psychotropic meds.",8,21,1
"Saphris","Bones Malone","February 14, 2015","-","I have been on first 5mg then 10 mg now 20 mg of Saphris since 10-14. At first I thought I'd fould the Holy Grail of schizophrenia!  All hallucinations just stopped!  However, as time goes on, schizophrenia sticks it's insidious little head out of the sand and back I go into the hospital. Overall-compared to the other anti-psychotics out there, pretty good stuff man.",8,29,1
"Saphris","Almost Normal","December 8, 2013","Taken for 1 to 2 years","I was put on Saphris after being on Clozaril for 13 years.  My schizophrenia is completely controlled on this medicine.  However, it is much less sedating than Clozaril and sleep is sometimes a challenge.  It also seems to not increase my appetite-- the first of its kind!  For awhile it was also prolonging the QT wave of my heart but that seems to have leveled off.  But I do have one major complaint.  It sometimes makes me forget how to pronounce words.  I guess this is similar to an effect of Topamax.  All things said, its good to be almost normal.",9,39,1
"Saphris","toursjollie","August 4, 2013","-","I have been on Saphris for two and a half months now. So far it has been great. My eating is under control compared to when I was on Invega. So far I have lost 3kg due to diet and exercise. Hope to lose some more weight. The only side effect I will complain about is my extended sleep. I sleep for 12-15 hours a day. A bit of a worry for when I am trying to get back to work.",10,34,2
"Saphris","Edward8787","July 20, 2013","-","I'm 28 and was just diagnosed with Schizophrenia about a month ago. I was given Saphris, this is my first antipsychotic medication and it makes me immensely drowsy after 10 minutes. It slowed down the racing thoughts and negative ideas in my head in order to set aside my wants and needs and socially accept what is happening around me and what I need to do. Only down side so far is the intense drowsiness and that gnawing restless sleep feeling when I tried to go to sleep before my regular sleeping schedule. I can't remember falling asleep at all due to the tossing and turning. I do recommend taking it when you're 100% positive your going to sleep and not a moment sooner. Woke up calm and well rested. DAY 1.",6,35,2
"Saphris","Bart0989","May 31, 2013","-","I have heard it described as the new clozapine. It is a good medicine with little side effects. I'm resistant. To most medications but finally found this medication and I'm getting well again.",9,34,2
"Saphris","DamienRose","April 16, 2012","-","I have been on SEVERAL medications over my many years (36 years old now). I have been on medications for over 20 years off and on. I have been on Saphris for almost 3 weeks now and I can not tell you what a God send this has been.  My doc just added Lithium to my regimen and as he refers to it, it is like Batman and Robin. Batman works great but can sometimes use the help of Robin.  The only thing is it can be cost prohibiting without insurance.",9,33,2
"Saphris","j-dog","April 14, 2012","-","It seems to have calmed the ranting, raving, racing thoughts in my mind, and I have not heard any voices, or bad thoughts against myself or others. It is also helping me with quitting my smoking addiction. The racing thoughts have always triggered smoking needs but now I find myself going much longer times with out worries and need to smoke. I'm staying on task better also. I'm on Depakote ER, Invega, Cogentin, Lexapro, Abilify and Saphrise is a very pleasant surprise.",8,28,2
"Saphris","Katie2828","March 6, 2012","-","I just started taking this medication last night. I've tried Abilify, Risperdal, Geodon, Fanapt, Latuda, Loxitane and others as well as an array of Antidepressants and Antianxiety pills. It is very bitter, but I have to say I sleep GREAT now! I will try to put more on here as my treatment continues.",8,25,2
"Saphris","bww7","March 4, 2012","-","Saphris was incredible for a few months as far as stopping the symptoms and no side effects.  We missed my wife's dose by 2 hours and the wheels fell off and she had to fall back on Zyprexa again.  It's a medicine we may go back to if the Invega stops working.",7,18,2
