"Name","Generic","HTML","Reviews","NumReviews","Score","Popularity","Classes","Off Label"
"Seroquel","quetiapine","https://www.drugs.com/seroquel.html","https://www.drugs.com/comments/quetiapine/seroquel-for-schizophrenia.html",35,"6.5",107,"atypical antipsychotics ","No"
"Abilify","aripiprazole","https://www.drugs.com/abilify.html","https://www.drugs.com/comments/aripiprazole/abilify-for-schizophrenia.html",78,"6.2",92,"atypical antipsychotics ","No"
"Latuda","lurasidone","https://www.drugs.com/latuda.html","https://www.drugs.com/comments/lurasidone/latuda-for-schizophrenia.html",91,"6.3",70,"atypical antipsychotics ","No"
"Risperdal","risperidone","https://www.drugs.com/risperdal.html","https://www.drugs.com/comments/risperidone/risperdal-for-schizophrenia.html",45,"5.1",65,"atypical antipsychotics ","No"
"risperidone","risperidone","https://www.drugs.com/risperidone.html","https://www.drugs.com/comments/risperidone/for-schizophrenia.html",93,"5.4",65,"atypical antipsychotics ","No"
"Zyprexa","olanzapine","https://www.drugs.com/zyprexa.html","https://www.drugs.com/comments/olanzapine/zyprexa-for-schizophrenia.html",40,"6.1",65,"atypical antipsychotics ","No"
"clozapine","clozapine","https://www.drugs.com/clozapine.html","https://www.drugs.com/comments/clozapine/for-schizophrenia.html",39,"8.1",60,"atypical antipsychotics ","No"
"olanzapine","olanzapine","https://www.drugs.com/mtm/olanzapine.html","https://www.drugs.com/comments/olanzapine/for-schizophrenia.html",83,"5.8",57,"atypical antipsychotics ","No"
"quetiapine","quetiapine","https://www.drugs.com/mtm/quetiapine.html","https://www.drugs.com/comments/quetiapine/for-schizophrenia.html",58,"6.7",46,"atypical antipsychotics ","No"
"Clozaril","clozapine","https://www.drugs.com/clozaril.html","https://www.drugs.com/comments/clozapine/clozaril-for-schizophrenia.html",11,"9.1",45,"atypical antipsychotics ","No"
"Geodon","ziprasidone","https://www.drugs.com/geodon.html","https://www.drugs.com/comments/ziprasidone/geodon-for-schizophrenia.html",40,"6.6",41,"atypical antipsychotics ","No"
"aripiprazole","aripiprazole","https://www.drugs.com/mtm/aripiprazole.html","https://www.drugs.com/comments/aripiprazole/for-schizophrenia.html",116,"6.1",33,"atypical antipsychotics ","No"
"Invega","paliperidone","https://www.drugs.com/invega.html","https://www.drugs.com/comments/paliperidone/invega-for-schizophrenia.html",63,"4.9",32,"atypical antipsychotics ","No"
"Seroquel XR","quetiapine","https://www.drugs.com/mtm/seroquel-xr.html","https://www.drugs.com/comments/quetiapine/seroquel-xr-for-schizophrenia.html",8,"7.6",26,"atypical antipsychotics ","No"
"Abilify Maintena","aripiprazole","https://www.drugs.com/mtm/abilify-maintena-injection.html","https://www.drugs.com/comments/aripiprazole/abilify-maintena-for-schizophrenia.html",25,"6.7",25,"atypical antipsychotics ","No"
"Saphris","asenapine","https://www.drugs.com/saphris.html","https://www.drugs.com/comments/asenapine/saphris-for-schizophrenia.html",36,"7.6",25,"atypical antipsychotics ","No"
"Invega Sustenna","paliperidone","https://www.drugs.com/mtm/invega-sustenna-injection.html","https://www.drugs.com/comments/paliperidone/invega-sustenna-for-schizophrenia.html",55,"4.3",24,"atypical antipsychotics ","No"
"chlorpromazine","chlorpromazine","https://www.drugs.com/mtm/chlorpromazine.html","https://www.drugs.com/comments/chlorpromazine/for-schizophrenia.html",8,"9.3",23,"phenothiazine antiemetics, phenothiazine antipsychotics","No"
"Risperdal Consta","risperidone","https://www.drugs.com/risperdal_consta.html","https://www.drugs.com/comments/risperidone/risperdal-consta-for-schizophrenia.html",7,"7.6",19,"atypical antipsychotics ","No"
"ziprasidone","ziprasidone","https://www.drugs.com/mtm/ziprasidone.html","https://www.drugs.com/comments/ziprasidone/for-schizophrenia.html",44,"6.6",18,"atypical antipsychotics ","No"
"paliperidone","paliperidone","https://www.drugs.com/mtm/paliperidone.html","https://www.drugs.com/comments/paliperidone/for-schizophrenia.html",167,"4.7",17,"atypical antipsychotics ","No"
"Fanapt","iloperidone","https://www.drugs.com/fanapt.html","https://www.drugs.com/comments/iloperidone/fanapt-for-schizophrenia.html",15,"6.5",15,"atypical antipsychotics ","No"
"loxapine","loxapine","https://www.drugs.com/mtm/loxapine.html","https://www.drugs.com/comments/loxapine/for-schizophrenia.html",7,"6.9",15,"miscellaneous antipsychotic agents ","No"
"Vraylar","cariprazine","https://www.drugs.com/vraylar.html","https://www.drugs.com/comments/cariprazine/vraylar-for-schizophrenia.html",42,"6.2",14,"atypical antipsychotics ","No"
"Zyprexa Zydis","olanzapine","https://www.drugs.com/mtm/zyprexa-zydis.html","https://www.drugs.com/comments/olanzapine/zyprexa-zydis-for-schizophrenia.html",5,"5.3",13,"atypical antipsychotics ","No"
"Rexulti","brexpiprazole","https://www.drugs.com/rexulti.html","https://www.drugs.com/comments/brexpiprazole/rexulti-for-schizophrenia.html",30,"5.1",11,"atypical antipsychotics ","No"
"lurasidone","lurasidone","https://www.drugs.com/mtm/lurasidone.html","https://www.drugs.com/comments/lurasidone/for-schizophrenia.html",95,"6.3",8,"atypical antipsychotics ","No"
"trifluoperazine","trifluoperazine","https://www.drugs.com/mtm/trifluoperazine.html","https://www.drugs.com/comments/trifluoperazine/for-schizophrenia.html",9,"8.1",8,"phenothiazine antipsychotics ","No"
"Aristada","aripiprazole","https://www.drugs.com/aristada.html","https://www.drugs.com/comments/aripiprazole/aristada-for-schizophrenia.html",3,"3.7",6,"atypical antipsychotics ","No"
"thioridazine","thioridazine","https://www.drugs.com/mtm/thioridazine.html","https://www.drugs.com/comments/thioridazine/for-schizophrenia.html",2,"9.0",5,"phenothiazine antipsychotics ","No"
"asenapine","asenapine","https://www.drugs.com/mtm/asenapine-sublingual.html","https://www.drugs.com/comments/asenapine/for-schizophrenia.html",38,"7.3",3,"atypical antipsychotics ","No"
"Invega Trinza","paliperidone","https://www.drugs.com/mtm/invega-trinza-injection.html","https://www.drugs.com/comments/paliperidone/invega-trinza-for-schizophrenia.html",14,"6.8",3,"thioxanthenes ","No"
"thiothixene","thiothixene","https://www.drugs.com/mtm/thiothixene.html","https://www.drugs.com/comments/thiothixene/for-schizophrenia.html",1,"10",3,"atypical antipsychotics ","No"
"brexpiprazole","brexpiprazole","https://www.drugs.com/mtm/brexpiprazole.html","https://www.drugs.com/comments/brexpiprazole/for-schizophrenia.html",34,"5.7",2,"atypical antipsychotics ","No"
"cariprazine","cariprazine","https://www.drugs.com/mtm/cariprazine.html","https://www.drugs.com/comments/cariprazine/for-schizophrenia.html",46,"6.3",2,"atypical antipsychotics ","No"
"iloperidone","iloperidone","https://www.drugs.com/mtm/iloperidone.html","https://www.drugs.com/comments/iloperidone/for-schizophrenia.html",16,"6.1",2,"atypical antipsychotics ","No"
"amisulpride","amisulpride","https://www.drugs.com/ppa/amisulpride.html","https://www.drugs.com/comments/amisulpride/for-schizophrenia.html",1,"9.0",0,"atypical antipsychotics ","No"
"Caplyta","lumateperone","https://www.drugs.com/mtm/caplyta.html","https://www.drugs.com/comments/lumateperone/caplyta-for-schizophrenia.html",3,"1.0",0,"atypical antipsychotics ","No"
