"Drug","User","Date","Period","Review","Score","Likes","Page"
"Zyprexa","S","April 18, 2020","-","It has worked well for me I had bad mani.    have gained weight though but zyprexa is very calming.",10,2,1
"Zyprexa","Cat","March 30, 2020","Taken for 1 to 6 months","I take 10 mg of zyprexa in the morning and at night. I use 1 mg of cogentin morning and night to stop side effects. Then I use 50 mg of vistaril for my anxiety.  But zyprexa makes me feel worse. The voices are still there. I'm more paranoid. I've gained 20 lbs in 1 month time. My appetite has increased. I have tremors throughout the day.  Plus the vistaril doesn't help much with my anxiety. I can't wait to see my doctor and get something else! I wouldn't recommend this medicine to nobody from my experience.  But each person is different.",5,3,1
"Zyprexa","Druger","February 15, 2020","-","I was on Zyprexa for 1 month and 1 week and in that time I gained 20+ pounds and did not help with ANY of the symptoms I was having. Didn't help with voices, delusions, paranoia. Nothing. Was really a complete waste of time and to top it off ruined how I look. (I used to be a very thin 160 pound male, and am now 220...) that's from all the antipsychotics I've tried combined. Zyprexa being the worst one for weight. I give zyprexa a 2 only because it did sedate me a bit relieving anxiety. I'm now on Loxapine which is supposed to be weight neutral but I'm still putting weight on from that a bit.",2,7,1
"Zyprexa","Geoff","November 4, 2019","-","I was on Zyprexa at 25mg (had Psychosis) for a few months, literally, the worst months of my life, all I wanted to do was eat and sleep so tired and foggy and I had no motivation so glad I ignored doctors and got off it as soon as I possibly could.  if there was an option for Zero I would give that this stuff is utter garbage.",1,16,1
"Zyprexa","ghj8","October 25, 2019","Taken for 1 to 6 months","I started stelazine but the Extrapyramidal symptoms (EPS) WAS TOO MUCH TO Handle so I take 5mg of Zydis to counteract the symptoms.",8,2,1
"Zyprexa","Czr","October 17, 2019","Taken for 6 months to 1 year","I was on 15 mg of Zyprexa and it completely got rid of all my symptoms. The only complaints I have are weight gain and sedation. I gained 70 lbs in a 6 month period and slept for 14 hours every night. My cholesterol went over the maximum limit and my blood sugar rose to a level that made me a prediabetic. Other than that, I would try this drug again.",7,8,1
"Zyprexa","Sunshine","October 9, 2019","Taken for 1 to 6 months","This is the worse drug caused inability to do anything even stopped talking was given 15 mg by psychiatric hospital",1,9,1
"Zyprexa","mushroom74","August 26, 2019","-","I started off with 10mg, 7mg and currently 5mg  After refusing to take any medication because of prior complications and skepticism I finally gave in and decided to give it a try as a last resort. I started with 10 mg Abilify which made me very tired, sluggish and depressed so I switched to zyprexa 10mg the tiredness went away. paranoia went away. There are a few side-effects however like lack of motivation or anhedonia and significant weight gain but overall I'd say if you're struggling give zyprexia a try to balance out the depressiveness and lack of motivation which is still an issue with taking antipsychotics zi also take antidepressants Cymbalta",7,7,1
"Zyprexa","Ari","July 19, 2019","Taken for less than 1 month","15mg of Zyprexa made me cry uncontrollably  and it dulled my emotions with drowsiness.  I don't know if I should continue with this because it's done more harm than good.",1,16,1
"Zyprexa","mickwicken","July 15, 2019","-","For 5-6 years I have taken Zyprexa for schizo affective disorder . Weight gain isn't a problem if you lift weights 5x5 and eat lots of protein during the day and a casein shake at night. You might still gain weight but it'll be muscle as long as you cut out carbs and sugar while eating more protein than your body weight and a lot of  fat that'll do it...",7,16,1
"Zyprexa","A.A","June 19, 2019","Taken for 5 to 10 years","It has some initial side affects like feeling dizzy. But all in all after more than 7years I totally like the drug. I have been on 5mg for about 5years now. I took 5mg all through my pregnancy based on doctors advice and I gave birth to healthy baby girl 2 years ago. I was also able to breast feed because the drug was not found in my breast milk due to low dosage I was using   according to doctor's report.",10,20,1
"Zyprexa","Lee","April 14, 2019","Taken for less than 1 month","I’ve taken Rexulti, ability, vrylar, resperidone, and now trying Zyprexa.  It’s been about a week and the delusions/hallucinations are still extremely there if not worse. This stuff makes me sleepy, I get a good nights rest.   I'm going to take it a few more weeks to see if it overall works, a week probably isn’t long enough for a good trial period.",6,6,1
"Zyprexa","jacmore","April 8, 2019","Taken for 6 months to 1 year","I am  overall very pleased with Zyprexa for my Schitzo affective disorder. My son says he's never seen me so welI. I've been on this medication for about 8 months. I've gained about 25 kgs which I hate and I need about 10 hours sleep each night, but at least I am well.",10,14,1
"Zyprexa","NoJustNo","March 28, 2019","-","I take 10 mg of zyprexa at night and it makes me feel like it I've been chemically lobotomized.  Not to mention the irritability  And being tired all the time. This medication made me sleep for 10 whole hours and I still feel sleepy after waking up. Also my motor skills have been cut in half, I keep stumbling over stuff like I'm drunk and having blurred vision all day.  This medication is a mental handicap in a bottle.  How in the world does this help out with schizophrenia and depression??  I would not recommend this medication to anybody. Eli Lilly should be ashamed of themselves.",1,23,1
"Zyprexa","Cat","November 5, 2018","Taken for 1 to 2 years","While I am schizoaffective, I was put on 2.5mg (now 5mg) of zyprexa for intractable insomnia after averaging 2 or 3 nights a week without sleeping. I now go without only sleep once a week. I also sleep much deeper. Unfortunately, I have gained 2.5lbs a month on it and have gone from normal blood sugar to circling pre-diabetic.  My doctor put me on 7.5mg briefly but my appetite was unreal. I wish I could take more but I've already put on 30lbs. I can't say if it has impacted my psychosis as the other anti-psychotic was working when I started on this. I think it helps with my anxiety. I sometimes take an extra pill when I have an anxiety attack. It helps but maybe it is the placebo effect.",7,11,1
